original_row_index,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
0, refugee status,"According to the opinion 'Jimenez v. Bondi', those combined failures prevented Petitioners from making the overarching eligibility showing of","According to the opinion 'Jimenez v. Bondi', those combined failures prevented Petitioners from making the overarching eligibility showing of refugee status",Synthesized Insight,"['To be eligible for a discretionary grant of asylum, an applicant bears the burden of proving by a preponderance of the evidence that he is a refugee.', 'Petitioners fail to demonstrate that they suffered persecution, that their alleged persecution had a nexus to a statutorily protected ground, or that the Colombian government is unwilling or unable to help them. Nor does the record show that Petitioners cannot safely relocate within Colombia.']","Because asylum eligibility required proving refugee status and the court found multiple required components missing, Petitioners failed to establish that overall status.",What overarching eligibility showing did those combined failures prevent Petitioners from making?,refugee status,"['To be eligible for a discretionary grant of asylum, an applicant bears the burden of proving by a preponderance of the evidence that he is a refugee.', 'Petitioners fail to demonstrate that they suffered persecution, that their alleged persecution had a nexus to a statutorily protected ground, or that the Colombian government is unwilling or unable to help them. Nor does the record show that Petitioners cannot safely relocate within Colombia.']","['To be eligible for a discretionary grant of asylum, an applicant bears the burden of proving by a preponderance of the evidence that he is a refugee.', 'Petitioners fail to demonstrate that they suffered persecution, that their alleged persecution had a nexus to a statutorily protected ground, or that the Colombian government is unwilling or unable to help them. Nor does the record show that Petitioners cannot safely relocate within Colombia.']"
1, withholding of removal,"According to the opinion 'Jimenez v. Bondi', once the court held that Petitioners failed the asylum standard, the claim that necessarily failed as well was","According to the opinion 'Jimenez v. Bondi', once the court held that Petitioners failed the asylum standard, the claim that necessarily failed as well was withholding of removal",Reasoning Step,"['In sum, there is substantial evidence supporting the BIA’s findings that Petitioners do not qualify for asylum.', 'And because Petitioners fail to demonstrate a well-founded fear of persecution under asylum standards, they necessarily fail to meet the higher standard for withholding of removal.']","The opinion expressly treats withholding as requiring more than asylum, so failure on asylum necessarily defeats withholding too.","Once the court held that Petitioners failed the asylum standard, what claim necessarily failed as well?",withholding of removal,"['In sum, there is substantial evidence supporting the BIA’s findings that Petitioners do not qualify for asylum.', 'And because Petitioners fail to demonstrate a well-founded fear of persecution under asylum standards, they necessarily fail to meet the higher standard for withholding of removal.']","['In sum, there is substantial evidence supporting the BIA’s findings that Petitioners do not qualify for asylum.', 'And because Petitioners fail to demonstrate a well-founded fear of persecution under asylum standards, they necessarily fail to meet the higher standard for withholding of removal.']"
3, relocating to another part of Colombia,"According to the opinion 'Jimenez v. Bondi', even if Petitioners had established past persecution and gained the presumption, the government could still have rebutted it by showing that they could avoid future persecution by","According to the opinion 'Jimenez v. Bondi', even if Petitioners had established past persecution and gained the presumption, the government could still have rebutted it by showing that they could avoid future persecution by relocating to another part of Colombia",Multi-Fact Integration,"['One way an applicant may obtain refugee status is “through a showing of past persecution, which gives rise to a rebuttable presumption of a well-founded fear of future persecution.”', 'The government may rebut an applicant’s presumption of a well-founded fear of future persecution and prevent his asylum application if it shows by a preponderance of the evidence that: “(1) there has been a ‘fundamental change’ in circumstances, such that the applicant no longer has a well-founded fear of persecution; or (2) the applicant could avoid future persecution by relocating to another part of the applicant’s country.”', 'Petitioners have not demonstrated a fear of future persecution, but even if they had, the record supports the finding that they could reasonably relocate to another part of Colombia.']","Even if the presumption had arisen from past persecution, the court identified relocation elsewhere in Colombia as a stated way to rebut it.","Even if Petitioners had established past persecution and gained the presumption, what stated ground could still have rebutted it?",relocating to another part of Colombia,"['One way an applicant may obtain refugee status is “through a showing of past persecution, which gives rise to a rebuttable presumption of a well-founded fear of future persecution.”', 'The government may rebut an applicant’s presumption of a well-founded fear of future persecution and prevent his asylum application if it shows by a preponderance of the evidence that: “(1) there has been a ‘fundamental change’ in circumstances, such that the applicant no longer has a well-founded fear of persecution; or (2) the applicant could avoid future persecution by relocating to another part of the applicant’s country.”', 'Petitioners have not demonstrated a fear of future persecution, but even if they had, the record supports the finding that they could reasonably relocate to another part of Colombia.']","['One way an applicant may obtain refugee status is “through a showing of past persecution, which gives rise to a rebuttable presumption of a well-founded fear of future persecution.”', 'The government may rebut an applicant’s presumption of a well-founded fear of future persecution and prevent his asylum application if it shows by a preponderance of the evidence that: “(1) there has been a ‘fundamental change’ in circumstances, such that the applicant no longer has a well-founded fear of persecution; or (2) the applicant could avoid future persecution by relocating to another part of the applicant’s country.”', 'Petitioners have not demonstrated a fear of future persecution, but even if they had, the record supports the finding that they could reasonably relocate to another part of Colombia.']"
4, futility was not shown,"According to the opinion 'Jimenez v. Bondi', if Colombian authorities had already tried several searches and seizures at Don Rafa’s property, that undercut Petitioners’ argument that asking for help would have been futile because the persecutors were aligned with the government, so","According to the opinion 'Jimenez v. Bondi', if Colombian authorities had already tried several searches and seizures at Don Rafa’s property, that undercut Petitioners’ argument that asking for help would have been futile because the persecutors were aligned with the government, so futility was not shown",Synthesized Insight,"['Petitioners seemingly argue that contacting the government for help would have been futile and dangerous because their persecutors are closely aligned and associated with the Colombian government. But that too is unsupported by the record.', 'The government was aware of the property at issue and had attempted several searches and seizures to address the ongoing criminal conduct there.', 'In other words, the evidence counters Petitioners’ argument that their persecutors are closely aligned with the government and would be unwilling or unable to stop the persecutors.']",Government searches and seizures at the property cut against the claim that officials were so aligned with Don Rafa that seeking help would have been useless or dangerous.,"If Colombian authorities had already tried several searches and seizures at Don Rafa’s property, what did that imply about Petitioners’ claim that asking for help would have been futile because the persecutors were aligned with the government?",futility was not shown,"['Petitioners seemingly argue that contacting the government for help would have been futile and dangerous because their persecutors are closely aligned and associated with the Colombian government. But that too is unsupported by the record.', 'The government was aware of the property at issue and had attempted several searches and seizures to address the ongoing criminal conduct there.', 'In other words, the evidence counters Petitioners’ argument that their persecutors are closely aligned with the government and would be unwilling or unable to stop the persecutors.']","['Petitioners seemingly argue that contacting the government for help would have been futile and dangerous because their persecutors are closely aligned and associated with the Colombian government. But that too is unsupported by the record.', 'The government was aware of the property at issue and had attempted several searches and seizures to address the ongoing criminal conduct there.', 'In other words, the evidence counters Petitioners’ argument that their persecutors are closely aligned with the government and would be unwilling or unable to stop the persecutors.']"
6, proof of refugee status,"According to the opinion 'Jimenez v. Bondi', if the IJ accepted Petitioners as credible but still found they failed to establish the required asylum elements, their case lacked","According to the opinion 'Jimenez v. Bondi', if the IJ accepted Petitioners as credible but still found they failed to establish the required asylum elements, their case lacked proof of refugee status",Multi-Fact Integration,"['Although the IJ found Petitioners to be credible, the IJ concluded that Petitioners failed to establish: (1) their harm amounted to past persecution; (2) a nexus to a statutorily protected ground; (3) internal relocation was not reasonably available; and (4) the Colombian government is unable or unwilling to protect them from their persecutors.', 'To be eligible for a discretionary grant of asylum, an applicant bears the burden of proving by a preponderance of the evidence that he is a refugee.']","If the testimony was credited but the required elements still were not established, the defect was failure to prove refugee eligibility rather than disbelief.","If the IJ accepted Petitioners as credible but still found they failed to establish the required asylum elements, what was missing from their case besides credibility?",proof of refugee status,"['Although the IJ found Petitioners to be credible, the IJ concluded that Petitioners failed to establish: (1) their harm amounted to past persecution; (2) a nexus to a statutorily protected ground; (3) internal relocation was not reasonably available; and (4) the Colombian government is unable or unwilling to protect them from their persecutors.', 'To be eligible for a discretionary grant of asylum, an applicant bears the burden of proving by a preponderance of the evidence that he is a refugee.']","['Although the IJ found Petitioners to be credible, the IJ concluded that Petitioners failed to establish: (1) their harm amounted to past persecution; (2) a nexus to a statutorily protected ground; (3) internal relocation was not reasonably available; and (4) the Colombian government is unable or unwilling to protect them from their persecutors.', 'To be eligible for a discretionary grant of asylum, an applicant bears the burden of proving by a preponderance of the evidence that he is a refugee.']"
7, Jimenez’s involvement with Don Rafa,"According to the opinion 'Jimenez v. Bondi', from the timing of the escalated threats and the content of the accusations, the court treated the predominant motive as","According to the opinion 'Jimenez v. Bondi', from the timing of the escalated threats and the content of the accusations, the court treated the predominant motive as Jimenez’s involvement with Don Rafa",Multi-Fact Integration,"['Petitioners do not point to any evidence in the record that suggests Don Rafa was behind those initial politically affiliated threats.', 'In fact, Petitioners only began receiving escalated threats after Jimenez got involved in a property dispute with Don Rafa, and after Don Rafa became aware that Jimenez was investigating his rented property.', 'During one of the threats, a man accused Jimenez of working for the prosecutor’s office and for being responsible for searches and seizures at Don Rafa’s property.', 'Based on these facts, the BIA did not err in finding that the predominant motive behind the threats was due to Jimenez’s professional and personal involvement with Don Rafa rather than Petitioners’ political opinion.']","Because the escalation followed the property dispute and the threats referenced Jimenez’s prosecutor-related conduct, the court treated that involvement as the main motive.","From the timing of the escalated threats and the content of the accusations, what motive did the court treat as the predominant one?",Jimenez’s involvement with Don Rafa,"['Petitioners do not point to any evidence in the record that suggests Don Rafa was behind those initial politically affiliated threats.', 'In fact, Petitioners only began receiving escalated threats after Jimenez got involved in a property dispute with Don Rafa, and after Don Rafa became aware that Jimenez was investigating his rented property.', 'During one of the threats, a man accused Jimenez of working for the prosecutor’s office and for being responsible for searches and seizures at Don Rafa’s property.', 'Based on these facts, the BIA did not err in finding that the predominant motive behind the threats was due to Jimenez’s professional and personal involvement with Don Rafa rather than Petitioners’ political opinion.']","['Petitioners do not point to any evidence in the record that suggests Don Rafa was behind those initial politically affiliated threats.', 'In fact, Petitioners only began receiving escalated threats after Jimenez got involved in a property dispute with Don Rafa, and after Don Rafa became aware that Jimenez was investigating his rented property.', 'During one of the threats, a man accused Jimenez of working for the prosecutor’s office and for being responsible for searches and seizures at Don Rafa’s property.', 'Based on these facts, the BIA did not err in finding that the predominant motive behind the threats was due to Jimenez’s professional and personal involvement with Don Rafa rather than Petitioners’ political opinion.']"
8, petition denied,"According to the opinion 'Jimenez v. Bondi', given that standard of review and the court's view of the record, the appellate disposition that followed was","According to the opinion 'Jimenez v. Bondi', given that standard of review and the court's view of the record, the appellate disposition that followed was petition denied",Synthesized Insight,"['“We review the BIA’s findings of fact under a substantial-evidence standard. Under this standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.”', 'In sum, there is substantial evidence supporting the BIA’s findings that Petitioners do not qualify for asylum.']","Because the record did not compel a contrary factual conclusion and instead substantially supported the BIA, the court left the agency decision in place.","Given that standard of review and the court's view of the record, what appellate disposition followed?",petition denied,"['“We review the BIA’s findings of fact under a substantial-evidence standard. Under this standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.”', 'In sum, there is substantial evidence supporting the BIA’s findings that Petitioners do not qualify for asylum.']","['“We review the BIA’s findings of fact under a substantial-evidence standard. Under this standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.”', 'In sum, there is substantial evidence supporting the BIA’s findings that Petitioners do not qualify for asylum.']"
9, notice and opportunity,"According to the opinion 'Jimenez v. Bondi', given the emphasis on reporting and Petitioners’ minimal outreach to authorities, the key predicate for proving government inability or unwillingness that was missing was","According to the opinion 'Jimenez v. Bondi', given the emphasis on reporting and Petitioners’ minimal outreach to authorities, the key predicate for proving government inability or unwillingness that was missing was notice and opportunity",Multi-Fact Integration,"['Intertwined in this analysis is an inquiry into whether the government had notice of the alleged persecution and an opportunity to respond.', '“Without such notice, there is no way to know how the police would have reacted or whether the government would have helped.”', 'Again, there is substantial evidence in the record supporting the BIA’s and IJ’s findings. Petitioners’ efforts to reach out to the government for help were minimal, if any.', 'Yet, neither of them reported wrongdoing or corruption.']","Because Petitioners barely reported anything, the government lacked the notice and chance to respond that the opinion treats as central to the unable-or-unwilling inquiry.","Given the opinion’s emphasis on reporting and Petitioners’ minimal outreach to authorities, what key predicate for proving government inability or unwillingness was missing?",notice and opportunity,"['Intertwined in this analysis is an inquiry into whether the government had notice of the alleged persecution and an opportunity to respond.', '“Without such notice, there is no way to know how the police would have reacted or whether the government would have helped.”', 'Again, there is substantial evidence in the record supporting the BIA’s and IJ’s findings. Petitioners’ efforts to reach out to the government for help were minimal, if any.', 'Yet, neither of them reported wrongdoing or corruption.']","['Intertwined in this analysis is an inquiry into whether the government had notice of the alleged persecution and an opportunity to respond.', '“Without such notice, there is no way to know how the police would have reacted or whether the government would have helped.”', 'Again, there is substantial evidence in the record supporting the BIA’s and IJ’s findings. Petitioners’ efforts to reach out to the government for help were minimal, if any.', 'Yet, neither of them reported wrongdoing or corruption.']"
11, their neighborhood,"According to the opinion 'Jimenez v. Bondi', those facts suggest that the danger was focused at the geographic level of","According to the opinion 'Jimenez v. Bondi', those facts suggest that the danger was focused at the geographic level of their neighborhood",Reasoning Step,"['Notably, Petitioners safely lived with Jimenez’s mother in the Bogota countryside for three weeks before deciding to relocate to the United States.', 'And recall that the men who threatened Petitioners told them to move out of the neighborhood; they did not threaten the family to move out of the country.']",A safe stay elsewhere in Bogota and a threat to leave only the neighborhood imply a localized rather than countrywide danger.,Those facts suggest the danger was focused at what geographic level?,their neighborhood,"['Notably, Petitioners safely lived with Jimenez’s mother in the Bogota countryside for three weeks before deciding to relocate to the United States.', 'And recall that the men who threatened Petitioners told them to move out of the neighborhood; they did not threaten the family to move out of the country.']","['Notably, Petitioners safely lived with Jimenez’s mother in the Bogota countryside for three weeks before deciding to relocate to the United States.', 'And recall that the men who threatened Petitioners told them to move out of the neighborhood; they did not threaten the family to move out of the country.']"
12, barred reweighing,"According to the opinion 'Jimenez v. Bondi', under the review principle governing the BIA's findings, the court did not choose Petitioners' competing motive theory over the BIA's because the substantial-evidence standard","According to the opinion 'Jimenez v. Bondi', under the review principle governing the BIA's findings, the court did not choose Petitioners' competing motive theory over the BIA's because the substantial-evidence standard barred reweighing",Reasoning Step,"['We review the BIA’s findings of fact under a substantial-evidence standard. Under this standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.', '“[I]t is not our prerogative to reweigh the evidence, but only to decide if substantial evidence supports the IJ’s [or the BIA’s] decision.”']","Because the court could not reweigh competing inferences and could reverse only if a contrary conclusion was compelled, it accepted the BIA’s motive finding.",What review principle explains why the court did not choose Petitioners’ competing motive theory over the BIA’s?,barred reweighing,"['We review the BIA’s findings of fact under a substantial-evidence standard. Under this standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.', '“[I]t is not our prerogative to reweigh the evidence, but only to decide if substantial evidence supports the IJ’s [or the BIA’s] decision.”']","['We review the BIA’s findings of fact under a substantial-evidence standard. Under this standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.', '“[I]t is not our prerogative to reweigh the evidence, but only to decide if substantial evidence supports the IJ’s [or the BIA’s] decision.”']"
