row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", respiratory system., respiratory system.,"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the authors describe dermatomyositis as a rare autoimmune disease that typically affects the skin and muscle, as well as the","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the authors describe dermatomyositis as a rare autoimmune disease that typically affects the skin and muscle, as well as the","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the authors describe dermatomyositis as a rare autoimmune disease that typically affects the skin and muscle, as well as the respiratory system.","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the authors describe dermatomyositis as a rare autoimmune disease that typically affects the skin and muscle, as well as the respiratory system."
2,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", severe neck swelling., severe neck swelling.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s initially came to the emergency department before any diagnosis was made because of","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s initially came to the emergency department before any diagnosis was made because of","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s initially came to the emergency department before any diagnosis was made because of severe neck swelling.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s initially came to the emergency department before any diagnosis was made because of severe neck swelling."
3,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", deep neck space infection., deep neck space infection.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s presented with severe neck swelling and was first reviewed by ear, nose and throat surgeons, who were considering a probable diagnosis of","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s presented with severe neck swelling and was first reviewed by ear, nose and throat surgeons, who were considering a probable diagnosis of","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s presented with severe neck swelling and was first reviewed by ear, nose and throat surgeons, who were considering a probable diagnosis of deep neck space infection.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a previously well man in his 40s presented with severe neck swelling and was first reviewed by ear, nose and throat surgeons, who were considering a probable diagnosis of deep neck space infection."
4,drop,title_leakage,"The required case-report title contains “Dermatomyositis,” which directly gives away the provisional diagnosis target.", dermatomyositis.,,A previously well man in his 40s who presented with severe neck swelling initially investigated as possible deep neck space infection and then suspected idiopathic angioedema was given the provisional diagnosis of,,A previously well man in his 40s who presented with severe neck swelling initially investigated as possible deep neck space infection and then suspected idiopathic angioedema was given the provisional diagnosis of dermatomyositis.,
5,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", dysphagia., dysphagia.,"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the reported patient had non-histamine and non-bradykinin-mediated neck swelling accompanied by significant muscle involvement and","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the reported patient had non-histamine and non-bradykinin-mediated neck swelling accompanied by significant muscle involvement and","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the reported patient had non-histamine and non-bradykinin-mediated neck swelling accompanied by significant muscle involvement and dysphagia.","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the reported patient had non-histamine and non-bradykinin-mediated neck swelling accompanied by significant muscle involvement and dysphagia."
6,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", 45–64 years., 45–64 years.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", dermatomyositis has a bimodal age distribution, with peak onset in adults at","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", dermatomyositis has a bimodal age distribution, with peak onset in adults at","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", dermatomyositis has a bimodal age distribution, with peak onset in adults at 45–64 years.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", dermatomyositis has a bimodal age distribution, with peak onset in adults at 45–64 years."
7,repair,source_framing_issue,Normalized malformed case-report framing and title punctuation while preserving the cited-study fact., 8 out of 121, 8 out of 121,"According to the cited study in the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook,"" pseudoangioedema was uncommon in dermatomyositis, with the number of patients diagnosed with dermatomyositis who had pseudoangioedema being","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a cited study found that pseudoangioedema was present in","According to the cited study in the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook,"" pseudoangioedema was uncommon in dermatomyositis, with the number of patients diagnosed with dermatomyositis who had pseudoangioedema being 8 out of 121","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a cited study found that pseudoangioedema was present in 8 out of 121"
8,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", a 3-hydroxy-3-methyl-glutaryl-coenzyme A (HMG-CoA) reductase inhibitor., a 3-hydroxy-3-methyl-glutaryl-coenzyme A (HMG-CoA) reductase inhibitor.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the man in his 40s presented with 3 weeks of progressive neck swelling, proximal hip flexor weakness, and mild myalgia, and he had not been taking","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the man in his 40s presented with 3 weeks of progressive neck swelling, proximal hip flexor weakness, and mild myalgia, and he had not been taking","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the man in his 40s presented with 3 weeks of progressive neck swelling, proximal hip flexor weakness, and mild myalgia, and he had not been taking a 3-hydroxy-3-methyl-glutaryl-coenzyme A (HMG-CoA) reductase inhibitor.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the man in his 40s presented with 3 weeks of progressive neck swelling, proximal hip flexor weakness, and mild myalgia, and he had not been taking a 3-hydroxy-3-methyl-glutaryl-coenzyme A (HMG-CoA) reductase inhibitor."
9,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", within the normal range., within the normal range.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", during the investigation for suspected angioedema, the patient's C1 esterase function and C1 esterase quantification were","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", during the investigation for suspected angioedema, the patient's C1 esterase function and C1 esterase quantification were","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", during the investigation for suspected angioedema, the patient's C1 esterase function and C1 esterase quantification were within the normal range.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", during the investigation for suspected angioedema, the patient's C1 esterase function and C1 esterase quantification were within the normal range."
10,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", Euroimmun Euroline immunoassay, Euroimmun Euroline immunoassay,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a myositis antibody panel consisting of 16 antigens linked to autoimmune inflammatory myopathy was performed during the patient’s investigation using a","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a myositis antibody panel consisting of 16 antigens linked to autoimmune inflammatory myopathy was performed during the patient’s investigation using a","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a myositis antibody panel consisting of 16 antigens linked to autoimmune inflammatory myopathy was performed during the patient’s investigation using a Euroimmun Euroline immunoassay","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", a myositis antibody panel consisting of 16 antigens linked to autoimmune inflammatory myopathy was performed during the patient’s investigation using a Euroimmun Euroline immunoassay"
11,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", no significant bronchodilator response., no significant bronchodilator response.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", pulmonary function testing performed during the evaluation of the patient's progressive neck swelling and muscle weakness showed","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", pulmonary function testing performed during the evaluation of the patient's progressive neck swelling and muscle weakness showed","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", pulmonary function testing performed during the evaluation of the patient's progressive neck swelling and muscle weakness showed no significant bronchodilator response.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", pulmonary function testing performed during the evaluation of the patient's progressive neck swelling and muscle weakness showed no significant bronchodilator response."
12,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", pulmonary fibrosis., pulmonary fibrosis.,"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", after the patient developed progressive neck swelling and dysphagia in the setting of suspected dermatomyositis, the chest CT showed multiple non-cavitating pulmonary nodules and patchy peribronchial consolidation, but it did not support radiological evidence of","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", after the patient developed progressive neck swelling and dysphagia in the setting of suspected dermatomyositis, the chest CT showed multiple non-cavitating pulmonary nodules and patchy peribronchial consolidation, but it did not support radiological evidence of","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", after the patient developed progressive neck swelling and dysphagia in the setting of suspected dermatomyositis, the chest CT showed multiple non-cavitating pulmonary nodules and patchy peribronchial consolidation, but it did not support radiological evidence of pulmonary fibrosis.","In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", after the patient developed progressive neck swelling and dysphagia in the setting of suspected dermatomyositis, the chest CT showed multiple non-cavitating pulmonary nodules and patchy peribronchial consolidation, but it did not support radiological evidence of pulmonary fibrosis."
13,keep,,"Retained as source-backed, meaningful, case-report-framed, and answerable under v13 rubric.", the vocal cords., the vocal cords.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the post-swallow penetration of thin and mildly thick fluids on video fluoroscopic (barium) swallow study performed because of severe pharyngeal dysphagia reached","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the post-swallow penetration of thin and mildly thick fluids on video fluoroscopic (barium) swallow study performed because of severe pharyngeal dysphagia reached","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the post-swallow penetration of thin and mildly thick fluids on video fluoroscopic (barium) swallow study performed because of severe pharyngeal dysphagia reached the vocal cords.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the post-swallow penetration of thin and mildly thick fluids on video fluoroscopic (barium) swallow study performed because of severe pharyngeal dysphagia reached the vocal cords."
