step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,0.0,3,D,2
0,1,0.0,0,A,1
0,2,0.0,2,C,3
0,3,1.0,2,C,2
0,4,0.0,1,B,0
0,5,0.0,1,B,4
0,6,0.0,1,B,0
0,7,0.0,2,C,3
0,8,1.0,0,A,0
0,9,0.0,0,A,3
0,10,0.0,2,C,0
0,11,0.0,4,E,0
0,12,0.0,0,A,2
0,13,0.0,1,B,4
0,14,0.0,1,B,2
0,15,0.0,0,A,2
0,16,0.0,0,A,3
0,17,1.0,3,D,3
0,18,0.0,2,C,1
0,19,0.0,1,B,3
0,20,0.0,2,C,1
0,21,1.0,0,A,0
4,0,0.0,3,D,2
4,1,0.0,0,A,1
4,2,0.0,2,C,3
4,3,1.0,2,C,2
4,4,0.0,1,B,0
4,5,0.0,1,B,4
4,6,0.0,1,B,0
4,7,0.0,2,C,3
4,8,1.0,0,A,0
4,9,0.0,0,A,3
4,10,0.0,2,C,0
4,11,0.0,4,E,0
4,12,0.0,0,A,2
4,13,0.0,3,D,4
4,14,0.0,1,B,2
4,15,0.0,4,E,2
4,16,0.0,0,A,3
4,17,1.0,3,D,3
4,18,0.0,2,C,1
4,19,0.0,1,B,3
4,20,0.0,4,E,1
4,21,1.0,0,A,0
8,0,0.0,3,D,2
8,1,0.0,0,A,1
8,2,0.0,2,C,3
8,3,1.0,2,C,2
8,4,0.0,1,B,0
8,5,0.0,3,D,4
8,6,0.0,1,B,0
8,7,0.0,2,C,3
8,8,1.0,0,A,0
8,9,0.0,1,B,3
8,10,0.0,2,C,0
8,11,0.0,4,E,0
8,12,0.0,0,A,2
8,13,0.0,3,D,4
8,14,0.0,1,B,2
8,15,0.0,4,E,2
8,16,0.0,0,A,3
8,17,1.0,3,D,3
8,18,0.0,2,C,1
8,19,0.0,1,B,3
8,20,0.0,2,C,1
8,21,1.0,0,A,0
12,0,0.0,0,A,2
12,1,0.0,0,A,1
12,2,0.0,0,A,3
12,3,1.0,2,C,2
12,4,0.0,1,B,0
12,5,0.0,3,D,4
12,6,0.0,1,B,0
12,7,0.0,2,C,3
12,8,1.0,0,A,0
12,9,0.0,1,B,3
12,10,0.0,2,C,0
12,11,0.0,4,E,0
12,12,0.0,0,A,2
12,13,0.0,1,B,4
12,14,0.0,1,B,2
12,15,0.0,4,E,2
12,16,0.0,0,A,3
12,17,1.0,3,D,3
12,18,1.0,1,B,1
12,19,0.0,0,A,3
12,20,0.0,2,C,1
12,21,1.0,0,A,0
16,0,0.0,0,A,2
16,1,0.0,0,A,1
16,2,0.0,0,A,3
16,3,0.0,1,B,2
16,4,0.0,1,B,0
16,5,0.0,3,D,4
16,6,0.0,1,B,0
16,7,0.0,2,C,3
16,8,1.0,0,A,0
16,9,1.0,3,D,3
16,10,0.0,2,C,0
16,11,1.0,0,A,0
16,12,0.0,0,A,2
16,13,0.0,1,B,4
16,14,0.0,1,B,2
16,15,1.0,2,C,2
16,16,0.0,0,A,3
16,17,1.0,3,D,3
16,18,1.0,1,B,1
16,19,0.0,1,B,3
16,20,0.0,2,C,1
16,21,1.0,0,A,0
20,0,0.0,0,A,2
20,1,0.0,0,A,1
20,2,0.0,0,A,3
20,3,0.0,1,B,2
20,4,0.0,1,B,0
20,5,0.0,3,D,4
20,6,0.0,1,B,0
20,7,0.0,2,C,3
20,8,1.0,0,A,0
20,9,0.0,1,B,3
20,10,0.0,2,C,0
20,11,1.0,0,A,0
20,12,0.0,0,A,2
20,13,0.0,1,B,4
20,14,0.0,1,B,2
20,15,0.0,0,A,2
20,16,0.0,0,A,3
20,17,1.0,3,D,3
20,18,0.0,3,D,1
20,19,0.0,0,A,3
20,20,0.0,4,E,1
20,21,1.0,0,A,0
24,0,0.0,0,A,2
24,1,0.0,0,A,1
24,2,0.0,0,A,3
24,3,0.0,1,B,2
24,4,0.0,1,B,0
24,5,0.0,3,D,4
24,6,0.0,1,B,0
24,7,0.0,2,C,3
24,8,1.0,0,A,0
24,9,1.0,3,D,3
24,10,0.0,2,C,0
24,11,0.0,4,E,0
24,12,0.0,0,A,2
24,13,0.0,1,B,4
24,14,0.0,1,B,2
24,15,0.0,0,A,2
24,16,0.0,0,A,3
24,17,1.0,3,D,3
24,18,0.0,3,D,1
24,19,0.0,0,A,3
24,20,0.0,4,E,1
24,21,1.0,0,A,0
28,0,0.0,0,A,2
28,1,0.0,0,A,1
28,2,0.0,0,A,3
28,3,1.0,2,C,2
28,4,0.0,1,B,0
28,5,0.0,3,D,4
28,6,0.0,1,B,0
28,7,0.0,2,C,3
28,8,1.0,0,A,0
28,9,1.0,3,D,3
28,10,0.0,2,C,0
28,11,0.0,4,E,0
28,12,0.0,0,A,2
28,13,0.0,1,B,4
28,14,0.0,1,B,2
28,15,0.0,0,A,2
28,16,0.0,0,A,3
28,17,1.0,3,D,3
28,18,0.0,3,D,1
28,19,0.0,0,A,3
28,20,0.0,2,C,1
28,21,1.0,0,A,0
32,0,0.0,0,A,2
32,1,0.0,0,A,1
32,2,0.0,0,A,3
32,3,1.0,2,C,2
32,4,0.0,1,B,0
32,5,0.0,3,D,4
32,6,0.0,1,B,0
32,7,0.0,2,C,3
32,8,1.0,0,A,0
32,9,1.0,3,D,3
32,10,0.0,2,C,0
32,11,0.0,4,E,0
32,12,0.0,0,A,2
32,13,0.0,1,B,4
32,14,0.0,1,B,2
32,15,0.0,0,A,2
32,16,0.0,0,A,3
32,17,1.0,3,D,3
32,18,0.0,3,D,1
32,19,0.0,0,A,3
32,20,0.0,4,E,1
32,21,1.0,0,A,0
36,0,0.0,0,A,2
36,1,0.0,0,A,1
36,2,0.0,0,A,3
36,3,0.0,1,B,2
36,4,0.0,1,B,0
36,5,0.0,3,D,4
36,6,0.0,1,B,0
36,7,0.0,2,C,3
36,8,1.0,0,A,0
36,9,1.0,3,D,3
36,10,0.0,2,C,0
36,11,0.0,4,E,0
36,12,0.0,0,A,2
36,13,0.0,1,B,4
36,14,0.0,1,B,2
36,15,0.0,0,A,2
36,16,0.0,0,A,3
36,17,1.0,3,D,3
36,18,0.0,3,D,1
36,19,0.0,0,A,3
36,20,0.0,4,E,1
36,21,1.0,0,A,0
40,0,0.0,0,A,2
40,1,0.0,0,A,1
40,2,0.0,0,A,3
40,3,1.0,2,C,2
40,4,0.0,1,B,0
40,5,0.0,3,D,4
40,6,0.0,1,B,0
40,7,0.0,2,C,3
40,8,1.0,0,A,0
40,9,1.0,3,D,3
40,10,0.0,2,C,0
40,11,0.0,4,E,0
40,12,0.0,0,A,2
40,13,0.0,1,B,4
40,14,0.0,1,B,2
40,15,0.0,0,A,2
40,16,0.0,0,A,3
40,17,1.0,3,D,3
40,18,0.0,3,D,1
40,19,0.0,0,A,3
40,20,0.0,2,C,1
40,21,1.0,0,A,0
44,0,0.0,0,A,2
44,1,0.0,0,A,1
44,2,0.0,0,A,3
44,3,1.0,2,C,2
44,4,0.0,1,B,0
44,5,0.0,3,D,4
44,6,0.0,1,B,0
44,7,0.0,2,C,3
44,8,1.0,0,A,0
44,9,1.0,3,D,3
44,10,0.0,2,C,0
44,11,0.0,4,E,0
44,12,0.0,0,A,2
44,13,0.0,1,B,4
44,14,0.0,1,B,2
44,15,0.0,0,A,2
44,16,0.0,0,A,3
