view,step,final_step,layer,component,metric,value,num_values
time,0,121,,embed_tokens,relative_delta_norm,0.0,100352
time,0,121,,embed_tokens,cosine_distance,2.375822894427241e-12,100352
time,0,121,,embed_tokens,relative_delta_gini,0.0,100352
time,0,121,,embed_tokens,cosine_distance_gini,0.9999900350765305,100352
time,0,121,,gate_proj,relative_delta_norm,0.0,352256
time,0,121,,gate_proj,cosine_distance,0.0,352256
time,0,121,,gate_proj,relative_delta_gini,0.0,352256
time,0,121,,gate_proj,cosine_distance_gini,0.0,352256
time,0,121,,up_proj,relative_delta_norm,0.0,352256
time,0,121,,up_proj,cosine_distance,0.0,352256
time,0,121,,up_proj,relative_delta_gini,0.0,352256
time,0,121,,up_proj,cosine_distance_gini,0.0,352256
time,0,121,,down_proj,relative_delta_norm,0.0,352256
time,0,121,,down_proj,cosine_distance,1.2881829143436841e-09,352256
time,0,121,,down_proj,relative_delta_gini,0.0,352256
time,0,121,,down_proj,cosine_distance_gini,0.999508323547194,352256
time,0,121,,q_proj,relative_delta_norm,0.0,131072
time,0,121,,q_proj,cosine_distance,0.0307769775390625,131072
time,0,121,,q_proj,relative_delta_gini,0.0,131072
time,0,121,,q_proj,cosine_distance_gini,0.9692230224609375,131072
time,0,121,,k_proj,relative_delta_norm,0.0,131072
time,0,121,,k_proj,cosine_distance,0.04582977294921875,131072
time,0,121,,k_proj,relative_delta_gini,0.0,131072
time,0,121,,k_proj,cosine_distance_gini,0.9541702270507812,131072
time,0,121,,v_proj,relative_delta_norm,0.0,131072
time,0,121,,v_proj,cosine_distance,0.0,131072
time,0,121,,v_proj,relative_delta_gini,0.0,131072
time,0,121,,v_proj,cosine_distance_gini,0.0,131072
time,0,121,,o_proj,relative_delta_norm,0.0,131072
time,0,121,,o_proj,cosine_distance,5.7912075135391206e-09,131072
time,0,121,,o_proj,relative_delta_gini,0.0,131072
time,0,121,,o_proj,cosine_distance_gini,0.9981216095174392,131072
time,5,121,,embed_tokens,relative_delta_norm,8.144158886187124e-06,100352
time,5,121,,embed_tokens,cosine_distance,1.4254937366563446e-11,100352
time,5,121,,embed_tokens,relative_delta_gini,0.6962829339081791,100352
time,5,121,,embed_tokens,cosine_distance_gini,0.9999809005633502,100352
time,5,121,,gate_proj,relative_delta_norm,0.00040812730413263096,352256
time,5,121,,gate_proj,cosine_distance,3.70566213373528e-11,352256
time,5,121,,gate_proj,relative_delta_gini,0.13116709793559234,352256
time,5,121,,gate_proj,cosine_distance_gini,0.999929391845366,352256
time,5,121,,up_proj,relative_delta_norm,0.00044602241508552223,352256
time,5,121,,up_proj,cosine_distance,1.2013790479233099e-11,352256
time,5,121,,up_proj,relative_delta_gini,0.09316649212041717,352256
time,5,121,,up_proj,cosine_distance_gini,0.9999797282514125,352256
time,5,121,,down_proj,relative_delta_norm,0.0004880067236446153,352256
time,5,121,,down_proj,cosine_distance,1.5384420146082724e-09,352256
time,5,121,,down_proj,relative_delta_gini,0.093798562423143,352256
time,5,121,,down_proj,cosine_distance_gini,0.999430468847917,352256
time,5,121,,q_proj,relative_delta_norm,45.70125687984796,131072
time,5,121,,q_proj,cosine_distance,0.03486511617893484,131072
time,5,121,,q_proj,relative_delta_gini,0.9994358347515966,131072
time,5,121,,q_proj,cosine_distance_gini,0.9651275524781886,131072
time,5,121,,k_proj,relative_delta_norm,10.798113697616326,131072
time,5,121,,k_proj,cosine_distance,0.047884253094252927,131072
time,5,121,,k_proj,relative_delta_gini,0.9996153829111973,131072
time,5,121,,k_proj,cosine_distance_gini,0.9520708852013275,131072
time,5,121,,v_proj,relative_delta_norm,0.0004641074129528855,131072
time,5,121,,v_proj,cosine_distance,5.5833879741840065e-09,131072
time,5,121,,v_proj,relative_delta_gini,0.15055939556834796,131072
time,5,121,,v_proj,cosine_distance_gini,0.9924279756820984,131072
time,5,121,,o_proj,relative_delta_norm,0.0004891795125493426,131072
time,5,121,,o_proj,cosine_distance,7.000835466897115e-09,131072
time,5,121,,o_proj,relative_delta_gini,0.1668731629566509,131072
time,5,121,,o_proj,cosine_distance_gini,0.9977491670554626,131072
time,10,121,,embed_tokens,relative_delta_norm,4.0680255640388954e-05,100352
time,10,121,,embed_tokens,cosine_distance,6.955221523435748e-10,100352
time,10,121,,embed_tokens,relative_delta_gini,0.6449814773888536,100352
time,10,121,,embed_tokens,cosine_distance_gini,0.9998560234498901,100352
time,10,121,,gate_proj,relative_delta_norm,0.001813950915828516,352256
time,10,121,,gate_proj,cosine_distance,1.0428983693790817e-06,352256
time,10,121,,gate_proj,relative_delta_gini,0.1380042982020837,352256
time,10,121,,gate_proj,cosine_distance_gini,0.42656880067903424,352256
time,10,121,,up_proj,relative_delta_norm,0.001993461077346721,352256
time,10,121,,up_proj,cosine_distance,1.329162461293298e-06,352256
time,10,121,,up_proj,relative_delta_gini,0.10156194401942042,352256
time,10,121,,up_proj,cosine_distance_gini,0.3135217010886422,352256
time,10,121,,down_proj,relative_delta_norm,0.0022599374094089703,352256
time,10,121,,down_proj,cosine_distance,1.7944897313840515e-07,352256
time,10,121,,down_proj,relative_delta_gini,0.10658757564177779,352256
time,10,121,,down_proj,cosine_distance_gini,0.9755906255480153,352256
time,10,121,,q_proj,relative_delta_norm,1068.664424608869,131072
time,10,121,,q_proj,cosine_distance,0.03720962709849118,131072
time,10,121,,q_proj,relative_delta_gini,0.9991146992037547,131072
time,10,121,,q_proj,cosine_distance_gini,0.9626545384673757,131072
time,10,121,,k_proj,relative_delta_norm,405.3737253811868,131072
time,10,121,,k_proj,cosine_distance,0.04987701218442453,131072
time,10,121,,k_proj,relative_delta_gini,0.9995574003453875,131072
time,10,121,,k_proj,cosine_distance_gini,0.9496619128794259,131072
