domain,base_v12_reviewed_mcqa,safe_reviewed_recovered_mcqa,final_attempt_kept_broader,final_attempt_repaired_broader,final_attempt_manual_hard_failure,final_attempt_accepted_total,v13_mcqa_rows
America_First_Legal_Foundation_v_Jamieson_Greer,6,3,1,1,0,2,11
Apex_Bank_v_Cc_Serve_Corp,3,0,0,0,1,1,4
Bruce_Cohen_v_Consilio_LLC,5,0,0,0,1,1,6
Finesse_Wireless_LLC_v_Att_Mobility_LLC,4,0,2,0,1,3,7
Foad_Farahi_v_FBI,5,1,0,0,0,0,6
Jimenez_v_Bondi,8,0,1,0,2,3,11
Pacito_v_Trump,3,3,1,2,1,4,10
Santos_v_Kimmel,3,1,1,1,1,3,7
United_States_v_Constantinescu,3,4,1,0,0,1,8
United_States_v_Jaison_Coleman,5,0,0,0,1,1,6
United_States_v_Justin_Cutbank,2,1,1,1,1,3,6
Williams_v_GoAuto_Insurance,5,1,1,1,1,3,9
