row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,repair,source_framing_issue,Added or normalized required arxiv paper-title framing., Attention., Attention.,The core layer of the ubiquitous Transformer architecture and the bottleneck for large language models and long-context applications is,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the core layer of the ubiquitous Transformer architecture and the bottleneck for large language models and long-context applications is",The core layer of the ubiquitous Transformer architecture and the bottleneck for large language models and long-context applications is Attention.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the core layer of the ubiquitous Transformer architecture and the bottleneck for large language models and long-context applications is Attention."
2,repair,source_framing_issue,Added or normalized required arxiv paper-title framing., large language models and long-context applications., large language models and long-context applications.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" attention is described as the bottleneck for","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" attention is described as the bottleneck for","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" attention is described as the bottleneck for large language models and long-context applications.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" attention is described as the bottleneck for large language models and long-context applications."
3,keep,,No v13 issue found after review and target-source validation., minimizing memory reads/writes., minimizing memory reads/writes.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", \textsc{FlashAttention} sped up attention on GPUs by","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", \textsc{FlashAttention} sped up attention on GPUs by","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", \textsc{FlashAttention} sped up attention on GPUs by minimizing memory reads/writes.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", \textsc{FlashAttention} sped up attention on GPUs by minimizing memory reads/writes."
4,repair,source_framing_issue|leakage|poor_wording,Rewrote cloze to add required title framing and remove answer leakage from the body outside the required title., attention., attention.,\textsc{FlashAttention} speeds up on GPUs by minimizing memory reads and writes for,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the earlier IO-aware GPU method described in the abstract speeds up GPU computation by minimizing memory reads/writes for",\textsc{FlashAttention} speeds up on GPUs by minimizing memory reads and writes for attention.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the earlier IO-aware GPU method described in the abstract speeds up GPU computation by minimizing memory reads/writes for attention."
5,repair,source_framing_issue,Added or normalized required arxiv paper-title framing., 35\%., 35\%.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" \textsc{FlashAttention-2} achieves a utilization on the H100 GPU of","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" \textsc{FlashAttention-2} achieves a utilization on the H100 GPU of","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" \textsc{FlashAttention-2} achieves a utilization on the H100 GPU of 35\%.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" \textsc{FlashAttention-2} achieves a utilization on the H100 GPU of 35\%."
6,keep,,No v13 issue found after review and target-source validation., H100 GPU., H100 GPU.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", \textsc{FlashAttention-2} achieves only 35\% utilization on the","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", \textsc{FlashAttention-2} achieves only 35\% utilization on the","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", \textsc{FlashAttention-2} achieves only 35\% utilization on the H100 GPU.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", \textsc{FlashAttention-2} achieves only 35\% utilization on the H100 GPU."
7,keep,,No v13 issue found after review and target-source validation., asynchrony of the Tensor Cores and TMA, asynchrony of the Tensor Cores and TMA,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the mechanism the authors exploit on Hopper GPUs to overlap overall computation and data movement via warp-specialization is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the mechanism the authors exploit on Hopper GPUs to overlap overall computation and data movement via warp-specialization is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the mechanism the authors exploit on Hopper GPUs to overlap overall computation and data movement via warp-specialization is asynchrony of the Tensor Cores and TMA","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the mechanism the authors exploit on Hopper GPUs to overlap overall computation and data movement via warp-specialization is asynchrony of the Tensor Cores and TMA"
8,keep,,No v13 issue found after review and target-source validation., FP8 low-precision, FP8 low-precision,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the set of techniques developed to speed up attention on Hopper GPUs, the hardware-supported format leveraged by block quantization and incoherent processing is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the set of techniques developed to speed up attention on Hopper GPUs, the hardware-supported format leveraged by block quantization and incoherent processing is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the set of techniques developed to speed up attention on Hopper GPUs, the hardware-supported format leveraged by block quantization and incoherent processing is FP8 low-precision","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the set of techniques developed to speed up attention on Hopper GPUs, the hardware-supported format leveraged by block quantization and incoherent processing is FP8 low-precision"
9,keep,,No v13 issue found after review and target-source validation., H100 GPUs., H100 GPUs.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the authors' method \textsc{FlashAttention-3} achieves a 1.5-2.0$\times$ speedup on","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the authors' method \textsc{FlashAttention-3} achieves a 1.5-2.0$\times$ speedup on","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the authors' method \textsc{FlashAttention-3} achieves a 1.5-2.0$\times$ speedup on H100 GPUs.","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", the authors' method \textsc{FlashAttention-3} achieves a 1.5-2.0$\times$ speedup on H100 GPUs."
10,repair,source_framing_issue,Added or normalized required arxiv paper-title framing., 740 TFLOPs/s, 740 TFLOPs/s,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" the FP16 throughput that \textsc{FlashAttention-3} achieves on H100 GPUs is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" the FP16 throughput that \textsc{FlashAttention-3} achieves on H100 GPUs is","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" the FP16 throughput that \textsc{FlashAttention-3} achieves on H100 GPUs is 740 TFLOPs/s","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" the FP16 throughput that \textsc{FlashAttention-3} achieves on H100 GPUs is 740 TFLOPs/s"
