probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section
"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", a female patient in her 60s developed progressive dysphagia, dysphonia, proximal muscle weakness, and creatine kinase elevation over a",4-month course.,(E),"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", a female patient in her 60s developed progressive dysphagia, dysphonia, proximal muscle weakness, and creatine kinase elevation over a
(A) 12-week treatment period.
(B) 6-week course.
(C) 3-month course.
(D) 1-year period.
(E) 4-month course.",12-week treatment period.,6-week course.,3-month course.,1-year period.,4-month course.,"[""6-week course."", ""3-month course."", ""12-week treatment period."", ""1-year period.""]","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", a female patient in her 60s developed progressive dysphagia, dysphonia, proximal muscle weakness, and creatine kinase elevation over a 4-month course.","She was found to have progressive dysphagia, dysphonia, proximal muscle weakness and creatine kinase elevation over a 4-month course.",Abstract
"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient’s work-up showed necrotising myopathy with inflammatory infiltrate on biopsy, and she improved with immunosuppression; besides corticosteroids, she responded to",intravenous immunoglobulin (IVIG).,(A),"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient’s work-up showed necrotising myopathy with inflammatory infiltrate on biopsy, and she improved with immunosuppression; besides corticosteroids, she responded to
(A) intravenous immunoglobulin (IVIG).
(B) azathioprine therapy.
(C) pyridostigmine therapy.
(D) plasma exchange (PLEX).
(E) cessation of semaglutide alone.",intravenous immunoglobulin (IVIG).,azathioprine therapy.,pyridostigmine therapy.,plasma exchange (PLEX).,cessation of semaglutide alone.,"[""azathioprine therapy."", ""plasma exchange (PLEX)."", ""cessation of semaglutide alone."", ""pyridostigmine therapy.""]","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient’s work-up showed necrotising myopathy with inflammatory infiltrate on biopsy, and she improved with immunosuppression; besides corticosteroids, she responded to intravenous immunoglobulin (IVIG).","Her work-up revealed features consistent with necrotising myopathy with inflammatory infiltrate on biopsy, and she responded to immunosuppression with corticosteroids and intravenous immunoglobulin (IVIG).",Abstract
"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the female patient in her 60s gradually improved after treatment and returned to her baseline functional status while off immunosuppression for several months, during which she continued to avoid",glucagon-like peptide-1 (GLP-1) receptor agonists.,(B),"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the female patient in her 60s gradually improved after treatment and returned to her baseline functional status while off immunosuppression for several months, during which she continued to avoid
(A) metformin-based antihyperglycaemic therapy.
(B) glucagon-like peptide-1 (GLP-1) receptor agonists.
(C) statins and other lipid-lowering agents.
(D) corticosteroids and intravenous immunoglobulin (IVIG).
(E) sodium-glucose cotransporter-2 (SGLT2) inhibitors.",metformin-based antihyperglycaemic therapy.,glucagon-like peptide-1 (GLP-1) receptor agonists.,statins and other lipid-lowering agents.,corticosteroids and intravenous immunoglobulin (IVIG).,sodium-glucose cotransporter-2 (SGLT2) inhibitors.,"[""corticosteroids and intravenous immunoglobulin (IVIG)."", ""statins and other lipid-lowering agents."", ""sodium-glucose cotransporter-2 (SGLT2) inhibitors."", ""metformin-based antihyperglycaemic therapy.""]","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the female patient in her 60s gradually improved after treatment and returned to her baseline functional status while off immunosuppression for several months, during which she continued to avoid glucagon-like peptide-1 (GLP-1) receptor agonists.",She gradually improved and successfully returned to her baseline functional status while off immunosuppression for several months and with continued avoidance of glucagon-like peptide-1 (GLP-1) receptor agonists.,Abstract
"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", a female patient in her 60s presented with progressive proximal muscle weakness and had",dysphagia and dysphonia.,(C),"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", a female patient in her 60s presented with progressive proximal muscle weakness and had
(A) leg swelling and pleuritic chest pain.
(B) myalgia and fatigue.
(C) dysphagia and dysphonia.
(D) diplopia and ptosis.
(E) weight gain and cold intolerance.",leg swelling and pleuritic chest pain.,myalgia and fatigue.,dysphagia and dysphonia.,diplopia and ptosis.,weight gain and cold intolerance.,"[""myalgia and fatigue."", ""diplopia and ptosis."", ""weight gain and cold intolerance."", ""leg swelling and pleuritic chest pain.""]","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", a female patient in her 60s presented with progressive proximal muscle weakness and had dysphagia and dysphonia.","A female patient in her 60s with a medical history of obesity, hepatosteatosis, hypertension, hypothyroidism, and remote history of deep venous thrombosis/pulmonary embolism presented with progressive proximal muscle weakness, dysphagia and dysphonia.",Case presentation
"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the female patient in her 60s had been undergoing outpatient evaluation 3 years before her clinical deterioration because of",transaminase elevation.,(E),"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the female patient in her 60s had been undergoing outpatient evaluation 3 years before her clinical deterioration because of
(A) hypothyroidism.
(B) recurrent venous thromboembolism.
(C) creatine kinase elevation.
(D) hepatosteatosis.
(E) transaminase elevation.",hypothyroidism.,recurrent venous thromboembolism.,creatine kinase elevation.,hepatosteatosis.,transaminase elevation.,"[""hepatosteatosis."", ""creatine kinase elevation."", ""hypothyroidism."", ""recurrent venous thromboembolism.""]","In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the female patient in her 60s had been undergoing outpatient evaluation 3 years before her clinical deterioration because of transaminase elevation.","3 years prior to her clinical deterioration, she had been undergoing outpatient evaluation for transaminase elevation.",Case presentation
"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the related patient with rhabdomyolysis-like findings while on active treatment developed",creatine kinase (CK) elevation in the thousands.,(C),"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the related patient with rhabdomyolysis-like findings while on active treatment developed
(A) myoglobinuria with acute kidney injury requiring dialysis.
(B) aggressive proximal muscle weakness with necrotising myofibres.
(C) creatine kinase (CK) elevation in the thousands.
(D) creatine kinase (CK) elevation only into the low hundreds.
(E) transaminase elevation suggestive of hepatotoxicity.",myoglobinuria with acute kidney injury requiring dialysis.,aggressive proximal muscle weakness with necrotising myofibres.,creatine kinase (CK) elevation in the thousands.,creatine kinase (CK) elevation only into the low hundreds.,transaminase elevation suggestive of hepatotoxicity.,"[""creatine kinase (CK) elevation only into the low hundreds."", ""aggressive proximal muscle weakness with necrotising myofibres."", ""myoglobinuria with acute kidney injury requiring dialysis."", ""transaminase elevation suggestive of hepatotoxicity.""]","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the related patient with rhabdomyolysis-like findings while on active treatment developed creatine kinase (CK) elevation in the thousands.","In this case, affected patient developed creatine kinase (CK) elevation in the thousands while being on active treatment, and the CK elevation started improving within days after drug discontinuation, which is consistent with drug-induced rhabdomyolysis.",Background
"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient developed persistent nausea, vomiting, poor oral intake, dyspnoea, and acute renal failure within 2 days of her first semaglutide dose and was hospitalised for",severe metabolic acidosis.,(D),"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient developed persistent nausea, vomiting, poor oral intake, dyspnoea, and acute renal failure within 2 days of her first semaglutide dose and was hospitalised for
(A) euglycaemic diabetic ketoacidosis
(B) septic shock
(C) fulminant hepatic failure
(D) severe metabolic acidosis.
(E) acute pancreatitis",euglycaemic diabetic ketoacidosis,septic shock,fulminant hepatic failure,severe metabolic acidosis.,acute pancreatitis,"[""euglycaemic diabetic ketoacidosis"", ""acute pancreatitis"", ""fulminant hepatic failure"", ""septic shock""]","In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient developed persistent nausea, vomiting, poor oral intake, dyspnoea, and acute renal failure within 2 days of her first semaglutide dose and was hospitalised for severe metabolic acidosis.","Symptoms persisted, and she was hospitalised 2 days later for nausea, vomiting, poor oral intake, dyspnoea, acute renal failure and severe metabolic acidosis.",Case presentation
"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", anti-hydroxy-3-methylglutaryl-CoA reductase (HMGCR) and anti-signal recognition particle (SRP) are described as two autoantibodies highly associated with",IMNM.,(A),"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", anti-hydroxy-3-methylglutaryl-CoA reductase (HMGCR) and anti-signal recognition particle (SRP) are described as two autoantibodies highly associated with
(A) IMNM.
(B) polymyositis
(C) dermatomyositis
(D) myasthenia gravis
(E) drug-induced rhabdomyolysis",IMNM.,polymyositis,dermatomyositis,myasthenia gravis,drug-induced rhabdomyolysis,"[""polymyositis"", ""dermatomyositis"", ""drug-induced rhabdomyolysis"", ""myasthenia gravis""]","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", anti-hydroxy-3-methylglutaryl-CoA reductase (HMGCR) and anti-signal recognition particle (SRP) are described as two autoantibodies highly associated with IMNM.",Anti-hydroxy-3-methylglutaryl-CoA reductase (HMGCR) and anti-signal recognition particle (SRP) are two autoantibodies highly associated with IMNM.,Background
"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient was hospitalised 2 days after her first semaglutide dose with acute renal failure, and her renal function later improved with hydration alone, without needing renal replacement therapy, namely",haemofiltration or haemodialysis.,(B),"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient was hospitalised 2 days after her first semaglutide dose with acute renal failure, and her renal function later improved with hydration alone, without needing renal replacement therapy, namely
(A) corticosteroids or intravenous immunoglobulin.
(B) haemofiltration or haemodialysis.
(C) non-invasive ventilation or intubation.
(D) peritoneal dialysis or plasma exchange.
(E) liver biopsy or transient elastography.",corticosteroids or intravenous immunoglobulin.,haemofiltration or haemodialysis.,non-invasive ventilation or intubation.,peritoneal dialysis or plasma exchange.,liver biopsy or transient elastography.,"[""peritoneal dialysis or plasma exchange."", ""non-invasive ventilation or intubation."", ""corticosteroids or intravenous immunoglobulin."", ""liver biopsy or transient elastography.""]","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient was hospitalised 2 days after her first semaglutide dose with acute renal failure, and her renal function later improved with hydration alone, without needing renal replacement therapy, namely haemofiltration or haemodialysis.","Subsequently, the patient’s renal function improved with hydration, without the need for haemofiltration or haemodialysis.",Case presentation
"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", after receiving her initial and only dose of semaglutide, the patient continued to decline for",4 months.,(E),"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", after receiving her initial and only dose of semaglutide, the patient continued to decline for
(A) several days.
(B) 6 weeks.
(C) 5 days.
(D) 1 year.
(E) 4 months.",several days.,6 weeks.,5 days.,1 year.,4 months.,"[""5 days."", ""several days."", ""6 weeks."", ""1 year.""]","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", after receiving her initial and only dose of semaglutide, the patient continued to decline for 4 months.","4 months after she received her initial and only dose of semaglutide, she continued to decline.",Case presentation
