section,subsection,section_text,subsection_text,raw_knowledge_statement,paragraph,is_knowledge
Abstract,No Subsection,"Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
",A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite.,"Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
",True
Abstract,No Subsection,"Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence.","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
",True
Abstract,No Subsection,"Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia.","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
",True
Abstract,No Subsection,"Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed.","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
",True
Abstract,No Subsection,"Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered.","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
",True
Abstract,No Subsection,"Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
","This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.","Summary: A previously healthy woman in her late 40s presented with rapidly progressive sepsis 4 days after a dog bite. She developed disseminated intravascular coagulation, pancytopenia and acute kidney injury, ultimately progressing to complete anuria and dialysis dependence. Blood cultures confirmed Capnocytophaga canimorsus bacteraemia. Despite an initial clinical improvement with antibiotics and supportive care, she developed sudden isolated haemolysis and persistent thrombocytopaenia. Laboratory and renal biopsy findings confirmed the presence of a thrombotic microangiopathy (TMA), and complement-mediated haemolytic uraemic syndrome (CM-HUS) was diagnosed. Following plasma exchange and initiation of eculizumab therapy, haematological remission was achieved, and her kidney function partially recovered. This case highlights C. canimorsus infection as a rare trigger of CM-HUS in immunocompetent adults and outlines the patient’s diagnostic workup, the challenges of differential diagnosis and the complexity of both the clinical course and therapeutic approach in case of TMA following sepsis.
",True
Background,No Subsection,"Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
","Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
","Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats.","Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
",True
Background,No Subsection,"Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
","Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
","Human infections are rare, and transmission can occur via bites, scratches or even close contact.","Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
",True
Background,No Subsection,"Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
","Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
","Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA).","Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
",True
Background,No Subsection,"Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
","Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
",C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans.,"Capnocytophaga canimorsus is a slow-growing, encapsulated, gram-negative rod found in the normal oropharyngeal flora in dogs and cats. Human infections are rare, and transmission can occur via bites, scratches or even close contact. Clinical presentations are highly variable, ranging from isolated meningitis to fulminant sepsis, disseminated intravascular coagulation (DIC), multiorgan failure and thrombotic microangiopathy (TMA). Despite broad antibiotic susceptibility, mortality can approach 30%.

C. canimorsus is the Capnocytophaga species most frequently linked in invasive zoonotic disease in humans. Diagnosis can be delayed due to its fastidious nature and slow growth in cultures, prompting increasing use of molecular methods, such as real-time nanopore sequencing.

In our case, C. canimorsus infection presented with septic shock, severe leukopaenia and coagulopathy consistent with DIC. Although the initial clinical course was dominated by sepsis-related multiorgan involvement, the later development of microangiopathic haemolytic anaemia (MAHA), thrombocytopenia and worsening acute kidney injury (AKI) suggested a superimposed TMA, highlighting how complement-mediated haemolytic uraemic syndrome (CM-HUS) may be obscured during the early sepsis and DIC phase.
",True
