step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,0.0,3,D,2
0,1,1.0,1,B,1
0,2,0.0,1,B,2
0,3,0.0,1,B,2
0,4,0.0,1,B,4
0,5,0.0,2,C,4
4,0,0.0,3,D,2
4,1,1.0,1,B,1
4,2,0.0,1,B,2
4,3,0.0,1,B,2
4,4,0.0,1,B,4
4,5,0.0,2,C,4
8,0,0.0,3,D,2
8,1,1.0,1,B,1
8,2,0.0,1,B,2
8,3,0.0,1,B,2
8,4,0.0,1,B,4
8,5,0.0,2,C,4
12,0,0.0,3,D,2
12,1,1.0,1,B,1
12,2,0.0,1,B,2
12,3,0.0,1,B,2
12,4,0.0,1,B,4
12,5,0.0,2,C,4
16,0,0.0,3,D,2
16,1,1.0,1,B,1
16,2,0.0,1,B,2
16,3,0.0,1,B,2
16,4,0.0,3,D,4
16,5,0.0,2,C,4
20,0,0.0,3,D,2
20,1,1.0,1,B,1
20,2,0.0,1,B,2
20,3,0.0,1,B,2
20,4,0.0,3,D,4
20,5,0.0,2,C,4
24,0,0.0,3,D,2
24,1,1.0,1,B,1
24,2,0.0,1,B,2
24,3,0.0,1,B,2
24,4,0.0,3,D,4
24,5,0.0,2,C,4
28,0,0.0,3,D,2
28,1,1.0,1,B,1
28,2,0.0,1,B,2
28,3,0.0,1,B,2
28,4,0.0,3,D,4
28,5,0.0,2,C,4
32,0,0.0,3,D,2
32,1,1.0,1,B,1
32,2,0.0,1,B,2
32,3,0.0,1,B,2
32,4,0.0,3,D,4
32,5,1.0,4,E,4
36,0,0.0,3,D,2
36,1,1.0,1,B,1
36,2,0.0,1,B,2
36,3,0.0,1,B,2
36,4,0.0,3,D,4
36,5,1.0,4,E,4
40,0,0.0,3,D,2
40,1,1.0,1,B,1
40,2,0.0,1,B,2
40,3,0.0,1,B,2
40,4,0.0,3,D,4
40,5,1.0,4,E,4
44,0,0.0,3,D,2
44,1,1.0,1,B,1
44,2,0.0,1,B,2
44,3,0.0,1,B,2
44,4,0.0,3,D,4
44,5,1.0,4,E,4
48,0,0.0,3,D,2
48,1,1.0,1,B,1
48,2,0.0,1,B,2
48,3,0.0,1,B,2
48,4,0.0,3,D,4
48,5,1.0,4,E,4
52,0,0.0,3,D,2
52,1,1.0,1,B,1
52,2,0.0,1,B,2
52,3,0.0,1,B,2
52,4,0.0,3,D,4
52,5,1.0,4,E,4
56,0,0.0,3,D,2
56,1,1.0,1,B,1
56,2,0.0,1,B,2
56,3,0.0,1,B,2
56,4,0.0,3,D,4
56,5,1.0,4,E,4
60,0,0.0,3,D,2
60,1,1.0,1,B,1
60,2,0.0,1,B,2
60,3,0.0,1,B,2
60,4,0.0,3,D,4
60,5,1.0,4,E,4
64,0,0.0,3,D,2
64,1,1.0,1,B,1
64,2,0.0,1,B,2
64,3,0.0,1,B,2
64,4,0.0,3,D,4
64,5,1.0,4,E,4
68,0,0.0,3,D,2
68,1,1.0,1,B,1
68,2,0.0,1,B,2
68,3,0.0,1,B,2
68,4,0.0,3,D,4
68,5,1.0,4,E,4
72,0,0.0,3,D,2
72,1,1.0,1,B,1
72,2,0.0,1,B,2
72,3,0.0,1,B,2
72,4,0.0,3,D,4
72,5,1.0,4,E,4
76,0,0.0,3,D,2
76,1,1.0,1,B,1
76,2,0.0,1,B,2
76,3,0.0,1,B,2
76,4,0.0,3,D,4
76,5,1.0,4,E,4
80,0,0.0,3,D,2
80,1,1.0,1,B,1
80,2,0.0,1,B,2
80,3,0.0,1,B,2
80,4,0.0,3,D,4
80,5,1.0,4,E,4
84,0,0.0,3,D,2
84,1,1.0,1,B,1
84,2,0.0,1,B,2
84,3,0.0,1,B,2
84,4,0.0,3,D,4
84,5,1.0,4,E,4
88,0,0.0,3,D,2
88,1,1.0,1,B,1
88,2,0.0,1,B,2
88,3,0.0,1,B,2
88,4,0.0,3,D,4
88,5,1.0,4,E,4
92,0,0.0,3,D,2
92,1,1.0,1,B,1
92,2,0.0,1,B,2
92,3,0.0,1,B,2
92,4,0.0,3,D,4
92,5,1.0,4,E,4
96,0,0.0,3,D,2
96,1,1.0,1,B,1
96,2,0.0,1,B,2
96,3,0.0,1,B,2
96,4,0.0,3,D,4
96,5,1.0,4,E,4
100,0,0.0,3,D,2
100,1,1.0,1,B,1
100,2,0.0,1,B,2
100,3,0.0,1,B,2
100,4,0.0,3,D,4
100,5,1.0,4,E,4
104,0,0.0,3,D,2
104,1,1.0,1,B,1
104,2,0.0,1,B,2
104,3,0.0,1,B,2
104,4,0.0,3,D,4
104,5,1.0,4,E,4
108,0,0.0,3,D,2
108,1,1.0,1,B,1
108,2,0.0,1,B,2
108,3,0.0,1,B,2
108,4,0.0,3,D,4
108,5,1.0,4,E,4
112,0,0.0,3,D,2
112,1,1.0,1,B,1
112,2,0.0,1,B,2
112,3,0.0,1,B,2
112,4,0.0,3,D,4
112,5,1.0,4,E,4
116,0,0.0,3,D,2
116,1,1.0,1,B,1
116,2,0.0,1,B,2
116,3,0.0,1,B,2
116,4,0.0,3,D,4
116,5,1.0,4,E,4
120,0,0.0,3,D,2
120,1,1.0,1,B,1
120,2,0.0,1,B,2
120,3,0.0,1,B,2
120,4,0.0,1,B,4
120,5,1.0,4,E,4
