row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,False,recall_not_composition,The source directly says OFT is easier to use because its training dynamics are smooth and predictable.,,,
1,True,keep,Correctly links OFT preserving hyperspherical energy to preserving pretrained semantic generation ability.,,,
2,True,keep,Correctly applies the paper's r=r'=alpha d assumption to identify OFT as the method with O(d) parameter complexity.,,,
3,True,keep,"Correctly contrasts preserving hyperspherical energy with minimizing it, which the paper says can destroy pretrained semantic structure.",,,
4,True,keep,Correctly infers from the ablation failure that the orthogonality constraint is the missing stabilizing ingredient.,,,
5,False,duplicate,Duplicates row 17 on re-scaled OFT adding magnitude scaling because magnitudes normalize out of hyperspherical energy.,,,17.0
6,False,bad_target,"The target is vague and generic, and the row mostly restates the metric definition rather than requiring composition.",,,
7,False,recall_not_composition,The source directly states LoRA needs 20 epochs to reach OFT-framework performance at epoch 8.,,,
8,True,keep,Correctly combines high-iteration stability results with the practical scenario of not tuning iteration count carefully.,,,
9,False,duplicate,Weaker duplicate of row 4; both test the role of the orthogonality constraint in stabilizing controllable generation.,,,4.0
10,True,keep,Correctly applies the epsilon-flexibility relationship to choose smaller epsilon for behavior closer to the pretrained model.,,,
11,True,keep,Correctly composes orthogonal preservation of pairwise similarity with the paper's claim that this protects semantic generation ability.,,,
12,True,keep,Correctly infers sample efficiency from convergence with far fewer images and epochs.,,,
13,True,keep,"Correct mathematical consequence of epsilon=0: R must equal identity, so COFT reduces to the pretrained model.",,,
14,True,keep,Correctly links zero hyperspherical-energy difference to weight matrices differing only by an orthogonal rotation or reflection.,,,
15,False,bad_target,The target is a generator-coined compression of two ideas rather than a crisp term from the paper.,,,
16,True,keep,Correctly applies the convolution interpretation of one block per input channel to depth-wise convolution behavior.,,,
17,True,keep,Correctly explains why per-neuron magnitude scaling leaves hyperspherical energy unchanged: magnitudes are normalized out.,,,
18,True,keep,Correctly identifies COFT's explicit deviation constraint as the extra ingredient improving stability over OFT.,,,
19,False,bad_target,The target is generic and the same source facts are covered more precisely by rows 22 and 23.,,,
20,False,too_minor,This is a trivial property of an L2 distance metric and does not test paper-specific composition.,,,
21,False,duplicate,Duplicates row 10 on smaller epsilon making COFT less flexible and closer to the pretrained model.,,,10.0
22,True,keep,Correctly applies O(d^2/r) block-diagonal complexity while preserving orthogonality and hyperspherical energy.,,,
23,True,keep,Correctly combines block sharing with preserved orthogonality to infer unchanged hyperspherical-energy preservation.,,,
24,True,keep,Correct mathematical inference from O(d^2/r^2): doubling r reduces parameter complexity by a factor of four.,,,
25,False,recall_not_composition,"The source directly says smoother, more predictable convergence makes OFT hyperparameters easier to find.",,,
26,False,duplicate,Duplicates row 27 on products of OFT task matrices remaining orthogonal and preserving hyperspherical relations/energy.,,,27.0
27,True,keep,Correctly composes closure of orthogonal matrices under multiplication with preservation of pairwise similarities and hyperspherical energy.,,,
28,True,keep,Correctly synthesizes the subject-driven comparisons: OFT achieves subject preservation and prompt controllability simultaneously.,,,
29,True,keep,Correctly links the toy autoencoder result about semantic storage in directions to OFT's neuron-direction updates.,,,
30,True,keep,Correct arithmetic composition of the parameter-count example: 2048 minus 960 equals 1088 fewer OFT parameters.,,,
31,True,keep,Correctly identifies the deployment step that absorbs OFT into the pretrained weights and preserves inference speed.,,,
32,False,duplicate,Duplicates row 3 on minimizing rather than preserving hyperspherical energy risking destruction of pretrained information.,,,3.0
33,True,keep,Correctly links the epsilon bound near identity to explicit restriction of angular deviation from the pretrained model.,,,
34,True,keep,Correctly infers that high-iteration stability reduces the need to tune the iteration number. Cloze shape repaired so the probe is declarative and completes by appending the target.,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', in subject-driven generation, OFT and COFT reduce the tuning burden for", the iteration number,
35,True,keep,Correctly applies the OFT rewrite to identify low-rank R-I as the condition for a LoRA-like low-rank update.,,,
