original_row_index,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
1, not a limitation,"According to the paper 'xLSTM: Extended Long Short-Term Memory', although fixed-size matrix memory could overload as context grows, for tested contexts up to 16k this is","According to the paper 'xLSTM: Extended Long Short-Term Memory', although fixed-size matrix memory could overload as context grows, for tested contexts up to 16k this is not a limitation",Multi-Fact Integration,"['Since the matrix memory is independent of the sequence length, increasing the sequence length might overload the memory for longer context sizes.', 'Still, this does not appear to be a limitation for contexts up to 16k, see Section~\\ref{sec:spaj300B_ctx_extrapolation}.', 'In contrast to other methods, xLSTM models maintain low perplexities for longer contexts.']","The fixed-size memory could in principle overload, but the reported low-perplexity behavior up to 16k shows that this has not become a practical limit in the tested range.","Although fixed-size matrix memory could overload as context grows, what does the paper conclude for tested contexts up to 16k?",not a limitation,"['Since the matrix memory is independent of the sequence length, increasing the sequence length might overload the memory for longer context sizes.', 'Still, this does not appear to be a limitation for contexts up to 16k, see Section~\\ref{sec:spaj300B_ctx_extrapolation}.', 'In contrast to other methods, xLSTM models maintain low perplexities for longer contexts.']","['Since the matrix memory is independent of the sequence length, increasing the sequence length might overload the memory for longer context sizes.', 'Still, this does not appear to be a limitation for contexts up to 16k, see Section~\\ref{sec:spaj300B_ctx_extrapolation}.', 'In contrast to other methods, xLSTM models maintain low perplexities for longer contexts.']"
2, mLSTM,"According to the paper 'xLSTM: Extended Long Short-Term Memory', the xLSTM cell that matches both of these goals, larger storage capacity and full parallelization, is","According to the paper 'xLSTM: Extended Long Short-Term Memory', the xLSTM cell that matches both of these goals, larger storage capacity and full parallelization, is mLSTM",Multi-Fact Integration,"['To enhance storage capacities of LSTMs, we increase the LSTM memory cell from a scalar $c \\in \\mathbb{R}$ to a matrix $\\mathbf{C} \\in \\mathbb{R}^{d \\times d}$.', 'Those modifications --- exponential gating and novel memory structures --- enrich the LSTM family by two members: (i) the new sLSTM (see Section~\\ref{sec:sLSTM}) with a scalar memory, a scalar update, and memory mixing, and (ii) the new mLSTM (see Section~\\ref{sec:mLSTM}) with a matrix memory and a covariance (outer product) update rule, which is fully parallelizable.']","The variant that explicitly increases storage capacity via a matrix memory is mLSTM, and the same sentence also states that this variant is fully parallelizable.",Which xLSTM cell matches both of these goals: larger storage capacity and full parallelization?,mLSTM,"['To enhance storage capacities of LSTMs, we increase the LSTM memory cell from a scalar $c \\in \\mathbb{R}$ to a matrix $\\mathbf{C} \\in \\mathbb{R}^{d \\times d}$.', 'Those modifications --- exponential gating and novel memory structures --- enrich the LSTM family by two members: (i) the new sLSTM (see Section~\\ref{sec:sLSTM}) with a scalar memory, a scalar update, and memory mixing, and (ii) the new mLSTM (see Section~\\ref{sec:mLSTM}) with a matrix memory and a covariance (outer product) update rule, which is fully parallelizable.']","['To enhance storage capacities of LSTMs, we increase the LSTM memory cell from a scalar $c \\in \\mathbb{R}$ to a matrix $\\mathbf{C} \\in \\mathbb{R}^{d \\times d}$.', 'Those modifications --- exponential gating and novel memory structures --- enrich the LSTM family by two members: (i) the new sLSTM (see Section~\\ref{sec:sLSTM}) with a scalar memory, a scalar update, and memory mixing, and (ii) the new mLSTM (see Section~\\ref{sec:mLSTM}) with a matrix memory and a covariance (outer product) update rule, which is fully parallelizable.']"
3, exponential gating and matrix memory,"According to the paper 'xLSTM: Extended Long Short-Term Memory', if a model must both revise earlier storage decisions and improve rare-token handling, the two xLSTM modifications needed together are","According to the paper 'xLSTM: Extended Long Short-Term Memory', if a model must both revise earlier storage decisions and improve rare-token handling, the two xLSTM modifications needed together are exponential gating and matrix memory",Multi-Fact Integration,"['LSTM struggles to revise a stored value when a more similar vector is found, while our new xLSTM remediates this limitation by exponential gating.', 'LSTM performs worse on rare tokens because of its limited storage capacities. Our new xLSTM solves this problem by a matrix memory.']","The first fact ties revising storage decisions to exponential gating, while the second ties improved rare-token handling to matrix memory, so both are needed together.","If a model must both revise earlier storage decisions and improve rare-token handling, which two xLSTM modifications are needed together?",exponential gating and matrix memory,"['LSTM struggles to revise a stored value when a more similar vector is found, while our new xLSTM remediates this limitation by exponential gating.', 'LSTM performs worse on rare tokens because of its limited storage capacities. Our new xLSTM solves this problem by a matrix memory.']","['LSTM struggles to revise a stored value when a more similar vector is found, while our new xLSTM remediates this limitation by exponential gating.', 'LSTM performs worse on rare tokens because of its limited storage capacities. Our new xLSTM solves this problem by a matrix memory.']"
4, tracking entities,"According to the paper 'xLSTM: Extended Long Short-Term Memory', models without memory mixing should struggle with a long-narrative task involving","According to the paper 'xLSTM: Extended Long Short-Term Memory', models without memory mixing should struggle with a long-narrative task involving tracking entities",Synthesized Insight,"['Memory mixing enables to solve state tracking problems, and therefore LSTMs are more expressive than State Space Models (SSMs) and Transformers~\\citep{Merrill:24,Deletang:23}.', 'State tracking is required to evaluate code or to track entities in a long narrative.', 'Models such as Transformers or State Space Models without memory mixing (no state tracking) cannot solve, e.g.\\ regular grammars like the parity task.']","If memory mixing enables state tracking, and state tracking is required for tracking entities in long narratives, then models without memory mixing should struggle there.","Based on the paper's reasoning, what ability should models without memory mixing struggle with in long narratives?",tracking entities,"['Memory mixing enables to solve state tracking problems, and therefore LSTMs are more expressive than State Space Models (SSMs) and Transformers~\\citep{Merrill:24,Deletang:23}.', 'State tracking is required to evaluate code or to track entities in a long narrative.', 'Models such as Transformers or State Space Models without memory mixing (no state tracking) cannot solve, e.g.\\ regular grammars like the parity task.']","['Memory mixing enables to solve state tracking problems, and therefore LSTMs are more expressive than State Space Models (SSMs) and Transformers~\\citep{Merrill:24,Deletang:23}.', 'State tracking is required to evaluate code or to track entities in a long narrative.', 'Models such as Transformers or State Space Models without memory mixing (no state tracking) cannot solve, e.g.\\ regular grammars like the parity task.']"
5, overload the memory,"According to the paper 'xLSTM: Extended Long Short-Term Memory', if context length keeps growing while mLSTM's matrix memory size stays fixed, the authors say that this limitation may emerge:","According to the paper 'xLSTM: Extended Long Short-Term Memory', if context length keeps growing while mLSTM's matrix memory size stays fixed, the authors say that this limitation may emerge: overload the memory",Reasoning Step,"['Since the matrix memory is independent of the sequence length, increasing the sequence length might overload the memory for longer context sizes.', 'Contrary to Transformers, xLSTM networks have a linear computation and a constant memory complexity with respect to the sequence length.']","The paper says memory stays constant with sequence length, so if context keeps growing while matrix memory size stays fixed, the risk is overloading that fixed memory.","If context length keeps growing while mLSTM's matrix memory size stays fixed, what limitation do the authors say may emerge?",overload the memory,"['Since the matrix memory is independent of the sequence length, increasing the sequence length might overload the memory for longer context sizes.', 'Contrary to Transformers, xLSTM networks have a linear computation and a constant memory complexity with respect to the sequence length.']","['Since the matrix memory is independent of the sequence length, increasing the sequence length might overload the memory for longer context sizes.', 'Contrary to Transformers, xLSTM networks have a linear computation and a constant memory complexity with respect to the sequence length.']"
6, small denominators,"According to the paper 'xLSTM: Extended Long Short-Term Memory', mLSTM divides by $\max\{ |\mathbf{n}_t^\top \mathbf{q}_t|, 1 \}$ instead of only $\mathbf{n}_t^\top \mathbf{q}_t$ to avoid","According to the paper 'xLSTM: Extended Long Short-Term Memory', mLSTM divides by $\max\{ |\mathbf{n}_t^\top \mathbf{q}_t|, 1 \}$ instead of only $\mathbf{n}_t^\top \mathbf{q}_t$ to avoid small denominators",Reasoning Step,"['Since the dot product between query and normalizer state can be close to zero, we use the absolute value of this dot product and lower bound it by a threshold (typically 1.0) as done previously~\\citep{Sun:23arxiv}.', '\\tilde{\\mathbf{h}}_t \\ = \\   \\mathbf{C}_t \\mathbf{q}_t \\ / \\ \\max \\left\\{ |\\mathbf{n}_t^\\top \\mathbf{q}_t|, 1 \\right\\}']","Because the dot product may be close to zero and the denominator is lower-bounded by 1, the normalization avoids very small denominators.","Why does mLSTM divide by $\max\{ |\mathbf{n}_t^\top \mathbf{q}_t|, 1 \}$ instead of only $\mathbf{n}_t^\top \mathbf{q}_t$?",small denominators,"['Since the dot product between query and normalizer state can be close to zero, we use the absolute value of this dot product and lower bound it by a threshold (typically 1.0) as done previously~\\citep{Sun:23arxiv}.', '\\tilde{\\mathbf{h}}_t \\ = \\   \\mathbf{C}_t \\mathbf{q}_t \\ / \\ \\max \\left\\{ |\\mathbf{n}_t^\\top \\mathbf{q}_t|, 1 \\right\\}']","['Since the dot product between query and normalizer state can be close to zero, we use the absolute value of this dot product and lower bound it by a threshold (typically 1.0) as done previously~\\citep{Sun:23arxiv}.', '\\tilde{\\mathbf{h}}_t \\ = \\   \\mathbf{C}_t \\mathbf{q}_t \\ / \\ \\max \\left\\{ |\\mathbf{n}_t^\\top \\mathbf{q}_t|, 1 \\right\\}']"
7, pre up-projection,"According to the paper 'xLSTM: Extended Long Short-Term Memory', in the experimental setup, the up-projection style that makes up most blocks in xLSTM[7:1] is","According to the paper 'xLSTM: Extended Long Short-Term Memory', in the experimental setup, the up-projection style that makes up most blocks in xLSTM[7:1] is pre up-projection",Reasoning Step,"['For all experiments, we use the notation xLSTM[$a$:$b$] for the ratio $a/b$ of mLSTM-based versus sLSTM-based xLSTM blocks.', 'Further, for all experiments, we use pre and post up-projection blocks for mLSTM and sLSTM, respectively.']","Because xLSTM[7:1] contains many more mLSTM blocks than sLSTM blocks, and mLSTM uses pre up-projection, pre up-projection must dominate that architecture.","In the experimental setup, which up-projection style makes up most blocks in xLSTM[7:1]?",pre up-projection,"['For all experiments, we use the notation xLSTM[$a$:$b$] for the ratio $a/b$ of mLSTM-based versus sLSTM-based xLSTM blocks.', 'Further, for all experiments, we use pre and post up-projection blocks for mLSTM and sLSTM, respectively.']","['For all experiments, we use the notation xLSTM[$a$:$b$] for the ratio $a/b$ of mLSTM-based versus sLSTM-based xLSTM blocks.', 'Further, for all experiments, we use pre and post up-projection blocks for mLSTM and sLSTM, respectively.']"
8, constant memory,"According to the paper 'xLSTM: Extended Long Short-Term Memory', the property that lets xLSTM use much higher batch sizes than Llama during decoding is","According to the paper 'xLSTM: Extended Long Short-Term Memory', the property that lets xLSTM use much higher batch sizes than Llama during decoding is constant memory",Multi-Fact Integration,"['Figure~\\ref{fig:inference_time_decoding_throughput} (right) shows that xLSTM can use much higher batch sizes than Llama due to its constant memory and thus achieves the highest throughput.', 'Contrary to Transformers, xLSTM networks have a linear computation and a constant memory complexity with respect to the sequence length.']",Both statements attribute xLSTM's batch-size advantage and throughput to its constant memory behavior.,What property lets xLSTM use much higher batch sizes than Llama during decoding?,constant memory,"['Figure~\\ref{fig:inference_time_decoding_throughput} (right) shows that xLSTM can use much higher batch sizes than Llama due to its constant memory and thus achieves the highest throughput.', 'Contrary to Transformers, xLSTM networks have a linear computation and a constant memory complexity with respect to the sequence length.']","['Figure~\\ref{fig:inference_time_decoding_throughput} (right) shows that xLSTM can use much higher batch sizes than Llama due to its constant memory and thus achieves the highest throughput.', 'Contrary to Transformers, xLSTM networks have a linear computation and a constant memory complexity with respect to the sequence length.']"
9, overflows,"In the paper 'xLSTM: Extended Long Short-Term Memory', the stabilizer state addresses the problem of","In the paper 'xLSTM: Extended Long Short-Term Memory', the stabilizer state addresses the problem of overflows",Reasoning Step,"['Exponential activation functions can lead to large values that cause overflows. Therefore, we stabilize gates with an additional state \\mbox{$m_t$~\\citep{Milakov:18arxiv}}:', ""We show in Appendix~\\ref{sec:appsLSTM}, that replacing $f_t$ by $f'_t$ and $i_t$ by $i'_t$ in the forward pass does neither change the output of the whole network nor the derivatives of the loss with respect to the parameters.""]","If the stabilized gates leave outputs and loss derivatives unchanged but are introduced because exponential activations can overflow, their role is to prevent overflows.",What problem does the stabilizer state address while leaving the network's outputs and loss derivatives unchanged?,overflows,"['Exponential activation functions can lead to large values that cause overflows. Therefore, we stabilize gates with an additional state \\mbox{$m_t$~\\citep{Milakov:18arxiv}}:', ""We show in Appendix~\\ref{sec:appsLSTM}, that replacing $f_t$ by $f'_t$ and $i_t$ by $i'_t$ in the forward pass does neither change the output of the whole network nor the derivatives of the loss with respect to the parameters.""]","['Exponential activation functions can lead to large values that cause overflows. Therefore, we stabilize gates with an additional state \\mbox{$m_t$~\\citep{Milakov:18arxiv}}:', ""We show in Appendix~\\ref{sec:appsLSTM}, that replacing $f_t$ by $f'_t$ and $i_t$ by $i'_t$ in the forward pass does neither change the output of the whole network nor the derivatives of the loss with respect to the parameters.""]"
10, state tracking,"According to the paper 'xLSTM: Extended Long Short-Term Memory', on formal-language tasks like parity, an xLSTM built only from mLSTM blocks would lose","According to the paper 'xLSTM: Extended Long Short-Term Memory', on formal-language tasks like parity, an xLSTM built only from mLSTM blocks would lose state tracking",Multi-Fact Integration,"['However, in contrast to the new sLSTM, these approaches do not allow memory mixing. Memory mixing enables to solve state tracking problems, and therefore LSTMs are more expressive than State Space Models (SSMs) and Transformers~\\citep{Merrill:24,Deletang:23}.', 'Models such as Transformers or State Space Models without memory mixing (no state tracking) cannot solve, e.g.\\ regular grammars like the parity task.', 'Since the mLSTM has no memory mixing, this recurrence can be reformulated in a parallel version.']","Because mLSTM has no memory mixing, and the paper states memory mixing enables state tracking while models without it cannot solve parity, an mLSTM-only stack loses state tracking ability.",What ability would an xLSTM built only from mLSTM blocks lose on formal-language tasks like parity?,state tracking,"['However, in contrast to the new sLSTM, these approaches do not allow memory mixing. Memory mixing enables to solve state tracking problems, and therefore LSTMs are more expressive than State Space Models (SSMs) and Transformers~\\citep{Merrill:24,Deletang:23}.', 'Models such as Transformers or State Space Models without memory mixing (no state tracking) cannot solve, e.g.\\ regular grammars like the parity task.', 'Since the mLSTM has no memory mixing, this recurrence can be reformulated in a parallel version.']","['However, in contrast to the new sLSTM, these approaches do not allow memory mixing. Memory mixing enables to solve state tracking problems, and therefore LSTMs are more expressive than State Space Models (SSMs) and Transformers~\\citep{Merrill:24,Deletang:23}.', 'Models such as Transformers or State Space Models without memory mixing (no state tracking) cannot solve, e.g.\\ regular grammars like the parity task.', 'Since the mLSTM has no memory mixing, this recurrence can be reformulated in a parallel version.']"
