row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,true,keep,"Correctly combines location, DNA, and witness identification evidence to infer possession. Target spacing normalized.","According to the opinion 'United States v. Justin Cutbank', from the location of the rifle, the DNA match, and the witnesses’ identifications, the jury could infer that Cutbank",possessed the rifle,
1,true,keep,Correctly applies the prior-possession rule to the witnesses’ testimony about the same rifle. Target spacing normalized.,"According to the opinion 'United States v. Justin Cutbank', when D.F. and C.F. said they had seen Cutbank with the same sawed-off rifle before the charged night, that evidence supported the non-propensity point on the possession issue of",ownership or control,
2,true,keep,Correctly synthesizes harmless-error and cumulative-error standards with substantial evidence. Target spacing normalized.,"According to the opinion 'United States v. Justin Cutbank', assuming one of the evidentiary rulings had been mistaken, the court’s harmless-error and cumulative-error statements together implied that the conviction would still stand, with",no reversal,
3,true,keep,Correctly combines the no-hearsay finding and D.F.’s testimony with the limiting-instruction rule. Target spacing normalized.,"According to the opinion 'United States v. Justin Cutbank,' given these facts, the trial safeguard Cutbank requested that was not required to prevent the confrontation problem he predicted was",a pretestimony limiting instruction,
4,true,keep,Correctly applies the greater-offense-level rule to the two possible offense levels.,"According to the opinion 'United States v. Justin Cutbank', if the section 2K2.1(b)(6)(B) enhancement yielded 35 and the Armed Career Criminal Guideline yielded 34, the greater-offense-level rule made the advisory range use",offense level 35,
5,true,keep,Correctly synthesizes the prior record and offense conduct into the aggravating theme relied on for the sentence. Target spacing normalized.,"According to the opinion 'United States v. Justin Cutbank', combining Cutbank’s prior record with the offense conduct the court recounted, the common aggravating theme that supported affirming the within-range 292-month sentence was",violence and firearms,
6,true,keep,Correctly links the sentencing record to the standard requiring actual consideration of section 3553(a) factors. Target spacing normalized.,"According to the opinion 'United States v. Justin Cutbank', the record showed that the district court gave the § 3553(a) factors",actual consideration,
7,false,duplicate,Duplicates the limiting-instruction issue kept in row 3.,,,3
8,false,recall_not_composition,The departure-or-variance step is stated directly in the sentencing-sequence paragraph.,,,
9,false,duplicate,Duplicates the harmless/cumulative-error prejudice concept kept in row 2.,,,2
10,true,keep,Correctly applies the procedural-error-first sequence to reach substantive reasonableness review. Target spacing normalized.,"According to the opinion 'United States v. Justin Cutbank', once the panel concluded that the enhancement was not a Guidelines miscalculation, it was then able to undertake",substantive reasonableness review,
