,pub_date
0d1c76d45afa012ded7ab741194baf142117c495,2023-05-29
be55e8ec4213868db08f2c3168ae666001bea4b8,2023-04-03
deb8f26509ae320fc975b32922416cb156c61bbd,2023-04-21
762ca2711eb167f19b79e39c175708ca15e1f5d7,2023-03-14
16c64f74ce0e6a59b0709c0d8e66596a5bc08ed6,2023-03-07
c6ee979c2da4b55a8486abae4cd720422ab09b26,2022-12-20
5bb3bd2ec1e99b11a84ccd0e4dce4bdb2a776a5e,2022-12-19
92b37b91483fa3a52563f409c1345a1615a551cd,2022-11-24
75f7e9e2b59fb640ef9d1dff94097175daf46c4d,2022-11-15
bb15f3727f827a3cb88b5d3ca48415c09b40a88f,2022-10-27
f240b39aa5aa30b3e4f7a8e68d681a13a9a72054,2022-10-12
1d26c947406173145a4665dd7ab255e03494ea28,2022-10-05
6a0b1e2a323941de37a5ce46c2adcd37b5064fcb,2022-09-08
4721dd8c4f2681e231040cc5deebdbf938f58392,2022-07-28
38d7dcac16e0d640d4fa2a1fa29320b0e5fcbdad,2022-07-21
6c46b7b401be5ada79f00b36cb8e5b41286ae2aa,2022-06-30
77d25889a59041629e8b2a81aad56544144c6878,2022-05-25
8b293973061026d9d0eed90e71e30928e029171e,2022-05-22
aa4d9972af3264d032dbee58501ed4ac49477103,2022-05-21
c08c2fd7b269bd9d6c1162adc3b059cdf21d40a6,2022-05-12
3ae3716f125d71e9daccac3dafa4fab7482fb16a,2022-05-04
1fafaccebc4a74898a74c606f846318c4c2c7536,2022-04-28
6979ce65b9f657672cd3a0b9217ead51511c1838,2022-04-18
e37018d3cfab9cfc29a7b78404e6c86ea18a907e,2022-04-14
c57293882b2561e1ba03017902df9fc2f289dea2,2022-04-13
5288b9f3a9f575543f44c39e1d3b78b3ca4c99da,2022-04-12
72a6b51c492aa9333b857477ff19f76c37053aa9,2022-03-29
b32a6f6ef7dd775e0f876b4713ceccebc56e651e,2022-02-26
c10075b3746a9f3dd5811970e93c8ca3ad39b39d,2021-12-20
4497f092aa44d4b47659226fad348a1834efd416,2021-11-17
db742f7c4f7edd24e77482560df7d09c9033b3da,2021-09-21
d48d1e80b6ea9708fa3a09d1556a7ced3b147da2,2021-09-08
dc32a984b651256a8ec282be52310e6bd33d9815,2021-07-15
4566c0d22ebf3c31180066ab23b6c445aeec78d5,2021-07-14
61e06615f6cee5ed1ba7d22b801925b69a45653b,2021-06-29
66c10bf1f11bc1b2d92204d8f8391d087f6de1c4,2021-04-20
1adadbfa95e43a70fcd17e6ce947a0652b86bfc3,2021-04-18
6803adc7d8b891be652d18815f830f7a42a0f5b5,2021-03-22
ac40415570e7d51efb237c5e4b4dbe4e93919409,2021-03-14
09bf4d005cb334e38bc28c5ad2d4f21d3a1d13cc,2020-10-27
645bd6eadc247989abc5e0b0aa0be79ec8b11ea6,2020-09-30
6fec3e579c7cd4f13bdabbee2b6ac2e8ff5941c6,2019-11-05
a4e67bcbf912e13cebbb1241d05d1ca0a1df9df8,2019-04-05
0be19fd9896e5d40222c690cc3ff553adc7c0e27,2018-04-18
135bafc83e9a73c88e759f98a28edfdb5c02f81d,2017-07-29
5ed791f810da580c78df6a052c6b9f2e258f6b0a,2016-06-20
e8e035f9768a4d4e7fe9a2e167cd93d170407b1b,2023-02-16
cdbd4f9b6ab2e2fd1ddf5400d5ed2c18960635d1,2022-10-20
74eae12620bd1c1393e268bddcb6f129a5025166,2022-09-28
e3a9af420cd2c0c8241856da92374027fefb87be,2022-07-21
84b6660b717fd4832fedbe066f622ef183662a69,2022-06-23
29acc890e521f7a6415666ab9eb3432c49b4587a,2022-06-12
1e34c51b52002796fea6f523b9f794f1d75d9ba8,2022-06-01
cf18a9f5a334e574f1d1f6ffdd64b6dac11fe9be,2022-05-23
dffe2aef88a3925b249bfe14dd0f8c7645860d64,2022-05-03
0286b2736a114198b25fb5553c671c33aed5d477,2022-04-12
8666f9f379389a5dff31e72fb0f992a37763ba41,2022-03-21
d64e57b9780f30f5b49bf620fdfb8584651b7f85,2021-09-15
77d956cdab4508d569ae5741549b78e715fd0749,2021-09-08
6f9fc51102cf49bff4f4e2b336739a45f8389c80,2021-06-02
041c4a3932eae3931d90b1a0fc033cf5f491c267,2021-06-01
06f6869f8eb90a35148f1dde9a4baff03460d699,2021-02-18
399e7d8129c60818ee208f236c8dda17e876d21f,2020-09-24
dbeeca8466e0c177ec67c60d529899232415ca87,2020-05-02
9b539d413393047b28bb7be9b195f142aaf7a80e,2020-04-28
5019dbe8d1da5f128f4f373d6849095cf18fd519,2019-09-03
efa6c8c11a59284f584fbc8caa49f1bcc68deb01,2018-11-14
ff0a76fa0be5eb09e735f7c148f7dc95397fab30,2018-09-27
29de7c0fb3c09eaf55b20619bceaeafe72fd87a6,2018-05-01
8fee0029a462e7648c43d6cab1a2497d67db5128,2018-04-17
53bed2d3d75c4320ad5af4a85e31bf92e3c704ef,2017-08-07
1298dae5751fb06184f6b067d1503bde8037bdb7,2016-06-05
129cbad01be98ee88a930e31898cb76be79c41c1,2016-03-25
604764133befe7a0aaa692919545846197e6e065,2016-03-24
f37076f426023241f19cdc2fb0a0fd733a6fa7fa,2016-02-19
651e5bcc14f14605a879303e97572a27ea8c7956,2015-10-11
8b6a9c14c549191ab2339345b7cfbec5049fcb8a,2015-08-03
9a25c8d370d5bae018706e92cd3b975e7ec737fd,2009-01-06
1f869232f148ec52066fab06a49855937f84098b,2007-06-20
8570302f7b63e8fcf87030f556b065fd8c260021,2006-12-04
085fb3acabcbf80ef1bf47daec50d246475b072b,2001-07-01
3936fd3c6187f606c6e4e2e20b196dbc41cc4654,2022-12-15
99ca5162211a895a5dfbff9d7e36e21e09ca646e,2022-11-04
2fa11f97ae084591d79013c0cbc65d9931d976df,2022-10-28
3fa70115248377c3d1517c9f978791a296fbc1dd,2022-10-20
74eae12620bd1c1393e268bddcb6f129a5025166,2022-09-28
17bcb1edbe068e8fe6a97da552c70a77a15bbce7,2022-08-23
142ebbf4760145f591166bde2564ac70c001e927,2022-07-11
29acc890e521f7a6415666ab9eb3432c49b4587a,2022-06-12
0286b2736a114198b25fb5553c671c33aed5d477,2022-04-12
5d49c7401c5f2337c4cc88d243ae39ed659afe64,2022-02-07
6f9fc51102cf49bff4f4e2b336739a45f8389c80,2021-06-02
9506b3c0ca4ccf611f27199df81259ca486a8745,2009-01-16
912a39c2e0e4a35747531669cfa952d2c5627729,2022-10-03
a5cea6716378949a2b73f0401237d29791a6ee6c,2022-06-05
023edab4738690444e3924e224c2641017a0d794,2022-05-26
871037ca207f36ffc5322d7815a2dd58951a6227,2022-05-04
0e3d6a7c9c04cf3ba9c902724548846a5ade04b4,2022-04-03
ee1ef7b70dc34adcc90c42cc28168165ea56501f,2021-11-18
a7e42bc1f09a5bf23258739a8d26d50b557986dd,2021-09-17
a109b995dfeb444417f66545c67bce210bd11650,2021-06-16
e000fbc49a38e9780b3ad59a9f73adbf0e31945e,2020-11-04
4ba7f8624ff30beeb24a4fc6076b896b2944f555,2020-10-12
83b7d091fa44906d4cc873fdfaa4ba3d1858e7bb,2020-06-25
ad5970584754cc7a1d91c95ab84a1e210258183a,2020-05-02
47fd2e73a9be04ed2186c03d8f88d5c87f64e4e4,2020-04-29
4ae52766028e69186052ea8f33a137fbbbdb986a,2020-04-09
2ff04294838863ec2d2087cbaa36bac48bf0e555,2020-04-07
0119a57cf88ef16e6dc291252fae340bb6b3953c,2020-02-14
221d453c165aca6bc1a054289eb510e558a23dca,2019-09-11
6b6befbff611ddc98ef268b3c51353593bb07e77,2019-06-18
02cbb0db288af2c83b48a023f245812bd22a2408,2019-06-03
6db2b93a2d4007371030644173f1001c959214d2,2018-05-01
b4bfadfca9742bb3ee98a0cd322d5ce4e59a3ceb,2018-04-23
d91043f0d48b9b2c8ff7ee321abb8fd7efafff7a,2017-12-19
abcbfc9742e8f4825cfc536091fd414e08d03998,2017-07-01
c14f416bab5a4936deded9797883e14ac0b55fff,2017-04-23
6c8353697cdbb98dfba4f493875778c4286d3e3a,2016-12-02
163a474747fd63ab62ae586711fa5e5a2ac91bd8,2016-12-01
1a327709cc53ff9e52454e50a643abf4a0ac92af,2016-08-12
1298dae5751fb06184f6b067d1503bde8037bdb7,2016-06-05
651e5bcc14f14605a879303e97572a27ea8c7956,2015-10-11
258986132bf17755fe8263e42429fe73218c1534,2014-11-20
526e22c130b18924976553d29ba11bc9d898d58b,2009-06-01
d7da009f457917aa381619facfa5ffae9329a6e9,2002-07-06
1e34c51b52002796fea6f523b9f794f1d75d9ba8,2022-06-01
cf18a9f5a334e574f1d1f6ffdd64b6dac11fe9be,2022-05-23
5d49c7401c5f2337c4cc88d243ae39ed659afe64,2022-02-07
3a1501829ce7205f25939dd26e1089df920c9988,2021-10-01
d64e57b9780f30f5b49bf620fdfb8584651b7f85,2021-09-15
a109b995dfeb444417f66545c67bce210bd11650,2021-06-16
ca2f1088d3e581b2c6c75cf0ebc96506d620f64d,2021-03-03
91fed2f5718b9c1dc25b768c8aaf33455f0404c8,2021-01-18
00b677e971ded11ac4a7da1b80ffda95b4f1ed78,2020-11-01
42fc352a0db1e742b0248a02b812db4aaf7b2cd3,2020-09-20
d47a682723f710395454687319bb55635e653105,2020-05-28
f2c0b478a30e653157dcdfe879b3082c6bbb0913,2020-05-02
5019dbe8d1da5f128f4f373d6849095cf18fd519,2019-09-03
6369e2f49656ed4a03315080ef22fbcd66282562,2019-09-01
ff0a76fa0be5eb09e735f7c148f7dc95397fab30,2018-09-27
53bed2d3d75c4320ad5af4a85e31bf92e3c704ef,2017-08-07
754b657330b1674d3453e8254d3a664db5222b3b,2017-05-24
1298dae5751fb06184f6b067d1503bde8037bdb7,2016-06-05
129cbad01be98ee88a930e31898cb76be79c41c1,2016-03-25
604764133befe7a0aaa692919545846197e6e065,2016-03-24
4be0dd53aa1c751219fa6f19fed8a6324f6d2766,2016-03-19
651e5bcc14f14605a879303e97572a27ea8c7956,2015-10-11
258986132bf17755fe8263e42429fe73218c1534,2014-11-20
407bb3034daac0fb4fba3d4c09ef3a26dfbfcf5f,2010-03-01
9a25c8d370d5bae018706e92cd3b975e7ec737fd,2009-01-06
ffced5b53ad956474a12d73b5cbfd38355dfb70a,2008-05-01
8570302f7b63e8fcf87030f556b065fd8c260021,2006-12-04
6cc0699a4a99132b7aecddb7f2e37d731e36bb43,2005-12-12
0a0f09d57ba4b5451e5c0d11397b8e437c38e9b9,2022-04-21
6e2e7df21a5b5457ea4167133a40bc729028250d,2021-08-31
