text,target
"What family of ranking models underlies the human preference assumption enabling DPO's derivation? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is Plackett-Luce",Plackett-Luce
"Which term cancels out when substituting the reward reparameterization into the Bradley-Terry preference model? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is partition function",partition function
"The DPO reparameterization expresses reward as a log ratio between the policy and what other distribution? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is reference policy",reference policy
"What loss function does DPO optimize to train the policy directly? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is binary cross-entropy",binary cross-entropy
"In the RLHF objective, what divergence term prevents the policy from drifting too far? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is KL-divergence",KL-divergence
"Reward functions that differ by what kind of function induce the same preferences? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is function of prefix",function of prefix
"What component of the standard RLHF pipeline does DPO bypass entirely? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is reinforcement learning",reinforcement learning
"The dynamic weighting factor in DPO's gradient is based on the logistic of which quantity? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is reward difference",reward difference
"Onto what control framework can the constrained RL problem be mapped, as discussed in the paper? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is control as inference",control as inference
"Which RL algorithm did DPO surpass in both efficiency and reward-KL tradeoff? Based on the paper, 'Direct Preference Optimization: Your Language Model Is Secretly a Reward Model', the answer to this question is PPO",PPO
