arxiv_id,status,main_tex,output_path,cleaned_chars,error
0912.3599,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/0912.3599.tex,,
1306.6294,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1306.6294.tex,,
1308.0850,ok,rnn_sequences.tex,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1308.0850.tex,62951,
1405.0312,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1405.0312.tex,,
1410.4615,ok,algebra.tex,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1410.4615.tex,27698,
1502.01379,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1502.01379.tex,,
1502.06362,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1502.06362.tex,,
1503.04069,ok,LSTM Odyssey (arxiv_v2)/TNNLS-2013-P-0123.tex,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1503.04069.tex,42805,
1506.02438,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1506.02438.tex,,
1508.07909,ok,subword.tex,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1508.07909.tex,34983,
1509.01626,ok,article.tex,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1509.01626.tex,23451,
1602.06023,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1602.06023.tex,,
1603.02754,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1603.02754.tex,,
1603.06390,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1603.06390.tex,,
1604.06174,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1604.06174.tex,,
1605.05396,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1605.05396.tex,,
1606.06031,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1606.06031.tex,,
1607.06450,ok,ln_paper_arxiv.tex,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1607.06450.tex,35595,
1608.05442,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1608.05442.tex,,
1609.01704,ok,iclr2017_conference.tex,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1609.01704.tex,38947,
1609.07843,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1609.07843.tex,,
1610.02357,skipped_existing,,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/data/arxiv/cited/cleaned/1610.02357.tex,,
