seed_local_id,seed_arxiv_id,seed_title,cited_arxiv_id,cited_title,cited_year,semantic_scholar_paper_id,openalex_id
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1606.06031,The LAMBADA dataset: Word prediction requiring a broad discourse context,2016,5ed791f810da580c78df6a052c6b9f2e258f6b0a,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1609.07843,Pointer Sentinel Mixture Models,2016,efbd381493bb9636f489b965a2034d529cd56bcd,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1707.06209,Crowdsourcing Multiple Choice Science Questions,2017,932a5de79d8a8ebb75ea0c43493450fd9922e738,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1809.02789,Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering,2018,1536e8958697c5364f68b2e2448905dbbeb3a0ca,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1905.07830,HellaSwag: Can a Machine Really Finish Your Sentence?,2019,8b0f27bb594b1eaaf493eaf1e2ee723a2b0a19ad,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1905.10044,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,2019,9770fff7379a7ab9006b48939462354dda9a2053,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1910.07467,Root Mean Square Layer Normalization,2019,10eda4521c032adabaa8e70d6569e17370b29dcd,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1910.10683,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,2019,6c4b76232bb72897685d19b3d264c6ee3005bc2b,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1911.07176,Quick and (not so) Dirty: Unsupervised Selection of Justification Sentences for Multi-hop Question Answering,2019,547334370d2b03d51a39a1509fe7e164cd30e550,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,1911.11641,PIQA: Reasoning about Physical Commonsense in Natural Language,2019,04f4e55e14150b7c48b0287ba77c7443df76ed45,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2002.05202,GLU Variants Improve Transformer,2020,bdbf780dfd6b3eb0c9e980887feae5f23af15bc4,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2104.09864,RoFormer: Enhanced Transformer with Rotary Position Embedding,2021,66c10bf1f11bc1b2d92204d8f8391d087f6de1c4,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2112.00133,PokeBNN: A Binary Pursuit of Lightweight Accuracy,2021,a8ae13b550a7f56a8f02d45150f1790cec808a2b,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2211.10438,SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,2022,2c994fadbb84fb960d8306ee138dbeef41a5b323,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2302.13971,LLaMA: Open and Efficient Foundation Language Models,2023,57e849d0de13ed5f91d086936296721d4ff75a75,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2306.00978,AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration,2023,db9507cdd3e2d7d9c90ed185bd831e55c62dcec9,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2307.09288,Llama 2: Open Foundation and Fine-Tuned Chat Models,2023,104b0bb1da562d53cbda87aec79ef6a2827d191a,
