row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,false,duplicate,Same two-unique-signal scope point as row 11; row 11 states the accepted construction more clearly.,,,11
1,true,keep,Combines express mapping with post-sampling generation to infer limitation 1[a] is unmet.,,,
2,true,keep,Combines non-unique-signal ruling with the separate seven-multiplication requirement to identify an independent defect.,,,
3,false,duplicate,Same non-unique/copy input-signal concept as row 11.,,,11
4,true,keep,Identifies the missing repeated-multiplication premise needed to infer seven claimed operations from three distinct operations.,,,
5,false,recall_not_composition,Answer is lifted from a single sentence describing the flawed mapping; no multi-fact inference is required.,,,
6,true,keep,Applies the JMOL standard to the reversal of the '134 verdict to infer no reasonable jury could find infringement.,,,
7,false,recall_not_composition,Asks for the prosecution-response distinction expressly stated in one passage.,,,
8,false,recall_not_composition,Damages vacatur follows directly from a single because sentence; the probe mostly asks for the named ruling.,,,
9,true,keep,Combines substantial-evidence review limited to trial evidence with the appellate-only clarification.,,,
10,false,duplicate,"Same modeled-PIM timing and sampling defect as row 1, with weaker cloze shape.",,,1
11,true,keep,Combines the separately-identifiable construction and copy-signal finding to infer that two unique inputs could satisfy the language.,,,
12,true,keep,Correctly identifies the missing mapping from ten listed operations; repaired malformed '775 patent reference in the probe.,"According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', Finesse's reliance on ten listed multiplications could not support the ’775 verdict because it did not identify",,
