row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,true,keep,"Combines OSC legal error, retained discretion, and remedy; target is supported by the remand disposition.",,,
1,false,recall_not_composition,The answer is essentially the local traceability sentence identifying DOJ rather than OSC as the source of the informational injury.,,,
2,true,keep,Applies the discretionary section 1214 notice premise to identify the remaining standing defect as redressability.,,,
3,false,recall_not_composition,The discretionary decision is stated directly in the district-court disposition paragraph.,,,
4,true,keep,Applies the procedural-right-without-concrete-interest rule to AFL’s alleged investigation right using the opinion’s own term.,,,
5,false,duplicate,"Same procedural-injury concept as row 4, but with a more generic target.",,,4
6,true,keep,Applies the three statutory FOIA predicates to infer the mandatory OSC proceeding that would follow if they were satisfied.,,,
7,true,keep,Combines the Article III causation requirement with the court’s traceability finding that the injury flows from DOJ rather than OSC.,,,
8,true,keep,Integrates the procedural-standing rule with the court’s finding that AFL failed injury/causation and even relaxed redressability.,,,
9,true,keep,Combines the district court’s merits declaration with the appellate standing holding to infer that the merits judgment was vacated.,,,
10,false,recall_not_composition,The statutory path AFL invoked is directly stated in the factual background.,,,
11,false,duplicate,Same informational-standing prerequisite tested more compositionally by the counterfactual in row 14.,,,14
12,true,keep,Uses the speculative redressability chain to identify OSC enforcement discretion as an additional contingency beyond DOJ and MSPB action.,,,
13,true,keep,Combines FOIA’s separate OSC-trigger predicates with OSC’s stated reason for disclaiming authority and AFL’s reliance on section 1216.,,,
14,true,keep,Counterfactually applies the informational-standing rule: a statutory entitlement to receive information would make denial concrete.,,,
15,true,keep,Connects standing as subject-matter jurisdiction with the appellate instruction replacing the merits judgment with jurisdictional dismissal.,,,
16,false,recall_not_composition,The procedural-versus-substantive classification point is stated directly in one sentence.,,,
