probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the man in his 60s who presented with fever, headache, mucocutaneous lesions, and hyponatraemia, the oral mucosal lesion noted among the mucocutaneous findings was",oral aphthae.,(A),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the man in his 60s who presented with fever, headache, mucocutaneous lesions, and hyponatraemia, the oral mucosal lesion noted among the mucocutaneous findings was
(A) oral aphthae.
(B) erythema nodosum.
(C) folliculitis-like rashes.
(D) oral candidiasis.
(E) genital ulcers.",oral aphthae.,erythema nodosum.,folliculitis-like rashes.,oral candidiasis.,genital ulcers.,"[""oral candidiasis."", ""folliculitis-like rashes."", ""genital ulcers."", ""erythema nodosum.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the man in his 60s who presented with fever, headache, mucocutaneous lesions, and hyponatraemia, the oral mucosal lesion noted among the mucocutaneous findings was oral aphthae.","A man in his 60s presented with fever, headache and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, genital ulcers and hyponatraemia.",Abstract
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", it is important to recognise concurrent neurological and endocrine manifestations in",patients with newly diagnosed BD.,(D),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", it is important to recognise concurrent neurological and endocrine manifestations in
(A) patients presenting with isolated SIADH and normal cerebrospinal fluid findings.
(B) patients with established neuro-BD requiring corticosteroids.
(C) patients with aseptic meningitis due to viral infection.
(D) patients with newly diagnosed BD.
(E) patients with newly diagnosed systemic lupus erythematosus.",patients presenting with isolated SIADH and normal cerebrospinal fluid findings.,patients with established neuro-BD requiring corticosteroids.,patients with aseptic meningitis due to viral infection.,patients with newly diagnosed BD.,patients with newly diagnosed systemic lupus erythematosus.,"[""patients with established neuro-BD requiring corticosteroids."", ""patients presenting with isolated SIADH and normal cerebrospinal fluid findings."", ""patients with newly diagnosed systemic lupus erythematosus."", ""patients with aseptic meningitis due to viral infection.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", it is important to recognise concurrent neurological and endocrine manifestations in patients with newly diagnosed BD.",This case suggests a possible association between acute neuro-BD and SIADH and underscores the importance of recognising concurrent neurological and endocrine manifestations in patients with newly diagnosed BD.,Abstract
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", a man in his 60s who presented with fever, headache, and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, and genital ulcers had",hyponatraemia.,(D),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", a man in his 60s who presented with fever, headache, and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, and genital ulcers had
(A) uveitis.
(B) hypernatraemia.
(C) cerebral venous sinus thrombosis.
(D) hyponatraemia.
(E) central diabetes insipidus.",uveitis.,hypernatraemia.,cerebral venous sinus thrombosis.,hyponatraemia.,central diabetes insipidus.,"[""hypernatraemia."", ""uveitis."", ""cerebral venous sinus thrombosis."", ""central diabetes insipidus.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", a man in his 60s who presented with fever, headache, and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, and genital ulcers had hyponatraemia.","A man in his 60s presented with fever, headache and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, genital ulcers and hyponatraemia.",Abstract
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", one of the characteristic eye manifestations of Behçet’s disease mentioned in the background description is",uveitis.,(C),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", one of the characteristic eye manifestations of Behçet’s disease mentioned in the background description is
(A) keratitis.
(B) glaucoma.
(C) uveitis.
(D) conjunctivitis.
(E) skin lesions.",keratitis.,glaucoma.,uveitis.,conjunctivitis.,skin lesions.,"[""conjunctivitis."", ""keratitis."", ""skin lesions."", ""glaucoma.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", one of the characteristic eye manifestations of Behçet’s disease mentioned in the background description is uveitis.","Behçet’s disease (BD) is a chronic, multisystem inflammatory disorder characterised by recurrent oral and genital ulcers, uveitis and skin lesions.",Background
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in a patient with acute neuro-BD presenting with non-specific central nervous system symptoms, the electrolyte abnormality specifically mentioned as accompanying those symptoms was",hyponatraemia.,(D),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in a patient with acute neuro-BD presenting with non-specific central nervous system symptoms, the electrolyte abnormality specifically mentioned as accompanying those symptoms was
(A) hypomagnesaemia.
(B) hypercalcaemia.
(C) hypernatraemia.
(D) hyponatraemia.
(E) hypokalaemia.",hypomagnesaemia.,hypercalcaemia.,hypernatraemia.,hyponatraemia.,hypokalaemia.,"[""hypernatraemia."", ""hypokalaemia."", ""hypercalcaemia."", ""hypomagnesaemia.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in a patient with acute neuro-BD presenting with non-specific central nervous system symptoms, the electrolyte abnormality specifically mentioned as accompanying those symptoms was hyponatraemia.","This case highlights the importance of considering SIADH as a potential manifestation of acute neuro-BD, particularly in patients presenting with non-specific CNS symptoms and hyponatraemia.",Background
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after the patient developed a painful scrotal ulcer on day 5, the combination of oral aphthae and folliculitis-like rashes suggested",a systemic form of BD.,(C),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after the patient developed a painful scrotal ulcer on day 5, the combination of oral aphthae and folliculitis-like rashes suggested
(A) a limited mucocutaneous form of BD.
(B) neurosarcoidosis.
(C) a systemic form of BD.
(D) a haematological malignancy.
(E) reactive arthritis.",a limited mucocutaneous form of BD.,neurosarcoidosis.,a systemic form of BD.,a haematological malignancy.,reactive arthritis.,"[""a limited mucocutaneous form of BD."", ""neurosarcoidosis."", ""a haematological malignancy."", ""reactive arthritis.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after the patient developed a painful scrotal ulcer on day 5, the combination of oral aphthae and folliculitis-like rashes suggested a systemic form of BD.","In combination with oral aphthae and folliculitis-like rashes, these findings suggested a systemic form of BD.",Investigations
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the sarcoidosis workup in this patient with acute neurological Behçet’s disease, his angiotensin-converting enzyme level was",11.4 U/L,(D),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the sarcoidosis workup in this patient with acute neurological Behçet’s disease, his angiotensin-converting enzyme level was
(A) 5.1 U/L
(B) 25.0 U/L
(C) 17.0 U/L
(D) 11.4 U/L
(E) 70.4 U/L",5.1 U/L,25.0 U/L,17.0 U/L,11.4 U/L,70.4 U/L,"[""5.1\u2009U/L"", ""17.0\u2009U/L"", ""25.0\u2009U/L"", ""70.4\u2009U/L""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the sarcoidosis workup in this patient with acute neurological Behçet’s disease, his angiotensin-converting enzyme level was 11.4 U/L",Tests for sarcoidosis revealed normal lysozyme (5.1 µg/mL; reference 5–10) and angiotensin-converting enzyme levels (11.4 U/L; reference 7–25).,Investigations
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the evaluation of the man in his 60s with fever, headache, hyponatraemia, and later cerebrospinal fluid lymphocytic pleocytosis, the cerebrospinal fluid microbiological finding that helped rule out bacterial meningitis was",negative CSF cultures.,(D),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the evaluation of the man in his 60s with fever, headache, hyponatraemia, and later cerebrospinal fluid lymphocytic pleocytosis, the cerebrospinal fluid microbiological finding that helped rule out bacterial meningitis was
(A) negative tuberculosis DNA testing
(B) negative CSF cryptococcal antigen
(C) negative acid-fast staining
(D) negative CSF cultures.
(E) negative CSF viral antigen and antibody tests",negative tuberculosis DNA testing,negative CSF cryptococcal antigen,negative acid-fast staining,negative CSF cultures.,negative CSF viral antigen and antibody tests,"[""negative CSF viral antigen and antibody tests"", ""negative acid-fast staining"", ""negative tuberculosis DNA testing"", ""negative CSF cryptococcal antigen""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the evaluation of the man in his 60s with fever, headache, hyponatraemia, and later cerebrospinal fluid lymphocytic pleocytosis, the cerebrospinal fluid microbiological finding that helped rule out bacterial meningitis was negative CSF cultures.","Bacterial meningitis was also considered but ruled out based on the absence of neutrophilic predominance, mild lymphocytic pleocytosis and negative CSF cultures.",Differential diagnosis
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after presenting with fever, fatigue, oral aphthae, genital aphthosis and a folliculitis-like rash, the patient was assessed using the International Criteria for Behçet’s Disease, under which a total score indicates definite disease if it is",≥4,(E),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after presenting with fever, fatigue, oral aphthae, genital aphthosis and a folliculitis-like rash, the patient was assessed using the International Criteria for Behçet’s Disease, under which a total score indicates definite disease if it is
(A) ≥5
(B) ≥3
(C) 5 points
(D) ≥6
(E) ≥4",≥5,≥3,5 points,≥6,≥4,"[""\u22653"", ""\u22655"", ""5 points"", ""\u22656""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after presenting with fever, fatigue, oral aphthae, genital aphthosis and a folliculitis-like rash, the patient was assessed using the International Criteria for Behçet’s Disease, under which a total score indicates definite disease if it is ≥4","According to the International Criteria for Behçet’s Disease, he had a total score of five points (≥4 indicates definite disease).",Differential diagnosis
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the evaluation of this man in his 60s with fever, headache, hyponatraemia, and suspected CNS inflammation, one reason autoimmune diseases were excluded was",negative screening autoantibody test results.,(A),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the evaluation of this man in his 60s with fever, headache, hyponatraemia, and suspected CNS inflammation, one reason autoimmune diseases were excluded was
(A) negative screening autoantibody test results.
(B) normal brain MRI findings and negative CSF cytology for malignant cells
(C) absence of cerebrospinal fluid oligoclonal bands
(D) negative acid-fast staining and tuberculosis DNA testing results
(E) negative CSF viral antigen and antibody test results",negative screening autoantibody test results.,normal brain MRI findings and negative CSF cytology for malignant cells,absence of cerebrospinal fluid oligoclonal bands,negative acid-fast staining and tuberculosis DNA testing results,negative CSF viral antigen and antibody test results,"[""normal brain MRI findings and negative CSF cytology for malignant cells"", ""negative CSF viral antigen and antibody test results"", ""negative acid-fast staining and tuberculosis DNA testing results"", ""absence of cerebrospinal fluid oligoclonal bands""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the evaluation of this man in his 60s with fever, headache, hyponatraemia, and suspected CNS inflammation, one reason autoimmune diseases were excluded was negative screening autoantibody test results.",Autoimmune diseases were evaluated but excluded due to the absence of characteristic systemic symptoms and negative screening autoantibody test results.,Differential diagnosis
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the antidiuretic hormone (ADH) level by day 16, after the patient’s serum sodium had normalised to 136 mmol/L, was",1.8 pg/mL,(E),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the antidiuretic hormone (ADH) level by day 16, after the patient’s serum sodium had normalised to 136 mmol/L, was
(A) 4.5 pg/mL
(B) 3.6 pg/mL
(C) 2.8 pg/mL
(D) 13.6 pg/mL
(E) 1.8 pg/mL",4.5 pg/mL,3.6 pg/mL,2.8 pg/mL,13.6 pg/mL,1.8 pg/mL,"[""2.8\u2009pg/mL"", ""3.6\u2009pg/mL"", ""4.5\u2009pg/mL"", ""13.6\u2009pg/mL""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the antidiuretic hormone (ADH) level by day 16, after the patient’s serum sodium had normalised to 136 mmol/L, was 1.8 pg/mL","By day 16, serum sodium had normalised to 136 mmol/L, and ADH levels had decreased to 1.8 pg/mL.",Outcome and follow-up
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", on day 3 of admission, when the patient's headache and vertigo worsened, this worsening suggested",CNS inflammation or infection.,(E),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", on day 3 of admission, when the patient's headache and vertigo worsened, this worsening suggested
(A) posterior circulation ischemic stroke.
(B) worsening SIADH-related hyponatraemia.
(C) cefepime-induced neurotoxicity.
(D) a peripheral vestibular disorder.
(E) CNS inflammation or infection.",posterior circulation ischemic stroke.,worsening SIADH-related hyponatraemia.,cefepime-induced neurotoxicity.,a peripheral vestibular disorder.,CNS inflammation or infection.,"[""cefepime-induced neurotoxicity."", ""worsening SIADH-related hyponatraemia."", ""posterior circulation ischemic stroke."", ""a peripheral vestibular disorder.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", on day 3 of admission, when the patient's headache and vertigo worsened, this worsening suggested CNS inflammation or infection.","On day 3, the patient’s headache and vertigo worsened, suggesting CNS inflammation or infection.",Treatment
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", on day 8 after the patient was diagnosed with systemic Behçet's disease and acute neuro-Behçet's disease, the medication started was",colchicine.,(B),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", on day 8 after the patient was diagnosed with systemic Behçet's disease and acute neuro-Behçet's disease, the medication started was
(A) azathioprine.
(B) colchicine.
(C) cefepime.
(D) methylprednisolone.
(E) acyclovir.",azathioprine.,colchicine.,cefepime.,methylprednisolone.,acyclovir.,"[""cefepime."", ""acyclovir."", ""methylprednisolone."", ""azathioprine.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", on day 8 after the patient was diagnosed with systemic Behçet's disease and acute neuro-Behçet's disease, the medication started was colchicine.","On day 8, colchicine was started following the diagnosis of systemic BD and acute neuro-BD.",Treatment
