v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
11,12,keep_rejected,too_generic_target|weak_distractor_space,"Unsuitable under criterion 3: the target 'the LM' is a trivially short, generic phrase with little conceptual depth, making it hard to create five meaningful discriminative options.",Target remains too generic or low-information for restoration.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the resulting algorithm, Direct Preference Optimization (DPO), eliminates the need to sample during fine-tuning from",the LM.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the resulting algorithm, Direct Preference Optimization (DPO), eliminates the need to sample during fine-tuning from the LM.","The resulting algorithm, which we call \textit{Direct Preference Optimization} (DPO), is stable, performant, and computationally lightweight, eliminating the need for  sampling from the LM during fine-tuning or performing significant hyperparameter tuning.",Title/Abstract
12,13,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target ""existing methods"" is a generic, low-information phrase that is too trivially broad to support five meaningful, discriminative answer options.",Target remains too generic or low-information for restoration.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the experiments show that DPO can fine-tune language models to align with human preferences as well as or better than",existing methods.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the experiments show that DPO can fine-tune language models to align with human preferences as well as or better than existing methods.",Our experiments show that DPO can fine-tune LMs to align with human preferences as well as or better than existing methods.,Title/Abstract
15,16,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target is a generic short phrase ('implement and train') with little conceptual specificity, making it hard to create five meaningful, field-relevant distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", compared with PPO-based RLHF, fine-tuning with DPO is described as being substantially simpler to",implement and train.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", compared with PPO-based RLHF, fine-tuning with DPO is described as being substantially simpler to implement and train.","Notably, fine-tuning with DPO exceeds PPO-based RLHF in ability to control sentiment of generations, and matches or improves response quality in summarization and single-turn dialogue while being substantially simpler to implement and train.",Title/Abstract
18,19,keep_rejected,tautological_stem|weak_distractor_space,"Unsuitable under criterion 3: the target is the single common word ""humans,"" which is too trivial and obvious to support five meaningful multiple-choice distractors.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors note that large unsupervised language models are trained on data generated by",humans.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors note that large unsupervised language models are trained on data generated by humans.","However, these models are trained on data generated by humans with a wide variety of goals, priorities, and skillsets.",Introduction
24,25,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target, ""a large text dataset,"" is a generic, low-specificity phrase that offers little conceptual depth and would make strong 5-way distractors unnatural.",Target remains too generic or low-information for restoration.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the preference learning stage occurs after an initial stage of large-scale unsupervised pre-training. That pre-training is performed on",a large text dataset.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the preference learning stage occurs after an initial stage of large-scale unsupervised pre-training. That pre-training is performed on a large text dataset.",This preference learning stage occurs after an initial stage of large-scale unsupervised pre-training on a large text dataset.,Introduction
33,34,keep_rejected,weak_distractor_space,"It fails criterion 1 because the probe already states that the pipeline 'incurs costs,' and the target 'significant computational costs' merely restates that idea with minimal added information.",No strong restoration rationale under the restoration rubric.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the RLHF pipeline incurs costs by training multiple LMs and sampling from the LM policy during training, specifically",significant computational costs.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the RLHF pipeline incurs costs by training multiple LMs and sampling from the LM policy during training, specifically significant computational costs.","While RLHF produces models with impressive conversational and coding abilities, the RLHF pipeline is considerably more complex than supervised learning, involving training multiple LMs and sampling from the LM policy in the loop of training, incurring significant computational costs.",Introduction
34,35,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""a language model,"" is a very generic short phrase with little conceptual specificity, making it too obvious and weak for constructing 5 meaningful multiple-choice options.",Target remains too generic or low-information for restoration.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors directly optimize a model to adhere to human preferences, without explicit reward modeling or reinforcement learning, namely",a language model.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors directly optimize a model to adhere to human preferences, without explicit reward modeling or reinforcement learning, namely a language model.","In this paper, we show how to directly optimize a language model to adhere to human preferences, without explicit reward modeling or reinforcement learning.",Introduction
55,56,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 (and effectively 5) because the target is the overly generic single word ""generalize,"" whereas the source fact’s meaningful answer is the fuller phrase ""generalize to instructions outside of the instruction-tuning set,"" making it too trivial and under-specified for a natural 5-option MCQA.",Target remains too generic or low-information for restoration.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the instruction-tuning procedure enables LLMs to",generalize,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the instruction-tuning procedure enables LLMs to generalize",This `instruction-tuning' procedure enables LLMs to generalize to instructions outside of the instruction-tuning set and generally increase their usability \citep{chung2022scaling}.,Related Work
56,57,keep_rejected,tautological_stem|weak_distractor_space,"Unsuitable because the probe already states nearly the entire answer ('human judgments of response quality') and only asks for the missing adjective 'relative,' making it effectively tautological and too trivial for meaningful 5-option MCQA distractors (criteria 1 and 3).",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the type of human judgments of response quality that are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences, are",\textit{relative} human judgments of response quality,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the type of human judgments of response quality that are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences, are \textit{relative} human judgments of response quality","Despite the success of instruction tuning, \textit{relative} human judgments of response quality are often easier to collect than expert demonstrations, and thus subsequent works have fine-tuned LLMs with datasets of human preferences, improving proficiency in translation \citep{kreutzer-etal-2018-reliability}, summarization \citep{stiennon2022learning,ziegler2020finetuning}, story-telling \citep{ziegler2020finetuning}, and instruction-following \citep{ouyang2022training,ramamurthy2023is}.",Related Work
57,58,keep_rejected,tautological_stem|weak_distractor_space,"It fails criterion 1 because the probe already paraphrases the answer—'relative human judgments of response quality' essentially restates 'human preferences,' making the completion tautological.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", subsequent works have fine-tuned LLMs with datasets of a form based on relative human judgments of response quality, given that such judgments are often easier to collect than expert demonstrations, namely",human preferences.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", subsequent works have fine-tuned LLMs with datasets of a form based on relative human judgments of response quality, given that such judgments are often easier to collect than expert demonstrations, namely human preferences.","Despite the success of instruction tuning, \textit{relative} human judgments of response quality are often easier to collect than expert demonstrations, and thus subsequent works have fine-tuned LLMs with datasets of human preferences, improving proficiency in translation \citep{kreutzer-etal-2018-reliability}, summarization \citep{stiennon2022learning,ziegler2020finetuning}, story-telling \citep{ziegler2020finetuning}, and instruction-following \citep{ouyang2022training,ramamurthy2023is}.",Related Work
63,64,keep_rejected,near_binary_answer_space,"It is unsuitable under criteria 3 and 4 because the target 'two bodies of work' is a generic, low-information phrase and does not support five meaningful, discriminative answer choices.",Answer space is too narrow for robust five-option MCQA.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the methods that leverage LLMs fine-tuned for instruction following with human feedback to generate additional synthetic preference data are described as a convergence of",two bodies of work.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the methods that leverage LLMs fine-tuned for instruction following with human feedback to generate additional synthetic preference data are described as a convergence of two bodies of work.","These methods represent a convergence of two bodies of work: one body of work on training language models with reinforcement learning for a variety of objectives~\citep{Ranzato2015SequenceLT,paulus2018a,wu2018learning} and another body of work on general methods for learning from human preferences \citep{christiano2017deep,kupcsik2018learning}.",Related Work
69,70,keep_rejected,tautological_stem|weak_distractor_space,"It fails criterion 1 because the target 'several approaches' merely restates the probe’s wording about 'approaches proposed' with a vague quantifier, making the completion essentially tautological rather than a distinct concept suitable for meaningful distractors.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", outside of the context of language, the number of approaches proposed for learning policies from preferences in both bandit and reinforcement learning settings is",several approaches.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", outside of the context of language, the number of approaches proposed for learning policies from preferences in both bandit and reinforcement learning settings is several approaches.","Outside of the context of language, learning policies from preferences has been studied in both bandit and reinforcement learning settings, and several approaches have been proposed.",Related Work
72,73,keep_rejected,near_binary_answer_space,"Unsuitable because the target is a trivially short binary-style term ('online') contrasted directly with 'offline' in the probe, making meaningful 5-option distractors unnatural (criteria 3 and 4).",Answer space is too narrow for robust five-option MCQA.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the contextual dueling bandit (CDB) setting, preference labels are given during interaction rather than from a fixed batch of offline preference-annotated action pairs,",online.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the contextual dueling bandit (CDB) setting, preference labels are given during interaction rather than from a fixed batch of offline preference-annotated action pairs, online.","However, in the CDB setting, preference labels are given online, while in learning from human preferences, we typically learn from a fixed batch of offline preference-annotated action pairs \citep{yan2022human}.",Related Work
78,79,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 1 and 3 because the completion is an obvious, generic single word strongly cued by the probe itself—especially given the paper title 'Direct Preference Optimization' and the phrase 'optimize a policy to satisfy ___,' which makes 'preferences' essentially tautological.",Target remains too generic or low-information for restoration.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors’ single-stage policy learning approach directly optimizes a policy to satisfy",preferences.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors’ single-stage policy learning approach directly optimizes a policy to satisfy preferences.",We instead present a single stage policy learning approach that directly optimizes a policy to satisfy preferences.,Related Work
82,83,keep_rejected,unsupported_or_unclear,"It fails criterion 5 because the probe is incompletely formulated—'the authors use the notation' does not specify what the notation refers to, so the answer cannot be uniquely and properly recovered from the question alone.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors use the notation",$y_w\succ y_l \mid x$.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors use the notation $y_w\succ y_l \mid x$.","These are then presented to human labelers who express preferences for one answer, denoted as $y_w\succ y_l \mid x$ where $y_w$ and $y_l$ denotes the preferred and dispreferred completion amongst $(y_1, y_2)$ respectively.",Preliminaries
96,97,restore,numeric_memorization|filter_overstrict,"Unsuitable because the target is a trivially short numeric value ('$0$'), making it hard to construct five meaningful, conceptually distinct distractors beyond arbitrary numbers (criteria 3 and 4).",Reward normalization value is exact source-backed numeric recall.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", to ensure a reward function with lower variance, prior works normalize the rewards so that, for all $x$, \(\mathbb{E}_{x,y\sim \mathcal{D}}\left[r_\phi(x, y)\right]\) takes the value",$0$.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", to ensure a reward function with lower variance, prior works normalize the rewards so that, for all $x$, \(\mathbb{E}_{x,y\sim \mathcal{D}}\left[r_\phi(x, y)\right]\) takes the value $0$.","To ensure a reward function with lower variance, prior works normalize the rewards, such that  $\mathbb{E}_{x,y\sim \mathcal{D}}\left[r_\phi(x, y)\right] = 0$ for all $x$.",Preliminaries
117,118,restore,formula_or_symbol_memorization|filter_overstrict,"It is unsuitable under criterion 3 because the target is merely a very short notation symbol ($\pi_r$), making the question a trivial recall of variable naming rather than a concept with enough depth for 5 meaningful options.",Optimal-policy notation is source-specific and can be contrasted with nearby policy symbols.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", Eq.~\ref{eq:op_policy} can be rearranged to express the reward function in terms of its corresponding optimal policy. The notation used for that optimal policy is",$\pi_r$.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", Eq.~\ref{eq:op_policy} can be rearranged to express the reward function in terms of its corresponding optimal policy. The notation used for that optimal policy is $\pi_r$.","However, we can rearrange Eq.~\ref{eq:op_policy} to express the reward function in terms of its corresponding optimal policy $\pi_r$, the reference policy $\pi_\text{ref}$, and the unknown partition function $Z(\cdot)$.",Direct Preference Optimization
120,121,keep_rejected,weak_distractor_space,"It is unsuitable under criterion 1 because the probe already cues the answer as 'the corresponding model,' so the target 'optimal model π*' is largely just completing an obvious paraphrase rather than identifying a distinct concept.",No strong restoration rationale under the restoration rubric.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the reparameterization can be applied together with the ground-truth reward $r^*$ to the corresponding model, the",optimal model $\pi^*$.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the reparameterization can be applied together with the ground-truth reward $r^*$ to the corresponding model, the optimal model $\pi^*$.",We can apply this reparameterization to the ground-truth reward $r^*$ and corresponding optimal model $\pi^*$.,Direct Preference Optimization
124,125,keep_rejected,unsupported_or_unclear,"It is incorrectly formulated (criterion 5): the source says the preference probability is expressed in terms of the optimal policy rather than the reward model, and the target 'the optimal policy' is also too generic to support meaningful 5-way distractors.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the derivation of the DPO maximum likelihood objective for a parametrized policy $\pi_\theta$, the probability of human preference data is expressed in terms of the reward model, yielding",the optimal policy.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the derivation of the DPO maximum likelihood objective for a parametrized policy $\pi_\theta$, the probability of human preference data is expressed in terms of the reward model, yielding the optimal policy.","Now that we have the probability of human preference data in terms of the optimal policy rather than the reward model, we can formulate a maximum likelihood objective for a parametrized policy $\pi_\theta$.",Direct Preference Optimization
128,129,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable because the target is just a generic sentence-completion phrase rather than a distinct concept, making it tautological in context and hard to generate five meaningful distractors (criteria 1 and 4).",Target remains too generic or low-information for restoration.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors say that their procedure enjoys certain theoretical properties, such as consistencies under suitable assumption of",the preference data distribution.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors say that their procedure enjoys certain theoretical properties, such as consistencies under suitable assumption of the preference data distribution.","Moreover, since our procedure is equivalent to fitting a reparametrized Bradley-Terry model, it enjoys certain theoretical properties, such as consistencies under suitable assumption of the preference data distribution \cite{bong2022generalized}.",Direct Preference Optimization
129,130,keep_rejected,tautological_stem|weak_distractor_space,"Unsuitable because the target is effectively already exposed in the probe text via the mention of preferred and dispreferred completions (y_w, y_l), making the completion tautological and violating criterion 2 (and effectively 1).",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", and using the intuition given for the DPO loss $\mathcal{L}_\text{DPO}$ on preferred and dispreferred completions $(y_w, y_l)$, the gradient increases the likelihood of",the preferred completions $y_w$,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", and using the intuition given for the DPO loss $\mathcal{L}_\text{DPO}$ on preferred and dispreferred completions $(y_w, y_l)$, the gradient increases the likelihood of the preferred completions $y_w$","Intuitively, the gradient of the loss function $\mathcal{L}_\text{DPO}$ increases the likelihood of the preferred completions $y_w$ and decreases the likelihood of dispreferred completions $y_l$.",Direct Preference Optimization
146,147,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target is the trivially obvious generic word ""classes"" given the phrasing ""partitions the set ... into,"" making it hard to form meaningful 5-way distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the equivalence relation on reward functions partitions the set of reward functions into",classes.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the equivalence relation on reward functions partitions the set of reward functions into classes.","It is easy to see that this is indeed an equivalence relation, which partitions the set of reward functions into classes.",Theoretical Analysis of DPO
160,161,keep_rejected,unsupported_or_unclear,"It fails criterion 5 because the probe/answer is incompletely formulated—the source fact says the normalized reward remains in the equivalence class of r(x, y), whereas the target given is only the fragment 'the equivalence class.'","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the fact that the added normalization term depends only on the prefix $x$ implies that $f(r; \pi_\text{ref}, \beta)(x, y)$ is a reward function in",the equivalence class.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the fact that the added normalization term depends only on the prefix $x$ implies that $f(r; \pi_\text{ref}, \beta)(x, y)$ is a reward function in the equivalence class.","Since the added normalization term is only a function of the prefix $x$, $f(r; \pi_\text{ref}, \beta)(x, y) $ is a reward function in the equivalence class of $r(x, y)$.",Theoretical Analysis of DPO
165,166,keep_rejected,too_generic_target|weak_distractor_space,"Unsuitable under criterion 3 because the target 'instabilities' is too short and generic on its own, making it hard to distinguish meaningfully among five plausible options without the more specific context of actor-critic algorithms/PPO.",Target remains too generic or low-information for restoration.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors' framework can be used to diagnose",instabilities.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors' framework can be used to diagnose instabilities.","We can also use our framework to diagnose instabilities with standard actor-critic algorithms used for the RLHF, such as PPO.",Theoretical Analysis of DPO
