Title: Clinical Q&A about the case report: "Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"

### [Pathophysiology] What genetic testing approach was used to confirm the HNF1A mutation in this case, and what ACMG criteria support the classification of the novel p.N270S variant as pathogenic?

**Answer**

The patient’s variant was identified by a **next‑generation sequencing (NGS) MODY panel** that interrogated all exons of the 15 genes most commonly associated with MODY. The panel, applied to the patient’s genomic DNA, revealed a single‑nucleotide change c.809A>G in exon 4 of **HNF1A**, producing the missense change **p.N270S** (Asn→Ser at codon 270). The variant was present in heterozygosity, segregating with diabetes in the mother and maternal grandmother, and was absent in the patient’s unaffected brother.

To classify the novel variant as pathogenic, the authors applied the **American College of Medical Genetics and Genomics (ACMG) 2015 guidelines**. The following criteria were met:

| ACMG Criterion | Evidence in this case | Interpretation |
|----------------|-----------------------|----------------|
| **PVS1 (null variant in a gene where loss of function is a known mechanism)** | Not applicable – missense. |
| **PS1 (same amino‑acid change as a previously established pathogenic variant)** | None – novel residue. |
| **PS2/PS3/PS4 (segregation evidence)** | *PS4*: The variant co‑segregated with early‑onset diabetes in the mother and maternal grandmother, and was absent in an unaffected sibling. |
| **PM1 (located in a mutational hot‑spot or critical domain)** | *PM1*: The variant lies in the DNA‑binding domain of HNF1A, a region with a high density of pathogenic mutations. |
| **PM2 (absent from controls)** | *PM2*: The variant is not present in large population databases (gnomAD, ExAC, 1000 Genomes). |
| **PM3 (detected in trans with a pathogenic variant)** | Not applicable. |
| **PM4 (protein length change)** | Not applicable. |
| **PM5 (novel missense at a residue where another pathogenic missense has been seen)** | *PM5*: The adjacent residue N269 is known to harbor pathogenic mutations; a substitution at the neighboring residue is therefore highly suggestive. |
| **PP1 (co‑segregation with disease)** | *PP1 strong*: Segregation with diabetes in the mother and maternal grandmother. |
| **PP2 (missense in a gene where missense variants are a common mechanism)** | *PP2*: HNF1A pathogenicity is predominantly due to missense changes. |
| **PP3 (computational evidence supporting deleterious effect)** | *PP3*: In silico predictors (e.g., AlphaMissense score 0.995, SIFT, PolyPhen‑2) all predict a damaging effect. |
| **PP4 (patient’s phenotype matches disease)** | *PP4*: Early‑onset diabetes with preserved C‑peptide, glycosuria, negative autoantibodies, and a strong family history—all classic for HNF1A‑MODY. |

Combining **one very strong (PP1) and several moderate/strong criteria** (PM1, PM2, PM5, PP2, PP3, PP4) fulfills the ACMG “Pathogenic” classification (≥1 very strong + ≥2 moderate/strong). Thus, the novel **p.N270S** variant is classified as **pathogenic** for HNF1A‑MODY.
