step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,0.0,3,D,0
0,1,1.0,0,A,0
0,2,0.0,1,B,0
0,3,0.0,0,A,3
0,4,1.0,3,D,3
0,5,0.0,1,B,4
0,6,1.0,0,A,0
0,7,1.0,0,A,0
0,8,1.0,0,A,0
0,9,0.0,2,C,1
0,10,0.0,0,A,3
0,11,0.0,2,C,4
0,12,0.0,0,A,3
0,13,0.0,4,E,0
0,14,0.0,0,A,2
0,15,0.0,3,D,2
0,16,0.0,3,D,0
0,17,0.0,4,E,2
0,18,1.0,2,C,2
0,19,0.0,3,D,1
0,20,0.0,0,A,2
0,21,1.0,4,E,4
0,22,1.0,0,A,0
0,23,1.0,0,A,0
0,24,0.0,4,E,0
0,25,0.0,3,D,1
0,26,0.0,0,A,3
0,27,1.0,3,D,3
0,28,0.0,0,A,3
0,29,1.0,2,C,2
0,30,0.0,0,A,2
0,31,0.0,1,B,3
0,32,0.0,1,B,4
0,33,1.0,0,A,0
0,34,0.0,1,B,0
0,35,0.0,1,B,3
0,36,0.0,4,E,2
0,37,1.0,0,A,0
0,38,0.0,3,D,4
0,39,0.0,2,C,4
0,40,0.0,0,A,1
0,41,1.0,0,A,0
0,42,0.0,1,B,2
0,43,1.0,2,C,2
0,44,1.0,4,E,4
0,45,0.0,3,D,1
0,46,0.0,0,A,2
0,47,1.0,2,C,2
0,48,0.0,1,B,2
0,49,0.0,0,A,3
0,50,0.0,0,A,4
0,51,1.0,2,C,2
0,52,0.0,0,A,2
0,53,1.0,1,B,1
0,54,0.0,4,E,2
0,55,1.0,0,A,0
0,56,1.0,1,B,1
0,57,0.0,4,E,2
0,58,0.0,2,C,4
0,59,1.0,0,A,0
0,60,1.0,1,B,1
0,61,1.0,2,C,2
0,62,0.0,0,A,4
0,63,1.0,3,D,3
0,64,0.0,1,B,0
0,65,0.0,2,C,0
0,66,1.0,2,C,2
0,67,1.0,2,C,2
0,68,1.0,2,C,2
0,69,1.0,2,C,2
0,70,0.0,1,B,2
0,71,1.0,0,A,0
0,72,0.0,3,D,1
0,73,0.0,4,E,1
0,74,0.0,0,A,4
0,75,1.0,4,E,4
0,76,0.0,2,C,0
0,77,0.0,4,E,3
0,78,0.0,0,A,2
0,79,0.0,0,A,4
0,80,1.0,2,C,2
0,81,0.0,4,E,3
0,82,0.0,0,A,1
0,83,0.0,2,C,4
0,84,0.0,0,A,3
0,85,0.0,0,A,3
0,86,1.0,3,D,3
0,87,1.0,4,E,4
0,88,1.0,1,B,1
0,89,1.0,2,C,2
0,90,0.0,1,B,4
0,91,0.0,1,B,0
0,92,1.0,0,A,0
0,93,1.0,0,A,0
0,94,1.0,2,C,2
0,95,0.0,4,E,3
0,96,0.0,1,B,0
0,97,0.0,3,D,4
0,98,1.0,4,E,4
0,99,0.0,3,D,0
0,100,1.0,0,A,0
0,101,0.0,3,D,4
0,102,0.0,3,D,4
0,103,0.0,2,C,3
0,104,0.0,4,E,3
0,105,0.0,0,A,3
0,106,0.0,0,A,4
0,107,1.0,1,B,1
0,108,0.0,4,E,3
0,109,1.0,4,E,4
0,110,1.0,0,A,0
0,111,1.0,4,E,4
0,112,0.0,0,A,2
0,113,1.0,0,A,0
0,114,0.0,0,A,4
0,115,0.0,2,C,1
0,116,0.0,4,E,1
0,117,0.0,3,D,1
0,118,0.0,0,A,2
0,119,0.0,3,D,4
0,120,0.0,2,C,0
0,121,0.0,0,A,1
0,122,0.0,0,A,4
0,123,0.0,1,B,4
4,0,0.0,3,D,0
4,1,1.0,0,A,0
4,2,0.0,1,B,0
4,3,0.0,0,A,3
4,4,1.0,3,D,3
4,5,0.0,1,B,4
4,6,1.0,0,A,0
4,7,1.0,0,A,0
4,8,1.0,0,A,0
4,9,0.0,2,C,1
4,10,0.0,0,A,3
4,11,0.0,2,C,4
4,12,0.0,0,A,3
4,13,0.0,4,E,0
4,14,0.0,0,A,2
4,15,0.0,3,D,2
4,16,0.0,3,D,0
4,17,0.0,4,E,2
4,18,1.0,2,C,2
4,19,0.0,3,D,1
4,20,0.0,0,A,2
4,21,1.0,4,E,4
4,22,1.0,0,A,0
4,23,1.0,0,A,0
4,24,0.0,4,E,0
4,25,0.0,3,D,1
4,26,0.0,0,A,3
4,27,1.0,3,D,3
4,28,0.0,0,A,3
4,29,1.0,2,C,2
4,30,0.0,0,A,2
4,31,0.0,1,B,3
4,32,0.0,1,B,4
4,33,1.0,0,A,0
4,34,0.0,1,B,0
4,35,0.0,1,B,3
4,36,0.0,4,E,2
4,37,1.0,0,A,0
4,38,0.0,3,D,4
4,39,0.0,2,C,4
4,40,0.0,0,A,1
4,41,1.0,0,A,0
4,42,0.0,1,B,2
4,43,1.0,2,C,2
4,44,1.0,4,E,4
4,45,0.0,3,D,1
4,46,0.0,0,A,2
4,47,1.0,2,C,2
4,48,0.0,1,B,2
4,49,0.0,0,A,3
4,50,0.0,0,A,4
4,51,1.0,2,C,2
4,52,0.0,0,A,2
4,53,1.0,1,B,1
4,54,0.0,4,E,2
4,55,1.0,0,A,0
4,56,1.0,1,B,1
4,57,0.0,4,E,2
4,58,0.0,2,C,4
4,59,1.0,0,A,0
4,60,1.0,1,B,1
4,61,1.0,2,C,2
4,62,0.0,0,A,4
4,63,1.0,3,D,3
4,64,0.0,1,B,0
4,65,0.0,2,C,0
4,66,1.0,2,C,2
4,67,1.0,2,C,2
4,68,1.0,2,C,2
4,69,1.0,2,C,2
4,70,0.0,1,B,2
4,71,1.0,0,A,0
4,72,0.0,3,D,1
4,73,0.0,4,E,1
4,74,0.0,0,A,4
4,75,1.0,4,E,4
4,76,0.0,2,C,0
4,77,0.0,4,E,3
4,78,0.0,0,A,2
4,79,0.0,0,A,4
4,80,1.0,2,C,2
4,81,0.0,4,E,3
4,82,0.0,0,A,1
4,83,0.0,2,C,4
4,84,0.0,0,A,3
4,85,0.0,0,A,3
4,86,1.0,3,D,3
4,87,1.0,4,E,4
4,88,1.0,1,B,1
4,89,1.0,2,C,2
4,90,0.0,1,B,4
4,91,0.0,1,B,0
4,92,1.0,0,A,0
4,93,1.0,0,A,0
4,94,1.0,2,C,2
4,95,0.0,4,E,3
4,96,0.0,3,D,0
4,97,0.0,3,D,4
4,98,1.0,4,E,4
4,99,0.0,3,D,0
4,100,1.0,0,A,0
4,101,0.0,3,D,4
4,102,0.0,3,D,4
4,103,0.0,2,C,3
4,104,0.0,4,E,3
4,105,0.0,0,A,3
4,106,0.0,0,A,4
4,107,1.0,1,B,1
4,108,0.0,4,E,3
4,109,1.0,4,E,4
4,110,0.0,1,B,0
4,111,1.0,4,E,4
4,112,0.0,0,A,2
4,113,1.0,0,A,0
4,114,0.0,0,A,4
4,115,0.0,2,C,1
4,116,0.0,4,E,1
4,117,0.0,3,D,1
4,118,0.0,0,A,2
4,119,0.0,3,D,4
4,120,0.0,2,C,0
4,121,0.0,0,A,1
4,122,0.0,0,A,4
4,123,0.0,1,B,4
8,0,1.0,0,A,0
8,1,1.0,0,A,0
8,2,0.0,1,B,0
8,3,0.0,0,A,3
8,4,1.0,3,D,3
8,5,0.0,1,B,4
8,6,1.0,0,A,0
8,7,1.0,0,A,0
8,8,1.0,0,A,0
8,9,0.0,2,C,1
8,10,0.0,2,C,3
8,11,0.0,2,C,4
8,12,0.0,0,A,3
8,13,0.0,4,E,0
8,14,0.0,0,A,2
8,15,0.0,3,D,2
8,16,0.0,3,D,0
8,17,0.0,4,E,2
8,18,1.0,2,C,2
8,19,0.0,3,D,1
8,20,0.0,0,A,2
8,21,0.0,0,A,4
8,22,1.0,0,A,0
8,23,1.0,0,A,0
8,24,0.0,4,E,0
8,25,0.0,3,D,1
8,26,0.0,0,A,3
8,27,1.0,3,D,3
8,28,0.0,2,C,3
8,29,1.0,2,C,2
8,30,0.0,0,A,2
8,31,0.0,1,B,3
8,32,0.0,1,B,4
8,33,0.0,1,B,0
8,34,0.0,1,B,0
8,35,0.0,1,B,3
8,36,0.0,4,E,2
8,37,1.0,0,A,0
8,38,0.0,3,D,4
8,39,0.0,2,C,4
8,40,0.0,0,A,1
8,41,0.0,3,D,0
8,42,0.0,1,B,2
8,43,1.0,2,C,2
8,44,0.0,3,D,4
8,45,0.0,3,D,1
8,46,0.0,0,A,2
8,47,0.0,1,B,2
8,48,0.0,1,B,2
8,49,0.0,0,A,3
8,50,0.0,0,A,4
8,51,1.0,2,C,2
8,52,0.0,0,A,2
8,53,1.0,1,B,1
8,54,0.0,4,E,2
8,55,1.0,0,A,0
8,56,1.0,1,B,1
8,57,0.0,4,E,2
8,58,0.0,0,A,4
8,59,1.0,0,A,0
8,60,1.0,1,B,1
8,61,1.0,2,C,2
8,62,0.0,0,A,4
8,63,0.0,2,C,3
8,64,0.0,1,B,0
8,65,0.0,2,C,0
8,66,1.0,2,C,2
8,67,1.0,2,C,2
8,68,1.0,2,C,2
8,69,1.0,2,C,2
8,70,0.0,1,B,2
8,71,0.0,3,D,0
8,72,0.0,3,D,1
8,73,0.0,0,A,1
8,74,0.0,0,A,4
8,75,1.0,4,E,4
8,76,0.0,2,C,0
8,77,0.0,4,E,3
8,78,0.0,0,A,2
8,79,0.0,0,A,4
8,80,0.0,0,A,2
8,81,0.0,4,E,3
8,82,0.0,3,D,1
8,83,1.0,4,E,4
8,84,0.0,0,A,3
8,85,0.0,0,A,3
8,86,1.0,3,D,3
8,87,1.0,4,E,4
8,88,1.0,1,B,1
8,89,1.0,2,C,2
8,90,0.0,1,B,4
8,91,0.0,2,C,0
8,92,1.0,0,A,0
8,93,1.0,0,A,0
8,94,1.0,2,C,2
8,95,0.0,4,E,3
8,96,0.0,1,B,0
8,97,0.0,3,D,4
