section,subsection,section_text,subsection_text,raw_knowledge_statement,target,fact,contextualized_question,valid_fact,probe
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.", tokenization-based LLM performance,"In the abstract of “Byte Latent Transformer: Patches Scale Better Than Tokens,” the newly proposed byte-level model is described as doing so at scale for the first time tokenization-based LLM performance","1. **Question:** According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what kind of LLM performance does the new byte-level architecture introduced in the abstract match at scale for the first time?  
   **Answer:** tokenization-based LLM performance",True,"In the abstract of “Byte Latent Transformer: Patches Scale Better Than Tokens,” the newly proposed byte-level model is described as doing so at scale for the first time"
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.", inference efficiency and robustness,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the Byte Latent Transformer is presented as a byte-level LLM design that, at scale, reaches tokenization-based LLM performance while also delivering major gains in inference efficiency and robustness","1. **Question:** According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", besides matching tokenization-based LLM performance at scale, what does the Byte Latent Transformer significantly improve?  
   **Answer:** inference efficiency and robustness",True,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the Byte Latent Transformer is presented as a byte-level LLM design that, at scale, reaches tokenization-based LLM performance while also delivering major gains in"
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation.", dynamically sized patches,"In ""Byte Latent Transformer: Patches Scale Better Than Tokens"", {\textsc BLT} represents bytes as the main computational units, namely dynamically sized patches","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", into what does {\textsc BLT} encode bytes, which then serve as the primary units of computation?

dynamically sized patches",True,"In ""Byte Latent Transformer: Patches Scale Better Than Tokens"", {\textsc BLT} represents bytes as the main computational units, namely"
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation.", dynamically sized patches.,"In ""Byte Latent Transformer: Patches Scale Better Than Tokens,"" BLT represents bytes as computational primitives that vary in size, specifically dynamically sized patches.","1. **Question:** In the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, what does the Byte Latent Transformer (BLT) encode bytes into, and what do those units serve as in the model’s computation?

   **Answer:** dynamically sized patches",True,"In ""Byte Latent Transformer: Patches Scale Better Than Tokens,"" BLT represents bytes as computational primitives that vary in size, specifically"
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it.", the entropy of the next byte,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT determines patch boundaries using the entropy of the next byte","**Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, what are the dynamically sized patches in BLT segmented based on?

**Answer:** the entropy of the next byte",True,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT determines patch boundaries using"
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it.", increased data complexity.,"In ""Byte Latent Transformer: Patches Scale Better Than Tokens"", if patch boundaries are chosen using the entropy of the next byte, the thing said to call for extra computation and greater model capacity is increased data complexity.","1. **Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, when patches are segmented based on the entropy of the next byte, what is described as demanding more compute and model capacity?  
   **Answer:** increased data complexity",True,"In ""Byte Latent Transformer: Patches Scale Better Than Tokens"", if patch boundaries are chosen using the entropy of the next byte, the thing said to call for extra computation and greater model capacity is"
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

",We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes., flop controlled scaling study,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a flop controlled scaling study","1. According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what kind of scaling study do the authors present for byte-level models up to 8B parameters and 4T training bytes?

   **Answer:** flop controlled scaling study",True,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a"
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

",We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes., 8B parameters.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the initial FLOP-controlled scaling experiment on byte-level models extends to 8B parameters.","**Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, up to how many parameters do the byte-level models reach in the first flop controlled scaling study described by the authors?  
**Answer:** 8B parameters",True,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the initial FLOP-controlled scaling experiment on byte-level models extends to"
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

",We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes., 4T training bytes.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the initial compute-matched scaling analysis for byte-level systems reached as much as 4T training bytes.","1. **Question:** According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", up to how many training bytes were used in the first flop-controlled scaling study of byte-level models?  
   **Answer:** 4T training bytes",True,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the initial compute-matched scaling analysis for byte-level systems reached as much as"
Title/Abstract,No Subsection,"\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

","\title{Byte Latent Transformer: Patches Scale Better Than Tokens}

\begin{abstract}
We introduce the Byte Latent Transformer ({\textsc BLT}), a new byte-level LLM architecture that, for the first time, matches tokenization-based LLM performance at scale with significant improvements in inference efficiency and robustness.
{\textsc BLT} encodes bytes into dynamically sized patches, which serve as the primary units of computation. Patches are segmented based on the entropy of the next byte, allocating more compute and model capacity where increased data complexity demands it. We present the first flop controlled scaling study of byte-level models up to 8B parameters and 4T training bytes. Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary. Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable, along with qualitative improvements on reasoning and long tail generalization. Overall, for fixed inference costs, {\textsc BLT} shows significantly better scaling than tokenization-based models, by simultaneously growing both patch and model size.
\end{abstract}

",Our results demonstrate the feasibility of scaling models trained on raw bytes without a fixed vocabulary., the feasibility,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the findings show that expanding models trained directly on raw bytes, with no fixed vocabulary, supports the feasibility","1. According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what do the results demonstrate about scaling models trained on raw bytes without a fixed vocabulary?

   Answer: the feasibility",True,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the findings show that expanding models trained directly on raw bytes, with no fixed vocabulary, supports"
