review_id,domain_group,document,mcqa_row_index,v13_original_row_index,v13_source_row_index,input_hash,question,answer,target,contextualized_question,raw_response
arxiv/1_58/0,arxiv,1_58,0,5,1,51cb72b1b9a180fa7a4a2c7743f1ef3cd84445744661af8280ed099dbc8622e0,What bottleneck had to be relaxed for BitNet b1.58 70B to support much larger batch sizes and achieve higher throughput?,GPU memory limit,GPU memory limit,"In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what limitation needed to be addressed for BitNet b1.58 70B to enable larger batch sizes and improve throughput?","{
  ""contextualized_question"": ""In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what limitation needed to be addressed for BitNet b1.58 70B to enable larger batch sizes and improve throughput?"",
  ""notes"": ""The question is designed to elicit the specific bottleneck that was identified in the document without directly referencing the answer.""
}"
arxiv/1_58/1,arxiv,1_58,1,6,2,6d275effb10c30ad754cac250bd5aa4c9074054b12813bac1cf565ad907ac4fe,"If a 1.58-bit MoE model could be placed entirely on a single chip, what overhead would vanish?",transferring activations across networks,transferring activations across networks,"In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what overhead is eliminated if a 1.58-bit MoE model is fully integrated onto a single chip?","{
  ""contextualized_question"": ""In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what overhead is eliminated if a 1.58-bit MoE model is fully integrated onto a single chip?"",
  ""notes"": ""The question is designed to assess understanding of the implications of integrating a 1.58-bit MoE model onto a single chip as discussed in the specified document.""
}"
arxiv/1_58/2,arxiv,1_58,2,4,0,cbab4c8f92d79efd3d3ac7a2c8bcbdb4fb2dfbed193ac7363b7383f0d92b1887,"According to the paper, BitNet b1.58 cuts inference cost by attacking which two major burdens of full-precision LLMs?",matrix multiplication and DRAM loading,matrix multiplication and DRAM loading,"In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what are the two primary challenges that BitNet b1.58 addresses to lower inference costs for full-precision LLMs?","{
  ""contextualized_question"": ""In the context of the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', what are the two primary challenges that BitNet b1.58 addresses to lower inference costs for full-precision LLMs?"",
  ""notes"": ""The question is designed to elicit the specific burdens addressed by BitNet b1.58 without directly referencing the answer.""
}"
arxiv/1_58/3,arxiv,1_58,3,12,4,3af97ef06c743f072dc2ff321cc3d2ad75cccfa4174866f134efc50e8f22079d,"According to the paper, what change in matrix multiplication mainly explains why BitNet b1.58 can be both more energy-efficient and faster than FP16 LLMs?",integer addition,integer addition,What change in matrix multiplication is highlighted in the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits' as a key factor for the improved energy efficiency and speed of BitNet b1.58 compared to FP16 LLMs?,"{
  ""contextualized_question"": ""What change in matrix multiplication is highlighted in the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits' as a key factor for the improved energy efficiency and speed of BitNet b1.58 compared to FP16 LLMs?"",
  ""notes"": ""The question is designed to elicit the specific change in matrix multiplication discussed in the paper without directly referencing the answer.""
}"
arxiv/BOFT/0,arxiv,BOFT,0,7,3,14889b3a3a7b28d53ed2a89c85eade24118a953ffb95ab6c41a690407d8908d6,"When BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, how does the parameter scaling change with dimension $d$?",from $d^2$ to $d\log d$,from $d^2$ to $d\log d$,"In the context of the BOFT paper, how does the use of a butterfly matrix affect the parameter scaling with respect to the dimension $d$?","{
  ""contextualized_question"": ""In the context of the BOFT paper, how does the use of a butterfly matrix affect the parameter scaling with respect to the dimension $d$?"",
  ""notes"": ""The question is designed to elicit the specific change in parameter scaling when comparing the butterfly matrix to a full dense orthogonal matrix, as discussed in the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization'.""
}"
arxiv/BOFT/1,arxiv,BOFT,1,8,4,c3568676630a6308e59715860ca18027cc93359bacc97aae395075dc69e0f92b,"From the paper's spectral argument, what advantage should orthogonal finetuning methods like BOFT have over LoRA?",training stability and generalization,training stability and generalization,"What advantages do orthogonal finetuning methods like BOFT offer in terms of training stability and generalization, as discussed in the BOFT paper?","{
  ""contextualized_question"": ""What advantages do orthogonal finetuning methods like BOFT offer in terms of training stability and generalization, as discussed in the BOFT paper?"",
  ""notes"": ""The question is designed to elicit the specific advantages mentioned in the paper without directly referencing the answer.""
}"
arxiv/BOFT/2,arxiv,BOFT,2,22,10,4dd46e3b387a720e32a74a2560d5dc47b920423288b83d1f69ee1706a62d0ace,"If block size $b$ is fixed, what must BOFT change from the OFT-equivalent setting to become more expressive than OFT?",increase m,increasing $m$,"In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what adjustment must BOFT make from the OFT-equivalent setting to enhance its expressiveness while keeping the block size fixed?","{
  ""contextualized_question"": ""In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what adjustment must BOFT make from the OFT-equivalent setting to enhance its expressiveness while keeping the block size fixed?"",
  ""notes"": ""The question is designed to assess understanding of the relationship between BOFT and OFT in terms of expressiveness and parameter adjustments.""
}"
arxiv/BOFT/3,arxiv,BOFT,3,23,11,6e90d6110a0ed4b1ec418bad1514937379efdff13d60c802e7fec7fa0b20e9c0,Why would expanding BOFT to represent the entire orthogonal group not necessarily give the best finetuning performance?,the expressivity-regularity trade-off,the expressivity-regularity trade-off,"In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the reason that expanding BOFT to represent the entire orthogonal group may not lead to optimal finetuning performance?","{
  ""contextualized_question"": ""In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the reason that expanding BOFT to represent the entire orthogonal group may not lead to optimal finetuning performance?"",
  ""notes"": ""The question is designed to elicit the specific concept of the expressivity-regularity trade-off without directly referencing it.""
}"
arxiv/BOFT/4,arxiv,BOFT,4,5,2,50ba60a5e8af27aa290444c9555250f675ba7da24cdd56dddcb380143243c227,Which structure is implied to meet the paper's graph desiderata by keeping full reachability while using far fewer edges than a dense matrix?,butterfly structure,butterfly structure,"In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what structure is suggested to achieve the desired graph properties of maintaining full reachability while utilizing significantly fewer edges than a dense matrix?","{
  ""contextualized_question"": ""In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what structure is suggested to achieve the desired graph properties of maintaining full reachability while utilizing significantly fewer edges than a dense matrix?"",
  ""notes"": ""The question is designed to assess understanding of the specific structure discussed in the paper that meets the outlined graph desiderata.""
}"
arxiv/BOFT/5,arxiv,BOFT,5,14,6,b8b90610240b573c69798978e764dbe2b5df861f53a3e4d640ff74045ca0ea00,"With block size $b$ fixed, if $m$ is increased from 1 to $\log(2d/b)$, BOFT moves from what kind of matrix to what kind of matrix?",block-diagonal to dense,block-diagonal to dense,"In the context of the BOFT paper, what transformation occurs in the matrix form when the parameter $m$ is increased from 1 to $\log(2d/b)$ while keeping the block size $b$ fixed?","{
  ""contextualized_question"": ""In the context of the BOFT paper, what transformation occurs in the matrix form when the parameter $m$ is increased from 1 to $\\log(2d/b)$ while keeping the block size $b$ fixed?"",
  ""notes"": ""The question is designed to assess understanding of the relationship between the parameter $m$ and the resulting matrix form in the BOFT framework, as discussed in the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization'.""
}"
