domain_group,document,source_rows,draft_rows,v14_path,v14_mcqa_path
arxiv,1_58,4,4,probes/arxiv/1_58/inference/probes_v14.csv,probes/arxiv/1_58/inference/probes_v14_mcqa.csv
arxiv,BOFT,10,10,probes/arxiv/BOFT/inference/probes_v14.csv,probes/arxiv/BOFT/inference/probes_v14_mcqa.csv
arxiv,ByteLatent,16,16,probes/arxiv/ByteLatent/inference/probes_v14.csv,probes/arxiv/ByteLatent/inference/probes_v14_mcqa.csv
arxiv,DPO,4,4,probes/arxiv/DPO/inference/probes_v14.csv,probes/arxiv/DPO/inference/probes_v14_mcqa.csv
arxiv,FeatLLM,10,10,probes/arxiv/FeatLLM/inference/probes_v14.csv,probes/arxiv/FeatLLM/inference/probes_v14_mcqa.csv
arxiv,GRPO,9,9,probes/arxiv/GRPO/inference/probes_v14.csv,probes/arxiv/GRPO/inference/probes_v14_mcqa.csv
arxiv,GSPO,10,10,probes/arxiv/GSPO/inference/probes_v14.csv,probes/arxiv/GSPO/inference/probes_v14_mcqa.csv
arxiv,LongRoPE,13,13,probes/arxiv/LongRoPE/inference/probes_v14.csv,probes/arxiv/LongRoPE/inference/probes_v14_mcqa.csv
arxiv,OFT,13,13,probes/arxiv/OFT/inference/probes_v14.csv,probes/arxiv/OFT/inference/probes_v14_mcqa.csv
arxiv,QLoRA,18,18,probes/arxiv/QLoRA/inference/probes_v14.csv,probes/arxiv/QLoRA/inference/probes_v14_mcqa.csv
arxiv,fa3,18,18,probes/arxiv/fa3/inference/probes_v14.csv,probes/arxiv/fa3/inference/probes_v14_mcqa.csv
arxiv,xLSTM,17,17,probes/arxiv/xLSTM/inference/probes_v14.csv,probes/arxiv/xLSTM/inference/probes_v14_mcqa.csv
legal,America_First_Legal_Foundation_v_Jamieson_Greer,11,11,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/inference/probes_v14.csv,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/inference/probes_v14_mcqa.csv
legal,Apex_Bank_v_Cc_Serve_Corp,4,4,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v14.csv,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v14_mcqa.csv
legal,Bruce_Cohen_v_Consilio_LLC,6,6,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v14.csv,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v14_mcqa.csv
