domain,probe_index,decision,split_word_index,new_target,reason
Acute_neurological_Behets_disease_complicated_by_a_syndrome,49,ACCEPT,6,"headaches, behavioural changes, psychiatric symptoms and focal deficits.","Coherent symptom list after moved prefix."
Acute_neurological_Behets_disease_complicated_by_a_syndrome,50,ACCEPT,4,"inflammation, malignancy or certain medications.","Coherent causes after CNS prefix."
Acute_neurological_Behets_disease_complicated_by_a_syndrome,72,ACCEPT,4,the hypothalamus or other brain regions,"Natural anatomic completion."
Acute_neurological_Behets_disease_complicated_by_a_syndrome,87,ACCEPT,6,negative screening autoantibody test results,"Coherent diagnostic evidence."
Acute_neurological_Behets_disease_complicated_by_a_syndrome,131,ACCEPT,8,CSF of patients with acute neuro-BD.,"Clinically meaningful location and population."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,27,ACCEPT,3,"5 mg, two times per day","Natural dose completion."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,35,ACCEPT,7,blood transfusion,"Natural completion after need for."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,59,ACCEPT,7,supratherapeutic (100 U/mL) UFH,"Clinically meaningful concentration condition."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,66,ACCEPT,10,2 days of intravenous Ig administration.,"Specific treatment-duration completion."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,71,ACCEPT,1,"fondaparinux, 10 mg once daily by subcutaneous injection.","Coherent medication and dose."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,79,ACCEPT,8,long-term anticoagulation.,"Natural indication after moved dose prefix."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,81,ACCEPT,8,0.3 U/mL,"Specific concentration completion."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,84,REJECT,,,"Only short suffix is a generic patient population; no clear improvement."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,89,REJECT,,,"Short suffix would be a generic population and weak final answer."
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,96,ACCEPT,7,patient’s unusual clinical course,"Coherent clinical-course completion."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,4,ACCEPT,7,clinically significant malformations.,"Natural end of spectrum."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,11,ACCEPT,6,brief loss of consciousness.,"Clinically meaningful event detail."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,43,ACCEPT,11,normal.,"Natural investigation-result completion."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,53,ACCEPT,4,neural structures and available space,"Coherent mismatch components."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,67,ACCEPT,4,life-threatening hypoxaemia in CMI patients.,"Coherent severe complication."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,105,REJECT,,,"Available suffixes are awkward or too generic."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,107,ACCEPT,7,absence of diurnal variation.,"Coherent clinical finding."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,112,ACCEPT,7,annual MRI surveillance.,"Natural monitoring component."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,118,ACCEPT,13,conscious sensation.,"Clinically meaningful endpoint."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,128,ACCEPT,4,"full EEG monitoring, end-tidal capnography and video recording","Coherent polysomnography components."
Central_hypoventilation_and_choking_episodes_revealing_Chiar,144,ACCEPT,8,acute or prolonged respiratory insufficiency,"Coherent presentation type."
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,44,ACCEPT,17,mild myalgia,"Natural symptom completion."
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,52,ACCEPT,4,"ear, nose and throat (ENT) surgery services","Specific receiving service remains coherent."
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,56,ACCEPT,8,nasolabial folds,"Specific anatomic finding remains coherent."
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,61,ACCEPT,11,16 184 U/L.,"Specific CK value remains coherent."
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,74,ACCEPT,6,malignancy in the abdomen or pelvis,"Specific negative imaging finding remains coherent."
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,77,ACCEPT,8,bilateral distal iliopsoas muscles,"Specific muscle group remains coherent."
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,78,ACCEPT,9,abdomen and pelvis,"Specific final anatomic sites remain coherent."
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,122,REJECT,,,"Suffix would be generic and not clinically meaningful."
Immunemediated_necrotising_myopathy_following_semaglutide_tr,20,ACCEPT,10,cN-1A autoantibodies.,"Specific antibody remains coherent."
Immunemediated_necrotising_myopathy_following_semaglutide_tr,44,ACCEPT,5,twice the upper limit of normal,"Specific lab elevation range remains coherent."
Immunemediated_necrotising_myopathy_following_semaglutide_tr,52,ACCEPT,6,haemofiltration or haemodialysis.,"Specific avoided renal support remains coherent."
Immunemediated_necrotising_myopathy_following_semaglutide_tr,71,ACCEPT,4,functional status and overall health,"Specific improvement domain remains coherent."
Immunemediated_necrotising_myopathy_following_semaglutide_tr,73,ACCEPT,2,IVIG outside of her initial course during her hospitalisation.,"Shorter treatment phrase remains coherent."
Immunemediated_necrotising_myopathy_following_semaglutide_tr,74,ACCEPT,4,initial evaluation and treatment initiation,"Specific reference event remains coherent."
Immunemediated_necrotising_myopathy_following_semaglutide_tr,81,ACCEPT,6,distal quadriceps muscles,"Specific muscle group remains coherent."
Immunemediated_necrotising_myopathy_following_semaglutide_tr,82,ACCEPT,4,lateral aspect of the bilateral thighs,"Specific edema location remains coherent."
Immunemediated_necrotising_myopathy_following_semaglutide_tr,95,ACCEPT,2,IVIG beyond the initial course during her hospitalisation.,"Shorter treatment phrase remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,3,ACCEPT,1,"size, number and anatomical location of uterine masses.","Delivery factors remain coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,7,ACCEPT,1,distance between the myoma and the uterine cavity.,"Specific measurement remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,30,ACCEPT,6,left subphrenic space extending to the uterine fundus,"Specific lesion location remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,59,REJECT,,,"Useful suffixes are either too small or awkward."
Management_of_atypical_complicated_abdominal_masses_in_the_s,64,REJECT,,,"Suffix would be an awkward reason rather than the diagnosis."
Management_of_atypical_complicated_abdominal_masses_in_the_s,68,ACCEPT,3,longitudinal xiphos-pubic cut at 21 w+6 d after informed consent.,"Specific operative detail remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,71,ACCEPT,7,leiomyoma of the uterus,"Specific diagnosis remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,77,ACCEPT,10,100 mg intramuscularly per day until discharge.,"Specific dosing continuation remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,88,ACCEPT,10,expulsive phase of labour.,"Specific labour phase remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,97,ACCEPT,11,58×71 mm at both US and MRI imaging,"Specific size and imaging context remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,107,ACCEPT,13,stillbirth or neonatal death.,"Specific fetal risk remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,115,ACCEPT,10,delivery week,"Specific correlated variable remains coherent."
Management_of_atypical_complicated_abdominal_masses_in_the_s,120,ACCEPT,12,uterine myomas from the placenta,"Coherent specific anatomical suffix after moving the examination details into the probe."
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,83,ACCEPT,1,neurogenic changes in proximal and distal muscle groups.,"Clinically meaningful finding with chronic moved into the probe."
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,87,ACCEPT,6,predicted to be damaging to the protein function.,"Natural clinically meaningful suffix after the conserved residue clause is moved."
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,100,ACCEPT,2,"1000 µg daily for 5 days, then weekly for 4 weeks, followed by monthly maintenance.","Dose schedule remains coherent after moving the drug and route into the probe."
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,118,ACCEPT,3,post-transcriptionally acquired oligo(A) tails that target nuclear RNAs for degradation,"Specific molecular object remains clinically meaningful."
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,123,REJECT,,,"Shorter suffixes leave only the denominator or cohort and no longer serve as a natural reported-number target."
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,128,REJECT,,,"Useful answer is the four-of-five count and suffix-only shortening would make the target awkward or merely a parenthetical tool list."
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,144,ACCEPT,2,"tailored to symptom severity, organ transplantation needs and risk factor mitigation","Management description remains coherent after supportive and is moved."
