domain,probe_index,old_target_words,new_target_words,decision,accepted,validation_status,split_word_index,old_probe,old_target,new_probe,new_target,fact,reason
Acute_neurological_Behets_disease_complicated_by_a_syndrome,49,14,8,ACCEPT,True,accepted,6,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when Behçet’s disease and neuro-Behçet’s disease are diagnosed concurrently, clinicians should assess both"," mucocutaneous features and neurological symptoms, including headaches, behavioural changes, psychiatric symptoms and focal deficits.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when Behçet’s disease and neuro-Behçet’s disease are diagnosed concurrently, clinicians should assess both mucocutaneous features and neurological symptoms, including"," headaches, behavioural changes, psychiatric symptoms and focal deficits.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when Behçet’s disease and neuro-Behçet’s disease are diagnosed concurrently, clinicians should assess both mucocutaneous features and neurological symptoms, including headaches, behavioural changes, psychiatric symptoms and focal deficits.",Coherent symptom list after moved prefix.
Acute_neurological_Behets_disease_complicated_by_a_syndrome,50,9,5,ACCEPT,True,accepted,4,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", syndrome of inappropriate antidiuretic hormone secretion (SIADH) is often the result of"," central nervous system (CNS) inflammation, malignancy or certain medications.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", syndrome of inappropriate antidiuretic hormone secretion (SIADH) is often the result of central nervous system (CNS)"," inflammation, malignancy or certain medications.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", syndrome of inappropriate antidiuretic hormone secretion (SIADH) is often the result of central nervous system (CNS) inflammation, malignancy or certain medications.",Coherent causes after CNS prefix.
Acute_neurological_Behets_disease_complicated_by_a_syndrome,72,10,6,ACCEPT,True,accepted,4,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when the patient’s headache and vertigo worsened on day 3 and brain MRI was performed, the MRI showed", no significant abnormalities involving the hypothalamus or other brain regions,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when the patient’s headache and vertigo worsened on day 3 and brain MRI was performed, the MRI showed no significant abnormalities involving", the hypothalamus or other brain regions,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when the patient’s headache and vertigo worsened on day 3 and brain MRI was performed, the MRI showed no significant abnormalities involving the hypothalamus or other brain regions",Natural anatomic completion.
Acute_neurological_Behets_disease_complicated_by_a_syndrome,87,11,5,ACCEPT,True,accepted,6,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the differential diagnosis of this man in his 60s with fever, headache, and hyponatraemia, autoimmune diseases were excluded due to", absence of characteristic systemic symptoms and negative screening autoantibody test results,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the differential diagnosis of this man in his 60s with fever, headache, and hyponatraemia, autoimmune diseases were excluded due to absence of characteristic systemic symptoms and", negative screening autoantibody test results,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", during the differential diagnosis of this man in his 60s with fever, headache, and hyponatraemia, autoimmune diseases were excluded due to absence of characteristic systemic symptoms and negative screening autoantibody test results",Coherent diagnostic evidence.
Acute_neurological_Behets_disease_complicated_by_a_syndrome,131,14,6,ACCEPT,True,accepted,8,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in Behçet’s disease, aberrant monocyte activation leads to spontaneous IL-6 production, and", elevated IL-6 levels have been detected in the CSF of patients with acute neuro-BD.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in Behçet’s disease, aberrant monocyte activation leads to spontaneous IL-6 production, and elevated IL-6 levels have been detected in the", CSF of patients with acute neuro-BD.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in Behçet’s disease, aberrant monocyte activation leads to spontaneous IL-6 production, and elevated IL-6 levels have been detected in the CSF of patients with acute neuro-BD.",Clinically meaningful location and population.
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,27,9,6,ACCEPT,True,accepted,3,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a man in his 70s with a 2-year history of exertional dyspnea and longstanding atrial fibrillation was"," on oral apixaban 5 mg, two times per day","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a man in his 70s with a 2-year history of exertional dyspnea and longstanding atrial fibrillation was on oral apixaban"," 5 mg, two times per day","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a man in his 70s with a 2-year history of exertional dyspnea and longstanding atrial fibrillation was on oral apixaban 5 mg, two times per day",Natural dose completion.
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,35,9,2,ACCEPT,True,accepted,7,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the surgery proceeded uneventfully,", without major blood losses or need for blood transfusion,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the surgery proceeded uneventfully, without major blood losses or need for", blood transfusion,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the surgery proceeded uneventfully, without major blood losses or need for blood transfusion",Natural completion after need for.
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,59,11,4,ACCEPT,True,accepted,7,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient’s POD5 serum was tested in a serotonin-release assay after postoperative thrombocytopenia and suspected HIT, and there was", a lack of serotonin release (0%) at supratherapeutic (100 U/mL) UFH,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient’s POD5 serum was tested in a serotonin-release assay after postoperative thrombocytopenia and suspected HIT, and there was a lack of serotonin release (0%) at", supratherapeutic (100 U/mL) UFH,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient’s POD5 serum was tested in a serotonin-release assay after postoperative thrombocytopenia and suspected HIT, and there was a lack of serotonin release (0%) at supratherapeutic (100 U/mL) UFH",Clinically meaningful concentration condition.
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,66,16,6,ACCEPT,True,accepted,10,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient was treated for autoimmune HIT with high-dose intravenous Ig after cardiac surgery, the clinicians gave a third 100 g dose because of", lack of an initial platelet count increase following the initial 2 days of intravenous Ig administration.,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient was treated for autoimmune HIT with high-dose intravenous Ig after cardiac surgery, the clinicians gave a third 100 g dose because of lack of an initial platelet count increase following the initial", 2 days of intravenous Ig administration.,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient was treated for autoimmune HIT with high-dose intravenous Ig after cardiac surgery, the clinicians gave a third 100 g dose because of lack of an initial platelet count increase following the initial 2 days of intravenous Ig administration.",Specific treatment-duration completion.
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,71,9,8,ACCEPT,True,accepted,1,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after developing autoimmune HIT and worsening postoperative thrombocytopenia and being treated with argatroban, on postoperative day 14 the patient was switched to"," therapeutic-dose fondaparinux, 10 mg once daily by subcutaneous injection.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after developing autoimmune HIT and worsening postoperative thrombocytopenia and being treated with argatroban, on postoperative day 14 the patient was switched to therapeutic-dose"," fondaparinux, 10 mg once daily by subcutaneous injection.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after developing autoimmune HIT and worsening postoperative thrombocytopenia and being treated with argatroban, on postoperative day 14 the patient was switched to therapeutic-dose fondaparinux, 10 mg once daily by subcutaneous injection.",Coherent medication and dose.
