domain,probe_index,old_target_words,new_target_words,decision,accepted,validation_status,split_word_index,old_probe,old_target,new_probe,new_target,fact,reason
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,84,11,11,REJECT,False,rejected,,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the usual temporal window of HIT is", between POD5 and POD10 (inclusive) for patients who had cardiac surgery,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the usual temporal window of HIT is", between POD5 and POD10 (inclusive) for patients who had cardiac surgery,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the usual temporal window of HIT is between POD5 and POD10 (inclusive) for patients who had cardiac surgery",Only short suffix is a generic patient population; no clear improvement.
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,89,9,9,REJECT,False,rejected,,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a brisk correction of thrombocytopenia usually occurs when", high-dose intravenous Ig is given to patients with aHIT,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a brisk correction of thrombocytopenia usually occurs when", high-dose intravenous Ig is given to patients with aHIT,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", a brisk correction of thrombocytopenia usually occurs when high-dose intravenous Ig is given to patients with aHIT",Short suffix would be a generic population and weak final answer.
Central_hypoventilation_and_choking_episodes_revealing_Chiar,105,10,10,REJECT,False,rejected,,"In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient’s choking symptoms were initially considered possibly due to gastro-oesophageal reflux disease with laryngopharyngeal reflux, and normal pH studies, normal endoscopies and", lack of response to maximal acid suppression excluded this diagnosis.,"In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient’s choking symptoms were initially considered possibly due to gastro-oesophageal reflux disease with laryngopharyngeal reflux, and normal pH studies, normal endoscopies and", lack of response to maximal acid suppression excluded this diagnosis.,"In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the patient’s choking symptoms were initially considered possibly due to gastro-oesophageal reflux disease with laryngopharyngeal reflux, and normal pH studies, normal endoscopies and lack of response to maximal acid suppression excluded this diagnosis.",Available suffixes are awkward or too generic.
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,122,9,9,REJECT,False,rejected,,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", when comparing facial and neck swelling in prior dermatomyositis-associated oedema cases, the authors noted that", facial swelling was described in a number of cases,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", when comparing facial and neck swelling in prior dermatomyositis-associated oedema cases, the authors noted that", facial swelling was described in a number of cases,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", when comparing facial and neck swelling in prior dermatomyositis-associated oedema cases, the authors noted that facial swelling was described in a number of cases",Suffix would be generic and not clinically meaningful.
Management_of_atypical_complicated_abdominal_masses_in_the_s,59,12,12,REJECT,False,rejected,,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after ultrasound had shown a lower pelvic mass and a uterine myoma with cystic degeneration and a non-contrast MRI was performed, the cleavage of the caudal mass was not clear and the caudal mass seemed to be in continuity with", the posterior leiomyoma that had already been examined at the US evaluation,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after ultrasound had shown a lower pelvic mass and a uterine myoma with cystic degeneration and a non-contrast MRI was performed, the cleavage of the caudal mass was not clear and the caudal mass seemed to be in continuity with", the posterior leiomyoma that had already been examined at the US evaluation,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after ultrasound had shown a lower pelvic mass and a uterine myoma with cystic degeneration and a non-contrast MRI was performed, the cleavage of the caudal mass was not clear and the caudal mass seemed to be in continuity with the posterior leiomyoma that had already been examined at the US evaluation",Useful suffixes are either too small or awkward.
Management_of_atypical_complicated_abdominal_masses_in_the_s,64,12,12,REJECT,False,rejected,,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient was in the second trimester and the large upper abdominal mass had no identifiable connective stalk or tumour-feeding vessel because of the size of the pregnant uterus and the masses, which oriented the team toward ovarian masses, especially"," endometriomas, due to the slight positivity of CA-125 during the second-trimester pregnancy","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient was in the second trimester and the large upper abdominal mass had no identifiable connective stalk or tumour-feeding vessel because of the size of the pregnant uterus and the masses, which oriented the team toward ovarian masses, especially"," endometriomas, due to the slight positivity of CA-125 during the second-trimester pregnancy","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient was in the second trimester and the large upper abdominal mass had no identifiable connective stalk or tumour-feeding vessel because of the size of the pregnant uterus and the masses, which oriented the team toward ovarian masses, especially endometriomas, due to the slight positivity of CA-125 during the second-trimester pregnancy",Suffix would be an awkward reason rather than the diagnosis.
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,123,12,12,REJECT,False,rejected,,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", subsequent studies described an association between monoallelic PARN variants and sporadic idiopathic pulmonary fibrosis (IPF), and among patients with sporadic IPF who underwent whole-exome sequencing, the reported number with monoallelic PARN rare variants was", five out of 262 patients with sporadic IPF who underwent whole-exome sequencing,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", subsequent studies described an association between monoallelic PARN variants and sporadic idiopathic pulmonary fibrosis (IPF), and among patients with sporadic IPF who underwent whole-exome sequencing, the reported number with monoallelic PARN rare variants was", five out of 262 patients with sporadic IPF who underwent whole-exome sequencing,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", subsequent studies described an association between monoallelic PARN variants and sporadic idiopathic pulmonary fibrosis (IPF), and among patients with sporadic IPF who underwent whole-exome sequencing, the reported number with monoallelic PARN rare variants was five out of 262 patients with sporadic IPF who underwent whole-exome sequencing",Shorter suffixes leave only the denominator or cohort and no longer serve as a natural reported-number target.
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,128,14,14,REJECT,False,rejected,,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", in the discussion of the monoallelic PARN missense variant (c.613T>C; p.Cys205Arg), the number of in silico missense prediction tools said to predict a deleterious functional effect was"," four of five in silico missense prediction tools (LRT, Mutation Assessor, MutationTaster and SIFT).","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", in the discussion of the monoallelic PARN missense variant (c.613T>C; p.Cys205Arg), the number of in silico missense prediction tools said to predict a deleterious functional effect was"," four of five in silico missense prediction tools (LRT, Mutation Assessor, MutationTaster and SIFT).","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", in the discussion of the monoallelic PARN missense variant (c.613T>C; p.Cys205Arg), the number of in silico missense prediction tools said to predict a deleterious functional effect was four of five in silico missense prediction tools (LRT, Mutation Assessor, MutationTaster and SIFT).",Useful answer is the four-of-five count and suffix-only shortening would make the target awkward or merely a parenthetical tool list.
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,65,9,9,REJECT,False,rejected,,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the initial examination after the patient presented with anaphylaxis following oral clarithromycin found that", no swelling of the tongue or throat was observed.,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the initial examination after the patient presented with anaphylaxis following oral clarithromycin found that", no swelling of the tongue or throat was observed.,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", the initial examination after the patient presented with anaphylaxis following oral clarithromycin found that no swelling of the tongue or throat was observed.",Suffix-only options produce awkward fragments or invert the natural negative finding.
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,86,12,12,REJECT,False,rejected,,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", after the patient’s recurrent anaphylactic episodes showed slowly decreasing symptom intensity,", an expectant approach was considered to see if symptoms would resolve spontaneously.,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", after the patient’s recurrent anaphylactic episodes showed slowly decreasing symptom intensity,", an expectant approach was considered to see if symptoms would resolve spontaneously.,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", after the patient’s recurrent anaphylactic episodes showed slowly decreasing symptom intensity, an expectant approach was considered to see if symptoms would resolve spontaneously.",Only trivial or awkward suffixes are available and there is no clear improvement.
