source_file,row_index,accepted,attempts,note,old_token_jaccard,new_token_jaccard,old_char_ratio,new_char_ratio,old_longest_common_token_run,new_longest_common_token_run,original_probe,rewritten_probe,original_fact,rewritten_fact
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,0,True,0,reused accepted rewrite from /vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v14_low_overlap_strict.audit.csv,0.170732,0.148936,0.370732,0.217918,4,1,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after the pregnant patient was followed regularly after laparotomy and later underwent an elective caesarean delivery, the reported outcome after the delivery was","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", once the patient’s prenatal care continued on schedule after laparotomy and she later underwent a planned caesarean section, the outcome described after delivery was","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after the pregnant patient was followed regularly after laparotomy and later underwent an elective caesarean delivery, the reported outcome after the delivery was excellent maternal and neonatal outcome.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", once the patient’s prenatal care continued on schedule after laparotomy and she later underwent a planned caesarean section, the outcome described after delivery was excellent maternal and neonatal outcome."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,1,True,0,reused accepted rewrite from /vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v14_low_overlap_strict.audit.csv,0.260870,0.209302,0.451613,0.408654,5,3,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when evaluating large symptomatic masses during pregnancy, the safe imaging modality mentioned as being used alongside ultrasound for comprehensive assessment was","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", for pregnancy-related large symptomatic masses, the other safe imaging method cited with ultrasound for full assessment was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when evaluating large symptomatic masses during pregnancy, the safe imaging modality mentioned as being used alongside ultrasound for comprehensive assessment was non-contrast MRI.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", for pregnancy-related large symptomatic masses, the other safe imaging method cited with ultrasound for full assessment was non-contrast MRI."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,2,True,2,accepted,0.512195,0.156863,0.561886,0.300429,5,2,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that surgical management during pregnancy should be considered only when there is oncological suspicion or clinical complications, and in that context, while aiming to preserve the pregnancy, one should always avoid","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors indicate that an operation in pregnancy is justified solely if cancer is suspected or problems arise, and even then the objective is to keep the pregnancy going while avoiding","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that surgical management during pregnancy should be considered only when there is oncological suspicion or clinical complications, and in that context, while aiming to preserve the pregnancy, one should always avoid overtreatment.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors indicate that an operation in pregnancy is justified solely if cancer is suspected or problems arise, and even then the objective is to keep the pregnancy going while avoiding overtreatment."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,3,True,0,reused accepted rewrite from /vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v14_low_overlap_strict.audit.csv,0.281250,0.156250,0.317757,0.339223,8,2,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when uterine masses are present during pregnancy, the mode of delivery should depend on the following factors:","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the delivery approach for pregnant patients with uterine masses is determined by","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when uterine masses are present during pregnancy, the mode of delivery should depend on the following factors: the size, number and anatomical location of uterine masses.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the delivery approach for pregnant patients with uterine masses is determined by the size, number and anatomical location of uterine masses."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,4,False,3,absolute lexical overlap still too high (new token Jaccard 0.273 > 0.250 or new LCS 3 > 6; jaccard drop 0.172),0.444444,0.272727,0.538244,0.478873,12,3,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the diagnosis and management of atypical or symptomatic abdominal masses during pregnancy are described as","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", handling and identifying abdominal masses that are unusual or cause symptoms in pregnant patients are characterized as","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the diagnosis and management of atypical or symptomatic abdominal masses during pregnancy are described as significant clinical challenges.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", handling and identifying abdominal masses that are unusual or cause symptoms in pregnant patients are characterized as significant clinical challenges."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,5,True,0,reused accepted rewrite from /vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v14_low_overlap_strict.audit.csv,0.324324,0.142857,0.445000,0.291667,6,4,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that diagnostic options for atypical or symptomatic abdominal masses during pregnancy are limited to clinical examination, ultrasound with colour Doppler, and","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors state that when evaluating such masses in pregnancy, the available workup is essentially restricted to bedside assessment, ultrasound with colour Doppler, and","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that diagnostic options for atypical or symptomatic abdominal masses during pregnancy are limited to clinical examination, ultrasound with colour Doppler, and non-contrast MRI.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors state that when evaluating such masses in pregnancy, the available workup is essentially restricted to bedside assessment, ultrasound with colour Doppler, and non-contrast MRI."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,6,True,0,reused accepted rewrite from /vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v14_low_overlap_strict.audit.csv,0.444444,0.244898,0.662813,0.493827,11,4,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the imaging modality described as offering superior diagnostic accuracy for multiple, large, intramural, or posterior leiomyomas and as being able to precisely determine the distance between the myoma and the uterine cavity was","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the modality noted for the highest diagnostic precision in evaluating multiple, sizable, intramural, or posterior leiomyomas and for accurately measuring how far the myoma lies from the uterine cavity was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the imaging modality described as offering superior diagnostic accuracy for multiple, large, intramural, or posterior leiomyomas and as being able to precisely determine the distance between the myoma and the uterine cavity was MRI.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the modality noted for the highest diagnostic precision in evaluating multiple, sizable, intramural, or posterior leiomyomas and for accurately measuring how far the myoma lies from the uterine cavity was MRI."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,7,False,3,absolute lexical overlap still too high (new token Jaccard 0.279 > 0.250 or new LCS 7 > 6; jaccard drop 0.047),0.325581,0.279070,0.469194,0.422604,7,7,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was described as especially useful for multiple, large, intramural or posterior leiomyomas because it can precisely determine","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was noted as particularly helpful for multiple, large, intramural or posterior leiomyomas since it can accurately assess","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was described as especially useful for multiple, large, intramural or posterior leiomyomas because it can precisely determine the distance between the myoma and the uterine cavity.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was noted as particularly helpful for multiple, large, intramural or posterior leiomyomas since it can accurately assess the distance between the myoma and the uterine cavity."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,8,True,0,reused accepted rewrite from /vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v14_low_overlap_strict.audit.csv,0.225000,0.146341,0.245989,0.216374,3,2,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that serum CA-125 levels can show a physiological change during pregnancy before returning to normal later, and they physiologically rise during","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors remark that serum CA-125 may increase as a normal pregnancy-related finding and then return to baseline, and this occurs during","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that serum CA-125 levels can show a physiological change during pregnancy before returning to normal later, and they physiologically rise during the first trimester.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors remark that serum CA-125 may increase as a normal pregnancy-related finding and then return to baseline, and this occurs during the first trimester."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v13.csv,9,True,2,accepted,0.357143,0.250000,0.472131,0.414286,6,4,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", CA-125 levels are noted to physiologically rise during the first trimester of pregnancy and","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", CA-125 is described as increasing physiologically in the first trimester and","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", CA-125 levels are noted to physiologically rise during the first trimester of pregnancy and subsequently normalise.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", CA-125 is described as increasing physiologically in the first trimester and subsequently normalise."
