domain,probe_index,decision,split_word_index,new_target,reason
1_58,25,ACCEPT,6,the memory of an on-chip accelerator.,Leaves a meaningful destination suffix.
1_58,84,REJECT,,,No safe coherent suffix-only shortening from review.
BOFT,18,ACCEPT,3,adapt such models without retraining them from scratch.,Leaves a coherent verb phrase.
BOFT,107,ACCEPT,3,a learnable orthogonal matrix and the frozen pretrained weight matrix,Leaves a meaningful product complement.
BOFT,129,REJECT,,,No safe coherent suffix-only shortening from review.
BOFT,188,ACCEPT,4,"the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$",Leaves the referenced base pattern.
BOFT,220,ACCEPT,8,a general orthogonal matrix,Leaves a coherent object of approximation.
BOFT,270,ACCEPT,5,the most efficient way to transmit information,Leaves the unknown property.
BOFT,276,ACCEPT,2,deviate too much from the pretrained one.,Leaves a coherent verb phrase.
ByteLatent,42,ACCEPT,3,steps executed by the main Transformer,Leaves a meaningful determinant.
ByteLatent,75,ACCEPT,4,the vocabulary size and compute.,Leaves the two sides of the tradeoff.
ByteLatent,76,ACCEPT,4,the vocabulary size and compute.,Leaves the two sides of the tradeoff.
ByteLatent,89,ACCEPT,9,the continuation sequence,Leaves the dependency source.
ByteLatent,139,ACCEPT,6,the patch representations,Leaves a coherent source representation.
ByteLatent,178,ACCEPT,5,sequences with unusually large patches,Leaves the cause of memory spikes.
ByteLatent,192,REJECT,,,No safe coherent suffix-only shortening from review.
ByteLatent,197,ACCEPT,6,the byte or patch sequence.,Leaves the sequence type distinction.
ByteLatent,236,ACCEPT,2,ratio of model parameters to training data,Leaves a coherent ratio phrase.
ByteLatent,295,ACCEPT,4,2.5x the compute optimal budget.,Leaves the shifted endpoint.
ByteLatent,349,ACCEPT,9,model larger contexts.,Leaves a coherent capability.
ByteLatent,360,ACCEPT,2,the encoder hidden representation of the patch bytes,Leaves the pooled representation.
ByteLatent,413,ACCEPT,4,model size and number of training bytes.,Leaves the scale dimensions.
ByteLatent,461,ACCEPT,12,long sequence lengths.,Leaves the reason for high cost.
ByteLatent,463,ACCEPT,3,models should dynamically allocate compute where it is needed,Leaves the central proposition.
ByteLatent,466,ACCEPT,3,the flops during pre-training as well as inference.,Leaves the consumed resource.
ByteLatent,467,ACCEPT,9,"expressive patch representations, $p_j$.",Leaves the mapped output representation.
ByteLatent,472,ACCEPT,4,the previous decoder transformer layer,Leaves the source layer.
ByteLatent,478,ACCEPT,5,flops expended by byte-level LLMs.,Leaves the reduced quantity.
DPO,20,ACCEPT,3,high-quality coding ability present in its training data.,Leaves the desired ability.
DPO,21,ACCEPT,3,\emph{desired responses and behavior} from its very wide \textit{knowledge and abilities}.,Leaves the selected content.
DPO,106,REJECT,,,No safe coherent suffix-only shortening from review.
DPO,140,REJECT,,,No safe coherent suffix-only shortening from review.
DPO,155,ACCEPT,4,the equivalence class of $r$.,Leaves the equivalence class.
DPO,162,ACCEPT,3,the equivalence class of $r$ with the desired form.,Leaves a coherent class description.
DPO,230,ACCEPT,3,$N$ completions for every query at test time.,Specific suffix remains coherent after moving causal verb phrase.
DPO,281,REJECT,,,No safe coherent suffix-only shortening from review.
DPO,284,ACCEPT,2,"longer, more repetitive summaries than humans do",Comparison remains coherent after moving subject and verb.
FeatLLM,37,REJECT,,,No safe coherent suffix-only shortening from review.
FeatLLM,49,ACCEPT,4,inferring the relationship between features and targets.,Suffix remains the substantive task component.
FeatLLM,83,ACCEPT,4,tabular datasets beyond those related to the target task.,Suffix remains specific and meaningful.
FeatLLM,147,ACCEPT,4,the rules associated with that class.,Suffix is the specific condition being indicated.
FeatLLM,148,ACCEPT,9,natural language.,Suffix is the coherent basis after moving the setup.
FeatLLM,161,ACCEPT,3,rules of each class it satisfies,Suffix remains the counted object.
FeatLLM,163,ACCEPT,6,the same importance,Suffix remains the key comparison.
FeatLLM,190,ACCEPT,3,various weak learners created across multiple trials.,Suffix specifies the ensemble contents.
FeatLLM,215,ACCEPT,2,few-shot training samples into the input prompt without tuning.,Suffix remains the embedded object and modifier.
FeatLLM,254,ACCEPT,4,the prior knowledge of LLM,Suffix remains the specific knowledge source.
FeatLLM,285,ACCEPT,2,rules per class to extract during each LLM query.,Suffix remains the hyperparameter being counted.
FeatLLM,286,ACCEPT,12,rules per class to extract during each LLM query.,Suffix remains the second hyperparameter.
FeatLLM,297,ACCEPT,5,relevant finance or healthcare related text.,Suffix remains the pretraining content.
GRPO,106,ACCEPT,6,a set of positive examples that lacks sufficient diversity,Suffix remains the deficient training set.
GRPO,223,ACCEPT,3,a value function that is accurate at each token,Suffix remains the training object.
GRPO,226,ACCEPT,3,the outputs inside each group only.,Suffix remains the scope of relative rewards.
GRPO,235,ACCEPT,8,the group standard deviation.,Suffix remains the divisor after moving the normalization operation.
GRPO,321,ACCEPT,8,the correctness of the answer,Suffix remains the basis for judging response quality.
GRPO,322,ACCEPT,2,a reward model to score each response.,Suffix remains the trained model and purpose.
GRPO,341,ACCEPT,4,the outputs sampled from the policy model.,Suffix remains the paired sampled outputs.
GRPO,392,ACCEPT,2,a large-scale general corpus created by DeepSeek-AI,Suffix remains the sampling source.
GSPO,29,REJECT,,,No safe coherent suffix-only shortening from review.
GSPO,34,REJECT,,,Formula suffix did not pass verbatim source validation.
GSPO,65,REJECT,,,No safe coherent suffix-only shortening from review.
GSPO,72,ACCEPT,7,the unit of reward,Suffix remains the matched unit.
GSPO,89,REJECT,,,No safe coherent suffix-only shortening from review.
GSPO,90,ACCEPT,3,the gradients of the log likelihoods of tokens.,Suffix remains the weighted quantity.
GSPO,93,REJECT,,,No safe coherent suffix-only shortening from review.
GSPO,99,ACCEPT,7,the gradient,Suffix remains what is stopped.
GSPO,102,ACCEPT,11,the same value,Suffix remains the value all token advantages are set to.
GSPO,160,ACCEPT,5,the advantages per token.,Suffix remains what can be adjusted flexibly.
LongRoPE,15,ACCEPT,4,the model has not been trained on.,Shorter suffix is coherent and preserves the because-of cloze.
LongRoPE,71,ACCEPT,5,the original length $L$.,Clean denominator suffix preserves the ratio statement.
LongRoPE,108,ACCEPT,3,the target context window length for non-fine-tuned LLM,"Clean object suffix after ""doesn't reach""."
LongRoPE,152,REJECT,,,No safe coherent suffix-only shortening from review.
LongRoPE,157,ACCEPT,7,"PI, NTK, and YaRN.",Clean suffix names the corresponding methods.
LongRoPE,228,REJECT,,,No safe coherent suffix-only shortening from review.
LongRoPE,235,ACCEPT,7,"PI, NTK, and YaRN",Clean suffix names the corresponding methods.
LongRoPE,236,ACCEPT,7,a probability of $p$.,"Clean suffix completes ""with"" phrase."
OFT,228,ACCEPT,5,the orthogonal matrix $\bm{R}$.,Clean second-matrix suffix preserves the pair.
OFT,234,ACCEPT,6,interesting interpretations in convolution layers,Clean predicate suffix preserves meaning.
OFT,324,ACCEPT,6,far more smooth and predictable.,Clean adjectival suffix preserves meaning.
QLoRA,105,ACCEPT,5,a distribution fixed up to a quantization constant.,Clean suffix names the distribution condition.
QLoRA,108,ACCEPT,7,the neural network weights,Clean second-item suffix preserves the pair.
QLoRA,137,ACCEPT,6,the optimizer update step.,Clean suffix completes the timing condition.
QLoRA,159,ACCEPT,6,"mini-batches with long sequence lengths, which is rare",Clean suffix preserves the stated condition.
QLoRA,191,ACCEPT,3,reliably yields results matching 16-bit methods.,Clean predicate suffix preserves the conclusion.
QLoRA,233,ACCEPT,4,the score that ChatGPT achieved.,"Clean suffix completes ""percentage of"" phrase."
QLoRA,235,ACCEPT,4,a higher absolute score than ChatGPT,Clean suffix completes the condition.
QLoRA,371,ACCEPT,7,an existing benchmark compared to creating a new one,Clean suffix completes the comparison.
QLoRA,402,ACCEPT,12,the earth is flat,Clean suffix preserves the false-claim content.
