domain,probe_index,old_target_words,new_target_words,decision,accepted,validation_status,split_word_index,old_probe,old_target,new_probe,new_target,fact,reason
1_58,84,9,9,REJECT,False,rejected,,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", when the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and \text{LLaMA LLM}, they focus mainly on the calculation for matrix multiplication because", it contributes the most to the cost of LLMs,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", when the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and \text{LLaMA LLM}, they focus mainly on the calculation for matrix multiplication because", it contributes the most to the cost of LLMs,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", when the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and \text{LLaMA LLM}, they focus mainly on the calculation for matrix multiplication because it contributes the most to the cost of LLMs",No safe coherent suffix-only shortening from review.
BOFT,129,12,12,REJECT,False,rejected,,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the observation that motivates the information transmission view used to generate a dense orthogonal matrix in OFT is that", a $d$-dimensional dense square matrix can be interpreted as a dense connectivity,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the observation that motivates the information transmission view used to generate a dense orthogonal matrix in OFT is that", a $d$-dimensional dense square matrix can be interpreted as a dense connectivity,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the observation that motivates the information transmission view used to generate a dense orthogonal matrix in OFT is that a $d$-dimensional dense square matrix can be interpreted as a dense connectivity",No safe coherent suffix-only shortening from review.
ByteLatent,192,10,10,REJECT,False,rejected,,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the items added together to compute flops per byte for BLT models, along with the local encoder transformer, the global latent transformer, and the local decoder transformer, are", the cross attention blocks in the encoder and the decoder.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the items added together to compute flops per byte for BLT models, along with the local encoder transformer, the global latent transformer, and the local decoder transformer, are", the cross attention blocks in the encoder and the decoder.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the items added together to compute flops per byte for BLT models, along with the local encoder transformer, the global latent transformer, and the local decoder transformer, are the cross attention blocks in the encoder and the decoder.",No safe coherent suffix-only shortening from review.
DPO,106,13,13,REJECT,False,rejected,,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the standard approach for optimizing this non-differentiable language-generation objective with PPO, the reward function constructed before optimization is"," ${r(x, y) = r_{\phi}(x, y) -\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the standard approach for optimizing this non-differentiable language-generation objective with PPO, the reward function constructed before optimization is"," ${r(x, y) = r_{\phi}(x, y) -\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the standard approach for optimizing this non-differentiable language-generation objective with PPO, the reward function constructed before optimization is ${r(x, y) = r_{\phi}(x, y) -\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$",No safe coherent suffix-only shortening from review.
DPO,140,9,9,REJECT,False,rejected,,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the optimization that initializes $\pi_\text{ref}$ as"," \pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the optimization that initializes $\pi_\text{ref}$ as"," \pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the optimization that initializes $\pi_\text{ref}$ as \pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]",No safe coherent suffix-only shortening from review.
DPO,281,9,9,REJECT,False,rejected,,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the human study that evaluates GPT-4’s judgments on the TL;DR summarization experiment, the GPT-4 (S) (simple) prompt asks the model to determine", which summary better-summarizes the important information in the post.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the human study that evaluates GPT-4’s judgments on the TL;DR summarization experiment, the GPT-4 (S) (simple) prompt asks the model to determine", which summary better-summarizes the important information in the post.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the human study that evaluates GPT-4’s judgments on the TL;DR summarization experiment, the GPT-4 (S) (simple) prompt asks the model to determine which summary better-summarizes the important information in the post.",No safe coherent suffix-only shortening from review.
FeatLLM,37,9,9,REJECT,False,rejected,,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", most approaches that are not suitable for lengthy prompts become infeasible or experience a decline in performance", when the number of features in tabular data grows,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", most approaches that are not suitable for lengthy prompts become infeasible or experience a decline in performance", when the number of features in tabular data grows,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", most approaches that are not suitable for lengthy prompts become infeasible or experience a decline in performance when the number of features in tabular data grows",No safe coherent suffix-only shortening from review.
GSPO,29,10,10,REJECT,False,rejected,,"According to the paper ""Group Sequence Policy Optimization"", the likelihood of a response $y$ to a query $x$ under the policy $\pi_\theta$ is denoted, using the token-level autoregressive factorization over the tokens in $y$, by"," $\pi_\theta (y | x)=\prod_{t=1}^{|y|} \pi_\theta (y_t | x, y_{<t} )$","According to the paper ""Group Sequence Policy Optimization"", the likelihood of a response $y$ to a query $x$ under the policy $\pi_\theta$ is denoted, using the token-level autoregressive factorization over the tokens in $y$, by"," $\pi_\theta (y | x)=\prod_{t=1}^{|y|} \pi_\theta (y_t | x, y_{<t} )$","According to the paper ""Group Sequence Policy Optimization"", the likelihood of a response $y$ to a query $x$ under the policy $\pi_\theta$ is denoted, using the token-level autoregressive factorization over the tokens in $y$, by $\pi_\theta (y | x)=\prod_{t=1}^{|y|} \pi_\theta (y_t | x, y_{<t} )$",No safe coherent suffix-only shortening from review.
GSPO,34,13,13,REJECT,False,rejected,,"According to the paper ""Group Sequence Policy Optimization"", in the PPO objective for policy optimization, the importance ratio of the token $y_t$ is defined as"," $w_{t}(\theta) = \frac{ \pi_{\theta} (y_{t} | x, y_{<t}) }{ \pi_{\theta_\text{old}} (y_{t} | x,y_{<t})}$","According to the paper ""Group Sequence Policy Optimization"", in the PPO objective for policy optimization, the importance ratio of the token $y_t$ is defined as"," $w_{t}(\theta) = \frac{ \pi_{\theta} (y_{t} | x, y_{<t}) }{ \pi_{\theta_\text{old}} (y_{t} | x,y_{<t})}$","According to the paper ""Group Sequence Policy Optimization"", in the PPO objective for policy optimization, the importance ratio of the token $y_t$ is defined as $w_{t}(\theta) = \frac{ \pi_{\theta} (y_{t} | x, y_{<t}) }{ \pi_{\theta_\text{old}} (y_{t} | x,y_{<t})}$",Formula suffix did not pass verbatim source validation.
GSPO,65,11,11,REJECT,False,rejected,,"According to the paper ""Group Sequence Policy Optimization"", GRPO applies the importance weight at each token position $t$ in its token-level update rule as"," $\frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})}$","According to the paper ""Group Sequence Policy Optimization"", GRPO applies the importance weight at each token position $t$ in its token-level update rule as"," $\frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})}$","According to the paper ""Group Sequence Policy Optimization"", GRPO applies the importance weight at each token position $t$ in its token-level update rule as $\frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})}$",No safe coherent suffix-only shortening from review.
