domain,probe_index,target_words,probe,target,fact,raw_knowledge_statement,contextualized_question
1_58,25,12,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", during inference, an expense in addition to computation is", transferring model parameters from DRAM to the memory of an on-chip accelerator.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", during inference, an expense in addition to computation is transferring model parameters from DRAM to the memory of an on-chip accelerator.","In addition to computation, the process of transferring model parameters from DRAM to the memory of an on-chip accelerator (e.g., SRAM) can be expensive during inference.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", during inference, what process involving model parameters and an on-chip accelerator’s memory can be expensive in addition to computation?

""transferring model parameters from DRAM to the memory of an on-chip accelerator"""
1_58,84,9,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", when the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and \text{LLaMA LLM}, they focus mainly on the calculation for matrix multiplication because", it contributes the most to the cost of LLMs,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", when the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and \text{LLaMA LLM}, they focus mainly on the calculation for matrix multiplication because it contributes the most to the cost of LLMs","We focus mainly on the calculation for matrix multiplication, since it contributes the most to the cost of LLMs.","**Question:** According to the paper **""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits""**, when the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and \text{LLaMA LLM}, why do they focus mainly on the calculation for matrix multiplication?

**Answer:** it contributes the most to the cost of LLMs"
BOFT,18,11,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires", the ability to adapt such models without retraining them from scratch.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires the ability to adapt such models without retraining them from scratch.",Broad progress in the field therefore requires the ability to adapt such models without retraining them from scratch.,"1. **Question:** According to the paper **""Parameter-Efficient Orthogonal Finetuning via Factorization""**, what does broad progress in the field require in order to make use of existing foundation models instead of training them from scratch?  
   **Answer:** the ability to adapt such models without retraining them from scratch"
BOFT,107,13,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as", the product of a learnable orthogonal matrix and the frozen pretrained weight matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as the product of a learnable orthogonal matrix and the frozen pretrained weight matrix","To finetune the pretrained weight matrix, OFT reparameterizes the new weight matrix as the product of a learnable orthogonal matrix and the frozen pretrained weight matrix.","Question: According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", how does OFT reparameterize the new weight matrix when finetuning the pretrained weight matrix?

Answer: the product of a learnable orthogonal matrix and the frozen pretrained weight matrix"
BOFT,129,12,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the observation that motivates the information transmission view used to generate a dense orthogonal matrix in OFT is that", a $d$-dimensional dense square matrix can be interpreted as a dense connectivity,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the observation that motivates the information transmission view used to generate a dense orthogonal matrix in OFT is that a $d$-dimensional dense square matrix can be interpreted as a dense connectivity",The motivation behind the information transmission view comes from the observation that a $d$-dimensional dense square matrix can be interpreted as a dense connectivity from $d$ nodes to another $d$ nodes.,"1. **Question:** According to the paper **""Parameter-Efficient Orthogonal Finetuning via Factorization""**, what observation motivates the information transmission view used to generate a dense orthogonal matrix in OFT?

   **Answer:** a $d$-dimensional dense square matrix can be interpreted as a dense connectivity"
BOFT,188,9,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is"," the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","The non-zero pattern of the other butterfly components $\tilde{\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.","1. According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, what is the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$?

   Answer: ""the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$"""
BOFT,220,12,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown", how well our orthogonal butterfly matrix can approximate a general orthogonal matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown how well our orthogonal butterfly matrix can approximate a general orthogonal matrix","The butterfly structure along with permutations can perfectly recover many classic fast linear transform~\cite{dao2019learning,dao2019kaleidoscope} (\emph{e.g.}, fast Fourier transform, Hadamard transform), but how well our orthogonal butterfly matrix can approximate a general orthogonal matrix remains unknown.","1. **Question:** According to the paper **""Parameter-Efficient Orthogonal Finetuning via Factorization""**, although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, what is still unknown about the orthogonal butterfly matrix?  
   **Answer:** how well our orthogonal butterfly matrix can approximate a general orthogonal matrix"
BOFT,270,12,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is", whether the butterfly network is the most efficient way to transmit information,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is whether the butterfly network is the most efficient way to transmit information","Moreover, whether the butterfly network is the most efficient way to transmit information is also unknown.","1. **Question:** According to the paper **""Parameter-Efficient Orthogonal Finetuning via Factorization""**, what remains unknown about the butterfly network in the authors' information transmission framework?  
   **Answer:** whether the butterfly network is the most efficient way to transmit information"
BOFT,276,9,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", finetuning methods usually start with the exact pretrained model such that the finetuned model", will not deviate too much from the pretrained one.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", finetuning methods usually start with the exact pretrained model such that the finetuned model will not deviate too much from the pretrained one.",Finetuning methods usually start with the exact pretrained model such that the finetuned model will not deviate too much from the pretrained one.,"1. **According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", finetuning methods usually start with the exact pretrained model so that the finetuned model will not do what relative to the pretrained one?**  
   **Answer:** deviates too much from the pretrained one"
ByteLatent,42,9,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by", the number of steps executed by the main Transformer,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by the number of steps executed by the main Transformer","For both token-based and patch-based models, the computational cost of processing data is primarily determined by the number of steps executed by the main Transformer.","**Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, what primarily determines the computational cost of processing data for both token-based and patch-based models?

**Answer:** the number of steps executed by the main Transformer"
