domain,probe_index,old_target_words,new_target_words,decision,accepted,validation_status,split_word_index,old_probe,old_target,new_probe,new_target,fact,reason
1_58,25,12,6,ACCEPT,True,accepted,6,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", during inference, an expense in addition to computation is", transferring model parameters from DRAM to the memory of an on-chip accelerator.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", during inference, an expense in addition to computation is transferring model parameters from DRAM to", the memory of an on-chip accelerator.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", during inference, an expense in addition to computation is transferring model parameters from DRAM to the memory of an on-chip accelerator.",Leaves a meaningful destination suffix.
BOFT,18,11,8,ACCEPT,True,accepted,3,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires", the ability to adapt such models without retraining them from scratch.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires the ability to", adapt such models without retraining them from scratch.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires the ability to adapt such models without retraining them from scratch.",Leaves a coherent verb phrase.
BOFT,107,13,10,ACCEPT,True,accepted,3,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as", the product of a learnable orthogonal matrix and the frozen pretrained weight matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as the product of", a learnable orthogonal matrix and the frozen pretrained weight matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as the product of a learnable orthogonal matrix and the frozen pretrained weight matrix",Leaves a meaningful product complement.
BOFT,188,9,5,ACCEPT,True,accepted,4,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is"," the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is the block-wise permutation of"," the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$",Leaves the referenced base pattern.
BOFT,220,12,4,ACCEPT,True,accepted,8,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown", how well our orthogonal butterfly matrix can approximate a general orthogonal matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown how well our orthogonal butterfly matrix can approximate", a general orthogonal matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown how well our orthogonal butterfly matrix can approximate a general orthogonal matrix",Leaves a coherent object of approximation.
BOFT,270,12,7,ACCEPT,True,accepted,5,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is", whether the butterfly network is the most efficient way to transmit information,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is whether the butterfly network is", the most efficient way to transmit information,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is whether the butterfly network is the most efficient way to transmit information",Leaves the unknown property.
BOFT,276,9,7,ACCEPT,True,accepted,2,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", finetuning methods usually start with the exact pretrained model such that the finetuned model", will not deviate too much from the pretrained one.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", finetuning methods usually start with the exact pretrained model such that the finetuned model will not", deviate too much from the pretrained one.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", finetuning methods usually start with the exact pretrained model such that the finetuned model will not deviate too much from the pretrained one.",Leaves a coherent verb phrase.
ByteLatent,42,9,6,ACCEPT,True,accepted,3,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by", the number of steps executed by the main Transformer,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by the number of", steps executed by the main Transformer,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by the number of steps executed by the main Transformer",Leaves a meaningful determinant.
ByteLatent,75,9,5,ACCEPT,True,accepted,4,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines", the trade off between the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines the trade off between", the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines the trade off between the vocabulary size and compute.",Leaves the two sides of the tradeoff.
ByteLatent,76,9,5,ACCEPT,True,accepted,4,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine", the trade off between the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine the trade off between", the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine the trade off between the vocabulary size and compute.",Leaves the two sides of the tradeoff.
