probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section
"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires",API-level access.,(B),"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires
(A) task-specific fine-tuning data.
(B) API-level access.
(C) queries to the LLM for each sample at inference time.
(D) full access to the model weights.
(E) very large prompt windows.",task-specific fine-tuning data.,API-level access.,queries to the LLM for each sample at inference time.,full access to the model weights.,very large prompt windows.,"[""full access to the model weights."", ""queries to the LLM for each sample at inference time."", ""very large prompt windows."", ""task-specific fine-tuning data.""]","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires API-level access.","Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations.",Title/Abstract
"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at",inference time.,(B),"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at
(A) data preprocessing time.
(B) inference time.
(C) feature engineering time.
(D) prompt construction time.
(E) training time.",data preprocessing time.,inference time.,feature engineering time.,prompt construction time.,training time.,"[""training time."", ""data preprocessing time."", ""feature engineering time."", ""prompt construction time.""]","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.","Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.",Title/Abstract
"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} outperforms alternatives such as TabLLM and STUNT by an average of",10\%.,(E),"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} outperforms alternatives such as TabLLM and STUNT by an average of
(A) 7\%.
(B) 15\%.
(C) 20\%.
(D) 5\%.
(E) 10\%.",7\%.,15\%.,20\%.,5\%.,10\%.,"[""5\\%."", ""7\\%."", ""15\\%."", ""20\\%.""]","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} outperforms alternatives such as TabLLM and STUNT by an average of 10\%.","As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.",Title/Abstract
"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs), with their ability to tackle challenging and unseen reasoning problems, are said to hold immense potential for",tabular learning.,(C),"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs), with their ability to tackle challenging and unseen reasoning problems, are said to hold immense potential for
(A) few-shot learning.
(B) automated feature engineering.
(C) tabular learning.
(D) tabular predictions.
(E) natural language processing.",few-shot learning.,automated feature engineering.,tabular learning.,tabular predictions.,natural language processing.,"[""few-shot learning."", ""automated feature engineering."", ""tabular predictions."", ""natural language processing.""]","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs), with their ability to tackle challenging and unseen reasoning problems, are said to hold immense potential for tabular learning.","Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications.",Title/Abstract
"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors state that LLMs can analyze data, highlighting their potential to perform as",an expert feature engineer.,(B),"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors state that LLMs can analyze data, highlighting their potential to perform as
(A) an interpretable decision-tree model.
(B) an expert feature engineer.
(C) a prompt-based in-context learner.
(D) an expert domain specialist.
(E) a conventional tabular predictor.",an interpretable decision-tree model.,an expert feature engineer.,a prompt-based in-context learner.,an expert domain specialist.,a conventional tabular predictor.,"[""an expert domain specialist."", ""a prompt-based in-context learner."", ""a conventional tabular predictor."", ""an interpretable decision-tree model.""]","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors state that LLMs can analyze data, highlighting their potential to perform as an expert feature engineer.","This demonstrates the capability of LLMs to analyze data, highlighting their potential to perform as an expert feature engineer.",Introduction
"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need, for each sample at inference time, to",send queries to the LLM.,(A),"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need, for each sample at inference time, to
(A) send queries to the LLM.
(B) fit a simple downstream predictive model.
(C) craft prompts that fit the context window.
(D) obtain full parameter access to the LLM.
(E) fine-tune the LLM on the tabular dataset.",send queries to the LLM.,fit a simple downstream predictive model.,craft prompts that fit the context window.,obtain full parameter access to the LLM.,fine-tune the LLM on the tabular dataset.,"[""fit a simple downstream predictive model."", ""obtain full parameter access to the LLM."", ""craft prompts that fit the context window."", ""fine-tune the LLM on the tabular dataset.""]","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need, for each sample at inference time, to send queries to the LLM.","Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.",Title/Abstract
"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in many areas, the rich prior knowledge of LLMs can substitute the need for",expert domain knowledge.,(A),"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in many areas, the rich prior knowledge of LLMs can substitute the need for
(A) expert domain knowledge.
(B) task-specific fine-tuning.
(C) large annotated training datasets.
(D) manual feature engineering.
(E) carefully crafted task descriptions.",expert domain knowledge.,task-specific fine-tuning.,large annotated training datasets.,manual feature engineering.,carefully crafted task descriptions.,"[""task-specific fine-tuning."", ""manual feature engineering."", ""large annotated training datasets."", ""carefully crafted task descriptions.""]","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in many areas, the rich prior knowledge of LLMs can substitute the need for expert domain knowledge.","Trained on extensive text corpora, the rich prior knowledge of LLMs can substitute the need for expert domain knowledge in many areas~\cite{Genomes2021,singhal2023large,wilcox2003role}, playing a crucial role in the automation of diverse applications, including dialogue analysis~\cite{finch2023leveraging} and program repair~\cite{fan2023automated}.",Introduction
"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, the alternatives specifically mentioned as being outperformed by \textsf{FeatLLM} are",TabLLM and STUNT.,(E),"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, the alternatives specifically mentioned as being outperformed by \textsf{FeatLLM} are
(A) TabTransformer and SAINT.
(B) linear regression and logistic regression.
(C) XGBoost and CatBoost.
(D) decision trees and random forests.
(E) TabLLM and STUNT.",TabTransformer and SAINT.,linear regression and logistic regression.,XGBoost and CatBoost.,decision trees and random forests.,TabLLM and STUNT.,"[""linear regression and logistic regression."", ""TabTransformer and SAINT."", ""XGBoost and CatBoost."", ""decision trees and random forests.""]","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, the alternatives specifically mentioned as being outperformed by \textsf{FeatLLM} are TabLLM and STUNT.","As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.",Title/Abstract
"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the generated features are used to infer class likelihood with a simple downstream machine learning model such as linear regression, the result is",high performance few-shot learning.,(C),"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the generated features are used to infer class likelihood with a simple downstream machine learning model such as linear regression, the result is
(A) the elimination of per-sample LLM queries at inference time.
(B) improved calibration of downstream class probabilities.
(C) high performance few-shot learning.
(D) state-of-the-art zero-shot tabular classification.
(E) an input representation optimally suited for tabular prediction.",the elimination of per-sample LLM queries at inference time.,improved calibration of downstream class probabilities.,high performance few-shot learning.,state-of-the-art zero-shot tabular classification.,an input representation optimally suited for tabular prediction.,"[""an input representation optimally suited for tabular prediction."", ""the elimination of per-sample LLM queries at inference time."", ""state-of-the-art zero-shot tabular classification."", ""improved calibration of downstream class probabilities.""]","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the generated features are used to infer class likelihood with a simple downstream machine learning model such as linear regression, the result is high performance few-shot learning.","The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning.",Title/Abstract
"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates",high-quality rules.,(C),"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates
(A) latent feature embeddings.
(B) class likelihood estimates.
(C) high-quality rules.
(D) interpretable decision trees.
(E) accurate tabular predictions.",latent feature embeddings.,class likelihood estimates.,high-quality rules.,interpretable decision trees.,accurate tabular predictions.,"[""accurate tabular predictions."", ""class likelihood estimates."", ""latent feature embeddings."", ""interpretable decision trees.""]","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules.","As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.",Title/Abstract
