method,model,mcqa_accuracy,variant,mcqa_run_path
source_only,1b,0.25264084507042256,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/1b/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12/newline2/source_only_docmatch_expl/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E4_source_1b_all_domains_fa2_packing
source_only,7b,0.36619718309859156,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/7b/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12/newline2/source_only_docmatch_expl/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E1_source_all_domains_fa2_packing
source_only,13b,0.43485915492957744,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/allenai_OLMo-2-1124-13B/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12_reviewed/newline2/source_only_docmatch_expl/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E7_source_13b_all_domains_fa2_packing
source_only,32b,0.4964788732394366,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/allenai_OLMo-2-0325-32B/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12_reviewed+v12/newline2/source_only_docmatch_expl/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E10_source_32b_all_domains_fa2_packing_chunked_nll_1gpu_device_map_auto_36h_nodelta
para9,1b,0.23943661971830985,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/1b/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12/newline2/para9_docmatch_expl/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E5_paraphrase_1b_all_domains
para9,7b,0.3890845070422535,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/7b/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12/newline2/para9_docmatch_expl/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E2_paraphrase_all_domains
para9,13b,0.43045774647887325,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/allenai_OLMo-2-1124-13B/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12_reviewed/newline2/para9_docmatch_expl/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E8_paraphrase_13b_all_domains
para9,32b,0.516725352112676,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/allenai_OLMo-2-0325-32B/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12_reviewed+v12/newline2/para9_docmatch_expl/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E11_paraphrase_32b_all_domains_chunked_nll_1gpu_device_map_auto_36h_nodelta
with_explanations,1b,0.23503521126760563,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/1b/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12/newline2/para9_expl_textbooks+stackexchange+blogs_cyclefull/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E6_granular_explanations_1b_all_domains
with_explanations,7b,0.40933098591549294,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/7b/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12/newline2/para9_expl_textbooks+stackexchange+blogs_cyclefull/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E3_granular_explanations_all_domains
with_explanations,13b,0.45686619718309857,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/allenai_OLMo-2-1124-13B/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12_reviewed/newline2/para9_expl_textbooks+stackexchange+blogs_cyclefull/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E9_granular_explanations_13b_all_domains
with_explanations,32b,0.5334507042253521,preferred,/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/results/FT/full/allenai_OLMo-2-0325-32B/probes_v13_para_v13_paraphrased_inf_v11_reviewed_mcqa_v14_prompt_formatted_question_5shot_inf_mcqa_v12_reviewed+v12/newline2/para9_expl_textbooks+stackexchange+blogs_cyclefull/fill_dclm/domains_arxiv_all-legal_all-medical_all/e100/bs256_lr4e-05/overlap_1_16/E12_granular_explanations_32b_all_domains_1gpu_device_map_auto_36h_nodelta
