method,model,domain,probe_index,log_prob,target_rank
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,0,-7.039926528930664,42.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,1,-5.873213768005371,7.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,2,-10.418548583984377,16.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,3,-5.451540470123291,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,4,-2.4877607822418213,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,5,-11.436781883239746,11.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,6,-0.9469035863876344,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,7,-0.4993727505207062,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,8,-12.356752395629885,35.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,9,-1.5921415090560913,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,10,-0.8101610541343689,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,11,-2.8885412216186523,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,12,-13.402583122253418,57.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,13,-7.282559394836426,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,14,-14.48980712890625,20.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,15,-8.182243347167969,13.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,16,-11.352188110351562,23.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,17,-15.801212310791016,9.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,18,-8.846132278442383,8.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,19,-9.602231979370115,9.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,20,-6.981112003326416,9.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,21,-9.08965301513672,225.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,22,-12.077606201171877,9.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,23,-14.976428031921388,27.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,24,-28.268672943115234,106.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,25,-15.190107345581056,60.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,26,-0.7298415899276733,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,27,-14.436541557312012,62.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,28,-3.749119997024536,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,29,-5.473072052001953,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,30,-6.207338333129883,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,31,-7.207675933837891,10.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,32,-4.524932384490967,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,33,-3.8654823303222656,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,34,-27.27500915527344,817.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,35,-2.1380441188812256,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,36,-12.670796394348145,500.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,37,-5.393012046813965,6.0
