method,model,domain,n,log_prob,median_log_prob,target_rank
source_only,1b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-11.830223361117728,-10.62570095062256,268.4496644295302
source_only,1b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-17.026216688782277,-13.666242599487305,300.030303030303
source_only,1b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-12.738342567353413,-10.452857971191406,249.82758620689654
source_only,1b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-13.534608571406674,-11.429036140441895,630.8676470588235
source_only,1b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-13.151883703948808,-12.14415168762207,154.34306569343065
source_only,1b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-13.42877261171636,-11.112675666809082,230.6701030927835
source_only,1b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-15.636846574272697,-12.186080932617188,170.93700787401573
source_only,1b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-13.771343512823117,-11.141712188720703,783.4765100671141
source_only,1b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-14.976321848083849,-12.047085285186768,172.15753424657535
source_only,1b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-12.149197857196514,-9.37300968170166,258.55384615384617
source_only,1b,Pancreatopleural_fistula_in_childhood,161,-12.60079997148573,-10.617735862731934,289.44099378881987
source_only,1b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-14.709008125381338,-12.78776741027832,228.27083333333334
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-8.957235715733278,-6.981112003326416,85.78523489932886
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-13.113844013424835,-10.299091339111328,143.96969696969697
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-9.090801818874375,-6.369248390197754,174.97241379310344
source_only,7b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-9.42083677024964,-6.529179573059082,220.6764705882353
source_only,7b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-9.814132894865189,-8.203893661499023,106.4014598540146
source_only,7b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-9.06292533444375,-6.737432479858398,54.72164948453608
source_only,7b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-11.190061230359115,-8.44843864440918,48.92913385826772
source_only,7b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-9.250801695410738,-7.998790740966797,283.87919463087246
source_only,7b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-11.21813904708379,-8.572542667388916,65.6027397260274
source_only,7b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-8.487866790248798,-7.021616458892822,137.40769230769232
source_only,7b,Pancreatopleural_fistula_in_childhood,161,-9.401702897611612,-7.731654167175293,144.6583850931677
source_only,7b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-9.554825705113924,-7.318500280380249,69.43055555555556
source_only,13b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-8.62185206489275,-7.244483947753906,63.080536912751676
source_only,13b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-12.473944910999501,-11.344676971435549,74.13131313131314
source_only,13b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-9.11118677857107,-7.095117568969727,167.6344827586207
source_only,13b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-8.853767106501277,-6.25151252746582,374.56617647058823
source_only,13b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-9.439523029990875,-7.683089256286621,146.6058394160584
source_only,13b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-8.745200687462521,-8.60400104522705,36.45360824742268
source_only,13b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-12.121932357315004,-9.25078582763672,45.031496062992126
source_only,13b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-8.796233320846254,-7.457398414611816,357.28859060402687
source_only,13b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-11.741912687273874,-8.248780250549316,51.89041095890411
source_only,13b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-8.926624008669304,-7.0952067375183105,101.03076923076924
source_only,13b,Pancreatopleural_fistula_in_childhood,161,-9.110762498856332,-7.707250118255615,103.75155279503106
source_only,13b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-9.561900759840178,-7.134665250778198,88.20833333333333
source_only,32b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-8.285833663588402,-7.1608052253723145,78.11409395973155
