step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,1.0,0,A,0
0,1,0.0,1,B,2
0,2,1.0,0,A,0
0,3,0.0,1,B,4
0,4,0.0,2,C,4
0,5,1.0,1,B,1
0,6,0.0,1,B,2
0,7,1.0,0,A,0
0,8,0.0,0,A,3
0,9,0.0,1,B,0
0,10,1.0,0,A,0
4,0,1.0,0,A,0
4,1,0.0,1,B,2
4,2,1.0,0,A,0
4,3,0.0,1,B,4
4,4,0.0,2,C,4
4,5,1.0,1,B,1
4,6,0.0,1,B,2
4,7,1.0,0,A,0
4,8,0.0,0,A,3
4,9,0.0,1,B,0
4,10,1.0,0,A,0
8,0,0.0,4,E,0
8,1,0.0,1,B,2
8,2,1.0,0,A,0
8,3,0.0,1,B,4
8,4,0.0,2,C,4
8,5,1.0,1,B,1
8,6,0.0,1,B,2
8,7,1.0,0,A,0
8,8,0.0,0,A,3
8,9,0.0,1,B,0
8,10,1.0,0,A,0
12,0,0.0,1,B,0
12,1,0.0,1,B,2
12,2,1.0,0,A,0
12,3,0.0,1,B,4
12,4,0.0,2,C,4
12,5,1.0,1,B,1
12,6,0.0,1,B,2
12,7,0.0,2,C,0
12,8,0.0,0,A,3
12,9,0.0,1,B,0
12,10,1.0,0,A,0
16,0,0.0,1,B,0
16,1,0.0,1,B,2
16,2,1.0,0,A,0
16,3,0.0,1,B,4
16,4,0.0,2,C,4
16,5,1.0,1,B,1
16,6,0.0,1,B,2
16,7,0.0,2,C,0
16,8,0.0,0,A,3
16,9,0.0,1,B,0
16,10,1.0,0,A,0
20,0,0.0,4,E,0
20,1,0.0,1,B,2
20,2,1.0,0,A,0
20,3,0.0,0,A,4
20,4,0.0,2,C,4
20,5,1.0,1,B,1
20,6,0.0,1,B,2
20,7,0.0,2,C,0
20,8,0.0,0,A,3
20,9,0.0,1,B,0
20,10,1.0,0,A,0
24,0,0.0,4,E,0
24,1,0.0,1,B,2
24,2,1.0,0,A,0
24,3,0.0,1,B,4
24,4,0.0,2,C,4
24,5,1.0,1,B,1
24,6,0.0,1,B,2
24,7,0.0,2,C,0
24,8,0.0,0,A,3
24,9,0.0,1,B,0
24,10,1.0,0,A,0
28,0,0.0,4,E,0
28,1,0.0,1,B,2
28,2,1.0,0,A,0
28,3,0.0,1,B,4
28,4,0.0,2,C,4
28,5,1.0,1,B,1
28,6,0.0,1,B,2
28,7,0.0,2,C,0
28,8,0.0,0,A,3
28,9,0.0,1,B,0
28,10,1.0,0,A,0
32,0,0.0,4,E,0
32,1,0.0,1,B,2
32,2,1.0,0,A,0
32,3,0.0,1,B,4
32,4,0.0,2,C,4
32,5,1.0,1,B,1
32,6,0.0,1,B,2
32,7,0.0,2,C,0
32,8,0.0,0,A,3
32,9,0.0,1,B,0
32,10,1.0,0,A,0
36,0,0.0,4,E,0
36,1,0.0,1,B,2
36,2,1.0,0,A,0
36,3,0.0,1,B,4
36,4,0.0,2,C,4
36,5,1.0,1,B,1
36,6,0.0,1,B,2
36,7,0.0,2,C,0
36,8,0.0,0,A,3
36,9,0.0,1,B,0
36,10,1.0,0,A,0
40,0,0.0,4,E,0
40,1,1.0,2,C,2
40,2,1.0,0,A,0
40,3,0.0,1,B,4
40,4,0.0,2,C,4
40,5,1.0,1,B,1
40,6,0.0,1,B,2
40,7,0.0,2,C,0
40,8,0.0,0,A,3
40,9,0.0,1,B,0
40,10,1.0,0,A,0
44,0,0.0,4,E,0
44,1,1.0,2,C,2
44,2,1.0,0,A,0
44,3,0.0,1,B,4
44,4,0.0,2,C,4
44,5,1.0,1,B,1
44,6,0.0,1,B,2
44,7,0.0,2,C,0
44,8,0.0,0,A,3
44,9,0.0,1,B,0
44,10,1.0,0,A,0
48,0,0.0,4,E,0
48,1,1.0,2,C,2
48,2,1.0,0,A,0
48,3,0.0,1,B,4
48,4,0.0,2,C,4
48,5,1.0,1,B,1
48,6,0.0,1,B,2
48,7,0.0,2,C,0
48,8,0.0,0,A,3
48,9,0.0,1,B,0
48,10,1.0,0,A,0
52,0,0.0,4,E,0
52,1,1.0,2,C,2
52,2,1.0,0,A,0
52,3,0.0,1,B,4
52,4,0.0,2,C,4
52,5,1.0,1,B,1
52,6,0.0,1,B,2
52,7,0.0,2,C,0
52,8,0.0,0,A,3
52,9,0.0,1,B,0
52,10,1.0,0,A,0
56,0,0.0,4,E,0
56,1,1.0,2,C,2
56,2,1.0,0,A,0
56,3,0.0,1,B,4
56,4,0.0,2,C,4
56,5,1.0,1,B,1
56,6,0.0,1,B,2
56,7,0.0,2,C,0
56,8,0.0,0,A,3
56,9,0.0,1,B,0
56,10,1.0,0,A,0
60,0,0.0,4,E,0
60,1,1.0,2,C,2
60,2,1.0,0,A,0
60,3,0.0,1,B,4
60,4,0.0,2,C,4
60,5,1.0,1,B,1
60,6,0.0,1,B,2
60,7,0.0,2,C,0
60,8,0.0,0,A,3
60,9,0.0,1,B,0
60,10,1.0,0,A,0
64,0,0.0,4,E,0
