Cleaning comparison (7B, bs64, lr=2e-5)
Delta = last-step mean log_prob - step-0 mean log_prob (aggregated across domains)
Length = total characters across corresponding arxiv corpus

Run                  Probe              Step 0    Last step      Delta       Length     Δ per char
--------------------------------------------------------------------------------------------------
Semi-cleaned v1      Factual         -12.947  -10.321    2.626       311240    0.084
Semi-cleaned v1      Compositional   -12.085  -10.975    1.110       311240    0.036
Semi-cleaned v2      Factual         -12.947  -10.399    2.548       259259    0.098
Semi-cleaned v2      Compositional   -12.085  -11.028    1.058       259259    0.041
Semi-cleaned v3      Factual         -12.947  -10.300    2.647       309352    0.086
Semi-cleaned v3      Compositional   -12.085  -10.989    1.097       309352    0.035
Raw                  Factual         -12.947  -10.183    2.764       443518    0.062
Raw                  Compositional   -12.085  -11.006    1.079       443518    0.024
Fully cleaned        Factual         -12.947  -10.459    2.488       258060    0.096
Fully cleaned        Compositional   -12.085  -11.030    1.056       258060    0.041
