domain,source_only_logprob,source_only_mcqa,n_logprob,n_mcqa,para9_logprob,para9_mcqa,with_explanations_logprob,with_explanations_mcqa,expl-source_logprob,expl-source_mcqa,para-source_logprob,para-source_mcqa
1_58,-15.68750436976552,0.0,8,4,-13.50686340779066,0.0,-12.74405986815691,0.0,2.94344450160861,0.0,2.1806409619748592,0.0
Acute_neurological_Behets_disease_complicated_by_a_syndrome,-7.549736632241143,0.5,9,8,-6.2822390927208795,0.75,-6.523482852511936,0.625,1.026253779729207,0.125,1.2674975395202637,0.25
America_First_Legal_Foundation_v_Jamieson_Greer,-13.652028116312893,0.3333333333333333,11,6,-13.171672701835632,0.3333333333333333,-11.165193834088065,0.3333333333333333,2.4868342822248284,0.0,0.4803554144772608,0.0
Apex_Bank_v_Cc_Serve_Corp,-11.641733050346375,0.3333333333333333,4,3,-11.076571583747864,0.3333333333333333,-9.700425863265991,0.3333333333333333,1.9413071870803833,0.0,0.5651614665985107,0.0
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,-14.887904432084826,0.625,9,8,-13.95689809984631,0.875,-12.405590838856167,0.75,2.4823135932286586,0.125,0.9310063322385158,0.25
BOFT,-12.21554539747098,0.4,17,10,-11.273160562795752,0.3,-10.343366713208312,0.4,1.8721786842626678,0.0,0.9423848346752273,-0.10000000000000003
Bruce_Cohen_v_Consilio_LLC,-13.003391047318777,0.4,6,5,-12.255915204683939,0.4,-9.046010375022888,0.4,3.957380672295889,0.0,0.747475842634838,0.0
ByteLatent,-13.79726031422615,0.75,24,16,-12.633650332689285,0.5625,-11.816493640343348,0.625,1.980766673882803,-0.125,1.1636099815368652,-0.1875
Central_hypoventilation_and_choking_episodes_revealing_Chiar,-13.763950601220131,0.6,8,5,-13.953381851315498,0.6,-11.930581010878086,0.8,1.8333695903420448,0.20000000000000007,-0.18943125009536743,0.0
DPO,-13.692273531641279,0.75,14,4,-11.417764263493675,0.5,-10.625134089163371,0.75,3.0671394424779077,0.0,2.274509268147604,-0.25
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,-12.82554199298223,0.5,6,4,-12.277785023053488,0.75,-10.499428371588388,0.5,2.3261136213938407,0.0,0.5477569699287415,0.25
FeatLLM,-11.46486597508192,0.5,16,10,-11.493524858728051,0.4,-10.950474616140127,0.5,0.5143913589417934,0.0,-0.028658883646130562,-0.09999999999999998
Finesse_Wireless_LLC_v_Att_Mobility_LLC,-15.688111168997628,0.25,7,4,-14.916409969329834,0.25,-12.324273586273193,0.25,3.3638375827244342,0.0,0.7717011996677936,0.0
Foad_Farahi_v_FBI,-14.195072730382284,0.4,6,5,-13.977887074152628,0.4,-12.343830188115438,0.4,1.8512425422668457,0.0,0.21718565622965613,0.0
From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,-11.613671332597733,0.4,6,5,-11.224207152922949,0.4,-10.291057735681534,0.4,1.3226135969161987,0.0,0.38946417967478375,0.0
GRPO,-14.494098914297004,0.1111111111111111,19,9,-13.10547914003071,0.2222222222222222,-12.425043557819567,0.3333333333333333,2.0690553564774365,0.2222222222222222,1.388619774266294,0.1111111111111111
GSPO,-15.51556585629781,0.3,15,10,-14.026546955108643,0.3,-12.791554848353067,0.4,2.7240110079447426,0.10000000000000003,1.4890189011891675,0.0
Immunemediated_necrotising_myopathy_following_semaglutide_tr,-10.640430092811584,0.8,6,5,-10.462297360102335,0.8,-8.238809188206991,0.8,2.4016209046045933,0.0,0.17813273270924945,0.0
Jimenez_v_Bondi,-14.027586319229819,0.375,11,8,-14.27533052184365,0.5,-11.760139416564595,0.5,2.267446902665224,0.125,-0.24774420261383057,0.125
LongRoPE,-19.173914909362793,0.23076923076923078,18,13,-15.801999903387493,0.15384615384615385,-14.554189748234219,0.15384615384615385,4.619725161128574,-0.07692307692307693,3.3719150059753,-0.07692307692307693
Management_of_atypical_complicated_abdominal_masses_in_the_s,-10.613006659916469,0.6,7,5,-10.478936535971505,0.6,-9.649767739432198,0.6,0.9632389204842706,0.0,0.13407012394496398,0.0
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,-7.564056605100632,0.75,8,4,-6.639769613742828,0.75,-5.4828809052705765,0.75,2.0811756998300552,0.0,0.9242869913578033,0.0
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,-16.965079247951508,0.8,8,5,-15.837970912456512,0.8,-14.91388863325119,0.6,2.0511906147003174,-0.20000000000000007,1.1271083354949951,0.0
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,-7.191401091093819,0.75,12,8,-7.287640079855919,0.75,-6.479954212903976,0.75,0.7114468781898422,0.0,-0.09623898876210024,0.0
OFT,-15.517001946767172,0.5384615384615384,24,13,-13.637659231821695,0.46153846153846156,-12.195020735263824,0.46153846153846156,3.3219812115033474,-0.07692307692307687,1.8793427149454764,-0.07692307692307687
Pacito_v_Trump,-19.944050550460815,0.3333333333333333,10,3,-19.658912825584412,0.3333333333333333,-18.128934931755065,0.3333333333333333,1.8151156187057502,0.0,0.2851377248764031,0.0
