domain,probe_index,source_correct,source_pred,source_group,para_correct,para_pred,expl_correct,expl_pred,model,expl_over_source,expl_over_para,gain_type,probe_file,question,answer,correct_label,option_a,option_b,option_c,option_d,option_e,inference_type,derivation,source_facts
BOFT,4,1,,arxiv,0,,1,,13B,0,1,E beats para only,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,"When BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, how does the parameter scaling change with dimension $d$?",from $d^2$ to $d\log d$,(A),from $d^2$ to $d\log d$,from $d^2$ to $d$,from $d\log d$ to $d^2$,from $d^2$ to $2d$,from $d^2$ to $\log d$,Reasoning Step,Comparing the two asymptotic counts shows that butterfly BOFT reduces parameter growth from quadratic in $d$ to $d\log d$.,"['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']"
GRPO,9,1,,arxiv,0,,1,,13B,0,1,E beats para only,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"By including code tokens during continual training, what downside of math training did DeepSeekMath-Base avoid?",loss of coding performance,(C),overfitting to the two coding benchmarks,reduced performance on MMLU and BBH,loss of coding performance,loss of language understanding and reasoning performance,loss of mathematical reasoning performance,Multi-Fact Integration,The model gained reasoning improvements from math training while preserving coding ability because code tokens prevented that capability from dropping.,"['Additionally, by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.', 'DeepSeekMath-Base 7B exhibits significant enhancements in performance on MMLU and BBH over its precursor, DeepSeek-Coder-Base-v1.5 \\citep{deepseek-coder}, illustrating the positive impact of math training on language understanding and reasoning.']"
GSPO,9,1,,arxiv,0,,1,,13B,0,1,E beats para only,probes/arxiv/GSPO/inference/probes_v12_mcqa.csv,What shared level of abstraction connects both GSPO's importance ratio and its reward handling?,the sequence level,(C),the query level,the token level,the sequence level,the pairwise-comparison level,the group level,Synthesized Insight,"Both the importance ratio and the reward handling are defined over whole responses, so they are aligned at the same level.","['The key innovation of GSPO lies in its theoretically grounded definition of importance ratio based on sequence likelihood \\citep{click}, aligning with the basic principle of importance sampling.', 'Additionally, GSPO computes the normalized rewards as the advantages of multiple responses to a query, ensuring the alignment between sequence-level rewarding and optimization.']"
OFT,0,1,,arxiv,0,,1,,13B,0,1,E beats para only,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,Why should OFT be easier to tune in practice than a method with sudden convergence behavior like ControlNet?,smoother training dynamics,(D),fewer trainable parameters,faster convergence speed,more modular control branches,smoother training dynamics,stronger conditioning fidelity,Synthesized Insight,"Because the training dynamics are smoother and more predictable, hyperparameter search becomes easier.","['""Such a convergence stability makes our OFT framework much easier to use in practice, since the training dynamics of OFT is far more smooth and predictable.""', '""Thus it will be easier to find good OFT\'s hyperparameters.""']"
OFT,16,1,,arxiv,0,,1,,13B,0,1,E beats para only,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"With block sharing enabled, if the number of blocks $r$ is doubled, by what factor does OFT's parameter complexity shrink?",four times,(C),two times,sixteen times,four times,not at all,eight times,Reasoning Step,"With complexity proportional to $1/r^2$, doubling $r$ makes the parameter cost one fourth as large.",['This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.']
QLoRA,27,1,,arxiv,0,,1,,13B,0,1,E beats para only,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"What broader weakness is revealed when the secret stays hidden under a direct question but is revealed after ""ignore your previous instructions""?",faithful instruction following,(C),reliable refusal behavior,robust jailbreak resistance,faithful instruction following,secure knowledge suppression,stable prompt robustness,Synthesized Insight,"If the secret stays hidden under direct questioning but is revealed after a small prompt trick, then the model's instruction following is not reliably faithful.","['which is the desired behavior. However, a tiny amount of trickery breaks this behavior:', 'showcasing the need to study methods for more faithful instruction following.']"
FeatLLM,10,0,,arxiv,1,,1,,13B,1,0,E beats source only,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,"If feature descriptions were removed from the prompt, what rule-writing problem would become harder for the LLM to avoid?",type mismatches,(E),incorrect label mappings,label mismatches,task-description ambiguity,demonstration overfitting,type mismatches,Reasoning Step,"Since feature descriptions provide the feature information the LLM uses to avoid type mismatches, removing them would make type mismatches harder to avoid.","['Additionally, when formulating rules, we let the LLM refer to the type of each feature in the basic information description part to avoid type mismatches in rules.', 'It includes a description of the task to be solved with label information, descriptions of features, and example demonstrations.']"
FeatLLM,16,0,,arxiv,1,,1,,13B,1,0,E beats source only,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,"If the first reasoning step were removed, what kind of columns would the model be less protected against turning into rules?",irrelevant columns,(E),predictive columns,task-related columns,causally linked columns,significant columns,irrelevant columns,Reasoning Step,"If the first step that reasons about feature-task relationships is removed, the protection against spurious rules from unrelated inputs is weakened.","['In the first step, the LLM is encouraged to infer the causal relationship or tendency between features and the task description.', 'This two-step reasoning process prevents the model from identifying spurious correlations in irrelevant columns and can assist in focusing on more significant features.']"
OFT,18,0,,arxiv,1,,1,,13B,1,0,E beats source only,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"If several OFT task matrices are multiplied together and applied to a layer, what relation among neurons would still be preserved?",pairwise hyperspherical similarity,(C),pairwise feature covariance,pairwise orthogonal coupling,pairwise hyperspherical similarity,pairwise hyperspherical energy,pairwise semantic alignment,Multi-Fact Integration,"Since the product of multiple OFT task matrices is still orthogonal, applying that product still has the orthogonal-transformation invariance that preserves pairwise hyperspherical similarity.","['Second, OFT has unique potential in compositionality, in the sense that the orthogonal matrices produced by multiple OFT finetuning tasks can be multiplied together and remains an orthogonal matrix.', 'Therefore, we take advantage of an invariance property of hyperspherical energy -- the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.']"
QLoRA,7,0,,arxiv,1,,1,,13B,1,0,E beats source only,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"If 4-bit quantization alone hurts model quality, what additional step restores 16-bit-level performance according to the paper?",adapter finetuning,(A),adapter finetuning,dequantizing the model back to 16-bit before finetuning,paged optimizer training,switching to the NF4 quantization format,double quantization,Synthesized Insight,"The paper contrasts degraded 4-bit inference with recovered performance after finetuning, so the extra step that restores quality is adapter finetuning.","['recent findings have established that 4-bit quantization for \\emph{inference} is possible, but leads to performance degradation relative to 16-bit', 'This suggests that the performance lost due to the imprecise quantization can be fully recovered through adapter finetuning after quantization.']"
