domain,probe_index,source_correct,source_pred,source_group,para_correct,para_pred,expl_correct,expl_pred,model,expl_over_source,expl_over_para,probe_file,question,answer,correct_label,option_a,option_b,option_c,option_d,option_e,inference_type,derivation,source_facts
BOFT,4,1,,arxiv,0,,1,,13B,0,1,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,"When BOFT uses the butterfly matrix instead of a full dense orthogonal matrix, how does the parameter scaling change with dimension $d$?",from $d^2$ to $d\log d$,(A),from $d^2$ to $d\log d$,from $d^2$ to $d$,from $d\log d$ to $d^2$,from $d^2$ to $2d$,from $d^2$ to $\log d$,Reasoning Step,Comparing the two asymptotic counts shows that butterfly BOFT reduces parameter growth from quadratic in $d$ to $d\log d$.,"['If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.', 'In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters']"
BOFT,7,0,,arxiv,1,,0,,13B,0,-1,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,What questionable assumption of block-diagonal OFT is avoided when BOFT uses a dense orthogonal transformation instead?,index-based groups,(B),fixed block-sparse updates,index-based groups,layerwise parameter sharing,low-rank update matrices,equal-sized dimension groups,Synthesized Insight,"Since block-diagonal OFT separates dimensions by fixed groups based on their positions, using a dense orthogonal matrix removes that index-based grouping assumption.","['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']"
BOFT,11,1,,arxiv,1,,0,,13B,-1,-1,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,"If block size $b$ is fixed, what must BOFT change from the OFT-equivalent setting to become more expressive than OFT?",increase m,(C),keeping m = 1 and using the same block-diagonal OFT form,increasing the block size b,increasing $m$,decreasing the block size b,reducing the factorization depth below the OFT-equivalent setting,Multi-Fact Integration,"If m=1 gives the OFT-equivalent case, then exceeding OFT's expressivity at the same block size requires moving beyond m=1.","['When $\\thickmuskip=2mu \\medmuskip=2mu m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\\cite{qiu2023controlling} with the block size $b$.', 'BOFT is more expressive than OFT with the same block size.']"
BOFT,12,0,,arxiv,0,,1,,13B,1,1,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,Why would expanding BOFT to represent the entire orthogonal group not necessarily give the best finetuning performance?,the expressivity-regularity trade-off,(D),the difficulty of enforcing exact orthogonality during training,the computational overhead of covering all orthogonal transformations,the universal expressiveness of full finetuning,the expressivity-regularity trade-off,the loss of BOFT's parameter-efficient factorized structure,Synthesized Insight,"Since the paper says more expressiveness alone can hurt finetuning and that generalization depends on balancing expressivity with regularity, full orthogonal expressiveness is not automatically best.","['""However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance.""', '""The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.""']"
BOFT,13,0,,arxiv,0,,1,,13B,1,1,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,"If BOFT is generalized enough to represent the entire orthogonal group, what key factor besides expressivity still determines whether finetuning will generalize well?",regularity,(C),optimization stability,orthogonality,regularity,parameter efficiency,factorization depth,Synthesized Insight,"Even if the parameterization can cover the whole orthogonal group, the paper says finetuning quality still depends on maintaining regularity, not expressiveness alone.","['When $m_1=m_2=\\log d$, $b_1=b_2=2$ and $l=d-1$, then $\\bm{R}^G(m_1,b_1,m_2,b_2,l)$ can represent the entire orthogonal group.', 'However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance. The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.']"
ByteLatent,14,1,,arxiv,1,,0,,13B,-1,-1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,What property of plain BPE prevents BLT from using it directly to decide patch boundaries during generation?,lack of incremental patching,(C),dependence on latent-transformer compute to place boundaries,requirement for a globally optimal merge sequence,lack of incremental patching,inability to operate directly on raw bytes,reliance on fixed-length token boundaries,Multi-Fact Integration,"Because generation must decide boundaries from the current prefix alone, a scheme whose segmentation changes with future continuation cannot be used directly for that decision.","['When generating, {\\textsc BLT} needs to decide whether the current step in the byte sequence is at a patch boundary or not as this determines whether more compute is invoked via the Latent Transformer.', 'This decision needs to occur independently of the rest of the sequence which has yet to be generated.', 'bpe is not an incremental patching scheme as the same prefix can be tokenized differently depending on the continuation sequence, and therefore does not satisfy the property above']"
FeatLLM,6,1,,arxiv,1,,0,,13B,-1,-1,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,What effect of a satisfied rule is explicitly ruled out by constraining the trainable weights to be non-negative?,reducing class likelihood,(A),reducing class likelihood,making the likelihood estimate independent of the learned dot-product weights,increasing the likelihood of an incorrect class,changing the binary feature activation pattern produced by the LLM,contributing the same positive score to every class,Reasoning Step,"Non-negative weights mean any satisfied rule can only add zero or positive contribution, so it cannot push that class probability downward through the logit.","['The set of new binary features are input to a dot product operation with non-negative trainable weights, to estimate the likelihood of each class.', 'By projecting these weights into a positive subspace, we can ensure that the features generated by the LLM do not reduce the likelihood of a class during learning.']"
FeatLLM,10,0,,arxiv,1,,1,,13B,1,0,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,"If feature descriptions were removed from the prompt, what rule-writing problem would become harder for the LLM to avoid?",type mismatches,(E),incorrect label mappings,label mismatches,task-description ambiguity,demonstration overfitting,type mismatches,Reasoning Step,"Since feature descriptions provide the feature information the LLM uses to avoid type mismatches, removing them would make type mismatches harder to avoid.","['Additionally, when formulating rules, we let the LLM refer to the type of each feature in the basic information description part to avoid type mismatches in rules.', 'It includes a description of the task to be solved with label information, descriptions of features, and example demonstrations.']"
FeatLLM,12,0,,arxiv,0,,1,,13B,1,1,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,"If two samples satisfy the same number of rules for a class but different rules, what can still make FeatLLM assign them different logits?",different rule importance,(D),the total number of available rules for that class,the sum of the binary features for that class,the order in which the rules are satisfied,different rule importance,the number of training samples in that class,Reasoning Step,"Counting would treat two samples with the same number of satisfied rules equally, but learned importance allows different specific rules to produce different logits.","['Given new binary features from rules for each class, a simple method to measure the class likelihood of the sample is to count how many rules of each class it satisfies (i.e., the sum of the binary feature per class).', 'However, not all rules and features carry the same importance, necessitating learning their significance from training samples.']"
FeatLLM,16,0,,arxiv,1,,1,,13B,1,0,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,"If the first reasoning step were removed, what kind of columns would the model be less protected against turning into rules?",irrelevant columns,(E),predictive columns,task-related columns,causally linked columns,significant columns,irrelevant columns,Reasoning Step,"If the first step that reasons about feature-task relationships is removed, the protection against spurious rules from unrelated inputs is weakened.","['In the first step, the LLM is encouraged to infer the causal relationship or tendency between features and the task description.', 'This two-step reasoning process prevents the model from identifying spurious correlations in irrelevant columns and can assist in focusing on more significant features.']"
