domain,source_only,source_only_n,para9,para9_n,with_explanations,with_explanations_n,para-source,expl-source,expl-para
1_58,0.0,4,0.0,4,0.0,4,0.0,0.0,0.0
Acute_neurological_Behets_disease_complicated_by_a_syndrome,0.5,8,0.75,8,0.625,8,0.25,0.125,-0.125
America_First_Legal_Foundation_v_Jamieson_Greer,0.3333333333333333,6,0.3333333333333333,6,0.3333333333333333,6,0.0,0.0,0.0
Apex_Bank_v_Cc_Serve_Corp,0.3333333333333333,3,0.3333333333333333,3,0.3333333333333333,3,0.0,0.0,0.0
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,0.625,8,0.875,8,0.75,8,0.25,0.125,-0.125
BOFT,0.4,10,0.3,10,0.4,10,-0.10000000000000003,0.0,0.10000000000000003
Bruce_Cohen_v_Consilio_LLC,0.4,5,0.4,5,0.4,5,0.0,0.0,0.0
ByteLatent,0.75,16,0.5625,16,0.625,16,-0.1875,-0.125,0.0625
Central_hypoventilation_and_choking_episodes_revealing_Chiar,0.6,5,0.6,5,0.8,5,0.0,0.20000000000000007,0.20000000000000007
DPO,0.75,4,0.5,4,0.75,4,-0.25,0.0,0.25
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,0.5,4,0.75,4,0.5,4,0.25,0.0,-0.25
FeatLLM,0.5,10,0.4,10,0.5,10,-0.09999999999999998,0.0,0.09999999999999998
Finesse_Wireless_LLC_v_Att_Mobility_LLC,0.25,4,0.25,4,0.25,4,0.0,0.0,0.0
Foad_Farahi_v_FBI,0.4,5,0.4,5,0.4,5,0.0,0.0,0.0
From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,0.4,5,0.4,5,0.4,5,0.0,0.0,0.0
GRPO,0.1111111111111111,9,0.2222222222222222,9,0.3333333333333333,9,0.1111111111111111,0.2222222222222222,0.1111111111111111
GSPO,0.3,10,0.3,10,0.4,10,0.0,0.10000000000000003,0.10000000000000003
Immunemediated_necrotising_myopathy_following_semaglutide_tr,0.8,5,0.8,5,0.8,5,0.0,0.0,0.0
Jimenez_v_Bondi,0.375,8,0.5,8,0.5,8,0.125,0.125,0.0
LongRoPE,0.23076923076923078,13,0.15384615384615385,13,0.15384615384615385,13,-0.07692307692307693,-0.07692307692307693,0.0
Management_of_atypical_complicated_abdominal_masses_in_the_s,0.6,5,0.6,5,0.6,5,0.0,0.0,0.0
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,0.75,4,0.75,4,0.75,4,0.0,0.0,0.0
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,0.8,5,0.8,5,0.6,5,0.0,-0.20000000000000007,-0.20000000000000007
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,0.75,8,0.75,8,0.75,8,0.0,0.0,0.0
OFT,0.5384615384615384,13,0.46153846153846156,13,0.46153846153846156,13,-0.07692307692307687,-0.07692307692307687,0.0
Pacito_v_Trump,0.3333333333333333,3,0.3333333333333333,3,0.3333333333333333,3,0.0,0.0,0.0
Pancreatopleural_fistula_in_childhood,0.8,5,0.8,5,0.8,5,0.0,0.0,0.0
QLoRA,0.5555555555555556,18,0.4444444444444444,18,0.3888888888888889,18,-0.11111111111111116,-0.16666666666666669,-0.055555555555555525
Santos_v_Kimmel,0.3333333333333333,3,0.3333333333333333,3,0.3333333333333333,3,0.0,0.0,0.0
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,0.18181818181818182,11,0.2727272727272727,11,0.36363636363636365,11,0.09090909090909088,0.18181818181818182,0.09090909090909094
United_States_v_Constantinescu,0.0,3,0.0,3,0.0,3,0.0,0.0,0.0
United_States_v_Jaison_Coleman,0.0,5,0.2,5,0.0,5,0.2,0.0,-0.2
United_States_v_Justin_Cutbank,0.0,2,0.0,2,0.0,2,0.0,0.0,0.0
Williams_v_GoAuto_Insurance,0.4,5,0.6,5,0.0,5,0.19999999999999996,-0.4,-0.6
fa3,0.1111111111111111,18,0.1111111111111111,18,0.1111111111111111,18,0.0,0.0,0.0
xLSTM,0.47058823529411764,17,0.47058823529411764,17,0.47058823529411764,17,0.0,0.0,0.0
