domain,probe_index,question,answer,correct_label,pred_7b,pred_13b,pred_32b,inference_type,derivation,option_a,option_b,option_c,option_d,option_e,probe_file
1_58,1,Under what deployment condition would MoE activation-transfer overhead disappear?,a single chip,(E),,,E,Reasoning Step,"If cross-network activation transfer causes the overhead, then putting the whole model on one chip removes that transfer and thus the overhead.",the same network fabric,a multi-chip package,a rack-local cluster,a single server node,a single chip,probes/arxiv/1_58/inference/probes_v12_mcqa.csv
1_58,6,"Since BitNet b1.58 replaces nn.Linear, what growing part of larger models explains why its speed-up increases with scale?",nn.Linear time cost,(D),,,D,Multi-Fact Integration,"Since BitNet b1.58 replaces nn.Linear, the larger and more expensive nn.Linear becomes, the more relative speed-up BitNet gains.",self-attention time cost,BitLinear quantization overhead,KV-cache memory cost,nn.Linear time cost,embedding layer time cost,probes/arxiv/1_58/inference/probes_v12_mcqa.csv
Acute_neurological_Behets_disease_complicated_by_a_syndrome,0,"In retrospect, the patient’s persistent hiccups were a clinical clue to what electrolyte problem?",severe hyponatraemia,(A),,,A,Synthesized Insight,"The discussion explicitly links persistent hiccups with severe hyponatraemia, so his hiccups can be reinterpreted as a clue to that electrolyte abnormality.",severe hyponatraemia,marked hypocalcaemia,profound hypokalaemia,significant hypernatraemia from dehydration,symptomatic hypomagnesaemia,probes/medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/inference/probes_v12_mcqa.csv
America_First_Legal_Foundation_v_Jamieson_Greer,3,"Under the district court’s reasoning, after correcting OSC’s legal error, what decision still remained discretionary with OSC?",whether to investigate,(E),,,E,Multi-Fact Integration,"Even after removing OSC’s mistaken view that FOIA barred an investigation, the district court still treated the ultimate investigation decision as one for OSC to make.",whether section 552(a)(4)(F)(i) limited OSC’s authority to investigate FOIA violations,whether FOIA barred any investigation under section 1216,whether the court should order OSC to investigate a FOIA policy,whether the alleged FOIA policy actually violated section 1216,whether to investigate,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/inference/probes_v12_mcqa.csv
Apex_Bank_v_Cc_Serve_Corp,4,"If the broader third-party-mark evidence on remand shows ASPIRE is relatively weak, what protection consequence follows under the court’s stated rule?",narrow scope of protection,(E),,,E,Synthesized Insight,"If the remand expands the third-party-use evidence and that evidence shows weakness, the stated rule says the mark’s protection should correspondingly narrow.",wider exclusionary right against similar services,strong presumption of source distinctiveness,favorable finding on the sixth DuPont factor,broad scope of protection,narrow scope of protection,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,5,What serological property was inferred from IV.3 failing to suppress serotonin release below 20%?,partial resistance to Fc receptor blockade,(D),,,D,Synthesized Insight,"Because IV.3 normally suppresses release below 20% but did not do so here, the report interprets this as only partial susceptibility to Fc receptor blockade.",normal susceptibility to Fc receptor blockade,heparin-independent platelet activation,complete resistance to Fc receptor blockade,partial resistance to Fc receptor blockade,complement-mediated platelet activation independent of Fc receptor signaling,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/inference/probes_v12_mcqa.csv
Autoimmune_heparininduced_thrombocytopenia_following_cardiac,10,What change in antibody behavior was inferred by POD124 after platelet recovery?,waning of aHIT antibodies,(B),,,B,Synthesized Insight,A later shift from heparin-independent to mostly heparin-dependent serotonin release is presented as evidence that the autoimmune antibody activity was fading.,emergence of a new typical heparin-dependent HIT antibody response,waning of aHIT antibodies,strengthening of autoimmune platelet-activating antibody activity,complete disappearance of HIT antibodies,persistence of heparin-independent aHIT antibodies,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/inference/probes_v12_mcqa.csv
BOFT,3,Which method can still produce a dense orthogonal matrix even when the block size is kept smaller than d?,BOFT,(C),,,C,Multi-Fact Integration,"Since original OFT needs b=d for density but BOFT can stay dense with any b, BOFT is the one that keeps small blocks without losing density.",OFT,block-diagonal orthogonal finetuning,BOFT,the original OFT setting with b=d,full-block OFT,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv
BOFT,11,"If block size $b$ is fixed, what must BOFT change from the OFT-equivalent setting to become more expressive than OFT?",increase m,(C),,,C,Multi-Fact Integration,"If m=1 gives the OFT-equivalent case, then exceeding OFT's expressivity at the same block size requires moving beyond m=1.",keeping m = 1 and using the same block-diagonal OFT form,increasing the block size b,increasing $m$,decreasing the block size b,reducing the factorization depth below the OFT-equivalent setting,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv
Bruce_Cohen_v_Consilio_LLC,2,"Given Cohen’s full-payment stipulation and his failure to identify any statutory basis for penalties, what was the appellate result for the MWTA claim?",dismissal affirmed,(E),,,E,Multi-Fact Integration,"Because Cohen showed neither unpaid compensation nor a statutory basis for penalties, the court left the MWTA dismissal undisturbed.",remand for penalties,claim reinstated,partial vacatur ordered,dismissal reversed,dismissal affirmed,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v12_mcqa.csv
Bruce_Cohen_v_Consilio_LLC,5,"If the district court finds on remand that Consilio’s overtime policy ended and its wrongful conduct cannot reasonably be expected to recur, what follows for Cohen’s MFLSA claim?",moot,(D),,,D,Reasoning Step,The opinion expressly ties the end of the policy plus no reasonable chance of recurrence to mootness of the MFLSA claim.,not moot under the voluntary-cessation doctrine,eligible for injunctive relief against the discontinued policy,still live because a past overtime violation keeps the controversy ongoing,moot,remanded for a merits determination rather than dismissed as nonjusticiable,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v12_mcqa.csv
DPO,4,"Because DPO beats PPO even when PPO is given ground-truth rewards, what part of the usual RLHF pipeline is the more likely bottleneck than reward modeling?",RL optimization,(C),,,C,Synthesized Insight,"If PPO still loses when given perfect rewards while optimizing the same objective, the weakness lies in the RL optimization stage rather than reward estimation.",reward model capacity,supervised fine-tuning initialization,RL optimization,KL-regularization tuning,preference data quality,probes/arxiv/DPO/inference/probes_v12_mcqa.csv
FeatLLM,8,"If FeatLLM matches conventional baselines with one-eighth as many labeled examples, what advantage does that imply?",data efficiency,(D),,,D,Synthesized Insight,Matching conventional baselines with one-eighth as many labels indicates that the method gets more predictive value from each labeled example.,overfitting resistance,higher peak predictive accuracy,stronger use of prior knowledge,data efficiency,better scalability to larger tabular datasets,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv
Foad_Farahi_v_FBI,4,"Given the court's treatment of the Bender declaration, what role did it serve in the Exemption 7(A) showing?",confirm that nothing had changed,(B),,,B,Synthesized Insight,The court treated Bender's declaration as a confirmation that the earlier Hardy showing was still current rather than as an independent proof of pendency.,supplant the Hardy declarations as the operative Exemption 7(A) basis,confirm that nothing had changed,provide the detailed Vaughn-style justification missing from the earlier filings,establish the pendency of enforcement proceedings from scratch,stand alone as the FBI's proof of ongoing proceedings,probes/legal/Foad_Farahi_v_FBI/inference/probes_v12_mcqa.csv
From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,13,"After steroids failed and repeat DAT became negative despite schistocytes, what was the most likely interpretation of the original IgG-positive DAT?",false positive DAT,(D),,,D,Reasoning Step,"Failure to improve with steroids, evidence of MAHA/TMA, and a negative repeat DAT together make the first IgG-positive DAT best interpreted as spurious.",warm autoimmune haemolytic anaemia,a delayed haemolytic transfusion reaction,true penicillin-induced immune haemolysis,false positive DAT,complement-mediated DAT positivity from atypical HUS,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/inference/probes_v12_mcqa.csv
From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,14,What diagnosis was strengthened by both STEC exclusion and rapid improvement after eculizumab?,CM-HUS,(E),,,E,Multi-Fact Integration,The report says that both excluding STEC and seeing a rapid response to eculizumab reinforced the same diagnosis.,thrombotic thrombocytopenic purpura,STEC-HUS,disseminated intravascular coagulation,secondary thrombotic microangiopathy,CM-HUS,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/inference/probes_v12_mcqa.csv
GRPO,2,"If the goal is to improve program-aided mathematical reasoning without sacrificing coding performance, which training setup is favored over two-stage code-then-math training?",one-stage mixed training,(B),,,B,Multi-Fact Integration,"Since two-stage code-then-math hurts coding but one-stage mixing preserves coding while helping program-aided math, the mixed setup better fits that goal.",separate code and math training without token mixing,one-stage mixed training,continued code pretraining followed by math fine-tuning,one-stage math-only training,two-stage math-then-code training,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv
GRPO,5,"Because RL used only GSM8K and MATH chain-of-thought questions yet still improved the other benchmarks, how should those gains be characterized?",out-of-domain improvement,(C),,,C,Multi-Fact Integration,"Since RL was trained only on GSM8K and MATH questions yet improved metrics on other benchmarks too, those gains must be out-of-domain improvements.",in-domain improvement,benchmark-specific overfitting,out-of-domain improvement,SFT-data carryover,benchmark contamination effects,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv
GRPO,11,What underlying issue do the triangle and ellipse failures suggest about the training data?,data selection bias,(B),,,B,Synthesized Insight,"The paper links specific geometry failures to a skew in what the training pipeline selected, implying the weakness comes from biased data coverage.",an overfitting issue on quantitative reasoning benchmarks,data selection bias,a lack of multimodal diagram understanding data,poor transfer from closed-model geometry capabilities,insufficient theorem-proof examples in fine-tuning,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv
GRPO,13,What training problem is iterative GRPO designed to address as policy learning continues?,an outdated reward model,(A),,,A,Multi-Fact Integration,The method refreshes reward-model training from current policy samples because the earlier reward model stops matching the evolving policy.,an outdated reward model,overfitting to supervised data,an outdated policy model,insufficient policy exploration,an underpowered reward model,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv
Immunemediated_necrotising_myopathy_following_semaglutide_tr,2,"Because no CK value before semaglutide was available, what pre-existing condition could not be excluded with certainty?",smouldering autoimmune IMNM,(B),,,B,Reasoning Step,"Without a pre-sem aglutide CK value, the report says a pre-existing low-grade autoimmune IMNM could not be ruled out.",an occult toxic myopathy unrelated to autoimmune IMNM,smouldering autoimmune IMNM,a latent statin-associated necrotising myopathy,a pre-existing diabetic myopathy with chronic CK elevation,an undiagnosed polymyositis predating treatment,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/inference/probes_v12_mcqa.csv
Jimenez_v_Bondi,1,"Once the court held that Petitioners failed the asylum standard, what claim necessarily failed as well?",withholding of removal,(C),,,C,Reasoning Step,"The opinion expressly treats withholding as requiring more than asylum, so failure on asylum necessarily defeats withholding too.",cancellation of removal,protection under the Convention Against Torture,withholding of removal,voluntary departure,adjustment of status,probes/legal/Jimenez_v_Bondi/inference/probes_v12_mcqa.csv
Management_of_atypical_complicated_abdominal_masses_in_the_s,8,What non-maternal priority was actively monitored before and during the operation?,fetal viability,(D),,,D,Multi-Fact Integration,"The team repeatedly checked fetal cardiac status during surgery, showing that the fetus's condition was an active operative priority alongside maternal treatment.",uterine contractility,placental integrity,amniotic fluid volume,fetal viability,serum progesterone levels,probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/inference/probes_v12_mcqa.csv
