row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,drop,title_leakage,Required case-report title framing would reveal the SIADH answer span because the title itself says the disease was complicated by the antidiuretic-hormone-secretion syndrome., syndrome of inappropriate antidiuretic hormone secretion (SIADH).,,"The patient's acute neurological Behçet's disease (neuro-BD), diagnosed concurrently with systemic Behçet's disease, was complicated by",,"The patient's acute neurological Behçet's disease (neuro-BD), diagnosed concurrently with systemic Behçet's disease, was complicated by syndrome of inappropriate antidiuretic hormone secretion (SIADH).",
2,keep,,No v13 issue found; target is source-backed and cloze is sufficiently framed and answerable., oral aphthae., oral aphthae.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the man in his 60s who presented with fever, headache, mucocutaneous lesions, and hyponatraemia, the oral mucosal lesion noted among the mucocutaneous findings was","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the man in his 60s who presented with fever, headache, mucocutaneous lesions, and hyponatraemia, the oral mucosal lesion noted among the mucocutaneous findings was","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the man in his 60s who presented with fever, headache, mucocutaneous lesions, and hyponatraemia, the oral mucosal lesion noted among the mucocutaneous findings was oral aphthae.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the man in his 60s who presented with fever, headache, mucocutaneous lesions, and hyponatraemia, the oral mucosal lesion noted among the mucocutaneous findings was oral aphthae."
3,keep,,No v13 issue found; target is source-backed and cloze is sufficiently framed and answerable., hyponatraemia., hyponatraemia.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", a man in his 60s who presented with fever, headache, and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, and genital ulcers had","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", a man in his 60s who presented with fever, headache, and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, and genital ulcers had","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", a man in his 60s who presented with fever, headache, and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, and genital ulcers had hyponatraemia.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", a man in his 60s who presented with fever, headache, and mucocutaneous lesions including oral aphthae, folliculitis-like rashes, and genital ulcers had hyponatraemia."
4,repair,poor_wording,Removed colon-before-target wording while preserving the source-backed treatment fact., corticosteroids or other immunosuppressants., corticosteroids or other immunosuppressants.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after colchicine monotherapy resolved the man in his 60s' mucocutaneous symptoms, neurological manifestations, and hyponatraemia, additional treatments were not needed:","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after colchicine monotherapy resolved the man in his 60s' mucocutaneous symptoms, neurological manifestations, and hyponatraemia, the treatments not needed were","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after colchicine monotherapy resolved the man in his 60s' mucocutaneous symptoms, neurological manifestations, and hyponatraemia, additional treatments were not needed: corticosteroids or other immunosuppressants.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", after colchicine monotherapy resolved the man in his 60s' mucocutaneous symptoms, neurological manifestations, and hyponatraemia, the treatments not needed were corticosteroids or other immunosuppressants."
5,keep,,No v13 issue found; target is source-backed and cloze is sufficiently framed and answerable., patients with newly diagnosed BD., patients with newly diagnosed BD.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", it is important to recognise concurrent neurological and endocrine manifestations in","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", it is important to recognise concurrent neurological and endocrine manifestations in","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", it is important to recognise concurrent neurological and endocrine manifestations in patients with newly diagnosed BD.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", it is important to recognise concurrent neurological and endocrine manifestations in patients with newly diagnosed BD."
6,keep,,No v13 issue found; target is source-backed and cloze is sufficiently framed and answerable., uveitis., uveitis.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", one of the characteristic eye manifestations of Behçet’s disease mentioned in the background description is","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", one of the characteristic eye manifestations of Behçet’s disease mentioned in the background description is","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", one of the characteristic eye manifestations of Behçet’s disease mentioned in the background description is uveitis.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", one of the characteristic eye manifestations of Behçet’s disease mentioned in the background description is uveitis."
7,keep,,No v13 issue found; target is source-backed and cloze is sufficiently framed and answerable., focal deficits., focal deficits.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when clinicians assess patients with Behçet’s disease for possible neurological involvement alongside mucocutaneous features, the neurological symptoms they should look for include","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when clinicians assess patients with Behçet’s disease for possible neurological involvement alongside mucocutaneous features, the neurological symptoms they should look for include","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when clinicians assess patients with Behçet’s disease for possible neurological involvement alongside mucocutaneous features, the neurological symptoms they should look for include focal deficits.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", when clinicians assess patients with Behçet’s disease for possible neurological involvement alongside mucocutaneous features, the neurological symptoms they should look for include focal deficits."
8,drop,title_leakage,"The required title gives away the requested SIADH answer/equivalent, so adding proper case-report framing would make the cloze unavoidably leaked.", SIADH.,,"According to the case report on acute neurological Behçet's disease, given the inflammatory nature of acute neuro-Behçet’s disease, affected patients may be at risk of developing",,"According to the case report on acute neurological Behçet's disease, given the inflammatory nature of acute neuro-Behçet’s disease, affected patients may be at risk of developing SIADH.",
9,keep,,No v13 issue found; target is source-backed and cloze is sufficiently framed and answerable., hyponatraemia., hyponatraemia.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in a patient with acute neuro-BD presenting with non-specific central nervous system symptoms, the electrolyte abnormality specifically mentioned as accompanying those symptoms was","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in a patient with acute neuro-BD presenting with non-specific central nervous system symptoms, the electrolyte abnormality specifically mentioned as accompanying those symptoms was","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in a patient with acute neuro-BD presenting with non-specific central nervous system symptoms, the electrolyte abnormality specifically mentioned as accompanying those symptoms was hyponatraemia.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in a patient with acute neuro-BD presenting with non-specific central nervous system symptoms, the electrolyte abnormality specifically mentioned as accompanying those symptoms was hyponatraemia."
10,keep,,No v13 issue found; target is source-backed and cloze is sufficiently framed and answerable., the shoulders and ankles., the shoulders and ankles.,"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", an Asian man in his 60s presented to the emergency department after 3 days of fever, headache, general malaise, loss of appetite, persistent hiccups, and arthralgia affecting","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", an Asian man in his 60s presented to the emergency department after 3 days of fever, headache, general malaise, loss of appetite, persistent hiccups, and arthralgia affecting","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", an Asian man in his 60s presented to the emergency department after 3 days of fever, headache, general malaise, loss of appetite, persistent hiccups, and arthralgia affecting the shoulders and ankles.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", an Asian man in his 60s presented to the emergency department after 3 days of fever, headache, general malaise, loss of appetite, persistent hiccups, and arthralgia affecting the shoulders and ankles."
