original_row_index,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
0, training,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', although \textsf{FeatLLM} uses only the simple predictive model with the discovered features at inference time, the 30 API queries are incurred during the method's","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', although \textsf{FeatLLM} uses only the simple predictive model with the discovered features at inference time, the 30 API queries are incurred during the method's training",Synthesized Insight,"['The proposed \\textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.', 'In terms of training time, \\textsf{FeatLLM} is comparable with other LLM-based methods -- it requires only 30 API queries, which does not impose a significant burden on the budget and even can be parallelized.']","Since inference does not use the LLM, the API calls mentioned must belong to the model-building stage rather than test-time prediction.","If inference uses only the simple predictive model but the method still needs 30 API queries, during which stage is the LLM primarily being used?",training,"['The proposed \\textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.', 'In terms of training time, \\textsf{FeatLLM} is comparable with other LLM-based methods -- it requires only 30 API queries, which does not impose a significant burden on the budget and even can be parallelized.']","['The proposed \\textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.', 'In terms of training time, \\textsf{FeatLLM} is comparable with other LLM-based methods -- it requires only 30 API queries, which does not impose a significant burden on the budget and even can be parallelized.']"
1, diversity in prediction,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', by using both higher-temperature decoding and randomized demonstration order, the ensemble is trying to increase","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', by using both higher-temperature decoding and randomized demonstration order, the ensemble is trying to increase diversity in prediction",Multi-Fact Integration,"['To introduce randomness in rule generation for ensemble, a sufficiently high temperature is set for LLM inference.', 'We also randomize the order of few-shot demonstrations based on the observation that the order can impact the query outcome of LLM~\\cite{lu2022fantastically}', 'To utilize the diversity in prediction for more robust predictions, we adopt bagging to select a subset of features or instances for each trial']","Higher temperature and varied demonstration order both increase variation across trials, which the ensemble then exploits for robustness.",What is the ensemble trying to increase by using both higher-temperature decoding and randomized demonstration order?,diversity in prediction,"['To introduce randomness in rule generation for ensemble, a sufficiently high temperature is set for LLM inference.', 'We also randomize the order of few-shot demonstrations based on the observation that the order can impact the query outcome of LLM~\\cite{lu2022fantastically}', 'To utilize the diversity in prediction for more robust predictions, we adopt bagging to select a subset of features or instances for each trial']","['To introduce randomness in rule generation for ensemble, a sufficiently high temperature is set for LLM inference.', 'We also randomize the order of few-shot demonstrations based on the observation that the order can impact the query outcome of LLM~\\cite{lu2022fantastically}', 'To utilize the diversity in prediction for more robust predictions, we adopt bagging to select a subset of features or instances for each trial']"
2, closely related columns,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', FeatLLM’s robustness to unrelated columns does not prevent it from learning spurious correlations when the added columns are","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', FeatLLM’s robustness to unrelated columns does not prevent it from learning spurious correlations when the added columns are closely related columns",Reasoning Step,"['Compared to baselines, \\textsf{FeatLLM} showed the least performance degradation from spurious correlations.', 'Meanwhile, we also observe that \\textsf{FeatLLM} can also learn spurious correlations and misunderstand causal relationships between task and features if columns from closely related data are randomly attached']","The method is robust to unrelated added columns, but the paper explicitly says that this robustness breaks when the extra columns come from closely related data.",What kind of added columns can still cause FeatLLM to learn spurious correlations despite its robustness to unrelated columns?,closely related columns,"['Compared to baselines, \\textsf{FeatLLM} showed the least performance degradation from spurious correlations.', 'Meanwhile, we also observe that \\textsf{FeatLLM} can also learn spurious correlations and misunderstand causal relationships between task and features if columns from closely related data are randomly attached']","['Compared to baselines, \\textsf{FeatLLM} showed the least performance degradation from spurious correlations.', 'Meanwhile, we also observe that \\textsf{FeatLLM} can also learn spurious correlations and misunderstand causal relationships between task and features if columns from closely related data are randomly attached']"
3, more overfitting,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', extracting substantially more than 10 rules per class may fail to improve low-shot performance even though it adds information, because it can lead to","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', extracting substantially more than 10 rules per class may fail to improve low-shot performance even though it adds information, because it can lead to more overfitting",Reasoning Step,"[""As for the number of rules, while there wasn't a statistically significant difference, we determined that 10 is the most appropriate number considering the trade-off between prompt length and performance"", 'We speculate this result is due to more rules enlarging input dimensionality, leading to an increase in information, yet also resulting in overfitting within the low-shot regime.']","Adding many more rules increases information but also increases overfitting in low-shot learning, so performance need not improve.",Why might extracting substantially more than 10 rules per class fail to improve low-shot performance even though it adds information?,more overfitting,"[""As for the number of rules, while there wasn't a statistically significant difference, we determined that 10 is the most appropriate number considering the trade-off between prompt length and performance"", 'We speculate this result is due to more rules enlarging input dimensionality, leading to an increase in information, yet also resulting in overfitting within the low-shot regime.']","[""As for the number of rules, while there wasn't a statistically significant difference, we determined that 10 is the most appropriate number considering the trade-off between prompt length and performance"", 'We speculate this result is due to more rules enlarging input dimensionality, leading to an increase in information, yet also resulting in overfitting within the low-shot regime.']"
4, the ensemble of weak learners,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', if each bagged trial omits some columns or examples, what preserves FeatLLM's overall coverage of the task relationships is","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', if each bagged trial omits some columns or examples, what preserves FeatLLM's overall coverage of the task relationships is the ensemble of weak learners",Synthesized Insight,"['While a single rule set might not capture the relationships of all features, the ensemble of various weak learners created across multiple trials can nullify the impact of incomplete feature/instance coverage in individual trials.', 'To utilize the diversity in prediction for more robust predictions, we adopt bagging to select a subset of features or instances for each trial']","If each trial only sees a subset of features or instances, the paper says combining many such weak learners offsets the missing coverage in any one trial.","If each bagged trial omits some columns or examples, what preserves FeatLLM's overall coverage of the task relationships?",the ensemble of weak learners,"['While a single rule set might not capture the relationships of all features, the ensemble of various weak learners created across multiple trials can nullify the impact of incomplete feature/instance coverage in individual trials.', 'To utilize the diversity in prediction for more robust predictions, we adopt bagging to select a subset of features or instances for each trial']","['While a single rule set might not capture the relationships of all features, the ensemble of various weak learners created across multiple trials can nullify the impact of incomplete feature/instance coverage in individual trials.', 'To utilize the diversity in prediction for more robust predictions, we adopt bagging to select a subset of features or instances for each trial']"
6, reducing class likelihood,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', projecting the trainable weights into a positive subspace ensures that the features generated by the LLM do not have the effect of","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', projecting the trainable weights into a positive subspace ensures that the features generated by the LLM do not have the effect of reducing class likelihood",Reasoning Step,"['The set of new binary features are input to a dot product operation with non-negative trainable weights, to estimate the likelihood of each class.', 'By projecting these weights into a positive subspace, we can ensure that the features generated by the LLM do not reduce the likelihood of a class during learning.']","Non-negative weights mean any satisfied rule can only add zero or positive contribution, so it cannot push that class probability downward through the logit.",What effect of a satisfied rule is explicitly ruled out by constraining the trainable weights to be non-negative?,reducing class likelihood,"['The set of new binary features are input to a dot product operation with non-negative trainable weights, to estimate the likelihood of each class.', 'By projecting these weights into a positive subspace, we can ensure that the features generated by the LLM do not reduce the likelihood of a class during learning.']","['The set of new binary features are input to a dot product operation with non-negative trainable weights, to estimate the likelihood of each class.', 'By projecting these weights into a positive subspace, we can ensure that the features generated by the LLM do not reduce the likelihood of a class during learning.']"
8, no per-sample LLM queries,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', bagging and ensembling can be added to FeatLLM without causing the same inference-time blowup that would make such an adaptation impractical for existing LLM-based approaches because there are","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', bagging and ensembling can be added to FeatLLM without causing the same inference-time blowup that would make such an adaptation impractical for existing LLM-based approaches because there are no per-sample LLM queries",Synthesized Insight,"['The proposed \\textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.', 'It is important to note that our bagging and ensemble concept could be adapted to existing LLM-based approaches. However, such an adaptation would double the number of per-sample inference, leading to a substantial increase in computational complexity and thus becoming impractical.']","Because FeatLLM does not call the LLM for each test sample, adding bagged ensembles does not create the per-sample LLM-cost explosion that makes the same idea impractical for end-to-end LLM predictors.",Why can bagging and ensembling be added to FeatLLM without causing the same inference-time blowup that would make such an adaptation impractical for existing LLM-based approaches?,no per-sample LLM queries,"['The proposed \\textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.', 'It is important to note that our bagging and ensemble concept could be adapted to existing LLM-based approaches. However, such an adaptation would double the number of per-sample inference, leading to a substantial increase in computational complexity and thus becoming impractical.']","['The proposed \\textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.', 'It is important to note that our bagging and ensemble concept could be adapted to existing LLM-based approaches. However, such an adaptation would double the number of per-sample inference, leading to a substantial increase in computational complexity and thus becoming impractical.']"
9, two-step reasoning,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', the prompt design choice that most directly explains why FeatLLM degrades the least when unrelated columns are added is","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', the prompt design choice that most directly explains why FeatLLM degrades the least when unrelated columns are added is two-step reasoning",Synthesized Insight,"['This two-step reasoning process prevents the model from identifying spurious correlations in irrelevant columns and can assist in focusing on more significant features.', 'Compared to baselines, \\textsf{FeatLLM} showed the least performance degradation from spurious correlations.']","The model is most robust to added irrelevant columns, and the paper attributes avoidance of spurious correlations to the two-step reasoning process.",Which prompt design choice most directly explains why FeatLLM degrades the least when unrelated columns are added?,two-step reasoning,"['This two-step reasoning process prevents the model from identifying spurious correlations in irrelevant columns and can assist in focusing on more significant features.', 'Compared to baselines, \\textsf{FeatLLM} showed the least performance degradation from spurious correlations.']","['This two-step reasoning process prevents the model from identifying spurious correlations in irrelevant columns and can assist in focusing on more significant features.', 'Compared to baselines, \\textsf{FeatLLM} showed the least performance degradation from spurious correlations.']"
11, uniform probabilities,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', if a sample satisfies none of the extracted rules for any class, Eq. 1 produces","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', if a sample satisfies none of the extracted rules for any class, Eq. 1 produces uniform probabilities",Reasoning Step,"[""These features are created for each class, indicating whether the sample satisfies the rules associated with that class (i.e., either '0' or '1')."", 'The probability for each class \\mathbf{p}^i is computed as follows:\n\n\\begin{align}\n\\text{logit}_k^i &= \\max(\\mathbf{w}_k, 0) \\cdot \\mathbf{z}_k^i, \\nonumber \\\\\n\\mathbf{p}^i &= \\text{Softmax}({[\\text{logit}_{1}^i, ..., \\text{logit}_{c}^i]}). \\label{eq:infer_prob}\n\\end{align}']","If every binary rule feature is 0 for every class, then every logit is 0 and the softmax assigns equal mass to all classes.","If a sample satisfies none of the extracted rules for any class, what probabilities does Eq. 1 produce across classes?",uniform probabilities,"[""These features are created for each class, indicating whether the sample satisfies the rules associated with that class (i.e., either '0' or '1')."", 'The probability for each class \\mathbf{p}^i is computed as follows:\n\n\\begin{align}\n\\text{logit}_k^i &= \\max(\\mathbf{w}_k, 0) \\cdot \\mathbf{z}_k^i, \\nonumber \\\\\n\\mathbf{p}^i &= \\text{Softmax}({[\\text{logit}_{1}^i, ..., \\text{logit}_{c}^i]}). \\label{eq:infer_prob}\n\\end{align}']","[""These features are created for each class, indicating whether the sample satisfies the rules associated with that class (i.e., either '0' or '1')."", 'The probability for each class \\mathbf{p}^i is computed as follows:\n\n\\begin{align}\n\\text{logit}_k^i &= \\max(\\mathbf{w}_k, 0) \\cdot \\mathbf{z}_k^i, \\nonumber \\\\\n\\mathbf{p}^i &= \\text{Softmax}({[\\text{logit}_{1}^i, ..., \\text{logit}_{c}^i]}). \\label{eq:infer_prob}\n\\end{align}']"
12, data efficiency,"According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', matching conventional tabular baselines with just 4 shots while they require 32 shots suggests a strength in","According to the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', matching conventional tabular baselines with just 4 shots while they require 32 shots suggests a strength in data efficiency",Synthesized Insight,"['Our framework, when utilizing just 4 shots, achieves comparable performance to conventional tabular baselines that require 32 shots (see Fig.~\\ref{fig:compares}).', 'To push the data efficiency in learning, our research makes important contributions to mitigate the issue of overfitting due to limited training samples, by supplementing with prior knowledge.']",Matching conventional baselines with one-eighth as many labels indicates that the method gets more predictive value from each labeled example.,"If FeatLLM matches conventional baselines with one-eighth as many labeled examples, what advantage does that imply?",data efficiency,"['Our framework, when utilizing just 4 shots, achieves comparable performance to conventional tabular baselines that require 32 shots (see Fig.~\\ref{fig:compares}).', 'To push the data efficiency in learning, our research makes important contributions to mitigate the issue of overfitting due to limited training samples, by supplementing with prior knowledge.']","['Our framework, when utilizing just 4 shots, achieves comparable performance to conventional tabular baselines that require 32 shots (see Fig.~\\ref{fig:compares}).', 'To push the data efficiency in learning, our research makes important contributions to mitigate the issue of overfitting due to limited training samples, by supplementing with prior knowledge.']"
