document,row_1based,field,kind,repro,current
arxiv/1_58,7,fact,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on natural language processing tasks.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that large language models have demonstrated remarkable performance on natural language processing tasks."
arxiv/1_58,7,probe,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that large language models have demonstrated remarkable performance on"
arxiv/1_58,11,probe,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", one approach to address the deployment, energy, and memory challenges of large language models is to use post-training quantization for inference to create:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", one approach to address the deployment, energy, and memory challenges of large language models is to use post-training quantization for inference to create"
arxiv/1_58,19,fact,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"" states that the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is matrix multiplication.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is matrix multiplication."
arxiv/1_58,19,probe,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"" states that the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is"
arxiv/BOFT,157,fact,field_value,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of orthogonality constraints and counting edges between adjacent levels, for a $d\times d$ orthogonal matrix with $d$ non-zero entries, those entries can only be$\pm 1$","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of orthogonality constraints and counting edges between adjacent levels, for a $d\times d$ orthogonal matrix with $d$ non-zero entries, those entries can only be $ \pm 1 $."
arxiv/BOFT,194,contextualized_question,field_value,"**Question:** According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", how is the BOFT forward pass output $\bm{z}$ expressed in terms of the orthogonal matrix $\bm{R}(m,b)$, the base weight matrix $\bm{W}^0$, and the input $\bm{x}$?

**Answer:** $\big(\bm{R}(m,b)\cdot\bm{W}^0\big)^\top\bm{x}$","**Question:** According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", how is the BOFT forward pass output $\bm{z}$ expressed in terms of the orthogonal matrix $\bm{R}(m,b)$, the base weight matrix $\bm{W}^0$, and the input $\bm{x}$?

**Answer:**\big(\bm{R}(m,b)\cdot\bm{W}^0\big)^\top\bm{x}"
arxiv/ByteLatent,20,contextualized_question,field_value,"Question: In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a dynamic, learnable method for grouping bytes into patches and claim that this approach has a particular effect compared to tokenization-based models. What does their approach result in relative to tokenization-based models?

Answer: more efficient allocation of compute","Question: In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a dynamic, learnable method for grouping bytes into patches and claim that this approach has a particular effect compared to tokenization-based models. What does their approach result in relative to tokenization-based models?

Answer:\textit{more} efficient allocation of compute"
arxiv/ByteLatent,67,contextualized_question,field_value,"Question: According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the second entropy-based approach for identifying patch boundaries is interpreted as detecting points that break the approximate monotonically decreasing entropy, where does that break occur?

Answer: withing the patch","**Question:** According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the second entropy-based approach can be interpreted as identifying points that break approximate monotonically decreasing entropy?

**Answer:** withing the patch."
arxiv/ByteLatent,119,contextualized_question,field_value,"1. According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, in the augmented embedding used for the byte $n$-gram hash embeddings,
\[
e_i = x_i + \sum_{n = 3,...,8} E_{n}^{hash}(\text{Hash}(g_{i,n})),
\]
what quantity is used as the modulus in the definition
\[
\text{Hash}(g_{i,n}) = \text{RollPolyHash}(g_{i,n}) \% \, ?
\]

**Answer:** $|E_{n}^{hash}|$","1. According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, in the augmented embedding used for the byte $n$-gram hash embeddings,
\[
e_i = x_i + \sum_{n = 3,...,8} E_{n}^{hash}(\text{Hash}(g_{i,n})),
\]
what quantity is used as the modulus in the definition
\[
\text{Hash}(g_{i,n}) = \text{RollPolyHash}(g_{i,n}) \% \, ?
\]

**Answer:** |E_{n}^{hash}|"
