document,v12_rows,initial_removed,initial_repaired_from_log,initial_v13_replay_rows,post_hard_removed,pre_final_rows,final_drops,repro_final_rows,current_final_rows,rows_with_any_diff,field_diffs
arxiv/1_58,138,0,15,138,4,134,0,134,134,21,24
arxiv/BOFT,281,0,26,281,0,281,0,281,281,46,52
arxiv/ByteLatent,481,0,63,481,2,479,0,479,479,64,67
arxiv/DPO,321,0,5,321,8,313,0,313,313,20,26
arxiv/FeatLLM,304,0,41,304,1,303,0,303,303,54,56
arxiv/GRPO,401,0,12,401,10,391,0,391,391,32,36
arxiv/GSPO,166,0,9,166,2,164,0,164,164,28,28
arxiv/LongRoPE,392,7,71,385,1,384,2,382,382,34,34
arxiv/OFT,384,0,46,384,6,378,2,376,376,35,36
arxiv/QLoRA,410,0,18,410,3,407,0,407,407,24,24
arxiv/fa3,282,0,57,282,3,279,0,279,279,33,33
arxiv/xLSTM,266,0,27,266,3,263,0,263,263,20,20
legal/America_First_Legal_Foundation_v_Jamieson_Greer,78,0,78,78,0,78,0,78,78,2,2
legal/Apex_Bank_v_Cc_Serve_Corp,74,0,54,74,0,74,0,74,74,26,27
legal/Bruce_Cohen_v_Consilio_LLC,82,1,81,81,0,81,1,80,80,14,17
legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC,103,0,103,103,0,103,0,103,103,9,9
legal/Foad_Farahi_v_FBI,98,0,97,98,2,96,0,96,96,16,16
legal/Jimenez_v_Bondi,164,0,137,164,0,164,0,164,164,39,41
legal/Pacito_v_Trump,67,0,67,67,1,66,0,66,66,11,16
legal/Santos_v_Kimmel,61,0,57,61,0,61,0,61,61,16,19
legal/United_States_v_Constantinescu,67,0,58,67,0,67,0,67,67,16,18
legal/United_States_v_Jaison_Coleman,75,0,75,75,0,75,1,74,74,11,12
legal/United_States_v_Justin_Cutbank,82,0,82,82,0,82,1,81,81,12,12
legal/Williams_v_GoAuto_Insurance,84,1,71,83,0,83,0,83,83,20,23
medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome,157,0,11,157,4,153,0,153,153,145,155
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,1,8,98,0,98,0,98,98,91,107
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar,146,1,10,145,0,145,0,145,145,136,148
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,141,5,8,136,0,136,0,136,136,130,146
medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,138,0,4,138,2,136,0,136,136,133,145
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,1,5,96,2,94,1,93,93,90,98
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s,127,0,6,127,1,126,0,126,126,122,128
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,153,1,16,152,0,152,0,152,152,145,169
medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,147,2,43,145,0,145,0,145,145,108,120
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,132,1,23,131,0,131,0,131,131,117,134
medical/Pancreatopleural_fistula_in_childhood,161,0,35,161,0,161,0,161,161,131,140
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,145,0,16,145,1,144,0,144,144,131,141
