document,row_1based,field,kind,repro,current
arxiv/1_58,7,fact,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on natural language processing tasks.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that large language models have demonstrated remarkable performance on natural language processing tasks."
arxiv/1_58,7,probe,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that large language models have demonstrated remarkable performance on"
arxiv/1_58,11,fact,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", one approach to address the deployment, energy, and memory challenges of large language models is to use post-training quantization for inference to create low-bit models.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", one approach to address the deployment, energy, and memory challenges of large language models is to use post-training quantization for inference to create low-bit models.
"
arxiv/1_58,11,probe,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", one approach to address the deployment, energy, and memory challenges of large language models is to use post-training quantization for inference to create:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", one approach to address the deployment, energy, and memory challenges of large language models is to use post-training quantization for inference to create"
arxiv/1_58,16,fact,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in the type of large language models described as sub-optimal, namely industry LLMs.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", post-training quantization is widely used in the type of large language models described as sub-optimal, namely industry LLMs.
"
arxiv/1_58,18,fact,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" most operations in vanilla LLMs are performed using 16-bit floating values.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" most operations in vanilla LLMs are performed using 16-bit floating values.
"
arxiv/1_58,19,fact,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"" states that the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is matrix multiplication.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is matrix multiplication."
arxiv/1_58,19,probe,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"" states that the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the bulk of vanilla LLMs, represented in 16-bit floating values such as FP16 or BF16, is"
arxiv/1_58,35,fact,field_value,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" what gives BitNet b1.58 explicit support for feature filtering and thereby strengthens its modeling capability is the inclusion of 0 in the model weights","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" what gives BitNet b1.58 explicit support for feature filtering and thereby strengthens its modeling capability is the inclusion of 0 in the model weights
"
arxiv/1_58,41,fact,field_value,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization procedure described in ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the activations are scaled per token to get rid of the zero-point quantization, namely $[-Q_b, Q_b]$.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization procedure described in ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the activations are scaled per token to get rid of the zero-point quantization, namely $[-Q_b, Q_b]$.
"
