domain_group,domain,bucket,count,avg_target_chars,median_target_chars,avg_target_words,median_target_words,avg_source_target_occ_per_1k,median_source_target_occ_per_1k,avg_expl_target_occ_per_1k,median_expl_target_occ_per_1k,avg_para9_target_occ_per_1k,median_para9_target_occ_per_1k,avg_source_minus_expl_occ_per_1k,median_source_minus_expl_occ_per_1k,avg_source_minus_para9_occ_per_1k,median_source_minus_para9_occ_per_1k,avg_para9_minus_expl_occ_per_1k,median_para9_minus_expl_occ_per_1k
arxiv,1_58,source > explanations,57,23.403508771929825,19.0,3.210526315789474,2.0,0.8425724320311001,0.47551117451260105,0.20688994474102068,0.0,0.4936433914738507,0.0,0.6356824872900794,0.436783007516745,0.3489290405572494,0.05727537402733773,0.28675344673283004,0.0
arxiv,1_58,explanations >= source,80,20.925,20.0,2.7,2.0,0.42796005706134094,0.47551117451260105,0.030740482552960767,0.0,0.20934333829753532,0.0,0.3972195745083802,0.456147091014673,0.21861671876380565,0.036462586175317,0.17860285574457455,0.0
arxiv,BOFT,source > explanations,102,29.245098039215687,26.0,3.549019607843137,3.0,0.21008403361344535,0.2232142857142857,0.021963017562614102,0.0,0.08343624758600363,0.0,0.18812101605083129,0.21274593154892757,0.12664778602744176,0.06494002912082976,0.06147323002338952,0.0
arxiv,BOFT,explanations >= source,176,26.176136363636363,24.0,2.8068181818181817,2.0,0.2980418019480519,0.2232142857142857,0.08124870335158633,0.0,0.21394358080014528,0.024533254826917886,0.2167930985964656,0.1289990982260626,0.08409822114790666,0.0017310770235154649,0.13269487744855893,0.023864191649099607
arxiv,ByteLatent,source > explanations,109,25.339449541284402,22.0,3.3577981651376145,3.0,0.15854225679617806,0.1152073732718894,0.11308038061316801,0.0,0.08298236358268404,0.0,0.04546187618301004,0.08294098194509539,0.07555989321349403,0.06850696695763686,-0.030098017030483978,0.0
arxiv,ByteLatent,explanations >= source,370,24.21081081081081,21.0,3.2621621621621624,3.0,0.18837962386349483,0.1152073732718894,0.09536026734013311,0.0,0.13272925056901128,0.0,0.0930193565233617,0.0668077862816984,0.05565037329448355,0.010404605763854657,0.03736898322887816,0.0
arxiv,DPO,source > explanations,84,26.071428571428573,22.0,3.4047619047619047,3.0,0.21424529064596978,0.16977928692699493,0.05837621849677536,0.0,0.151869233893912,0.0,0.1558690721491944,0.1219392639637839,0.06237605675205778,0.0,0.09349301539713663,0.0
arxiv,DPO,explanations >= source,232,26.288793103448278,23.0,3.2370689655172415,3.0,0.22320121772729934,0.08488964346349746,0.10217556628565112,0.0,0.17351009220008823,0.0,0.12102565144164822,0.0,0.049691125527211104,0.0,0.0713345259144371,0.0
arxiv,FeatLLM,source > explanations,130,29.776923076923076,25.0,4.130769230769231,3.0,0.12731873196989477,0.0,0.026785898254795704,0.0,0.026470598475123605,0.0,0.10053283371509905,0.0,0.10084813349477116,0.0,-0.0003152997796720983,0.0
arxiv,FeatLLM,explanations >= source,174,22.086206896551722,20.0,2.8908045977011496,3.0,0.13365410318096765,0.0,0.05293234535762016,0.0,0.05854277386286397,0.0,0.08072175782334749,0.0,0.07511132931810369,0.0,0.005610428505243813,0.0
arxiv,GRPO,source > explanations,105,27.914285714285715,26.0,3.7333333333333334,3.0,0.1936108422071636,0.13829345871940257,0.03709092984107963,0.0,0.11649999447378995,0.0,0.15651991236608395,0.13468032351240738,0.07711084773337365,0.011376392963474452,0.0794090646327103,0.0
arxiv,GRPO,explanations >= source,293,22.976109215017065,21.0,2.7098976109215016,2.0,0.17746873883445516,0.0,0.054782295266239275,0.0,0.13235733165836344,0.0,0.12268644356821591,0.0,0.045111407176091745,0.0,0.07757503639212418,0.0
arxiv,GSPO,source > explanations,57,29.80701754385965,24.0,3.807017543859649,3.0,0.37961983784809783,0.3091190108191654,0.05949530567527172,0.0,0.14563291694552943,0.0,0.3201245321728261,0.3091190108191654,0.23398692090256842,0.27806503901617174,0.08613761127025771,0.0
