domain_group,domain,bucket,count,avg_target_chars,median_target_chars,avg_target_words,median_target_words,avg_source_target_occ_per_1k,median_source_target_occ_per_1k,avg_expl_target_occ_per_1k,median_expl_target_occ_per_1k,avg_para9_target_occ_per_1k,median_para9_target_occ_per_1k,avg_source_minus_expl_occ_per_1k,median_source_minus_expl_occ_per_1k,avg_source_minus_para9_occ_per_1k,median_source_minus_para9_occ_per_1k,avg_para9_minus_expl_occ_per_1k,median_para9_minus_expl_occ_per_1k
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,source > explanations,71,31.04225352112676,26.0,3.6901408450704225,3.0,0.482834678503432,0.38955979742890534,0.1404117997262371,0.0,0.15575386232797714,0.0,0.34242287877719485,0.38955979742890534,0.3270808161754548,0.38955979742890534,0.015342062601740016,0.0
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,explanations >= source,78,21.743589743589745,18.0,2.8846153846153846,2.0,0.6093114780298263,0.38955979742890534,0.20084544979155894,0.0,0.29533455728003766,0.21604290674957838,0.4084660282382674,0.38955979742890534,0.31397692074978867,0.31020911908160587,0.0944891074884787,0.033697792432972495
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,source > explanations,49,29.918367346938776,29.0,4.183673469387755,3.0,0.5235217399290949,0.45004500450045004,0.03741959314038504,0.0,0.14935567696130772,0.0,0.4861021467887099,0.45004500450045004,0.3741660629677872,0.45004500450045004,0.11193608382092268,0.0
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,explanations >= source,50,28.94,25.5,3.94,3.0,0.648064806480648,0.45004500450045004,0.2637960608032176,0.0,0.32183582929534826,0.04730145215458115,0.38426874567743047,0.45004500450045004,0.32622897718529975,0.40352534502163073,0.05803976849213068,0.0
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,source > explanations,80,32.75,27.0,4.25,3.0,0.5218399690761499,0.38654812524159254,0.11900279690189328,0.0,0.13676392335097826,0.0,0.40283717217425663,0.38654812524159254,0.38507604572517173,0.38654812524159254,0.01776112644908495,0.0
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,explanations >= source,65,27.138461538461538,23.0,3.5538461538461537,3.0,0.5054860099313134,0.38654812524159254,0.07530120481927711,0.0,0.16943193801469913,0.07177757048990382,0.4301848051120363,0.38654812524159254,0.3360540719166142,0.3507404838909283,0.09413073319542203,0.035807641350664235
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,source > explanations,84,32.773809523809526,27.0,4.392857142857143,3.0,0.49903280240358894,0.43215211754537597,0.03949510528457897,0.0,0.15457554759495673,0.0,0.45953769711900994,0.43215211754537597,0.34445725480863215,0.43215211754537597,0.11508044231037776,0.0
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,explanations >= source,52,27.98076923076923,22.0,3.4615384615384617,3.0,0.5235689116415132,0.43215211754537597,0.05514896709228693,0.0,0.2739729184661356,0.1735948519079059,0.46841994454922625,0.43215211754537597,0.24959599317537762,0.2589261643970578,0.21882395137384864,0.13036802919351675
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,source > explanations,70,28.314285714285713,28.0,3.5285714285714285,3.0,0.7456658174361523,0.43497172683775553,0.30332020676203825,0.0,0.3535801446104178,0.0,0.4423456106741141,0.43497172683775553,0.39208567282573453,0.43497172683775553,0.05025993784837954,0.0
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,explanations >= source,67,23.62686567164179,22.0,3.0,3.0,0.7011484552011581,0.43497172683775553,0.2797103099980552,0.0,0.43912468926847864,0.3653098673163482,0.421438145203103,0.43497172683775553,0.26202376593267956,0.35371366788035435,0.15941437927042337,0.053013964829575766
