view,step,final_step,layer,component,metric,value,num_values
time,0,100,,embed_tokens,relative_delta_norm,0.0,100352
time,0,100,,embed_tokens,cosine_distance,1.0097247301315775e-11,100352
time,0,100,,embed_tokens,relative_delta_gini,0.0,100352
time,0,100,,embed_tokens,cosine_distance_gini,0.9999466583508403,100352
time,0,100,,gate_proj,relative_delta_norm,0.0,552960
time,0,100,,gate_proj,cosine_distance,0.0,552960
time,0,100,,gate_proj,relative_delta_gini,0.0,552960
time,0,100,,gate_proj,cosine_distance_gini,0.0,552960
time,0,100,,up_proj,relative_delta_norm,0.0,552960
time,0,100,,up_proj,cosine_distance,0.0,552960
time,0,100,,up_proj,relative_delta_gini,0.0,552960
time,0,100,,up_proj,cosine_distance_gini,0.0,552960
time,0,100,,down_proj,relative_delta_norm,0.0,552960
time,0,100,,down_proj,cosine_distance,2.7699301157284665e-09,552960
time,0,100,,down_proj,relative_delta_gini,0.0,552960
time,0,100,,down_proj,cosine_distance_gini,0.9990779280685731,552960
time,0,100,,q_proj,relative_delta_norm,0.0,204800
time,0,100,,q_proj,cosine_distance,0.04970703125,204800
time,0,100,,q_proj,relative_delta_gini,0.0,204800
time,0,100,,q_proj,cosine_distance_gini,0.9502929687499999,204800
time,0,100,,k_proj,relative_delta_norm,0.0,204800
time,0,100,,k_proj,cosine_distance,0.014116210938082076,204800
time,0,100,,k_proj,relative_delta_gini,0.0,204800
time,0,100,,k_proj,cosine_distance_gini,0.9858837890619172,204800
time,0,100,,v_proj,relative_delta_norm,0.0,204800
time,0,100,,v_proj,cosine_distance,0.0,204800
time,0,100,,v_proj,relative_delta_gini,0.0,204800
time,0,100,,v_proj,cosine_distance_gini,0.0,204800
time,0,100,,o_proj,relative_delta_norm,0.0,204800
time,0,100,,o_proj,cosine_distance,1.0858930181711913e-08,204800
time,0,100,,o_proj,relative_delta_gini,0.0,204800
time,0,100,,o_proj,cosine_distance_gini,0.9960224140344418,204800
time,5,100,,embed_tokens,relative_delta_norm,5.601914822529865e-06,100352
time,5,100,,embed_tokens,cosine_distance,2.197636177345198e-11,100352
time,5,100,,embed_tokens,relative_delta_gini,0.6971898065713695,100352
time,5,100,,embed_tokens,cosine_distance_gini,0.9999485594491173,100352
time,5,100,,gate_proj,relative_delta_norm,0.0004499198311820099,552960
time,5,100,,gate_proj,cosine_distance,1.6804767289647348e-10,552960
time,5,100,,gate_proj,relative_delta_gini,0.15091033779673535,552960
time,5,100,,gate_proj,cosine_distance_gini,0.9998918375772843,552960
time,5,100,,up_proj,relative_delta_norm,0.0005517918506101912,552960
time,5,100,,up_proj,cosine_distance,5.1201183210920406e-11,552960
time,5,100,,up_proj,relative_delta_gini,0.09348376211494114,552960
time,5,100,,up_proj,cosine_distance_gini,0.9999502276742203,552960
time,5,100,,down_proj,relative_delta_norm,0.000599761243159499,552960
time,5,100,,down_proj,cosine_distance,3.361384625788088e-09,552960
time,5,100,,down_proj,relative_delta_gini,0.10394194914042432,552960
time,5,100,,down_proj,cosine_distance_gini,0.9989612455023529,552960
time,5,100,,q_proj,relative_delta_norm,5.417847829977543,204800
time,5,100,,q_proj,cosine_distance,0.05060175459599123,204800
time,5,100,,q_proj,relative_delta_gini,0.9995680333084347,204800
time,5,100,,q_proj,cosine_distance_gini,0.9491881071000539,204800
time,5,100,,k_proj,relative_delta_norm,0.016755146791493588,204800
time,5,100,,k_proj,cosine_distance,0.014228662666864693,204800
time,5,100,,k_proj,relative_delta_gini,0.886770628841874,204800
