row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,true,keep,Correctly combines clear-error review with affirmance of both consent and scope findings. Target spacing normalized.,"According to the opinion 'United States v. Jaison Coleman', given the clear-error standard and the court’s acceptance of both district-court findings, the appellate result that followed for the suppression issue was",affirmance of the suppression ruling,
1,true,keep,Correctly links the welfare-check purpose to the permitted scan and basic questioning. Target spacing normalized.,"According to the opinion 'United States v. Jaison Coleman', the officers’ quick canvas and basic questioning remained within the scope of consent because they were",checking the children’s welfare,
2,false,recall_not_composition,The reserved appellate issue is stated directly in one sentence after the guilty plea.,,,
3,false,recall_not_composition,The alternative doctrines are named directly in a single sentence; no real composition is required.,,,
4,true,keep,Correctly applies the welfare-check scope rationale to locating Coleman in another bedroom. Target spacing normalized.,"According to the opinion 'United States v. Jaison Coleman', because the officers were trying to confirm Coleman posed no danger, the opinion implies that finding him in a separate bedroom during a quick canvas was",within the scope of consent,
5,false,duplicate,Tests the same suppression-result concept as row 0 with a weaker cloze.,,,0
6,true,keep,"Correctly synthesizes the brief encounter, lack of custody, and no coercion into the noncoercion conclusion. Target spacing normalized.","According to the opinion 'United States v. Jaison Coleman', despite the second request and Officer Kizer’s use of “need,” the court characterized the overall interaction as",noncoercive,
7,true,keep,Correctly applies objective reasonableness and the consented welfare-check purpose to the allowed actions inside. Target spacing normalized.,"According to the opinion 'United States v. Jaison Coleman', under the court’s objective-reasonableness approach, Lisa’s consent reasonably allowed the officers, once inside, to",scan the home and locate everyone,
8,false,recall_not_composition,"Asks for the legal label for consent by someone other than the defendant, which is supplied directly by the opinion.",,,
9,false,duplicate,Duplicates the scope-of-consent quick-canvas reasoning kept in row 4.,,,4
10,false,insufficient_source_support,"The source says the children did not know the gun location and a warrant followed, but not that this fact made a warrant logically necessary.",,,
11,true,keep,Correctly combines Lisa’s earlier refusal with the noncoercive second request to support voluntary consent. Target spacing normalized.,"According to the opinion 'United States v. Jaison Coleman', given Lisa’s earlier refusal and the absence of coercion on the second request, her later “Okay” was treated as",voluntary consent,
12,false,recall_not_composition,The officers seeking and securing a warrant is directly stated after the children’s account.,,,
13,false,recall_not_composition,The court directly attributes Kizer’s urgency to concern for the children’s safety.,,,
