original_row_index,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
3, 1000 steps,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', based on the two-stage LLaMA2 fine-tuning schedule, the total fine-tuning steps used before the secondary search to 2048k are","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', based on the two-stage LLaMA2 fine-tuning schedule, the total fine-tuning steps used before the secondary search to 2048k are 1000 steps",Reasoning Step,"['Specifically, we first fine-tune LLaMA2 for 400 steps using the RoPE rescaled factors for 128k. Then, we replace the RoPE rescaled factors to 256k on the finished checkpoint and conduct an additional 600 steps of fine-tuning.']",Adding the two training stages gives the total number of fine-tuning steps before the final secondary search.,"Based on the two-stage LLaMA2 fine-tuning schedule, how many total fine-tuning steps are used before the secondary search to 2048k?",1000 steps,"['Specifically, we first fine-tune LLaMA2 for 400 steps using the RoPE rescaled factors for 128k. Then, we replace the RoPE rescaled factors to 256k on the finished checkpoint and conduct an additional 600 steps of fine-tuning.']","['Specifically, we first fine-tune LLaMA2 for 400 steps using the RoPE rescaled factors for 128k. Then, we replace the RoPE rescaled factors to 256k on the finished checkpoint and conduct an additional 600 steps of fine-tuning.']"
4, a $512\times$ extension ratio,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', if one tried to jump directly from a 4k model to 2048k and fine-tune there, the aspect of that jump that would make fine-tuning especially difficult is","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', if one tried to jump directly from a 4k model to 2048k and fine-tune there, the aspect of that jump that would make fine-tuning especially difficult is a $512\times$ extension ratio",Reasoning Step,"['For larger extensions (i.e., 512$\\times$) is required, fine-tuning is necessary.', ""Moreover,  based on our experiences, it's challenging to well fine-tune the LLMs under a  large extension ratio"", 'One method is to search for RoPE rescaled factors under the target 2048k size and then fine-tune. However, this faces challenges due to the prohibitively expensive training resources.']","The paper says fine-tuning is hard under a large extension ratio, and identifies the direct 2048k case as a 512× extension, so that ratio is the part that makes one-shot fine-tuning especially difficult.","If one tried to jump directly from a 4k model to 2048k and fine-tune there, what aspect of that jump would make fine-tuning especially difficult?",a 512× extension ratio,"['For larger extensions (i.e., 512$\\times$) is required, fine-tuning is necessary.', ""Moreover,  based on our experiences, it's challenging to well fine-tune the LLMs under a  large extension ratio"", 'One method is to search for RoPE rescaled factors under the target 2048k size and then fine-tune. However, this faces challenges due to the prohibitively expensive training resources.']","['For larger extensions (i.e., 512$\\times$) is required, fine-tuning is necessary.', ""Moreover,  based on our experiences, it's challenging to well fine-tune the LLMs under a  large extension ratio"", 'One method is to search for RoPE rescaled factors under the target 2048k size and then fine-tune. However, this faces challenges due to the prohibitively expensive training resources.']"
5, lower dimensions,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', under LongRoPE's monotonicity constraint, the RoPE dimensions that should end up with the smaller rescale factors are the","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', under LongRoPE's monotonicity constraint, the RoPE dimensions that should end up with the smaller rescale factors are the lower dimensions",Multi-Fact Integration,"['To address this, we impose a non-decreasing monotonicity constraint on the sampled RoPE rescaled factors: $\\lambda_i\\le \\lambda_{i+1}$.', 'This dimensional monotonicity is based on the NTK theory~\\cite{jacot2018neural,tancik2020fourier,ntk}, suggesting that lower dimensions with higher frequency requires less interpolation (i.e., a smaller $\\lambda_i$), and higher dimensions with lower frequency can do more interpolation (i.e.,  a larger $\\lambda_i$).']","If λ must increase with dimension and lower dimensions are the ones that need less interpolation, then the smaller rescale factors belong to the lower dimensions.","Under LongRoPE's monotonicity constraint, which RoPE dimensions should end up with the smaller rescale factors?",lower dimensions,"['To address this, we impose a non-decreasing monotonicity constraint on the sampled RoPE rescaled factors: $\\lambda_i\\le \\lambda_{i+1}$.', 'This dimensional monotonicity is based on the NTK theory~\\cite{jacot2018neural,tancik2020fourier,ntk}, suggesting that lower dimensions with higher frequency requires less interpolation (i.e., a smaller $\\lambda_i$), and higher dimensions with lower frequency can do more interpolation (i.e.,  a larger $\\lambda_i$).']","['To address this, we impose a non-decreasing monotonicity constraint on the sampled RoPE rescaled factors: $\\lambda_i\\le \\lambda_{i+1}$.', 'This dimensional monotonicity is based on the NTK theory~\\cite{jacot2018neural,tancik2020fourier,ntk}, suggesting that lower dimensions with higher frequency requires less interpolation (i.e., a smaller $\\lambda_i$), and higher dimensions with lower frequency can do more interpolation (i.e.,  a larger $\\lambda_i$).']"
6, it is not evaluated,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', if a sampled set of RoPE scale factors violates $\lambda_i\le \lambda_{i+1}$, then before perplexity is computed,","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', if a sampled set of RoPE scale factors violates $\lambda_i\le \lambda_{i+1}$, then before perplexity is computed, it is not evaluated",Multi-Fact Integration,"['To address this, we impose a non-decreasing monotonicity constraint on the sampled RoPE rescaled factors: $\\lambda_i\\le \\lambda_{i+1}$.', 'Only RoPE that satisfies this constraint is applied to LLM for perplexity evaluation, significantly reducing the search costs.']",A candidate that breaks the monotonic rule is excluded before the expensive perplexity computation.,"If a sampled set of RoPE scale factors violates $\lambda_i\le\lambda_{i+1}$, what happens before perplexity is computed?",it is not evaluated,"['To address this, we impose a non-decreasing monotonicity constraint on the sampled RoPE rescaled factors: $\\lambda_i\\le \\lambda_{i+1}$.', 'Only RoPE that satisfies this constraint is applied to LLM for perplexity evaluation, significantly reducing the search costs.']","['To address this, we impose a non-decreasing monotonicity constraint on the sampled RoPE rescaled factors: $\\lambda_i\\le \\lambda_{i+1}$.', 'Only RoPE that satisfies this constraint is applied to LLM for perplexity evaluation, significantly reducing the search costs.']"
7, distinguishing close token positions,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', compared with PI, preserving key RoPE dimensions helps the model keep","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', compared with PI, preserving key RoPE dimensions helps the model keep distinguishing close token positions",Multi-Fact Integration,"['PI tends to underperform at high extension ratios.', ""This is because the resulting positional embedding effectively preserves the original RoPE, especially key dimensions, thus reducing LLM's difficulty in distinguishing close token positions.""]",The paper contrasts PI with a method that preserves key RoPE dimensions; the stated benefit of that preservation is easier distinction between nearby positions.,"Compared with PI, what concrete capability does preserving key RoPE dimensions help the model keep?",distinguishing close token positions,"['PI tends to underperform at high extension ratios.', ""This is because the resulting positional embedding effectively preserves the original RoPE, especially key dimensions, thus reducing LLM's difficulty in distinguishing close token positions.""]","['PI tends to underperform at high extension ratios.', ""This is because the resulting positional embedding effectively preserves the original RoPE, especially key dimensions, thus reducing LLM's difficulty in distinguishing close token positions.""]"
9, preserving initial tokens,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', at 2048k, one token-position strategy stops being useful:","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', at 2048k, one token-position strategy stops being useful: preserving initial tokens",Multi-Fact Integration,"['Non-uniformity in token position clearly improves performance at 16k and 32k lengths  but does not show the same impact at 2048k, possibly due to the extremely long length.', 'Preserving only the initial tokens without interpolation becomes non-useful, and we leave this as future work.']",The paper links the weak 2048k benefit of token-position non-uniformity to the fact that keeping only the earliest tokens un-interpolated stops helping at that length.,"At 2048k, what part of the token-position strategy stops being useful?",preserving initial tokens,"['Non-uniformity in token position clearly improves performance at 16k and 32k lengths  but does not show the same impact at 2048k, possibly due to the extremely long length.', 'Preserving only the initial tokens without interpolation becomes non-useful, and we leave this as future work.']","['Non-uniformity in token position clearly improves performance at 16k and 32k lengths  but does not show the same impact at 2048k, possibly due to the extremely long length.', 'Preserving only the initial tokens without interpolation becomes non-useful, and we leave this as future work.']"
10, smaller secondary extension ratio,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', on LLaMA2, LongRoPE-2048k performs better at a fine-tuning length of 256k over 128k due to the","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', on LLaMA2, LongRoPE-2048k performs better at a fine-tuning length of 256k over 128k due to the smaller secondary extension ratio",Multi-Fact Integration,"['Moreover, on LLaMA2, LongRoPE-2048k performs better at a fine-tuning length of 256k over 128k, due to the smaller secondary extension ratio (i.e., 8$\\times$ vs. 16$\\times$).', 'Then, as our non-uniform positional interpolation allows for an 8$\\times$ extension in non-fine-tuning settings, we conduct a second search for new RoPE rescale factors on the fine-tuned extended LLM.']","A 256k fine-tuning stage leaves only an 8× second jump to 2048k, which matches the method's stated non-fine-tuning capability and is easier than a 16× second jump from 128k.",Why does fine-tuning LLaMA2 to 256k before the second search help more than fine-tuning it only to 128k?,smaller secondary extension ratio,"['Moreover, on LLaMA2, LongRoPE-2048k performs better at a fine-tuning length of 256k over 128k, due to the smaller secondary extension ratio (i.e., 8$\\times$ vs. 16$\\times$).', 'Then, as our non-uniform positional interpolation allows for an 8$\\times$ extension in non-fine-tuning settings, we conduct a second search for new RoPE rescale factors on the fine-tuned extended LLM.']","['Moreover, on LLaMA2, LongRoPE-2048k performs better at a fine-tuning length of 256k over 128k, due to the smaller secondary extension ratio (i.e., 8$\\times$ vs. 16$\\times$).', 'Then, as our non-uniform positional interpolation allows for an 8$\\times$ extension in non-fine-tuning settings, we conduct a second search for new RoPE rescale factors on the fine-tuned extended LLM.']"
12, 256k,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', the pre-trained LLM is fine-tuned to achieve a context window size of","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', the pre-trained LLM is fine-tuned to achieve a context window size of 256k",Reasoning Step,"['""as our non-uniform positional interpolation allows for an 8$\\times$ extension in non-fine-tuning settings, we conduct a second search for new RoPE rescale factors on the fine-tuned extended LLM. This ultimately achieves the 2048k context window for LLaMA2 and Mistral~\\cite{mistral}.""', '""Then, we fine-tune the pre-trained LLM to achieve the context window size of 256k.""']","If the final search-only jump can cover 8× and ends at 2048k, the model must already be at 256k before that jump.","LongRoPE can do an 8× extension without fine-tuning. If the last non-fine-tuned jump ends at 2048k, what intermediate context length must the model reach first?",256k,"['""as our non-uniform positional interpolation allows for an 8$\\times$ extension in non-fine-tuning settings, we conduct a second search for new RoPE rescale factors on the fine-tuned extended LLM. This ultimately achieves the 2048k context window for LLaMA2 and Mistral~\\cite{mistral}.""', '""Then, we fine-tune the pre-trained LLM to achieve the context window size of 256k.""']","['""as our non-uniform positional interpolation allows for an 8$\\times$ extension in non-fine-tuning settings, we conduct a second search for new RoPE rescale factors on the fine-tuned extended LLM. This ultimately achieves the 2048k context window for LLaMA2 and Mistral~\\cite{mistral}.""', '""Then, we fine-tune the pre-trained LLM to achieve the context window size of 256k.""']"
13, a smaller initial extension ratio,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', the aspect of the 128k-then-256k schedule that likely makes it more efficient than directly fine-tuning to 256k is","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', the aspect of the 128k-then-256k schedule that likely makes it more efficient than directly fine-tuning to 256k is a smaller initial extension ratio",Synthesized Insight,"['""based on our experiences, it\'s challenging to well fine-tune the LLMs under a  large extension ratio""', '""Specifically, we first fine-tune LLaMA2 for 400 steps using the RoPE rescaled factors for 128k. Then, we replace the RoPE rescaled factors to 256k on the finished checkpoint and conduct an additional 600 steps of fine-tuning. This method proves more efficient than directly fine-tuning to 256k.""']","Starting at 128k reduces the first fine-tuning jump compared with going straight to 256k, which matches the paper's note that very large extension ratios are harder to fine-tune.",What aspect of the 128k-then-256k schedule likely makes it more efficient than directly fine-tuning to 256k?,a smaller initial extension ratio,"['""based on our experiences, it\'s challenging to well fine-tune the LLMs under a  large extension ratio""', '""Specifically, we first fine-tune LLaMA2 for 400 steps using the RoPE rescaled factors for 128k. Then, we replace the RoPE rescaled factors to 256k on the finished checkpoint and conduct an additional 600 steps of fine-tuning. This method proves more efficient than directly fine-tuning to 256k.""']","['""based on our experiences, it\'s challenging to well fine-tune the LLMs under a  large extension ratio""', '""Specifically, we first fine-tune LLaMA2 for 400 steps using the RoPE rescaled factors for 128k. Then, we replace the RoPE rescaled factors to 256k on the finished checkpoint and conduct an additional 600 steps of fine-tuning. This method proves more efficient than directly fine-tuning to 256k.""']"
17, shorter-length performance,"According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', this combination of results implies that LongRoPE largely preserves this property despite its extreme context extension:","According to the paper 'LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens', this combination of results implies that LongRoPE largely preserves this property despite its extreme context extension: shorter-length performance",Synthesized Insight,"['Even with a context window 16× longer, a condition typically challenging for maintaining performance at shorter lengths, our LongRoPE-2048k models outperform state-of-the-art baselines within 256k context length.', 'As Table~ref{tbl:commonsense} shows, our models achieve comparable results on the original benchmark designed for a smaller context window']",Doing better within 256k and remaining comparable on original short-window benchmarks implies the extension largely preserves performance at shorter lengths.,What does this combination of results imply LongRoPE largely preserves despite its extreme context extension?,shorter-length performance,"['Even with a context window 16× longer, a condition typically challenging for maintaining performance at shorter lengths, our LongRoPE-2048k models outperform state-of-the-art baselines within 256k context length.', 'As Table~ref{tbl:commonsense} shows, our models achieve comparable results on the original benchmark designed for a smaller context window']","['Even with a context window 16× longer, a condition typically challenging for maintaining performance at shorter lengths, our LongRoPE-2048k models outperform state-of-the-art baselines within 256k context length.', 'As Table~ref{tbl:commonsense} shows, our models achieve comparable results on the original benchmark designed for a smaller context window']"
