row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,false,recall_not_composition,The target is stated directly in the source sentence that DPO avoids fitting an explicit standalone reward model; no composition is required.,,,
1,true,keep,"Correct equation application: equal policy-reference ratios make the exponent zero, yielding probability 1/2.",,,
2,false,bad_target,"The cloze is malformed as a question followed by an answer, and the target is directly stated rather than cleanly completing a declarative probe.","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the DPO reparameterization avoids the actor-critic normalization aid of",baselines,
3,true,keep,Correctly links unavailable SFT reference construction to mitigating distribution shift.,,,
4,true,keep,Correctly composes the controlled reward-KL evaluation requirement with real-data evaluation via win rate.,,,
5,false,recall_not_composition,"The source sentence directly names DPO as the computationally efficient method matching Best of 128, so this is mostly method-name lookup.",,,
6,true,keep,Correctly combines representability of reward classes with same-policy equivalence to infer recoverability of the optimal policy.,,,
7,true,keep,Requires combining best TL;DR win-rate and robustness-to-temperature facts to identify the method satisfying both.,,,
8,false,recall_not_composition,The target phrase is stated directly in the theorem discussion; the probe does not require additional reasoning beyond lookup.,,,
9,false,duplicate,"Weaker duplicate of row 3 around the reference-policy/distribution-shift concept, with less direct support for the available-SFT case.",,,3
10,false,duplicate,"Subsumed by row 15, which tests the same prompt-only reward-shift equivalence while also requiring the optimal-policy consequence.",,,15
11,false,recall_not_composition,"The extra GPT-4 evaluation criterion is named directly in the paper, making this a direct recall probe.",,,
12,true,keep,Correctly interprets the selected reward condition as the normalization property of a valid probability distribution.,,,
13,false,bad_target,"The probe contains a blank marker and colon instead of a clean cloze, and the target is a truncated form of the source failure mode.","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', without the KL constraint the policy could collapse to",single high-reward answers,
14,true,keep,Correctly uses the Bradley-Terry reward-difference form to infer cancellation of the shared partition function.,,,
15,true,keep,Correctly combines the reward-equivalence definition with both preference-distribution and constrained-RL policy invariance.,,,
16,false,duplicate,Duplicate of row 3 on the missing-SFT/distribution-shift effect; row 3 is the clearer cloze.,,,3
17,false,recall_not_composition,The pre-DPO step is directly stated as fine-tuning on preferred completions; the probe asks for a method step rather than a derived consequence.,,,
18,false,incorrect,The probe incorrectly frames Preferred-FT as the source of completions; the paper says it trains a reference/SFT model so completions are within distribution.,,,
19,false,insufficient_source_support,"The paper claims initial evidence of similar generalization despite not using extra prompts; the target ""better generalization"" is stronger and vaguer than the support.",,,
20,true,keep,Correct counterfactual from the stated ablation: removing the weighting coefficient can cause language-model degeneration.,,,
21,true,keep,Correctly applies the gradient weighting term: misordered pairs receive larger weight.,,,
22,true,keep,Correctly infers from the KL-penalized objective that increasing beta encourages staying closer to the reference policy.,,,
