original_row_index,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
1, 50%,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if $\pi^*(y_1\mid x)/\pi_\text{ref}(y_1\mid x)$ equals $\pi^*(y_2\mid x)/\pi_\text{ref}(y_2\mid x)$, then the preference probability assigned to $y_1 \succ y_2$ is","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if $\pi^*(y_1\mid x)/\pi_\text{ref}(y_1\mid x)$ equals $\pi^*(y_2\mid x)/\pi_\text{ref}(y_2\mid x)$, then the preference probability assigned to $y_1 \succ y_2$ is 50%",Reasoning Step,['$p^*(y_1\\succ y_2 \\mid x)=\\frac{1}{1 + \\exp\\left(\\beta \\log \\frac{\\pi^*(y_2\\mid x)}{\\pi_\\text{ref}(y_2\\mid x)} - \\beta \\log \\frac{\\pi^*(y_1\\mid x)}{\\pi_\\text{ref}(y_1\\mid x)}\\right)}$'],"If the two policy-to-reference ratios are equal, the exponent is 0, so the probability is $1/(1+e^0)=1/2$.","According to Eq. (objective), if $\pi^*(y_1\mid x)/\pi_\text{ref}(y_1\mid x)$ equals $\pi^*(y_2\mid x)/\pi_\text{ref}(y_2\mid x)$, what preference probability is assigned to $y_1 \succ y_2$?",50%,['$p^*(y_1\\succ y_2 \\mid x)=\\frac{1}{1 + \\exp\\left(\\beta \\log \\frac{\\pi^*(y_2\\mid x)}{\\pi_\\text{ref}(y_2\\mid x)} - \\beta \\log \\frac{\\pi^*(y_1\\mid x)}{\\pi_\\text{ref}(y_1\\mid x)}\\right)}$'],['$p^*(y_1\\succ y_2 \\mid x)=\\frac{1}{1 + \\exp\\left(\\beta \\log \\frac{\\pi^*(y_2\\mid x)}{\\pi_\\text{ref}(y_2\\mid x)} - \\beta \\log \\frac{\\pi^*(y_1\\mid x)}{\\pi_\\text{ref}(y_1\\mid x)}\\right)}$']
3, to mitigate distribution shift,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', when the original SFT model is unavailable, the authors fit $\pi_\text{ref}$ on preferred completions before applying DPO","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', when the original SFT model is unavailable, the authors fit $\pi_\text{ref}$ on preferred completions before applying DPO to mitigate distribution shift",Multi-Fact Integration,"['Since the preference datasets are sampled using $\\pi^\\text{SFT}$, we initialize $\\pi_\\text{ref} = \\pi^\\text{SFT}$ whenever available.', 'However, when $\\pi^\\text{SFT}$ is not available, we initialize $\\pi_\\text{ref}$ by maximizing likelihood of preferred completions ${(x, y_w)}$, that is, ${\\pi_\\text{ref} = \\argmax_{\\pi}\\mathbb{E}_{x, y_w \\sim \\mathcal{D}}\\left[\\log \\pi(y_w \\mid x)\\right]}$.', 'This procedure helps mitigate the distribution shift between the true reference distribution which is unavailable, and $\\pi_\\text{ref}$ used by DPO.']","Because the original sampling policy is missing, fitting \(\pi_{\text{ref}}\) on preferred completions is used to reduce mismatch with the unavailable true reference policy.","When the original SFT model is unavailable, why do the authors fit $\pi_\text{ref}$ on preferred completions before applying DPO?",to mitigate distribution shift,"['Since the preference datasets are sampled using $\\pi^\\text{SFT}$, we initialize $\\pi_\\text{ref} = \\pi^\\text{SFT}$ whenever available.', 'However, when $\\pi^\\text{SFT}$ is not available, we initialize $\\pi_\\text{ref}$ by maximizing likelihood of preferred completions ${(x, y_w)}$, that is, ${\\pi_\\text{ref} = \\argmax_{\\pi}\\mathbb{E}_{x, y_w \\sim \\mathcal{D}}\\left[\\log \\pi(y_w \\mid x)\\right]}$.', 'This procedure helps mitigate the distribution shift between the true reference distribution which is unavailable, and $\\pi_\\text{ref}$ used by DPO.']","['Since the preference datasets are sampled using $\\pi^\\text{SFT}$, we initialize $\\pi_\\text{ref} = \\pi^\\text{SFT}$ whenever available.', 'However, when $\\pi^\\text{SFT}$ is not available, we initialize $\\pi_\\text{ref}$ by maximizing likelihood of preferred completions ${(x, y_w)}$, that is, ${\\pi_\\text{ref} = \\argmax_{\\pi}\\mathbb{E}_{x, y_w \\sim \\mathcal{D}}\\left[\\log \\pi(y_w \\mid x)\\right]}$.', 'This procedure helps mitigate the distribution shift between the true reference distribution which is unavailable, and $\\pi_\\text{ref}$ used by DPO.']"
4, no ground-truth reward,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the summarization and dialogue experiments report win rate instead of a reward-versus-KL frontier because they have","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the summarization and dialogue experiments report win rate instead of a reward-versus-KL frontier because they have no ground-truth reward",Multi-Fact Integration,"['In order to analyze the effectiveness of each algorithm in optimizing the constrained reward maximization objective, in the controlled sentiment generation setting we evaluate each algorithm by its frontier of achieved reward and KL-divergence from the reference policy; this frontier is computable because we have acccess to the ground-truth reward function (a sentiment classifier).', 'However, in the real world, the ground truth reward function is not known; therefore, we evaluate algorithms with their \\textit{win rate} against a baseline policy, using GPT-4 as a proxy for human evaluation of summary quality and response helpfulness in the summarization and single-turn dialogue settings, respectively.']","Reward-KL frontiers require a known ground-truth reward, so the real-dataset tasks instead use win rate because that reward is unavailable.",Why do the summarization and dialogue experiments report win rate instead of a reward-versus-KL frontier?,no ground-truth reward,"['In order to analyze the effectiveness of each algorithm in optimizing the constrained reward maximization objective, in the controlled sentiment generation setting we evaluate each algorithm by its frontier of achieved reward and KL-divergence from the reference policy; this frontier is computable because we have acccess to the ground-truth reward function (a sentiment classifier).', 'However, in the real world, the ground truth reward function is not known; therefore, we evaluate algorithms with their \\textit{win rate} against a baseline policy, using GPT-4 as a proxy for human evaluation of summary quality and response helpfulness in the summarization and single-turn dialogue settings, respectively.']","['In order to analyze the effectiveness of each algorithm in optimizing the constrained reward maximization objective, in the controlled sentiment generation setting we evaluate each algorithm by its frontier of achieved reward and KL-divergence from the reference policy; this frontier is computable because we have acccess to the ground-truth reward function (a sentiment classifier).', 'However, in the real world, the ground truth reward function is not known; therefore, we evaluate algorithms with their \\textit{win rate} against a baseline policy, using GPT-4 as a proxy for human evaluation of summary quality and response helpfulness in the summarization and single-turn dialogue settings, respectively.']"
6, the optimal policy,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', because DPO can represent every reward class and each class shares one constrained-RL solution, DPO can recover exactly even without fixing a unique absolute reward function:","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', because DPO can represent every reward class and each class shares one constrained-RL solution, DPO can recover exactly even without fixing a unique absolute reward function: the optimal policy",Multi-Fact Integration,"['Two reward functions from the same equivalence class induce the same optimal policy under the constrained RL problem.', 'Under mild assumptions, all reward classes consistent with the Plackett-Luce (and Bradley-Terry in particular) models can be represented with the reparameterization ${r(x, y) = \\beta \\log \\frac{\\pi(y\\mid x)}{\\pi_\\text{ref}(y\\mid x)}}$ for some model $\\pi(y\\mid x)$ and a given reference model $\\pi_\\text{ref}(y \\mid x)$.']","Since DPO can represent every reward class and each class determines the same optimal policy for its members, DPO can still recover the optimal policy without identifying unique absolute rewards.","Because DPO can represent every reward class and each class shares one constrained-RL solution, what can DPO recover exactly even without fixing a unique absolute reward function?",the optimal policy,"['Two reward functions from the same equivalence class induce the same optimal policy under the constrained RL problem.', 'Under mild assumptions, all reward classes consistent with the Plackett-Luce (and Bradley-Terry in particular) models can be represented with the reparameterization ${r(x, y) = \\beta \\log \\frac{\\pi(y\\mid x)}{\\pi_\\text{ref}(y\\mid x)}}$ for some model $\\pi(y\\mid x)$ and a given reference model $\\pi_\\text{ref}(y \\mid x)$.']","['Two reward functions from the same equivalence class induce the same optimal policy under the constrained RL problem.', 'Under mild assumptions, all reward classes consistent with the Plackett-Luce (and Bradley-Terry in particular) models can be represented with the reparameterization ${r(x, y) = \\beta \\log \\frac{\\pi(y\\mid x)}{\\pi_\\text{ref}(y\\mid x)}}$ for some model $\\pi(y\\mid x)$ and a given reference model $\\pi_\\text{ref}(y \\mid x)$.']"
7, DPO,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', in TL;DR summarization, the method that both wins more often at its best temperature and is less sensitive to temperature choice is","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', in TL;DR summarization, the method that both wins more often at its best temperature and is less sensitive to temperature choice is DPO",Multi-Fact Integration,"['DPO has a win rate of approximately 61\\% at a temperature of 0.0, exceeding the performance of PPO at ~57\\% at its optimal sampling temperature of 0.0.', 'Moreover, we find DPO to be much more robust to the sampling temperature than PPO, the performance of which can degrade to that of the base GPT-J model at high temperatures.']",The same method both has the higher best win rate and remains more stable as temperature changes.,"In TL;DR summarization, if you wanted a method that both wins more often at its best temperature and is less sensitive to temperature choice, which method fits both requirements?",DPO,"['DPO has a win rate of approximately 61\\% at a temperature of 0.0, exceeding the performance of PPO at ~57\\% at its optimal sampling temperature of 0.0.', 'Moreover, we find DPO to be much more robust to the sampling temperature than PPO, the performance of which can degrade to that of the base GPT-J model at high temperatures.']","['DPO has a win rate of approximately 61\\% at a temperature of 0.0, exceeding the performance of PPO at ~57\\% at its optimal sampling temperature of 0.0.', 'Moreover, we find DPO to be much more robust to the sampling temperature than PPO, the performance of which can degrade to that of the base GPT-J model at high temperatures.']"
12, probabilities sum to 1,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the reward selected by the DPO reparameterization is the one whose associated probabilities satisfy this normalization property:","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the reward selected by the DPO reparameterization is the one whose associated probabilities satisfy this normalization property: probabilities sum to 1",Synthesized Insight,"['We can alternatively view Theorem~\\ref{thm:main} as specifying exactly which reward function within each equivalence class the DPO reparameterization selects, that is, the reward function satisfying:\n\n\\begin{equation}\\label{eq:lag_p}\n     \\sum_{y}\\underbrace{\\pi_\\text{ref}(y\\mid x)\\exp\\left(\\frac{1}{\\beta}r(x, y)\\right)}_{=\\pi(y\\mid x)\\text{, using Thm.~\\ref{thm:main} reparam.}} = 1,\n\\end{equation}', 'i.e., $\\pi(y\\mid x)$ is a valid distribution (probabilities are positive and sum to 1).']","Among equivalent rewards, DPO picks the one whose induced $\pi(y\mid x)$ obeys the normalization condition for a valid probability distribution.",What property singles out DPO's chosen reward from the other equivalent rewards?,probabilities sum to 1,"['We can alternatively view Theorem~\\ref{thm:main} as specifying exactly which reward function within each equivalence class the DPO reparameterization selects, that is, the reward function satisfying:\n\n\\begin{equation}\\label{eq:lag_p}\n     \\sum_{y}\\underbrace{\\pi_\\text{ref}(y\\mid x)\\exp\\left(\\frac{1}{\\beta}r(x, y)\\right)}_{=\\pi(y\\mid x)\\text{, using Thm.~\\ref{thm:main} reparam.}} = 1,\n\\end{equation}', 'i.e., $\\pi(y\\mid x)$ is a valid distribution (probabilities are positive and sum to 1).']","['We can alternatively view Theorem~\\ref{thm:main} as specifying exactly which reward function within each equivalence class the DPO reparameterization selects, that is, the reward function satisfying:\n\n\\begin{equation}\\label{eq:lag_p}\n     \\sum_{y}\\underbrace{\\pi_\\text{ref}(y\\mid x)\\exp\\left(\\frac{1}{\\beta}r(x, y)\\right)}_{=\\pi(y\\mid x)\\text{, using Thm.~\\ref{thm:main} reparam.}} = 1,\n\\end{equation}', 'i.e., $\\pi(y\\mid x)$ is a valid distribution (probabilities are positive and sum to 1).']"
14, the partition function,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', when DPO rewrites Bradley-Terry preferences using policy ratios, the shared quantity that drops out when the two completions are compared is","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', when DPO rewrites Bradley-Terry preferences using policy ratios, the shared quantity that drops out when the two completions are compared is the partition function",Multi-Fact Integration,"['Fortunately, the Bradley-Terry model depends only on the difference of rewards between two completions, i.e., ${p^*(y_1 \\succ y_2 \\mid x) = \\sigma(r^*(x, y_1) - r^*(x, y_2))}$.', 'Substituting the reparameterization in Eq.~\\ref{eq:main_eq} for $r^*(x,y)$ into the preference model Eq.~\\ref{eq:bradley-terry}, the partition function cancels, and we can express the human preference probability in terms of only the optimal policy $\\pi^*$ and reference policy $\\pi_\\text{ref}$.']","Because Bradley-Terry uses only reward differences, the shared additive partition-function term disappears when comparing two completions.","When DPO rewrites Bradley-Terry preferences using policy ratios, what shared quantity drops out when the two completions are compared?",the partition function,"['Fortunately, the Bradley-Terry model depends only on the difference of rewards between two completions, i.e., ${p^*(y_1 \\succ y_2 \\mid x) = \\sigma(r^*(x, y_1) - r^*(x, y_2))}$.', 'Substituting the reparameterization in Eq.~\\ref{eq:main_eq} for $r^*(x,y)$ into the preference model Eq.~\\ref{eq:bradley-terry}, the partition function cancels, and we can express the human preference probability in terms of only the optimal policy $\\pi^*$ and reference policy $\\pi_\\text{ref}$.']","['Fortunately, the Bradley-Terry model depends only on the difference of rewards between two completions, i.e., ${p^*(y_1 \\succ y_2 \\mid x) = \\sigma(r^*(x, y_1) - r^*(x, y_2))}$.', 'Substituting the reparameterization in Eq.~\\ref{eq:main_eq} for $r^*(x,y)$ into the preference model Eq.~\\ref{eq:bradley-terry}, the partition function cancels, and we can express the human preference probability in terms of only the optimal policy $\\pi^*$ and reference policy $\\pi_\\text{ref}$.']"
15, preferences and optimal policy,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if a reward function is changed only by adding a term that depends on the prompt $x$, what remains unchanged under the paper's theory is","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if a reward function is changed only by adding a term that depends on the prompt $x$, what remains unchanged under the paper's theory is preferences and optimal policy",Multi-Fact Integration,"[""We say that two reward functions $r(x, y)$ and $r'(x, y)$ are equivalent iff ${r(x, y)-r'(x, y) = f(x)}$ for some function $f$."", 'Under the Plackett-Luce, and in particular the Bradley-Terry, preference framework, two reward functions from the same class induce the same preference distribution.', 'Two reward functions from the same equivalence class induce the same optimal policy under the constrained RL problem.']","If two rewards differ only by a prompt-only term $f(x)$, the lemmas say they induce both the same preference distribution and the same optimal policy.","If a reward function is changed only by adding a term that depends on the prompt $x$, what remains unchanged under the paper's theory?",preferences and optimal policy,"[""We say that two reward functions $r(x, y)$ and $r'(x, y)$ are equivalent iff ${r(x, y)-r'(x, y) = f(x)}$ for some function $f$."", 'Under the Plackett-Luce, and in particular the Bradley-Terry, preference framework, two reward functions from the same class induce the same preference distribution.', 'Two reward functions from the same equivalence class induce the same optimal policy under the constrained RL problem.']","[""We say that two reward functions $r(x, y)$ and $r'(x, y)$ are equivalent iff ${r(x, y)-r'(x, y) = f(x)}$ for some function $f$."", 'Under the Plackett-Luce, and in particular the Bradley-Terry, preference framework, two reward functions from the same class induce the same preference distribution.', 'Two reward functions from the same equivalence class induce the same optimal policy under the constrained RL problem.']"
20, language model degeneration,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if DPO's per-example importance weight were removed, the authors say that the training problem that can occur is","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if DPO's per-example importance weight were removed, the authors say that the training problem that can occur is language model degeneration",Synthesized Insight,"['the DPO update increases the relative log probability of preferred to dispreferred responses, but it incorporates a dynamic, per-example importance weight that prevents the model degeneration that we find occurs with a naive probability ratio objective.', 'Our experiments suggest the importance of this weighting, as a na\\""ive version of this method without the weighting coefficient can cause the language model to degenerate (Appendix Table~\\ref{tab:unlikelihood_generations}).']","Both statements say the weighting term is what prevents the failure seen in the naive objective, so removing it leads to degeneration.","If DPO's per-example importance weight were removed, what training problem do the authors say can occur?",language model degeneration,"['the DPO update increases the relative log probability of preferred to dispreferred responses, but it incorporates a dynamic, per-example importance weight that prevents the model degeneration that we find occurs with a naive probability ratio objective.', 'Our experiments suggest the importance of this weighting, as a na\\""ive version of this method without the weighting coefficient can cause the language model to degenerate (Appendix Table~\\ref{tab:unlikelihood_generations}).']","['the DPO update increases the relative log probability of preferred to dispreferred responses, but it incorporates a dynamic, per-example importance weight that prevents the model degeneration that we find occurs with a naive probability ratio objective.', 'Our experiments suggest the importance of this weighting, as a na\\""ive version of this method without the weighting coefficient can cause the language model to degenerate (Appendix Table~\\ref{tab:unlikelihood_generations}).']"
21, a larger weight,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if DPO's implicit reward currently ranks the dispreferred completion above the preferred one, that training pair is weighted relative to a correctly ordered pair with","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if DPO's implicit reward currently ranks the dispreferred completion above the preferred one, that training pair is weighted relative to a correctly ordered pair with a larger weight",Reasoning Step,"['The gradient with respect to the parameters $\\theta$ can be written as:\n\n\\begin{multline*}\\label{eq:gradient}\n    \\nabla_\\theta \\mathcal{L}_\\text{DPO}(\\pi_\\theta;\\pi_\\text{ref}) = \\\\ -\\beta\\mathbb{E}_{(x, y_w, y_l) \\sim \\mathcal{D}} \\bigg[\\underbrace{\\sigma(\\hat{r}_\\theta(x, y_l) - \\hat{r}_\\theta (x, y_w))}_\\text{higher weight when reward estimate is wrong}\\bigg[\\underbrace{\\nabla_\\theta\\log \\pi(y_w \\mid x)}_\\text{increase likelihood of $y_w$} - \\underbrace{\\nabla_\\theta\\log\\pi(y_l \\mid x)}_\\text{decrease likelihood of $y_l$}\\bigg]\\bigg],\n\\end{multline*}', 'Importantly, the examples are weighed by how much higher the implicit reward model $\\hat{r}_\\theta$ rates the dispreferred completions, scaled by $\\beta$, i.e, how incorrectly the implicit reward model orders the completions, accounting for the strength of the KL constraint.']","If the implicit reward ranks the dispreferred completion above the preferred one, the weighting term is larger, so that pair receives more update emphasis than a correctly ordered pair.","If DPO's implicit reward currently ranks the dispreferred completion above the preferred one, how is that training pair weighted relative to a correctly ordered pair?",a larger weight,"['The gradient with respect to the parameters $\\theta$ can be written as:\n\n\\begin{multline*}\\label{eq:gradient}\n    \\nabla_\\theta \\mathcal{L}_\\text{DPO}(\\pi_\\theta;\\pi_\\text{ref}) = \\\\ -\\beta\\mathbb{E}_{(x, y_w, y_l) \\sim \\mathcal{D}} \\bigg[\\underbrace{\\sigma(\\hat{r}_\\theta(x, y_l) - \\hat{r}_\\theta (x, y_w))}_\\text{higher weight when reward estimate is wrong}\\bigg[\\underbrace{\\nabla_\\theta\\log \\pi(y_w \\mid x)}_\\text{increase likelihood of $y_w$} - \\underbrace{\\nabla_\\theta\\log\\pi(y_l \\mid x)}_\\text{decrease likelihood of $y_l$}\\bigg]\\bigg],\n\\end{multline*}', 'Importantly, the examples are weighed by how much higher the implicit reward model $\\hat{r}_\\theta$ rates the dispreferred completions, scaled by $\\beta$, i.e, how incorrectly the implicit reward model orders the completions, accounting for the strength of the KL constraint.']","['The gradient with respect to the parameters $\\theta$ can be written as:\n\n\\begin{multline*}\\label{eq:gradient}\n    \\nabla_\\theta \\mathcal{L}_\\text{DPO}(\\pi_\\theta;\\pi_\\text{ref}) = \\\\ -\\beta\\mathbb{E}_{(x, y_w, y_l) \\sim \\mathcal{D}} \\bigg[\\underbrace{\\sigma(\\hat{r}_\\theta(x, y_l) - \\hat{r}_\\theta (x, y_w))}_\\text{higher weight when reward estimate is wrong}\\bigg[\\underbrace{\\nabla_\\theta\\log \\pi(y_w \\mid x)}_\\text{increase likelihood of $y_w$} - \\underbrace{\\nabla_\\theta\\log\\pi(y_l \\mid x)}_\\text{decrease likelihood of $y_l$}\\bigg]\\bigg],\n\\end{multline*}', 'Importantly, the examples are weighed by how much higher the implicit reward model $\\hat{r}_\\theta$ rates the dispreferred completions, scaled by $\\beta$, i.e, how incorrectly the implicit reward model orders the completions, accounting for the strength of the KL constraint.']"
