row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,false,duplicate,"Weaker duplicate of row 10; both target heparin-independent platelet activation, and row 10 adds clinical worsening after heparin cessation.",,,10
1,true,keep,Correctly combines exclusion of alternative thrombocytopenia causes with thrombotic stroke and strong-positive PF4/polyanion ELISA to infer HIT.,,,
2,false,recall_not_composition,The source directly states argatroban was chosen in case bleeding occurred because of recent stroke and severe thrombocytopenia.,,,
3,true,keep,Uses the stable haemoglobin trend and source interpretation to infer that ongoing bleeding was not driving the platelet fall.,,,
4,true,keep,Combines the high-heparin inhibition pattern characteristic of HIT with zero-heparin activation characteristic of aHIT.,,,
5,true,keep,Correctly interprets failure of IV.3 to suppress release below the usual threshold as partial resistance to Fc receptor blockade.,,,
6,false,recall_not_composition,"The source directly labels the falling fibrinogen, rising d-dimer, and schistocytes as severe progressive HIT-associated consumptive coagulopathy.",,,
7,false,recall_not_composition,The discussion directly says awareness of the pattern could avoid missed diagnosis of aHIT.,,,
8,true,keep,Correctly links unusually early post-cardiac-surgery HIT timing to the documented preoperative catheterisation UFH exposure.,,,
9,true,keep,Uses the AT-dependent mechanism of fondaparinux plus the low AT level to infer why AT concentrate was given first.,,,
10,true,keep,Composes continued platelet decline after stopping heparin with zero-heparin SRA activation to identify heparin-independent platelet activation.,,,
11,false,duplicate,Overlaps with row 9 on the AT/fondaparinux mechanism and asks mainly for the drug mechanism rather than a stronger inference.,,,9
12,false,recall_not_composition,The CT finding of an acute left parietal infarct is a direct reported finding after imaging despite absent focal signs.,,,
13,true,keep,Correctly infers waning aHIT antibodies from the later shift toward a predominantly heparin-dependent SRA profile after platelet recovery.,,,
14,true,keep,Compares expected early post-cardiac-surgery platelet decline with the continued POD1-to-POD5 fall to identify the suspicious trajectory.,,,
15,false,duplicate,"Duplicates row 8 on preoperative UFH explaining unusually early onset, and the probe also uses the wrong patient pronoun.",,,8
16,false,recall_not_composition,The source directly pairs normal haptoglobin and initial absence of schistocytes with post-surgery TTP being unlikely.,,,
