probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,inference_type,source_fact(s),source_facts,text_sentences,derivation,question,answer
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', strong serotonin release even at 0 U/mL heparin implies",heparin-independent platelet activation,(C),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', strong serotonin release even at 0 U/mL heparin implies
(A) nonimmune spontaneous serotonin release rather than antibody-mediated activation
(B) reactivity limited to PF4/heparin complexes at therapeutic heparin concentrations
(C) heparin-independent platelet activation
(D) a requirement for unfractionated heparin to activate platelets
(E) classic heparin-dependent platelet activation",nonimmune spontaneous serotonin release rather than antibody-mediated activation,reactivity limited to PF4/heparin complexes at therapeutic heparin concentrations,heparin-independent platelet activation,a requirement for unfractionated heparin to activate platelets,classic heparin-dependent platelet activation,"[""classic heparin-dependent platelet activation"", ""a requirement for unfractionated heparin to activate platelets"", ""reactivity limited to PF4/heparin complexes at therapeutic heparin concentrations"", ""nonimmune spontaneous serotonin release rather than antibody-mediated activation""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', strong serotonin release even at 0 U/mL heparin implies heparin-independent platelet activation",,,Synthesized Insight,"['First, the patient’s serum caused strong serotonin release in the absence of UFH (96% serotonin release at 0\u2009U/mL heparin; RR<20%); this is a characteristic feature of aHIT but not of classic heparin-dependent HIT.']","['First, the patient’s serum caused strong serotonin release in the absence of UFH (96% serotonin release at 0\u2009U/mL heparin; RR<20%); this is a characteristic feature of aHIT but not of classic heparin-dependent HIT.']","['First, the patient’s serum caused strong serotonin release in the absence of UFH (96% serotonin release at 0\u2009U/mL heparin; RR<20%); this is a characteristic feature of aHIT but not of classic heparin-dependent HIT.']","If platelet activation occurs even when no heparin is added, the antibodies are acting independently of heparin.",What antibody property is implied by strong serotonin release even at 0 U/mL heparin?,heparin-independent platelet activation
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', after other common and rare postoperative thrombocytopenia causes were argued against, the most probable diagnosis when stroke and a strong-positive PF4/polyanion ELISA were also considered was",HIT,(D),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', after other common and rare postoperative thrombocytopenia causes were argued against, the most probable diagnosis when stroke and a strong-positive PF4/polyanion ELISA were also considered was
(A) post-surgery thrombotic thrombocytopenic purpura
(B) drug-induced immune thrombocytopenia
(C) post-transfusion purpura
(D) HIT
(E) critical illness–related postoperative thrombocytopenia",post-surgery thrombotic thrombocytopenic purpura,drug-induced immune thrombocytopenia,post-transfusion purpura,HIT,critical illness–related postoperative thrombocytopenia,"[""post-surgery thrombotic thrombocytopenic purpura"", ""drug-induced immune thrombocytopenia"", ""post-transfusion purpura"", ""critical illness\u2013related postoperative thrombocytopenia""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', after other common and rare postoperative thrombocytopenia causes were argued against, the most probable diagnosis when stroke and a strong-positive PF4/polyanion ELISA were also considered was HIT",,,Multi-Fact Integration,"['Common explanations for severe post-cardiac surgery thrombocytopenia, such as cardiogenic shock/critical illness and infection, seemed unlikely given the clinical and laboratory features (normal haemodynamics; blood and urine cultures returned negative).', 'Also unlikely were rare explanations for post-cardiac surgery thrombocytopenia, such as post-transfusion purpura (no blood transfusions given), post-surgery thrombotic thrombocytopenic purpura (normal haptoglobin, initial absence of schistocytes) and drug-induced immune thrombocytopenia, as the onset of platelet count fall occurred too early for any newly administered postoperative drugs, those given only on the day of surgery (vancomycin, cefazolin and tranexamic acid) and those given during the postoperative period (furosemide, metoprolol, pantoprazole and midodrine).', 'Together with thrombotic stroke and strong-positive PF4/polyanion ELISA, HIT was judged the most probable diagnosis, likely triggered by UFH administered at preoperative heart catheterisation.']","['Common explanations for severe post-cardiac surgery thrombocytopenia, such as cardiogenic shock/critical illness and infection, seemed unlikely given the clinical and laboratory features (normal haemodynamics; blood and urine cultures returned negative).', 'Also unlikely were rare explanations for post-cardiac surgery thrombocytopenia, such as post-transfusion purpura (no blood transfusions given), post-surgery thrombotic thrombocytopenic purpura (normal haptoglobin, initial absence of schistocytes) and drug-induced immune thrombocytopenia, as the onset of platelet count fall occurred too early for any newly administered postoperative drugs, those given only on the day of surgery (vancomycin, cefazolin and tranexamic acid) and those given during the postoperative period (furosemide, metoprolol, pantoprazole and midodrine).', 'Together with thrombotic stroke and strong-positive PF4/polyanion ELISA, HIT was judged the most probable diagnosis, likely triggered by UFH administered at preoperative heart catheterisation.']","['Common explanations for severe post-cardiac surgery thrombocytopenia, such as cardiogenic shock/critical illness and infection, seemed unlikely given the clinical and laboratory features (normal haemodynamics; blood and urine cultures returned negative).', 'Also unlikely were rare explanations for post-cardiac surgery thrombocytopenia, such as post-transfusion purpura (no blood transfusions given), post-surgery thrombotic thrombocytopenic purpura (normal haptoglobin, initial absence of schistocytes) and drug-induced immune thrombocytopenia, as the onset of platelet count fall occurred too early for any newly administered postoperative drugs, those given only on the day of surgery (vancomycin, cefazolin and tranexamic acid) and those given during the postoperative period (furosemide, metoprolol, pantoprazole and midodrine).', 'Together with thrombotic stroke and strong-positive PF4/polyanion ELISA, HIT was judged the most probable diagnosis, likely triggered by UFH administered at preoperative heart catheterisation.']","Once multiple alternative causes were argued against, the added presence of stroke and a strong-positive HIT immunoassay made HIT the most likely explanation.","After other common and rare postoperative thrombocytopenia causes were argued against, what diagnosis became most probable when stroke and a strong-positive PF4/polyanion ELISA were also considered?",HIT
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the cause of the falling platelet count that was argued against by the stable haemoglobin trend on POD5 was",ongoing bleeding,(A),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the cause of the falling platelet count that was argued against by the stable haemoglobin trend on POD5 was
(A) ongoing bleeding
(B) haemodilution from postoperative fluid shifts
(C) disseminated intravascular coagulation
(D) expected early surgical blood losses
(E) cardiopulmonary bypass-related postoperative thrombocytopenia",ongoing bleeding,haemodilution from postoperative fluid shifts,disseminated intravascular coagulation,expected early surgical blood losses,cardiopulmonary bypass-related postoperative thrombocytopenia,"[""expected early surgical blood losses"", ""haemodilution from postoperative fluid shifts"", ""cardiopulmonary bypass-related postoperative thrombocytopenia"", ""disseminated intravascular coagulation""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the cause of the falling platelet count that was argued against by the stable haemoglobin trend on POD5 was ongoing bleeding",,,Reasoning Step,"['The complete blood count on POD5 that exhibited the platelet count of 50×109/L had a corresponding haemoglobin of 97\u2009g/L (RR 135–180\u2009g/L), which was similar to the haemoglobin values obtained during the preceding 3\u2009days (consistent with expected early surgical blood losses without ongoing bleeding)']","['The complete blood count on POD5 that exhibited the platelet count of 50×109/L had a corresponding haemoglobin of 97\u2009g/L (RR 135–180\u2009g/L), which was similar to the haemoglobin values obtained during the preceding 3\u2009days (consistent with expected early surgical blood losses without ongoing bleeding)']","['The complete blood count on POD5 that exhibited the platelet count of 50×109/L had a corresponding haemoglobin of 97\u2009g/L (RR 135–180\u2009g/L), which was similar to the haemoglobin values obtained during the preceding 3\u2009days (consistent with expected early surgical blood losses without ongoing bleeding)']","If haemoglobin stayed similar over several days and the report says this fit expected early losses without ongoing bleeding, then ongoing bleeding was not a good explanation for the platelet fall.",What cause of the falling platelet count was argued against by the stable haemoglobin trend on POD5?,ongoing bleeding
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', a diagnosis supported by an SRA showing platelet activation at 0 U/mL heparin but no activation at 100 U/mL UFH is",autoimmune HIT,(C),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', a diagnosis supported by an SRA showing platelet activation at 0 U/mL heparin but no activation at 100 U/mL UFH is
(A) nonimmune heparin-associated thrombocytopenia
(B) disseminated intravascular coagulation
(C) autoimmune HIT
(D) cardiopulmonary bypass-associated thrombocytopenia
(E) classic heparin-dependent HIT",nonimmune heparin-associated thrombocytopenia,disseminated intravascular coagulation,autoimmune HIT,cardiopulmonary bypass-associated thrombocytopenia,classic heparin-dependent HIT,"[""classic heparin-dependent HIT"", ""nonimmune heparin-associated thrombocytopenia"", ""cardiopulmonary bypass-associated thrombocytopenia"", ""disseminated intravascular coagulation""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', a diagnosis supported by an SRA showing platelet activation at 0 U/mL heparin but no activation at 100 U/mL UFH is autoimmune HIT",,,Multi-Fact Integration,"['the patient’s POD5 serum caused strong serotonin release both at 0.1 and 0.3\u2009U/mL UFH (97% and 99%, respectively; RR<20% release), as well as a lack of serotonin release (0%) at supratherapeutic (100\u2009U/mL) UFH; the absence of platelet activation at very high heparin concentrations is a characteristic feature of HIT and reflects the inability of PF4-containing immune complexes to be formed at such high UFH concentrations.', 'First, the patient’s serum caused strong serotonin release in the absence of UFH (96% serotonin release at 0\u2009U/mL heparin; RR<20%); this is a characteristic feature of aHIT but not of classic heparin-dependent HIT.']","['the patient’s POD5 serum caused strong serotonin release both at 0.1 and 0.3\u2009U/mL UFH (97% and 99%, respectively; RR<20% release), as well as a lack of serotonin release (0%) at supratherapeutic (100\u2009U/mL) UFH; the absence of platelet activation at very high heparin concentrations is a characteristic feature of HIT and reflects the inability of PF4-containing immune complexes to be formed at such high UFH concentrations.', 'First, the patient’s serum caused strong serotonin release in the absence of UFH (96% serotonin release at 0\u2009U/mL heparin; RR<20%); this is a characteristic feature of aHIT but not of classic heparin-dependent HIT.']","['the patient’s POD5 serum caused strong serotonin release both at 0.1 and 0.3\u2009U/mL UFH (97% and 99%, respectively; RR<20% release), as well as a lack of serotonin release (0%) at supratherapeutic (100\u2009U/mL) UFH; the absence of platelet activation at very high heparin concentrations is a characteristic feature of HIT and reflects the inability of PF4-containing immune complexes to be formed at such high UFH concentrations.', 'First, the patient’s serum caused strong serotonin release in the absence of UFH (96% serotonin release at 0\u2009U/mL heparin; RR<20%); this is a characteristic feature of aHIT but not of classic heparin-dependent HIT.']","The SRA pattern fits HIT because activation disappears at very high UFH, and it fits the autoimmune subtype because activation also occurs without any UFH.",What diagnosis is supported by an SRA showing platelet activation at 0 U/mL heparin but no activation at 100 U/mL UFH?,autoimmune HIT
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the treatment concern that favored initial argatroban instead of therapeutic-dose fondaparinux was",risk of bleeding,(C),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the treatment concern that favored initial argatroban instead of therapeutic-dose fondaparinux was
(A) need for easier monitoring
(B) risk of stroke extension
(C) risk of bleeding
(D) risk of recurrent thrombosis
(E) concern about off-label efficacy",need for easier monitoring,risk of stroke extension,risk of bleeding,risk of recurrent thrombosis,concern about off-label efficacy,"[""risk of recurrent thrombosis"", ""concern about off-label efficacy"", ""risk of stroke extension"", ""need for easier monitoring""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the treatment concern that favored initial argatroban instead of therapeutic-dose fondaparinux was risk of bleeding",,,Reasoning Step,"['Although fondaparinux given in therapeutic dosing is an effective ‘off-label’ anticoagulant for HIT, the treating haematologist preferred argatroban, an anticoagulant with a shorter half-life, in case bleeding occurred, given the recent stroke and unusually severe thrombocytopenia.']","['Although fondaparinux given in therapeutic dosing is an effective ‘off-label’ anticoagulant for HIT, the treating haematologist preferred argatroban, an anticoagulant with a shorter half-life, in case bleeding occurred, given the recent stroke and unusually severe thrombocytopenia.']","['Although fondaparinux given in therapeutic dosing is an effective ‘off-label’ anticoagulant for HIT, the treating haematologist preferred argatroban, an anticoagulant with a shorter half-life, in case bleeding occurred, given the recent stroke and unusually severe thrombocytopenia.']",A shorter half-life was preferred specifically because recent stroke and severe thrombocytopenia made rapid adjustment desirable if bleeding occurred.,What treatment concern favored initial argatroban instead of therapeutic-dose fondaparinux?,risk of bleeding
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the addition of the Fc receptor-blocking monoclonal antibody (IV.3) failed to inhibit completely the serotonin release observed in the presence of patient serum at 0.1 U/mL UFH, with 76% serotonin release despite IV.3; this finding indicated",partial resistance to Fc receptor blockade,(D),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the addition of the Fc receptor-blocking monoclonal antibody (IV.3) failed to inhibit completely the serotonin release observed in the presence of patient serum at 0.1 U/mL UFH, with 76% serotonin release despite IV.3; this finding indicated
(A) normal susceptibility to Fc receptor blockade
(B) heparin-independent platelet activation
(C) complete resistance to Fc receptor blockade
(D) partial resistance to Fc receptor blockade
(E) complement-mediated platelet activation independent of Fc receptor signaling",normal susceptibility to Fc receptor blockade,heparin-independent platelet activation,complete resistance to Fc receptor blockade,partial resistance to Fc receptor blockade,complement-mediated platelet activation independent of Fc receptor signaling,"[""complete resistance to Fc receptor blockade"", ""normal susceptibility to Fc receptor blockade"", ""heparin-independent platelet activation"", ""complement-mediated platelet activation independent of Fc receptor signaling""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the addition of the Fc receptor-blocking monoclonal antibody (IV.3) failed to inhibit completely the serotonin release observed in the presence of patient serum at 0.1 U/mL UFH, with 76% serotonin release despite IV.3; this finding indicated partial resistance to Fc receptor blockade",,,Synthesized Insight,"['the addition of the Fc receptor-blocking monoclonal antibody (IV.3) failed to inhibit completely the serotonin release observed in the presence of patient serum at 0.1\u2009U/mL UFH: 76% serotonin release was observed in the presence of IV.3, rather than inhibition to less than 20% serotonin release, as would usually be seen with HIT antibodies', 'This case provides novel insights into the spectrum of aHIT by documenting a uniquely severe serological phenotype, with partial resistance to Fc receptor blockade.']","['the addition of the Fc receptor-blocking monoclonal antibody (IV.3) failed to inhibit completely the serotonin release observed in the presence of patient serum at 0.1\u2009U/mL UFH: 76% serotonin release was observed in the presence of IV.3, rather than inhibition to less than 20% serotonin release, as would usually be seen with HIT antibodies', 'This case provides novel insights into the spectrum of aHIT by documenting a uniquely severe serological phenotype, with partial resistance to Fc receptor blockade.']","['the addition of the Fc receptor-blocking monoclonal antibody (IV.3) failed to inhibit completely the serotonin release observed in the presence of patient serum at 0.1\u2009U/mL UFH: 76% serotonin release was observed in the presence of IV.3, rather than inhibition to less than 20% serotonin release, as would usually be seen with HIT antibodies', 'This case provides novel insights into the spectrum of aHIT by documenting a uniquely severe serological phenotype, with partial resistance to Fc receptor blockade.']","Because IV.3 normally suppresses release below 20% but did not do so here, the report interprets this as only partial susceptibility to Fc receptor blockade.",What serological property was inferred from IV.3 failing to suppress serotonin release below 20%?,partial resistance to Fc receptor blockade
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', during treatment, the combination of falling fibrinogen, rising d-dimer, and schistocytes indicated","severe, progressive HIT-associated consumptive coagulopathy",(E),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', during treatment, the combination of falling fibrinogen, rising d-dimer, and schistocytes indicated
(A) ongoing cardiopulmonary bypass-related fibrinolytic coagulopathy with mechanical hemolysis
(B) an evolving thrombotic microangiopathy with secondary fibrinogen consumption
(C) severe, progressive postoperative disseminated intravascular coagulation
(D) uncontrolled surgical bleeding with reactive d-dimer elevation and schistocytosis
(E) severe, progressive HIT-associated consumptive coagulopathy",ongoing cardiopulmonary bypass-related fibrinolytic coagulopathy with mechanical hemolysis,an evolving thrombotic microangiopathy with secondary fibrinogen consumption,"severe, progressive postoperative disseminated intravascular coagulation",uncontrolled surgical bleeding with reactive d-dimer elevation and schistocytosis,"severe, progressive HIT-associated consumptive coagulopathy","[""severe, progressive postoperative disseminated intravascular coagulation"", ""ongoing cardiopulmonary bypass-related fibrinolytic coagulopathy with mechanical hemolysis"", ""an evolving thrombotic microangiopathy with secondary fibrinogen consumption"", ""uncontrolled surgical bleeding with reactive d-dimer elevation and schistocytosis""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', during treatment, the combination of falling fibrinogen, rising d-dimer, and schistocytes indicated severe, progressive HIT-associated consumptive coagulopathy",,,Multi-Fact Integration,"['The initial treatment course included a progressive decrease in fibrinogen levels from POD6 to POD17 (nadir value at 2.49\u2009g/L), peak d-dimer levels reached approximately POD12 and detection of some red cell fragments (schistocytes) by peripheral blood film from POD9 to POD16; these three findings were consistent with severe, progressive HIT-associated consumptive coagulopathy.']","['The initial treatment course included a progressive decrease in fibrinogen levels from POD6 to POD17 (nadir value at 2.49\u2009g/L), peak d-dimer levels reached approximately POD12 and detection of some red cell fragments (schistocytes) by peripheral blood film from POD9 to POD16; these three findings were consistent with severe, progressive HIT-associated consumptive coagulopathy.']","['The initial treatment course included a progressive decrease in fibrinogen levels from POD6 to POD17 (nadir value at 2.49\u2009g/L), peak d-dimer levels reached approximately POD12 and detection of some red cell fragments (schistocytes) by peripheral blood film from POD9 to POD16; these three findings were consistent with severe, progressive HIT-associated consumptive coagulopathy.']","The report explicitly interprets the combined fibrinogen fall, d-dimer rise, and schistocytosis as one specific coagulation complication.","What process was indicated by the combination of falling fibrinogen, rising d-dimer, and schistocytes during treatment?","severe, progressive HIT-associated consumptive coagulopathy"
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the thrombocytopenia started earlier than the usual post-cardiac surgery HIT window, and the heparin exposure that best explains that early timing was",preoperative heart catheterisation UFH,(A),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the thrombocytopenia started earlier than the usual post-cardiac surgery HIT window, and the heparin exposure that best explains that early timing was
(A) preoperative heart catheterisation UFH
(B) heparin line flushes used during immediate ICU care
(C) postoperative subcutaneous UFH thromboprophylaxis
(D) intraoperative UFH during cardiopulmonary bypass
(E) LMWH bridging anticoagulation after the operation",preoperative heart catheterisation UFH,heparin line flushes used during immediate ICU care,postoperative subcutaneous UFH thromboprophylaxis,intraoperative UFH during cardiopulmonary bypass,LMWH bridging anticoagulation after the operation,"[""intraoperative UFH during cardiopulmonary bypass"", ""postoperative subcutaneous UFH thromboprophylaxis"", ""heparin line flushes used during immediate ICU care"", ""LMWH bridging anticoagulation after the operation""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the thrombocytopenia started earlier than the usual post-cardiac surgery HIT window, and the heparin exposure that best explains that early timing was preoperative heart catheterisation UFH",,,Multi-Fact Integration,"['Although the platelet count fall also occurred too soon to be explained by the UFH given intraoperatively during CPB, subsequent inquiry identified intraprocedural UFH administered during preoperative heart catheterisation.', 'Only about 10% of patients who had cardiac surgery and developed HIT evince a HIT-related platelet count fall before POD5, a phenomenon linked to recent preoperative heparin exposure, as was also documented in our patient.']","['Although the platelet count fall also occurred too soon to be explained by the UFH given intraoperatively during CPB, subsequent inquiry identified intraprocedural UFH administered during preoperative heart catheterisation.', 'Only about 10% of patients who had cardiac surgery and developed HIT evince a HIT-related platelet count fall before POD5, a phenomenon linked to recent preoperative heparin exposure, as was also documented in our patient.']","['Although the platelet count fall also occurred too soon to be explained by the UFH given intraoperatively during CPB, subsequent inquiry identified intraprocedural UFH administered during preoperative heart catheterisation.', 'Only about 10% of patients who had cardiac surgery and developed HIT evince a HIT-related platelet count fall before POD5, a phenomenon linked to recent preoperative heparin exposure, as was also documented in our patient.']","Because the platelet fall began earlier than usual and intraoperative UFH was too recent to explain it, the report links the timing to the earlier catheterisation exposure.",The thrombocytopenia started earlier than the usual post-cardiac surgery HIT window. Which heparin exposure best explains that early timing?,preoperative heart catheterisation UFH
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', despite the absence of focal neurological findings, an occult complication uncovered was an",acute left parietal infarct,(D),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', despite the absence of focal neurological findings, an occult complication uncovered was an
(A) acute embolic cerebellar infarct
(B) acute right parietal infarct
(C) occult intracerebral hemorrhage
(D) acute left parietal infarct
(E) acute left frontal infarct",acute embolic cerebellar infarct,acute right parietal infarct,occult intracerebral hemorrhage,acute left parietal infarct,acute left frontal infarct,"[""acute right parietal infarct"", ""acute left frontal infarct"", ""occult intracerebral hemorrhage"", ""acute embolic cerebellar infarct""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', despite the absence of focal neurological findings, an occult complication uncovered was an acute left parietal infarct",,,Reasoning Step,"['Although no focal neurological findings were evident, worsening of postoperative delirium, together with a further decline in platelet count on POD6 to 26×109/L (repeat, 24×109/L), prompted CT brain imaging.', 'This revealed an acute cerebral infarct, with the area of hypodensity measuring 3.2 cm×1.8\u2009cm within the left parietal lobe, with extension through to the cerebral cortex.']","['Although no focal neurological findings were evident, worsening of postoperative delirium, together with a further decline in platelet count on POD6 to 26×109/L (repeat, 24×109/L), prompted CT brain imaging.', 'This revealed an acute cerebral infarct, with the area of hypodensity measuring 3.2 cm×1.8\u2009cm within the left parietal lobe, with extension through to the cerebral cortex.']","['Although no focal neurological findings were evident, worsening of postoperative delirium, together with a further decline in platelet count on POD6 to 26×109/L (repeat, 24×109/L), prompted CT brain imaging.', 'This revealed an acute cerebral infarct, with the area of hypodensity measuring 3.2 cm×1.8\u2009cm within the left parietal lobe, with extension through to the cerebral cortex.']","Even without focal deficits, the worsening delirium led to imaging that uncovered a previously occult stroke in the left parietal lobe.",What occult complication was uncovered despite the absence of focal neurological findings?,acute left parietal infarct
"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the mildly reduced AT level was clinically relevant before starting fondaparinux because fondaparinux depends on",AT-dependent factor Xa inhibition,(B),"According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the mildly reduced AT level was clinically relevant before starting fondaparinux because fondaparinux depends on
(A) AT-dependent factor IIa inhibition
(B) AT-dependent factor Xa inhibition
(C) platelet factor 4 antibody suppression
(D) direct factor Xa inhibition
(E) vitamin K-dependent clotting factor inhibition",AT-dependent factor IIa inhibition,AT-dependent factor Xa inhibition,platelet factor 4 antibody suppression,direct factor Xa inhibition,vitamin K-dependent clotting factor inhibition,"[""direct factor Xa inhibition"", ""AT-dependent factor IIa inhibition"", ""platelet factor 4 antibody suppression"", ""vitamin K-dependent clotting factor inhibition""]","According to the case report 'Autoimmune heparin-induced thrombocytopenia following cardiac surgery', the mildly reduced AT level was clinically relevant before starting fondaparinux because fondaparinux depends on AT-dependent factor Xa inhibition",,,Reasoning Step,"['Given that fondaparinux is an indirect antithrombin (AT)-dependent factor Xa inhibitor, supplemental AT concentrate (1000 U) was given prior to starting fondaparinux; the pre-infusion AT level was mildly reduced at 0.70\u2009U/mL (RR 0.80–1.40\u2009U/mL).']","['Given that fondaparinux is an indirect antithrombin (AT)-dependent factor Xa inhibitor, supplemental AT concentrate (1000 U) was given prior to starting fondaparinux; the pre-infusion AT level was mildly reduced at 0.70\u2009U/mL (RR 0.80–1.40\u2009U/mL).']","['Given that fondaparinux is an indirect antithrombin (AT)-dependent factor Xa inhibitor, supplemental AT concentrate (1000 U) was given prior to starting fondaparinux; the pre-infusion AT level was mildly reduced at 0.70\u2009U/mL (RR 0.80–1.40\u2009U/mL).']","Because fondaparinux depends on AT to work and the AT level was low, the reduced AT level directly mattered before starting this drug.",Why was the mildly reduced AT level clinically relevant before starting fondaparinux?,AT-dependent factor Xa inhibition
