review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/24,fix,stem_answer_mismatch,"The stem asks why precision medicine is crucial, but the keyed answer is only the phrase “existing clinical guidelines.”","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", patients with HNF1A-MODY often fail to meet all diagnostic criteria despite what?",currently available biomarker panels.,standard ADA diagnostic thresholds.,existing clinical guidelines.,routine genetic testing protocols.,characteristic glycosuria patterns.,(C),existing clinical guidelines.
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/25,fix,stem_answer_mismatch,"The stem asks for a type of screening, while all choices are phrased as “the importance of ...”.","In the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the authors note that early-onset diabetes is frequently misdiagnosed as type 1 or type 2 diabetes. What do they highlight as important in this setting?",the importance of early insulin initiation,the importance of GLP-1 receptor agonist monotherapy,the importance of genetic screening,the importance of lifestyle modification alone,the importance of diabetic ketoacidosis in diagnosing MODY,(C),the importance of genetic screening
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/33,fix,answer_type_mismatch,"The stem asks for the single symptom of excessive thirst, but the keyed option is a full symptom cluster.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", which symptom cluster can be seen in the later stages of HNF1A-MODY?","polydipsia, polyuria, polyphagia and body weight loss","tremor, sweating, palpitations and confusion","asymptomatic hyperglycaemia, postprandial glucose elevation, glycosuria and no clinical signs of insulin resistance","acanthosis nigricans, central obesity, hypertension and marked insulin resistance","diabetic ketoacidosis, abdominal pain, vomiting and Kussmaul breathing",(A),"polydipsia, polyuria, polyphagia and body weight loss"
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/49,fix,formatting,One distractor contains a corrupted control character in place of beta.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", during the patient’s sudomotor testing, electrochemical skin conductance testing (for example, Sudoscan) was used as a non-invasive assessment. What kind of nerve activity does this tool evaluate?",residual β-cell secretory function,islet autoantibody activity,endothelial microvascular function,large fibre somatic nerve activity,small fibre autonomic nerve activity,(E),small fibre autonomic nerve activity
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/65,fix,stem_answer_mismatch,"The stem asks for a group of people, but the keyed option is a full statement about autoantibodies.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the discussion notes that although most MODY cases are autoantibody negative, which statement is made about autoantibodies in HNF1A-related disease?",patients with HNF1A-related diabetes typically present with ketoacidosis and immediate insulin dependence,some individuals with HNF1A mutations have autoantibodies,obesity and metabolic syndrome are more common in MODY than in type 2 diabetes,positive islet autoantibodies essentially exclude a diagnosis of MODY,the Exeter MODY probability calculator performs equally well in non-White populations,(B),some individuals with HNF1A mutations have autoantibodies
medical/Pancreatopleural_fistula_in_childhood/9,fix,option_type_mismatch,"The stem asks specifically for a traumatic condition, but most distractors are not traumatic conditions.","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula is described as being observed in acute pancreatitis, chronic pancreatitis, and which other condition?",pleural effusion,pancreatic carcinoma,biliary obstruction,pancreatic trauma.,pancreatic ascites,(D),pancreatic trauma.
medical/Pancreatopleural_fistula_in_childhood/15,fix,option_type_mismatch,"The stem asks for a type of pleural fluid, but several distractors are not pleural-fluid findings.","According to the case report ""Pancreatopleural fistula in childhood"", in the differential diagnosis of this child with recurrent pleural effusions and chest pain, malignancy was noted to sometimes present with which pleural-fluid finding?",amylase-rich pleural fluid.,food-particle-containing pleural fluid,creatinine-rich pleural fluid,purulent pleural fluid,pleural fluid positive on GeneXpert for MTB,(A),amylase-rich pleural fluid.
medical/Pancreatopleural_fistula_in_childhood/20,fix,stem_answer_mismatch,"The stem asks only for the side of the collections, but the keyed option is a full collection description.","According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent pulmonary symptoms including chest pain and repeated fluid collections. Which recurrent fluid collection was described?",recurrent pericardial effusions.,right-sided pleural fluid collections.,left-sided pleural fluid collections.,bilateral pleural fluid collections.,loculated pleural empyemas.,(B),right-sided pleural fluid collections.
medical/Pancreatopleural_fistula_in_childhood/44,fix,option_type_mismatch,"The stem asks how many adult cases were reported, but some choices are not counts.","According to the case report ""Pancreatopleural fistula in childhood"", the background section notes that pancreatopleural fistula (PPF) is extremely rare in children and that only 47 cases had been reported in the paediatric age group. Which statement describes the number of adult PPF cases that had been reported?",adult PPF is most often reported as a thoracic pathology rather than a pancreatic disorder.,a similar number of PPF cases have been reported in adults and children worldwide.,"more than 300 cases of recurrent, massive, blood-stained pleural effusion have been reported among adults.",more than 300 cases of PPF have been reported among adults.,fewer than 100 cases of PPF have been reported among adults.,(D),more than 300 cases of PPF have been reported among adults.
medical/Pancreatopleural_fistula_in_childhood/53,fix,stem_answer_mismatch,"The stem asks only for the color of the fluid, but the choices describe the full aspirated fluid.","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted 6 days after the first discharge with recurrent right-sided chest pain, tachypnoea, and difficulty breathing, and a repeat thoracocentesis was performed for the right pleural effusion. What was aspirated during this repeat procedure?",nearly one litre of milky white chylous pleural fluid was drained,around one litre of dark red coloured pleural fluid was again aspirated,around 500 mL of straw-coloured pleural fluid was aspirated,only a small amount of clear serous pleural fluid could be aspirated because the effusion was loculated,"frank purulent pleural fluid was obtained, suggestive of empyema",(B),around one litre of dark red coloured pleural fluid was again aspirated
