review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
arxiv/OFT/16,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", among the two finetuning text-to-image tasks discussed, which one is intended to let the model accept additional control signals?",image-to-image translation,class-conditional generation,instruction-guided editing,subject-driven generation,controllable generation,(E),controllable generation
arxiv/OFT/31,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT can also be viewed as adjusting what for the neurons in the same layer?",the Euclidean distance to the pretrained model,the canonical coordinate system.,the activation magnitudes of the hidden features,the hyperspherical energy of the layer,the pairwise relational structure among neurons,(B),the canonical coordinate system.
arxiv/OFT/56,fix,stem_answer_mismatch,The why-question is answered by a noun phrase; the stem should ask what OFT uses fewer of.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT converges well with a much smaller number of what?",gradient updates and denoising steps,learnable parameters and memory overhead,finetuning steps and hyperparameter searches,subject images and control signals,training images and epochs,(E),training images and epochs
arxiv/OFT/69,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the discussion of subject-driven generation, what do \cite{avrahami2022blended,nichol2022glide} use as an additional condition to prevent subject modification?",a frozen pretrained text encoder.,an initial inverted latent code.,a customized token and subject images.,a given mask from users.,cross-attention maps from the prompt.,(D),a given mask from users.
arxiv/OFT/83,fix,grammar,"The stem uses the unnatural phrase ""fewer training data"".","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when OFT is applied to finetune pretrained diffusion models under the same task setting as ControlNet and T2I-Adapter, it achieves consistently better controllability with less training data and fewer what?",finetuning parameters.,optimization steps.,reconstruction losses.,adapter layers.,control signals.,(A),finetuning parameters.
arxiv/OFT/87,fix,grammar,"The stem uses the unnatural phrase ""fewer training data"".","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when OFT is used to finetune pretrained diffusion models under the same task setting as ControlNet and T2I-Adapter, what does it yield consistently better while using less training data and fewer finetuning parameters?",generation fidelity.,training stability.,identity preservation.,controllability.,test-time inference efficiency.,(D),controllability.
arxiv/OFT/98,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the toy autoencoder analysis of feature-map generation, what is the training based on alone, given that the authors do not apply the cosine activation (c) during training?",cosine similarity,angular information,magnitude information,inner product.,orthogonal transformation,(D),inner product.
arxiv/OFT/102,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", what does using a small learning rate during standard finetuning implicitly encourage?",a simultaneous rotation or reflection of all neurons.,a low-rank constraint on the weight update.,a small deviation from the pretrained model.,a sparse update affecting only a few pretrained parameters.,an exact preservation of pair-wise neuron similarity.,(C),a small deviation from the pretrained model.
arxiv/OFT/106,fix,formatting,The stem has an extraneous leading list-marker artifact.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", what is orthogonal transformation sufficiently powerful for learning, according to \cite{liu2021orthogonal}?",neural networks.,latent representations.,convolution kernels.,linear classifiers.,diffusion models.,(A),neural networks.
arxiv/OFT/108,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the controllable generation experiment conducted using the ControlNet setting, what control effect does OFT without the orthogonality constraint achieve?",no control effect.,quite stable performance during training.,partial control with degraded image realism.,overfitting to the conditioning signal.,accurate control after the training is finished.,(A),no control effect.
arxiv/OFT/119,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", what constraint does OFT introduce on pair-wise neuron similarity between the updated weight matrix $\bm{M}$ and the pretrained weight matrix $\bm{M}^0$?",$\| \text{HE}(\bm{M})-\text{HE}(\bm{M}^0) \|=0$,$\| \bm{M}^\top \bm{M}-(\bm{M}^0)^\top \bm{M}^0 \|=0$,$\text{rank}(\bm{M}-\bm{M}^0)=r'$,$\| \bm{M}-\bm{M}^0 \|=0$,$\| \text{HE}(\bm{M}-\bm{M}^0) \|=0$,(A),$\| \text{HE}(\bm{M})-\text{HE}(\bm{M}^0) \|=0$
arxiv/OFT/152,fix,"stem_answer_mismatch,option_type_mismatch","The stem asks how existing methods handle the constraint, but several options are noun phrases rather than treatments.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", how is the second COFT constraint, constrained deviation from the pretrained model, usually treated by existing finetuning methods?",implicitly used,enforced as an orthogonality constraint,replaced by a hyperspherical-energy term,made an explicit constraint,implemented as a weight-decay regularizer,(A),implicitly used
arxiv/OFT/157,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", what do the authors additionally learn for each neuron in their simple extension to the original OFT?",an orthogonality regularization coefficient,a magnitude scaling coefficient,a low-rank adaptation coefficient,a bias shifting coefficient,a rotation angle parameter,(B),a magnitude scaling coefficient
arxiv/OFT/161,fix,formatting,The stem has an extraneous leading list-marker artifact.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the example comparing parameter complexity of LoRA and OFT for a $128\times 128$ weight matrix with no block sharing applied, how many trainable parameters does OFT have when $r=8$?",$960$.,"$8,128$.","$1,024$.","$1,920$.","$2,048$.",(A),$960$.
arxiv/OFT/174,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", why do the authors say OFT is also well suited for finetuning convolution layers?",it is architecture-agnostic and can in principle be applied to any type of neural network,all the blocks in $\bm{R}$ can be shared so that OFT applies one orthogonal matrix across channels,the block-diagonal structure of $\bm{R}$ has interesting interpretations in convolution layers,using the same number of blocks as input channels makes OFT similar to learning depth-wise convolution kernels,"orthogonal updates preserve feature norms, which can make convolutional finetuning more stable",(C),the block-diagonal structure of $\bm{R}$ has interesting interpretations in convolution layers
arxiv/OFT/179,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the discussion of why OFT converges faster, what does viewing OFT as finetuning neurons on a smooth hypersphere manifold yield?",minimum hyperspherical energy.,more effective semantic updates.,better optimization landscape.,uniformly spaced neurons on the hypersphere.,better generalization performance.,(C),better optimization landscape.
arxiv/OFT/184,fix,stem_answer_mismatch,"The stem asks for an objective, but the correct option is the quantity being minimized.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", what quantity do the authors say they do not aim to minimize, in contrast to \cite{liu2021orthogonal}?",classification accuracy,pairwise neuron angle preservation,low-rank weight regularization,hyperspherical energy.,optimization landscape smoothness,(D),hyperspherical energy.
arxiv/OFT/189,fix,formatting,The stem has an extraneous leading list-marker artifact.,"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for the controllable generation setting in the general experimental setup, which method do the authors generally follow in addition to T2I-Adapter?",GLIGEN.,DreamBooth.,Stable Diffusion v1.5.,LoRA.,ControlNet.,(E),ControlNet.
arxiv/OFT/193,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", which two baseline methods do the authors generally follow the original paper and use the best hyperparameter setup for in their finetuning experiments?",OFT and COFT,DreamBooth and ControlNet,ControlNet and T2I-Adapter,DreamBooth and LoRA,Textual Inversion and Custom Diffusion,(D),DreamBooth and LoRA
arxiv/OFT/200,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the finetuning stability and convergence evaluation comparing DreamBooth, LoRA, OFT, and COFT, which methods achieve good control after 400 iterations?",ControlNet and T2I-Adapter.,DreamBooth and OFT variants.,LoRA and COFT variants.,Textual Inversion and HyperNetworks.,DreamBooth and LoRA.,(B),DreamBooth and OFT variants.
arxiv/OFT/220,fix,formatting,"The stem has an extraneous leading ""Q:"" artifact.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", which controllable generation task is considered on the CelebA-HQ dataset in the main paper?",landmark to face,pose to person,segmentation map to image,depth map to image,canny edge to image,(A),landmark to face
