domain_group,document,accept,fix,reject,reviewed_rows
arxiv,1_58,98,8,1,107
arxiv,BOFT,186,20,1,207
arxiv,ByteLatent,338,40,0,378
arxiv,DPO,210,24,1,235
arxiv,FeatLLM,198,13,1,212
arxiv,GRPO,298,15,9,322
arxiv,GSPO,109,12,3,124
arxiv,LongRoPE,203,28,5,236
arxiv,OFT,242,28,1,271
arxiv,QLoRA,268,30,5,303
arxiv,fa3,183,20,1,204
arxiv,xLSTM,145,18,1,164
legal,America_First_Legal_Foundation_v_Jamieson_Greer,46,3,0,49
legal,Apex_Bank_v_Cc_Serve_Corp,52,4,0,56
legal,Bruce_Cohen_v_Consilio_LLC,46,4,0,50
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,57,4,0,61
legal,Foad_Farahi_v_FBI,59,3,0,62
legal,Jimenez_v_Bondi,90,10,0,100
legal,Pacito_v_Trump,37,4,0,41
legal,Santos_v_Kimmel,32,5,0,37
legal,United_States_v_Constantinescu,36,2,0,38
legal,United_States_v_Jaison_Coleman,49,4,0,53
legal,United_States_v_Justin_Cutbank,46,5,0,51
legal,Williams_v_GoAuto_Insurance,40,9,0,49
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,78,14,0,92
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,57,21,0,78
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,86,15,0,101
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,82,11,0,93
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,83,20,0,103
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,0,65,0,65
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,82,8,0,90
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,84,12,0,96
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,96,16,0,112
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,81,6,1,88
medical,Pancreatopleural_fistula_in_childhood,94,18,0,112
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,93,12,1,106
