review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
arxiv/DPO/106,fix,"stem_answer_mismatch,grammar","The correct option is an awkward fragment and omits ""same,"" which is needed for the lemma stated in the stem.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", what do two reward functions from the same equivalence class induce under the constrained RL problem?",the same preference distribution,the same value function,the same reference policy,the same partition function,the same optimal policy,(E),the same optimal policy
arxiv/DPO/134,fix,"stem_answer_mismatch,grammar","The stem asks how the term can be accommodated, but the correct option is a noun phrase rather than a method phrase.","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", how can the normalization term in $f(r_{\phi}, \pi_\text{ref}, \beta)$ be accommodated for, even though this approach can be difficult to optimize?",using a single-sample Monte Carlo estimate of the normalizing term,using a learned value function,using generalized advantage estimation,using a human completion baseline,using the soft value function of the reference policy,(B),using a learned value function
arxiv/DPO/144,reject,option_type_mismatch,"The stem asks for a number of dialogues, but one option is a task-description phrase; making a clean five-option count question would require inventing a new distractor.",,,,,,,,
arxiv/DPO/159,fix,"formatting,grammar","The stem has a stray apostrophe in ""unlikelihood' term"" from TeX quote formatting.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", what optional coefficient do the authors use on the unlikelihood term in the pseudo-supervised Unlikelihood method?","$\alpha\in[0,1]$.","$\alpha\in[-1,1]$.","$N\in\{1,2,\ldots\}$.","$\lambda\in[0,1]$.",$\beta>0$.,(A),"$\alpha\in[0,1]$."
arxiv/DPO/176,fix,"stem_answer_mismatch,option_type_mismatch","The stem asks for a dataset, but the correct option is missing ""dataset"" and does not match the granularity of the other options.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors evaluate different methods for summarization by sampling completions on the test split of which dataset and computing the average win rate against reference completions in the test set?",the XSum summarization dataset,the Anthropic HH dataset,the TL;DR summarization dataset,the CNN/DailyMail summarization dataset,the SAMSum summarization dataset,(C),the TL;DR summarization dataset
arxiv/DPO/183,fix,formatting,"The question stem begins with an extraneous ""Q:"" prefix.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when evaluating on the TL;DR summarization dataset by computing the average win rate against reference completions in the test set, at what sampling temperature does DPO achieve an approximately 61% win rate?",0.7.,0.0.,1.0.,0.25.,0.5.,(B),0.0.
arxiv/DPO/205,fix,formatting,"The question stem begins with an extraneous ""Q:"" prefix.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", what simple training paradigm for training language models from preferences without reinforcement learning have the authors introduced?",RLAIF,DPO,PPO,inverse reinforcement learning,RLHF,(B),DPO
arxiv/DPO/232,fix,formatting,"The question stem begins with an extraneous ""- Question:"" prefix.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", Eq.~\ref{eq:op_policy} can be rearranged to express the reward function in terms of its corresponding optimal policy. What is the notation used for that optimal policy?",$\pi_\text{ref}$,$\pi_\theta$,$\pi^*$,$\pi_{r^*}$,$\pi_r$.,(E),$\pi_r$.
arxiv/FeatLLM/22,fix,"stem_answer_mismatch,option_type_mismatch","The stem asks how features are extracted, but the correct option is only a noun phrase; rewriting options as method phrases makes the MCQA natural.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", according to the authors, how can features be extracted without the need for model training when leveraging the in-context learning ability of LLMs?",by using parameter-efficient fine-tuning,by adding example demonstrations to the prompts,by using structured reasoning,by applying feature bagging,by using chain-of-thought prompting,(B),by adding example demonstrations to the prompts
arxiv/FeatLLM/32,fix,"grammar,stem_answer_mismatch","The correct answer is ungrammatical as written (""parsed them as program code"") for a how-question.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", how are the deduced rules applied to the data before the data are transformed into binary features indicating whether the samples adhere to each rule?",by parsing them as program code,by feeding them to a low-complexity classifier for probability estimation,by applying feature bagging over sampled features and examples,by encoding them as decision-tree split conditions,by converting them into natural-language prompts for in-context inference,(A),by parsing them as program code
arxiv/FeatLLM/36,fix,stem_answer_mismatch,"The stem asks how the approach mitigates prompt size, but the correct option is only a fragment; asking what is adjusted gives a natural answer.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", what does the authors’ feature-bagging approach adjust to mitigate the challenge of excessive prompt size?",the number of few-shot examples and decisive rules,the number of training instances and labels,the number of binary features and class probabilities,the number of features and targets,the number of features and samples,(E),the number of features and samples
arxiv/FeatLLM/43,reject,option_type_mismatch,"The stem asks for a number of datasets, but two options are not counts; a clean five-option count question would require arbitrary new distractors.",,,,,,,,
arxiv/FeatLLM/80,fix,"stem_answer_mismatch,grammar","The stem asks what predictions avoid needing to do, but the correct option is an awkward verb phrase.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} parses generated rules into program code to create new features for prediction. What does this allow predictions to be made without?",manual engineering of task-specific features,serialization of the tabular data into text,few-shot demonstrations in the prompt,LoRA fine-tuning,passing through the LLM,(E),passing through the LLM
