review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
arxiv/FeatLLM/129,fix,stem_answer_mismatch,"The stem asks why, but the options are dataset-type labels; rewrite it as a dataset-type question.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", what kind of datasets are the latter two evaluation datasets, ensuring they could not be memorized by the LLM API before evaluation?",out-of-distribution benchmarks,synthetic datasets,recently donated UCI datasets,unlabeled datasets,datasets with over 100 attributes,(B),synthetic datasets
arxiv/FeatLLM/175,fix,stem_answer_mismatch,"The correct option omits the key idea that efficient utilization of prior knowledge, not prior knowledge alone, becomes crucial.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors state that when the number of shots is small, what becomes crucial for performance improvements?",accurate estimation of the importance of rules.,task-specific fine-tuning of the language model.,the weight tuning process in the linear model.,the efficient utilization of the prior knowledge of LLM.,the ensemble process over generated rules.,(D),the efficient utilization of the prior knowledge of LLM.
arxiv/FeatLLM/176,fix,option_type_mismatch,"The stem asks for a number of API queries, but two distractors are GPU hardware resources; broaden the stem to ask for the reported training-time requirement.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", what training-time resource requirement does \textsf{FeatLLM} have?",16 API queries.,four A100 GPUs for model parallelism.,30 API queries.,100 API queries.,one A100 GPU.,(C),30 API queries.
arxiv/FeatLLM/189,fix,grammar,"The stem has a subject-verb agreement error: ""does the authors' framework"".","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", what do the authors say their framework forces the model to consider when extracting rules, helping prevent the generation of rules based on irrelevant columns and leading to robust results?",the relationship between the task and features.,the overall histogram of learned rule weights.,the balance between the number of ensembles and rules per class.,causal relationships between the task and features.,interactions among features learned from unlabeled data.,(A),the relationship between the task and features.
arxiv/FeatLLM/209,fix,"truncated_stem,stem_answer_mismatch","The stem is missing the object of ""impact of"" and the correct option is an awkward full sentence.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", which two main hyperparameters did the authors study in their hyperparameter analysis of \textsf{FeatLLM}?",the embedding dimensionality of engineered features and the downstream classifier learning rate,the size of the unlabeled dataset and the choice of auxiliary method such as SCARF or STUNT,the number of ensembles and the number of rules per class extracted during each LLM query,the number of labeled shots and the prompt length used for each LLM query,the number of unrelated columns added and the percentage of noisy-column rules allowed in the ensemble,(C),the number of ensembles and the number of rules per class extracted during each LLM query
arxiv/GRPO/8,reject,option_type_mismatch,"The stem asks for a number of math tokens, but distractors include web pages and examples; repairing would require inventing new numeric distractors.",,,,,,,,
arxiv/GRPO/16,fix,formatting,"The stem has a duplicated leading ""Q:"" marker.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after the classifier mines additional positive instances from the Common Crawl, how are those instances further refined?",a second pass through the fastText-based classifier,active learning with uncertainty sampling,rule-based heuristic filtering,filtering against OpenWebMath positive examples,human annotation.,(E),human annotation.
arxiv/GRPO/17,fix,formatting,The stem has an extraneous leading hyphen.,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", what have large language models proven instrumental in assisting humans in doing?",solving complex mathematical problems.,improving general reasoning on benchmarks like MMLU and BBH.,writing and debugging code for scientific computing.,constructing large-scale math pre-training corpora from Common Crawl.,tackling quantitative reasoning and geometry benchmark tasks.,(A),solving complex mathematical problems.
arxiv/GRPO/40,fix,formatting,"The stem has a duplicated leading ""Q:"" marker.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the DeepSeekMath Corpus is 9 times the size of which recently released dataset of math web pages?",Minerva,Common Crawl,OpenWebText,OpenWebMath.,arXiv,(D),OpenWebMath.
arxiv/GRPO/42,fix,"stem_answer_mismatch,option_type_mismatch","The stem asks ""with and without what?"" but the correct option repeats the whole condition and distractors are not parallel.","In the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", code training prior to math training improves models' ability to solve mathematical problems under what tool-use conditions?",only with external tool use,only without external tool use,both with and without tool use,only with few-shot prompting,only after training on arXiv papers,(C),both with and without tool use
