batch_file,domain_group,batch_index,rows,first_review_id,last_review_id
review_batch_arxiv_01.csv,arxiv,1,250,arxiv/1_58/1,arxiv/BOFT/161
review_batch_arxiv_02.csv,arxiv,2,250,arxiv/BOFT/162,arxiv/ByteLatent/208
review_batch_arxiv_03.csv,arxiv,3,250,arxiv/ByteLatent/209,arxiv/DPO/91
review_batch_arxiv_04.csv,arxiv,4,250,arxiv/DPO/92,arxiv/FeatLLM/116
review_batch_arxiv_05.csv,arxiv,5,250,arxiv/FeatLLM/117,arxiv/GRPO/168
review_batch_arxiv_06.csv,arxiv,6,250,arxiv/GRPO/169,arxiv/GSPO/104
review_batch_arxiv_07.csv,arxiv,7,250,arxiv/GSPO/105,arxiv/OFT/9
review_batch_arxiv_08.csv,arxiv,8,250,arxiv/OFT/10,arxiv/OFT/268
review_batch_arxiv_09.csv,arxiv,9,250,arxiv/OFT/269,arxiv/QLoRA/254
review_batch_arxiv_10.csv,arxiv,10,250,arxiv/QLoRA/255,arxiv/xLSTM/13
review_batch_arxiv_11.csv,arxiv,11,143,arxiv/xLSTM/14,arxiv/xLSTM/163
review_batch_legal_01.csv,legal,1,250,legal/America_First_Legal_Foundation_v_Jamieson_Greer/0,legal/Jimenez_v_Bondi/22
review_batch_legal_02.csv,legal,2,250,legal/Jimenez_v_Bondi/23,legal/Williams_v_GoAuto_Insurance/14
review_batch_legal_03.csv,legal,3,27,legal/Williams_v_GoAuto_Insurance/15,legal/Williams_v_GoAuto_Insurance/48
review_batch_medical_01.csv,medical,1,250,medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/0,medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/8
review_batch_medical_02.csv,medical,2,250,medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/9,medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/30
review_batch_medical_03.csv,medical,3,250,medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/31,medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/9
review_batch_medical_04.csv,medical,4,250,medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/10,medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/85
review_batch_medical_05.csv,medical,5,16,medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/87,medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/105
